bill_id,human_issue_code,policy_direction_of_yea,ideological_valence,position_summary,confidence,review_status,position_evidence_allowed,review_note
97772,economic_development,"Commend Huntsville's effort to become a Google Fiber test market.",nonideological,"Co-sponsored a ceremonial commendation of Huntsville's Google Fiber application.",high,reviewed,False,"Full resolution and both model reviews examined. This House resolution duplicates the policy-free commendation reflected in HJR558; it is not reliable evidence of an individual broadband or economic-policy position."
97213,education,"Commend Fayette County members of the University of Alabama Crimsonettes.",nonideological,"Co-sponsored a ceremonial commendation of local students serving in the University of Alabama Crimsonettes.",high,reviewed,False,"Full resolution and both model reviews examined. This joint resolution duplicates the local ceremonial honor in HR352 and supplies no substantive education-policy evidence."
96939,social_services,"Allow a teacher or school official to satisfy the child-abuse reporting mandate by giving a written report to a principal or superintendent by the close of the next school day, with that administrator then responsible for forwarding it to authorities.",mixed,"Co-sponsored replacing educators' immediate direct-report obligation with an internal written-report safe harbor and an administrator forwarding duty.",high,reviewed,True,"Full introduced text reviewed. The bill formalizes responsibility and documentation inside schools, but it also delays and redirects the existing immediate direct-report rule. Those competing child-protection and institutional-liability effects make the ideological direction mixed; neither model's one-direction label is adequately supported."
97097,public_private_partnerships,"Extend the Lieutenant Governor's Commission on Public-Private Partnership Projects through the fifth legislative day of the 2011 session and direct it to continue implementing recommendations from its earlier report.",mixed,"Co-sponsored extending the state's public-private infrastructure commission and continuing work on its prior recommendations.",high,reviewed,True,"Full enrolled resolution reviewed. This is more than a commendation: it sustains a government body and endorses continued implementation work. But the incorporated recommendations are not stated in this text, so it evidences a public-private-infrastructure priority without supporting a clean progressive or conservative direction."
97712,business_economic_development,"Urge Congress to provide $3 million for renovating the Alabama Farmers Market, including modernized agricultural facilities, neighborhood revitalization, and job creation in a low-income area.",progressive,"Co-sponsored seeking federal investment to renovate the Alabama Farmers Market and support agricultural commerce, neighborhood revitalization, and local jobs.",high,reviewed,True,"Full resolution reviewed. The heading contains an apparent drafting error ('$38 million'), but every operative and explanatory reference requests $3 million. Sponsorship is direct evidence of support for targeted public investment in agricultural and neighborhood economic development."
97237,business_economic_development,"Urge Congress to provide $3 million for renovating the Alabama Farmers Market, including modernized agricultural facilities, neighborhood revitalization, and job creation in a low-income area.",progressive,"Co-sponsored seeking federal investment to renovate the Alabama Farmers Market and support agricultural commerce, neighborhood revitalization, and local jobs.",high,reviewed,True,"Full joint-resolution text and both model reviews examined. This is the companion version of HR439 and supports the same targeted public-investment position. The heading's '$38 million' conflicts with the consistent $3 million request in the operative text, which controls this summary."
96847,social_services,"Create a voluntary state-income-tax refund checkoff to supplement education benefits for disabled Alabama veterans, with administrative costs capped at 10 percent.",progressive,"Co-sponsored a voluntary refund-donation mechanism dedicated to supplemental education benefits for disabled veterans.",high,reviewed,True,"Full engrossed text reviewed. The voluntary funding mechanism is compatible with limited-government preferences, but the enacted policy expands a state-administered benefit for disabled veterans; code as modestly progressive on social services rather than as evidence of a broad tax position."
96509,social_services,"Exempt Eagles' Wings, Inc., a Tuscaloosa-area nonprofit serving adults with developmental disabilities, from state, county, and municipal sales and use taxes.",progressive,"Co-sponsored a targeted tax exemption for a nonprofit provider of day and residential services to adults with developmental disabilities.",medium,reviewed,True,"Full enrolled bill reviewed and organizational identity verified through the Alabama Department of Mental Health provider directory and the nonprofit's mission statement. This is narrow evidence of using tax policy to support disability services, not a general tax-cut position; confidence is medium because the bill text itself names but does not describe the beneficiary."
96859,environment_energy,"Require a public forum and unanimous joint county-municipal approval before a municipality licenses a junkyard in its extraterritorial police jurisdiction, then assign post-license enforcement to the county.",progressive,"Co-sponsored stronger public-participation and intergovernmental approval requirements for junkyards outside municipal limits.",high,reviewed,True,"Full introduced text reviewed. The bill raises the procedural barrier to siting a junkyard and adds a public forum, which is modestly regulatory/progressive on environmental land use. Its assignment of enforcement to counties is an administrative feature, not a basis for the conservative model label."
96520,criminal_justice,"Impose a three-year moratorium on new death sentences and executions while Alabama adopts specified safeguards for competent defense, post-conviction review, racial fairness, and protection of juveniles and people with intellectual disabilities.",progressive,"Co-sponsored pausing Alabama's death penalty for three years to implement fairness and due-process reforms in capital cases.",high,reviewed,True,"Full bill text and both concordant model reviews examined. This is direct, strongly directional evidence of a death-penalty reform position. The model claim that every sponsor was Republican is unsupported metadata commentary and was disregarded; the policy classification rests on the official text."
96547,occupational_licensing,"Require first-time used-vehicle dealers and wholesalers to complete at least four hours of state-approved legal-compliance training before licensure, while exempting existing licensees in good standing.",progressive,"Co-sponsored a new training prerequisite for first-time used-vehicle dealer and wholesaler licenses as a consumer-protection measure.",high,reviewed,True,"Full introduced text reviewed. The measure adds a modest entry requirement and state approval of seminar providers, making it regulatory/progressive on occupational licensing even though its stated purpose is public protection and it grandfathers current licensees."
96759,criminal_justice,"Create a diverse interagency commission with facility access and beneficiary input to recommend gender-responsive services, community alternatives, population reduction, reentry support, and racial and gender equity for girls and women in the justice system.",progressive,"Co-sponsored a commission charged with reducing gaps and inequities affecting incarcerated women and girls and expanding evidence-based alternatives and reentry services.",high,reviewed,True,"Full enrolled text reviewed. This is substantive and strongly reform-oriented: it expressly targets gender equity, community-based services, alternatives to high-security confinement, reduced women's prison populations, and the well-being of incarcerated women and girls."
97918,healthcare_medicaid_finance,"Urge Alabama's governor and attorney general not to join litigation blocking implementation of the federal comprehensive health-care reform law, emphasizing affordable access and defending the law's constitutionality.",progressive,"Co-sponsored defending implementation of the Affordable Care Act against state litigation.",high,reviewed,True,"Full House resolution reviewed. Although nonbinding, it states an explicit and strongly directional health-policy position in the sponsors' own language; it is reliable public-position evidence rather than a ceremonial resolution."
97356,healthcare_medicaid_finance,"Urge Alabama's governor and attorney general not to join litigation blocking implementation of the federal comprehensive health-care reform law, emphasizing affordable access and defending the law's constitutionality.",progressive,"Co-sponsored defending implementation of the Affordable Care Act against state litigation.",high,reviewed,True,"Full joint resolution reviewed. This companion to HR763 states the same explicit and strongly directional health-policy position and is retained despite being nonbinding."
96514,public_education,"Enact Alabama's fiscal-year 2011 Education Trust Fund budget for the support, maintenance, development, debt service, and capital needs of public education and related educational programs.",mixed,"Co-sponsored the fiscal-year 2011 public-education budget.",high,reviewed,True,"Full enrolled budget structure reviewed. Sponsorship is strong evidence that public education budgeting was a priority, but the omnibus allocation cannot be coded as uniformly expansionary without a prior-year counterfactual; retain as mixed rather than treating every line item as an individual position."
96512,public_education,"Appropriate $9,703,990 from the Education Trust Fund to Tuskegee University, including at least $1,414,586 for agricultural research and extension, subject to planning, audit, and performance-reporting requirements.",progressive,"Co-sponsored state education funding for Tuskegee University and its agricultural research and extension work.",high,reviewed,True,"Full enrolled text reviewed. This is direct evidence of support for public investment in a historically Black, state-related university, paired with fiscal-accountability requirements."
96516,social_services,"Shift part of public-school bond debt service to the Education Trust Fund, reappropriate prior-year balances, cap the Department of Human Resources food-stamp-fund reversion, and dedicate excess funds to subsidized child-care slots.",mixed,"Co-sponsored an education-finance adjustment that also protected excess human-services funds for subsidized child care.",high,reviewed,True,"Full enrolled text reviewed. The bond-source change and reappropriations are fiscally technical, while the child-care dedication is substantively progressive; code the bundled bill as mixed and summarize the directly observable social-services priority without inferring a broader fiscal ideology."
96515,public_employee_benefits,"Allow the Teachers' Retirement System to amortize its accrued pension liability over as many as 30 years instead of 20 years.",conservative,"Co-sponsored lengthening the funding period for the teachers' pension system's accrued liability.",high,reviewed,True,"Full introduced text reviewed. Extending amortization reduces near-term employer contribution pressure but delays full funding and can increase long-run financing costs; it is conservative on current-budget burden and less protective of pension funding, without changing promised benefits directly."
96530,taxes_budget,"Enact the fiscal-year 2011 omnibus General Fund budget for ordinary agency operations, government functions, debt service, and capital outlay.",nonideological,"Co-sponsored the fiscal-year 2011 General Fund operating budget.",high,reviewed,False,"The enrolled omnibus budget was reviewed at the structural level. Sponsorship establishes participation in the core appropriations process but does not isolate a coherent issue stance across hundreds of unrelated allocations; exclude it from directional position evidence and rely on narrower appropriation bills where available."
96533,social_services,"Appropriate $435,600 from the General Fund to the Alabama Coalition Against Domestic Violence, conditioned on audited financials, an operating plan, and quarterly and annual performance reports.",progressive,"Co-sponsored state funding for domestic-violence services with audit and performance safeguards.",high,reviewed,True,"Full enrolled text reviewed. This is direct evidence of support for publicly funded domestic-violence services, with accountability conditions that do not change the underlying progressive service-investment direction."
96534,social_services,"Allocate more than $94 million in tobacco-settlement funds to child welfare, Medicaid, mental health, public health, rehabilitation, youth services, senior services, and related programs, with quarterly allotment and performance controls.",progressive,"Co-sponsored substantial tobacco-settlement investment in children, health, disability, youth, and senior-service programs.",high,reviewed,True,"Full enrolled text reviewed. Although it is a multi-program appropriation, its recipients consistently reflect a health-and-human-services investment priority and include explicit planning, outcome, and audit requirements."
97012,criminal_justice,"Allow vending machines in the Bullock County jail and dedicate their profits to a sheriff-controlled fund usable exclusively for law-enforcement purposes.",nonideological,"Sponsored a local jail-vending revenue mechanism for the Bullock County Sheriff's Office.",high,reviewed,False,"Full enrolled local act reviewed. This is a narrow administrative revenue measure with no statewide criminal-justice policy change or dependable ideological direction; retain as activity but exclude from candidate-position evidence."
96987,public_employee_benefits,"Provide eligible Department of Corrections employees working inside correctional facilities with conditional annual 2.5 percent pay steps, up to a cumulative 10 percent, in years without General Fund proration.",progressive,"Co-sponsored recurring salary increases for state corrections employees who work inside secured facilities.",high,reviewed,True,"Full introduced text reviewed. This is direct support for improved compensation of higher-risk public employees, moderated by a no-proration fiscal condition."
97036,guns,"Allow the Barbour County Commission to add five dollars to the concealed-pistol permit fee and dedicate the proceeds to sheriff's-vehicle purchase and maintenance.",progressive,"Sponsored a modest increase in Barbour County's concealed-pistol permit fee to fund law-enforcement vehicles.",high,reviewed,True,"Full enrolled local act reviewed. The measure marginally increases the cost of carrying a concealed pistol and is therefore modestly progressive on gun regulation, though it is local and principally a sheriff-finance measure rather than evidence of broad gun-control views."
96477,business_economic_development,"Submit to voters a ten-year transfer of $100 million annually from the Alabama Trust Fund for state and local road, bridge, rail, maintenance, and economic-development infrastructure, with geographic allocation rules.",progressive,"Sponsored a constitutional amendment committing substantial Trust Fund resources to a decade-long state and local transportation investment program.",high,reviewed,True,"Full proposed amendment reviewed. The policy is strongly pro-public infrastructure investment and local capital funding. Its use of Trust Fund assets creates a fiscal tradeoff, so the progressive label describes investment direction rather than overall budget prudence."
97361,business_economic_development,"Honor Don Sutton by naming a segment of Alabama Highway 10 after him.",nonideological,"Co-sponsored a ceremonial highway designation honoring baseball player Don Sutton.",high,reviewed,False,"Full enrolled resolution reviewed. The highway naming is honorary and provides no infrastructure or economic-development position evidence."
97207,business_economic_development,"Honor Representative Lesley Vance by naming a segment of Highway 431 South after him.",nonideological,"Co-sponsored a ceremonial highway designation honoring a legislative colleague.",high,reviewed,False,"Full enrolled resolution reviewed. This is an honorary designation, not evidence of a transportation-policy position."
97800,public_education,"Commend Tuskegee University's basketball team for winning its conference championship.",nonideological,"Joined a chamber-wide ceremonial commendation of Tuskegee University's basketball team.",high,reviewed,False,"Full resolution reviewed. This is a nearly unanimous athletic commendation and supplies no substantive higher-education policy evidence."
96241,taxes_budget,"Eliminate Alabama's state sales tax on most food while phasing down the federal-income-tax deduction for higher-income filers and retaining the full deduction below stated income thresholds.",progressive,"Co-sponsored a progressive tax shift that removed the state grocery tax and offset revenue by limiting a deduction concentrated among higher-income taxpayers.",high,reviewed,True,"Full proposed constitutional amendment reviewed. This is unusually clear distributive tax-policy evidence: it reduces a regressive consumption tax and narrows an income-tax preference above $50,000 for single filers and $100,000 for joint filers."
96599,social_services,"Allow parents of a stillborn child after the twentieth week of gestation to request a Certificate of Birth Resulting in Stillbirth for the ordinary certificate fee.",nonideological,"Co-sponsored optional state recognition documents for families experiencing stillbirth.",high,reviewed,False,"Full introduced text reviewed. The measure is an administrative and bereavement-recognition policy and does not change abortion law, fetal personhood, inheritance, or the definition of live birth. Do not use it as abortion-position evidence."
298412,business_economic_development,"Submit to voters a five-year dedication of offshore oil-and-gas capital payments, after debt service, to equally apportioned congressional-district job creation and retention projects selected by the governor and Alabama Development Office.",progressive,"Sponsored using offshore energy capital receipts for geographically distributed job-creation and job-retention investments.",high,reviewed,True,"Full proposed constitutional amendment reviewed. This is targeted public economic-development investment with substantial executive discretion; the progressive label reflects active public investment, not environmental policy or the wisdom of spending capital receipts."
297637,ethics_government,"Require state economic-development commitments to companies to be formalized in mutually acceptable written contracts within five years, and void older uncontracted commitments after a transition period.",progressive,"Co-sponsored written-contract and expiration requirements for state economic-development incentive commitments.",high,reviewed,True,"Full introduced text reviewed. The measure increases formal accountability and prevents indefinite informal commitments of public development funds; it does not determine whether incentives themselves should be larger or smaller."
298318,business_economic_development,"Provide small businesses with a nonrefundable $1,000 income or financial-institution excise-tax credit for each qualifying net new Alabama job paying more than $10 per hour after twelve months of continuous employment.",mixed,"Co-sponsored a performance-conditioned small-business tax credit for net job creation above a wage floor.",high,reviewed,True,"Full enrolled text reviewed. The bill combines conservative tax reduction with targeted industrial policy and a wage/job-retention condition. Code as mixed rather than forcing the free-market-versus-subsidy divide onto a simple left-right scale."
544699,criminal_justice,"Allow retired certified law-enforcement officers in good standing to work part time as Etowah County school resource officers with full police powers, flexible pay, no added benefits, hiring preferences, and civil immunity.",conservative,"Sponsored expanding the pool of armed school law-enforcement personnel through part-time retired officers in Etowah County.",high,reviewed,True,"Full enrolled local act reviewed. The policy expands police presence and authority in schools while reducing employment costs; this is conservative on school security/criminal justice, though it is geographically narrow."
541687,criminal_justice,"Allow retired law-enforcement officers in good standing to serve part time as Etowah County school resource officers, waiving physical recertification requirements while retaining certification and full police powers.",conservative,"Sponsored an Etowah County pathway for retired officers to return as part-time school resource officers.",high,reviewed,True,"Full introduced local text reviewed. This predecessor to HB600 likewise expands law-enforcement presence in schools and is coded conservative on school security."
526850,criminal_justice,"Create a statewide pathway for retired law-enforcement officers to serve as part-time reserve school resource officers with firearms and use-of-force training but waivers from physical and most continuing-education requirements.",conservative,"Sponsored statewide use of part-time retired officers as armed school resource officers.",high,reviewed,True,"Full introduced text reviewed. The measure expands police staffing and powers in schools using a lower-cost reserve model; certification safeguards temper but do not reverse its conservative school-security direction."
96570,rural_hunting,"Require state-managed hunting lands generally to remain open, replace acreage closed to hunting where required or feasible, coordinate other public lands for replacement access, and report annual gains and losses.",conservative,"Sponsored a statutory no-net-loss policy protecting hunting access on state-owned and state-managed land.",high,reviewed,True,"Full enrolled text reviewed. This is direct evidence of prioritizing rural hunting interests and public hunting access, subject to safety, wildlife-management, security, and park exceptions."
97628,environment_energy,"Urge Congress to restore and fully fund the USDA Resource Conservation and Development Program in 2011 and future years because of its natural-resource and rural and urban development work.",progressive,"Co-sponsored continued federal funding for locally led resource-conservation and community-development councils.",high,reviewed,True,"Full House resolution reviewed. Despite being nonbinding, it contains an explicit appropriations position supporting a federal conservation program and is not merely ceremonial."
97191,environment_energy,"Urge Congress to restore and fully fund the USDA Resource Conservation and Development Program in 2011 and future years because of its natural-resource and rural and urban development work.",progressive,"Co-sponsored continued federal funding for locally led resource-conservation and community-development councils.",high,reviewed,True,"Full joint resolution reviewed. This companion to HR309 states the same direct conservation-funding position."
391077,ethics_government,"Raise from $50,000 to $75,000 the salary threshold below which public employees need not file economic-interest statements, and allow employees below that threshold to receive things of value otherwise barred by the ethics law.",conservative,"Sponsored loosening financial-disclosure and gift restrictions for public employees earning less than $75,000.",high,reviewed,True,"Full introduced text reviewed. The policy reduces ethics-law coverage and transparency for a larger group of employees. It may also reduce compliance burdens on non-senior workers, but the operative direction is deregulatory/conservative on government ethics."
416049,ethics_government,"Cap at $250,000 per election cycle the amount a candidate for statewide office may lend to the candidate's own campaign.",progressive,"Sponsored a limit on candidate self-financing through personal loans in statewide races.",high,reviewed,True,"Full official 2010 First Special Session text reviewed using the repaired ALISON /2010FS/ source. The cap is a campaign-finance restriction intended to constrain personal-wealth advantages and is progressive on election regulation."
416076,ethics_government,"Require the Secretary of State to maintain a publicly searchable online database of campaign-contribution and expenditure filings by candidate name.",progressive,"Co-sponsored searchable online disclosure of campaign money.",high,reviewed,True,"Full official 2010 First Special Session text reviewed using the repaired ALISON /2010FS/ source. This is direct transparency and campaign-finance reform evidence."
599986,gambling,"Submit to voters a state-run education lottery funding school resource officers and scholarships without supplanting existing education revenue, while continuing to prohibit casinos.",mixed,"Co-sponsored an education lottery paired with a continued casino ban.",high,reviewed,True,"Full proposed constitutional amendment reviewed. The bill is unambiguously pro-lottery and anti-casino, so a single ideological label would obscure its selective expansion of gambling; retain the concrete stance as mixed."
489233,gambling,"Submit to voters a state-run education lottery funding classroom supplies, school resource officers, and scholarships without supplanting existing education revenue, while continuing to prohibit casinos.",mixed,"Sponsored an education lottery paired with a continued casino ban.",high,reviewed,True,"Full proposed constitutional amendment reviewed. This earlier version states the same selective gambling position as HB308, with an additional classroom-supplies allocation."
527210,guns,"Broadly expand and standardize firearm-carrying and storage rights, constrain local regulation and permit administration, protect firearms in employees' vehicles, authorize remedies for violations, and repeal the public-demonstration carry ban.",conservative,"Sponsored a comprehensive expansion of state gun-carrying, permit, preemption, reciprocity, and workplace vehicle-storage rights.",high,reviewed,True,"Full bill synopsis and operative structure reviewed. This is strongly directional gun-rights legislation, notwithstanding background-check, eligibility, and location-specific safeguards."
437075,guns,"Prohibit most employers and property holders from banning lawful firearms or ammunition stored in private vehicles, create civil remedies and employee reinstatement rights, and grant limited liability protection.",conservative,"Sponsored overriding many employer and property rules against lawful firearm storage in private vehicles.",high,reviewed,True,"Full introduced text reviewed. The policy affirmatively expands gun-storage rights at the expense of employer and property-owner discretion and is strong conservative gun-rights evidence."
409697,guns,"Prohibit most employers and property holders from banning lawful firearms or ammunition stored in private vehicles, create civil remedies and employee reinstatement rights, and grant limited liability protection.",conservative,"Sponsored overriding many employer and property rules against lawful firearm storage in private vehicles.",high,reviewed,True,"Full introduced text reviewed. This 2012 predecessor is materially the same parking-lot gun-rights proposal later introduced as HB12."
96421,healthcare_medicaid_finance,"Increase from 50 percent to 100 percent the additional state income-tax deduction available to qualifying small employers and qualifying employees for employer-plan health-insurance premiums.",mixed,"Co-sponsored doubling a targeted tax deduction designed to make small-business health coverage more affordable.",high,reviewed,True,"Full introduced text and synopsis reviewed. The policy combines a conservative tax-incentive delivery mechanism with a progressive health-coverage objective and income/employer-size targeting; code as mixed."
96924,criminal_justice,"Continue routing Etowah County's receipts from U.S. Immigration and Customs Enforcement to the sheriff's law-enforcement fund and retroactively validate those transfers and expenditures.",nonideological,"Co-sponsored a local accounting measure continuing ICE-related county receipts in the sheriff's fund.",high,reviewed,False,"Full enrolled text reviewed. The act governs the destination of already received money but does not define immigration enforcement, detention policy, or uses beyond the preexisting sheriff fund. Do not infer a broader immigration stance."
96652,immigration,"Subject nearly all property acquired while a person is unlawfully present to civil forfeiture, leave basic necessities to local law-enforcement discretion, and immunize good-faith government action.",conservative,"Co-sponsored sweeping property forfeiture based on unlawful immigration status.",high,reviewed,True,"Full introduced text reviewed. This is exceptionally punitive immigration-enforcement evidence: forfeiture is status-based, reaches directly and indirectly acquired property, and contains only a discretionary necessities exception."
96741,taxes_budget,"Allow counties, after publishing a fixed project list and winning a local referendum, to levy up to a five-cent-per-gallon motor-fuel tax for road and bridge projects for no more than five years without renewal approval.",mixed,"Co-sponsored local voter authority for a temporary, project-specific gasoline tax dedicated to roads and bridges.",high,reviewed,True,"Full introduced text reviewed. The measure authorizes a tax increase and public infrastructure investment but requires direct voter approval, project transparency, a rate cap, and sunset; code as mixed."
489225,public_employee_benefits,"Require multi-year salary increases for public-education employees and cost-of-living adjustments for Teachers' Retirement System retirees, including at least five percent in fiscal 2014 followed by 2.5 percent increases.",progressive,"Sponsored substantial multi-year raises for public-school employees and pension cost-of-living adjustments for education retirees.",high,reviewed,True,"Full introduced text reviewed. This is direct, strongly directional support for educator compensation and retirement benefits, with required future appropriations."
390957,public_education,"Restore the state's commitment to full PACT prepaid-tuition benefits, tie payments to current tuition and mandatory fees, extend tuition-growth limits across Alabama institutions, constrain investment risk, and permit the program to reopen.",progressive,"Sponsored restoring promised prepaid-college benefits while limiting tuition growth and investment risk.",high,reviewed,True,"Full introduced text reviewed. The bill favors beneficiaries and affordable higher education through an enforceable state commitment, though it also adds prudential financial controls."
299699,public_employee_benefits,"Create a new optional Deferred Retirement Option Plan allowing eligible long-service teachers and state employees below an income ceiling to keep working while retirement benefits accrue in a time-limited account.",progressive,"Sponsored restoring a structured deferred-retirement benefit for eligible teachers and state employees.",high,reviewed,True,"Full introduced text reviewed. The measure expands benefit flexibility for long-serving public workers, subject to age, service, income, duration, contribution, and forfeiture safeguards."
327404,social_services,"Mourn the death of Belle Farmer and extend sympathy to her family and friends.",nonideological,"Sponsored a constituent memorial resolution.",high,reviewed,False,"Full resolution reviewed. This is ceremonial and provides no social-services or ideological evidence."
294076,rural_hunting,"Recognize the Alabama Student Angler Bass Fishing Association.",nonideological,"Sponsored a ceremonial recognition of a student fishing organization.",high,reviewed,False,"Full resolution reviewed. The recognition reflects local sporting interest but creates no hunting, fishing, education, or conservation policy."
600040,public_education,"Use up to $15 million in Education Trust Fund revenue left unobligated because Alabama Accountability Act tax-credit costs were below forecast for the Alabama Math, Science, and Technology Initiative.",progressive,"Co-sponsored redirecting unused school-choice tax-credit reserves to a public-school math, science, and technology program.",high,reviewed,True,"Full introduced text reviewed. Contrary to the compact title's possible ambiguity, the appropriation does not finance Accountability Act credits; it uses the lower-than-expected credit cost to supplement AMSTI."
599966,public_education,"Transfer PACT assets and future appropriations among higher-education institutions and require Alabama public colleges to honor the full tuition-and-fee terms promised in remaining prepaid-tuition contracts.",progressive,"Co-sponsored requiring state colleges and PACT resources to fulfill prepaid-college tuition promises despite a projected funding shortfall.",high,reviewed,True,"Full introduced text reviewed. The proposal protects contract beneficiaries and directs public institutions and future appropriations toward full promised benefits."
489245,public_education,"Transfer PACT assets and future appropriations among higher-education institutions and require Alabama public colleges to honor the full tuition-and-fee terms promised in remaining prepaid-tuition contracts.",progressive,"Sponsored requiring state colleges and PACT resources to fulfill prepaid-college tuition promises despite a projected funding shortfall.",high,reviewed,True,"Full introduced text reviewed. This 2013 predecessor states materially the same beneficiary-protection policy as the 2014 HB309."
96706,criminal_justice,"Prohibit adult sex offenders from residing within 2,000 feet of a public park or playground and impose criminal penalties for violations.",conservative,"Co-sponsored expanding residency exclusions and penalties for people convicted of sex offenses.",high,reviewed,True,"Full introduced text reviewed. This is direct punitive criminal-justice evidence, notwithstanding its child-safety rationale and the broader existing residency regime."
96799,immigration,"Require nearly all Alabama businesses and public employers to verify new employees' work authorization through E-Verify or another reasonable method and suspend business licenses for violations.",conservative,"Co-sponsored mandatory employment-authorization verification backed by business-license penalties.",high,reviewed,True,"Full introduced text reviewed. This is direct state-level immigration-enforcement evidence imposing broad employer duties and sanctions."
96870,business_economic_development,"Create performance-linked state payments and authorize school-construction bonds for Huntsville and North Alabama infrastructure needed to accommodate Redstone Arsenal growth from the 2005 BRAC process.",progressive,"Co-sponsored public infrastructure and school investment tied to military-base job growth in North Alabama.",high,reviewed,True,"Full introduced text reviewed. The bill uses public payments and bonding to support regional economic expansion and school capacity, making it active public-investment evidence."
96952,public_employee_benefits,"Require school boards to notify teachers by the end of the school term if loss of a supplemental position will reduce their compensation for the next year.",progressive,"Co-sponsored advance written notice protecting teachers from unexpected loss of supplemental pay.",high,reviewed,True,"Full introduced text reviewed. The bill creates a modest procedural employment protection without guaranteeing continued supplemental assignments or pay."
97314,public_education,"Commend Tuskegee University's basketball team for winning its conference championship.",nonideological,"Co-sponsored a ceremonial commendation of Tuskegee University's basketball team.",high,reviewed,False,"Full resolution reviewed. This companion commendation is non-substantive and provides no higher-education position evidence."
