amendment_id,person_id,candidate,election_cycle,date,activity_timing,bill_number,amendment_title,models_run,core_fields_agree,all_quotes_verified,eligible_for_automatic_stance,review_priority
94876,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,2021-03-09,post_election,SB214,Senate Figures Amendment Offered,2,False,False,False,high_disagreement
100587,ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,2021-03-30,post_election,HB224,House Ledbetter first Substitute Offered,2,False,False,False,high_disagreement
102541,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,2021-04-06,post_election,HB131,Senate Figures Amendment Offered,2,False,False,False,high_disagreement
102568,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,2021-04-06,post_election,HB130,Senate Figures Amendment Offered,2,True,False,False,quote_failure
105030,ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,2021-04-13,post_election,HB573,House Bracy Amendment Offered,2,False,False,False,high_disagreement
105741,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,2021-04-15,post_election,HB391,Senate Figures Amendment Offered,2,False,False,False,high_disagreement
105970,ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,2021-04-15,post_election,HB265,House Drummond Amendment Offered,2,False,False,False,high_disagreement
109504,ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,2021-04-29,post_election,SB227,House Ledbetter Amendment Offered,2,False,False,False,high_disagreement
113266,ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,2021-05-17,post_election,SB267,House Bracy Amendment Offered,2,False,False,False,high_disagreement
125584,ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,2022-02-02,post_election,HB153,House Bracy Amendment Offered,2,False,False,False,high_disagreement
128558,ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,2022-02-15,post_election,HB97,House Drummond Amendment Offered,2,False,False,False,high_disagreement
131138,ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,2022-02-23,post_election,HB220,House Drummond Amendment Offered,2,False,False,False,high_disagreement
135731,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,2022-03-09,post_election,HB105,Senate Figures Amendment Offered,2,False,False,False,high_disagreement
136162,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,2022-03-10,post_election,SB204,Senate Figures Amendment Offered,2,False,False,False,high_disagreement
137827,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,2022-03-17,post_election,HB312,House Boyd Amendment Offered,2,False,False,False,high_disagreement
140462,ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,2022-03-29,post_election,SB171,House Drummond Amendment Offered,2,False,False,False,high_disagreement
142406,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,2022-04-06,post_election,SB224,House Boyd 1st Amendment Offered,2,False,False,False,high_disagreement
142408,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,2022-04-06,post_election,SB224,House Boyd 2nd Amendment Offered,2,False,False,False,high_disagreement
142599,ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,2022-04-06,post_election,HB400,Senate Beasley Amendment Offered,2,False,False,False,high_disagreement
199959,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,2024-02-21,post_election,SB18,Senate Judiciary Figures substitution adopted,2,False,False,False,high_disagreement
203086,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,2024-02-28,post_election,HB60,House Children and Senior Advocacy Boyd substitution adopted,2,False,False,False,high_disagreement
205495,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,2024-03-06,post_election,HB102,House Children and Senior Advocacy Boyd amendment adopted,2,False,False,False,high_disagreement
