anonymous_case_id,election_cycle,evidence_date,dimension,evidence_summary,source_type,confidence,temporally_eligible,reviewer_code,reviewer_confidence,reviewer_note
CASE-511C11F86D,2010,2010-11-02,party_identity,The official DeKalb County sample ballot lists the candidate as the Democratic candidate for House District 24.,official_election_record,high,True,,,
CASE-511C11F86D,2010,2013-03-01,social_ideology,A memorandum describing a 2013 party-switch discussion reports that the candidate called himself conservative and cited opposition to gay rights and abortion. It postdates his 2010 Democratic candidacy and is retained only as retrospective corroboration.,later_first_person_meeting_memorandum,medium,False,,,
CASE-602E4C7D32,2010,2010-05-26,economic_ideology,"During the election year the candidate directed Education Trust Fund and General Trust Fund grants to the University of North Alabama, consistent with a public-investment emphasis.",official_university_release,high,True,,,
CASE-602E4C7D32,2010,2012-03-06,economic_ideology,"After the scored election, the candidate tried to increase the proposed annual classroom-supply stipend from $300 to $1,000, corroborating a strong public-school spending orientation.",associated_press_reporting,medium,False,,,
CASE-602E4C7D32,2010,2008-03-17,labor_position,the candidate sponsored a bill allowing legislative review of two-year-college board policies during a fight in which the Alabama Education Association supported the measure and the chancellor called it an effort to obstruct his reforms.,associated_press_reporting,medium,True,,,
CASE-602E4C7D32,2010,2010-11-02,localism_personal_vote,the candidate was a Florence attorney with civic-board ties and had won the same House district twice beginning with a 2006 special election before seeking the open Senate seat.,biographical_crosscheck,medium,True,,,
CASE-602E4C7D32,2010,2010-11-02,overall_ideological_valence,"the candidate's Shor-McCarty score of -0.437 placed her near the middle of the contemporary Alabama Democratic caucus (about the 45th conservative percentile), based on four years of pre-election House service.",academic_ideal_point_dataset,high,True,,,
CASE-622D164966,2018,2018-05-14,economic_ideology,"the candidate, a retired public educator, called fixing the public education system a top priority and said the system required change. This supports a modest public-investment code but does not establish positions on taxes or redistribution.",contemporary_local_reporting,medium,True,,,
CASE-622D164966,2018,2018-07-12,labor_position,"Alabama Education Association records show campaign support to the candidate during the 2018 cycle. The contribution is evidence of education-union alignment, though weaker than a policy statement or voting record.",contemporary_campaign_finance_record,medium,True,,,
CASE-7187CE22B3,2018,2018-10-31,economic_ideology,"the candidate emphasized public education, health care, job and wage growth, criminal-justice reform, and environmental protection.",contemporary_voter_guide,high,True,,,
CASE-7187CE22B3,2018,2018-10-07,party_independence,"Her campaign centered ethics and transparency and rejected PAC, corporate, and special-interest money.",contemporary_state_reporting,high,True,,,
CASE-7187CE22B3,2018,2018-10-31,social_ideology,"the candidate criticized legislative focus on bathroom restrictions, execution speed, and protecting Confederate monuments.",contemporary_voter_guide,high,True,,,
CASE-761DA4B6CE,2014,2014-02-05,party_identity,Won the Republican special-election runoff; no Democrat qualified for the general election.,contemporary_reporting,high,True,,,
CASE-761DA4B6CE,2014,2014-11-24,party_identity,Certified general results list the candidate as the Republican candidate.,official_election_record,high,False,,,
CASE-78790E22E0,2010,2010-10-21,overall_ideological_valence,A contemporaneous explicitly pro-Democratic campaign blog described the candidate as highly conservative and argued that Republican attempts to label him liberal lacked local credibility. The partisan source and absence of issue specifics limit confidence.,contemporary_partisan_commentary,low,True,,,
CASE-78790E22E0,2010,2010-11-02,party_identity,The official Marshall County sample ballot lists the candidate as the Democratic candidate for House District 26.,official_election_record,high,True,,,
CASE-882D13EE81,2010,2010-12-01,localism_personal_vote,"A contemporary Alabama Municipal Journal report identified the candidate as a Prichard councilmember elected to House District 98. Later institutional biographies document council service beginning in 2004, reelection in 2008, and selection as council president. Because the publication followed election day, this code is biographical context rather than time-eligible ideology evidence.",contemporary_post_election_profile,high,False,,,
CASE-89E653E8D7,2014,2014-05-13,government_reform,the candidate signed the Alabama Anti-Corruption Pledge during the campaign. This provides a time-valid governance signal but does not locate him on the substantive ideological dimensions used in the article.,contemporary_reporting,high,True,,,
CASE-8D74E3DE3E,2014,2019-05-15,economic_ideology,the candidate publicly joined the House Democratic push for Medicaid expansion; this is post-election evidence of a progressive health-care position.,contemporary_reporting,medium,False,,,
CASE-8D74E3DE3E,2014,2022-04-01,guns_position,"Her later campaign record says she opposed Alabama's permitless-carry law and called for its repeal, a clearly gun-regulatory position documented after the scored election.",candidate_issue_page,medium,False,,,
CASE-8D74E3DE3E,2014,2014-10-28,labor_position,"Alabama Education Association campaign-finance records show a contribution to the candidate shortly before the 2014 general election. This is evidence of education-union alignment, although weaker than a candidate statement or voting record.",contemporary_campaign_finance_record,medium,True,,,
CASE-8D74E3DE3E,2014,2014-11-04,localism_personal_vote,"Before entering the House, the candidate had spent two decades as a Mobile journalist and then worked in county and city administration, including neighborhood services and major economic-development projects.",candidate_biography,medium,False,,,
CASE-8D74E3DE3E,2014,2014-11-04,overall_ideological_valence,"the candidate's Shor-McCarty score of -0.610 places her around the 29th conservative percentile of the Alabama Democratic House caucus, but it is based on service after her 2014 election and cannot be treated as a pre-election predictor.",academic_ideal_point_dataset,medium,False,,,
CASE-95BFD68A83,2010,2008-02-05,guns_position,As a House member the candidate sponsored emergency-powers legislation barring government confiscation or regulation of lawful firearms during an emergency.,contemporary_issue_alert,medium,True,,,
CASE-95BFD68A83,2010,2009-01-01,guns_position,"A municipal legislative report identifies the candidate's firearms emergency-powers bill, providing a second lead to the underlying bill text.",policy_association_report,medium,True,,,
CASE-95FD3A196D,2014,2014-01-21,economic_ideology,"the candidate campaigned for health care for all Alabamians, public education, vocational training, small-business incubators, and job creation without corporate welfare or budget-straining tax breaks.",contemporary_local_reporting,high,True,,,
CASE-95FD3A196D,2014,2014-01-21,localism_personal_vote,the candidate was a physician and Army veteran who had lived in the Wiregrass for seven years. She had occupational credibility but substantially shallower local and political tenure than the candidate.,contemporary_local_reporting,high,True,,,
CASE-95FD3A196D,2014,2014-05-13,party_independence,"the candidate signed a cross-partisan anti-corruption pledge, providing some evidence of a reform identity distinct from a purely partisan campaign.",contemporary_local_reporting,medium,True,,,
CASE-974E50234E,2014,2014-10-29,labor_position,"Alabama Education Association campaign-finance records show a $16,434 general-election contribution, following earlier cycle support. This supports education-union alignment but does not establish the candidate's complete economic platform.",contemporary_campaign_finance_record,medium,True,,,
CASE-974E50234E,2014,2014-11-04,overall_ideological_valence,the candidate's pre-election Shor-McCarty score of -0.169 places him around the 87th conservative percentile of Alabama Democratic House members in the project reference caucus. This is close to the candidate's score and supports the same broad relative-caucus code.,academic_ideal_point_dataset,high,True,,,
CASE-9C2E2CFC97,2014,2014-09-30,labor_position,"Alabama Education Association campaign-finance records show a $25,000 contribution during the general-election period. A later refund and new contribution complicate gross totals, but the record supports education-union alignment.",contemporary_campaign_finance_record,medium,True,,,
CASE-9C2E2CFC97,2014,2017-11-14,localism_personal_vote,the candidate served HD-39 from 1983 through 2018 and spent a decade chairing the Education Finance and Appropriations Committee.,contemporary_state_reporting,high,False,,,
CASE-9C2E2CFC97,2014,2014-11-04,overall_ideological_valence,"the candidate's pre-election Shor-McCarty score of -0.130 places him around the 92nd conservative percentile of Alabama Democratic House members in the project reference caucus. Under the fixed percentile rule this is a strong relative-caucus conservative code, not a uniformly conservative issue platform.",academic_ideal_point_dataset,high,True,,,
CASE-9C2E2CFC97,2014,2014-08-22,party_identity,Alabama Democratic Party certification lists the candidate as its HD-39 candidate.,official_party_certification,high,True,,,
CASE-A420BF4DBA,2014,2009-01-01,localism,"The official 2009 Bessemer municipal code lists the candidate on the City Council. Later profiles document council service from 1998 through 2010 plus local funeral-home, small-business, church, youth, and alumni networks.",official_municipal_record,high,True,,,
CASE-A9F1773326,2014,2014-11-24,party_identity,Certified general results list the candidate as the Republican candidate in HD-66.,official_election_record,high,False,,,
CASE-B95512F444,2010,2009-01-27,economic_ideology,Official Cullman County Commission minutes record the candidate saying education funding deserved immediate attention and urging immediate passage of a half-cent sales tax for schools followed by a 2010 referendum. This supports a mildly progressive public-investment code despite the regressive tax instrument.,official_local_government_minutes,high,True,,,
CASE-B95512F444,2010,2010-02-25,localism_personal_vote,"A contemporary New York Times Magazine profile centered on the candidate's roots and acceptance in overwhelmingly the candidate Cullman County after his 2008 special-election victory. He was a local native, longtime state employment-service worker, Methodist minister, and the first Black candidate elected from the district.",contemporary_national_profile,high,True,,,
CASE-B95512F444,2010,2010-11-02,overall_ideological_valence,"the candidate's pre-election Shor-McCarty score of -0.131 placed him around the 64th conservative percentile of the contemporary Alabama Democratic House caucus. This supports a mildly conservative relative-caucus classification, not a claim that he had a uniformly conservative platform.",academic_ideal_point_dataset,high,True,,,
CASE-C8D7F161AA,2014,2014-10-14,labor_position,Alabama Education Association campaign-finance records show support for the candidate during the 2014 general-election campaign. This is evidence of education-union alignment but does not establish a broader economic platform.,contemporary_campaign_finance_record,medium,True,,,
CASE-C8D7F161AA,2014,2008-01-01,localism,An official Alabama school directory lists the candidate as president of the Fort Payne City Board of Education years before his legislative run. A contemporaneous April 2014 civil-rights letter also copies him in that role.,official_school_directory,high,True,,,
CASE-C8D7F161AA,2014,2014-03-21,party_identity,The state Democratic candidate certification lists the candidate for House District 24.,official_election_record,high,True,,,
CASE-C9A0B1D472,2014,2014-01-31,economic_ideology,"the candidate centered his comeback campaign on defending public schools, creating jobs, supporting locally owned businesses, expanding industry, and services for elderly and disabled residents.",contemporary_local_reporting,high,True,,,
CASE-C9A0B1D472,2014,2014-01-31,localism_personal_vote,"the candidate was a lifelong Limestone County resident, 36-year county school employee, four-year superintendent, six-year Athens council member, former legislator, and participant in local disability and senior organizations.",contemporary_local_reporting,high,True,,,
CASE-C9A0B1D472,2014,2014-11-04,overall_ideological_valence,His Shor-McCarty score of -0.230 placed him near the 79th conservative percentile of the contemporary Alabama Democratic House caucus. This broad roll-call score comes from pre-election service.,academic_ideal_point_dataset,high,True,,,
CASE-C9A0B1D472,2014,2014-11-04,repeat_candidate_context,"the candidate's OOF CMO moved from about -4 in 2010 to +30 in 2014 in the same district against the same Republican, Dan Williams. Resource-adjusted and district-grouped estimates show the same swing.",project_data,high,True,,,
CASE-CEA4184593,2010,2010-09-07,localism_personal_vote,"Contemporary Associated Press reporting identified the candidate as a retired circuit judge. Later contemporary state reporting documented 26 years as a Talladega County district and circuit judge before the Senate race. That exceptionally long judicial career supports a strong local-recognition code, while the precise duration is retrospectively documented.",contemporary_campaign_reporting,high,True,,,
CASE-CEA4184593,2010,2012-10-08,overall_ideological_valence,Contemporary reporting on the candidate's switch noted that a Democratic leader argued his voting record was not very conservative; the switch alone is therefore not valid proof of ideology.,contemporary_state_reporting,medium,False,,,
CASE-CEA4184593,2010,2013-12-20,party_identity,Federal redistricting litigation records that the candidate was elected as a Democrat and switched to the Republican Party after approval of new districts.,federal_court_record,high,False,,,
CASE-CF6425FDCA,2010,2010-11-02,coalition_context,the candidate posted large positive CMO in 2010 and remained positive in contested 2018 and 2022 races; later versions of HD-32 were roughly 60-62 percent nonwhite. Her case belongs to the Black-majority coalition mechanism rather than the the candidate-rural conservative-Democrat mechanism.,project_data,high,True,,,
CASE-CF6425FDCA,2010,2010-11-02,economic_ideology,"Her professional career and later official commendation describe sustained advocacy for education, children, seniors, and local communities.",official_legislative_resolution,medium,False,,,
CASE-CF6425FDCA,2010,2010-11-02,localism_personal_vote,"the candidate had represented HD-32 since 1994 and had spent decades as an educator before entering office, creating unusually deep professional and constituency roots.",official_legislative_resolution,high,True,,,
CASE-CF6425FDCA,2010,2010-11-02,overall_ideological_valence,"Her Shor-McCarty score is -0.504, about the 32nd conservative percentile of the active Alabama Democratic House caucus in 2010; this is a broad roll-call measure and places her on the more progressive side of that caucus.",academic_ideal_point_dataset,high,True,,,
CASE-D0D05CB38C,2010,2010-02-09,guns_position,"the candidate sponsored SB401, which would have created criminal penalties for negligently storing a firearm where a minor could access it. The official legislative status sheet confirms her sponsorship during the election year. Blind adjudication treats this as a narrow gun-regulation position rather than a broad strong code.",official_legislative_record,high,True,,,
CASE-D0D05CB38C,2010,2010-11-02,overall_ideological_valence,"the candidate's pre-election Shor-McCarty score of -0.881 placed her around the 23rd conservative percentile of the active Alabama Democratic Senate caucus, on its progressive side.",academic_ideal_point_dataset,high,True,,,
CASE-DDE96BA4BB,2014,2012-03-01,labor_position,"A University of North Alabama alumni profile documented the candidate's prior work for the Alabama Education Association, ten years teaching in Morgan County schools, and service as executive director of a gubernatorial education-reform committee. A contemporaneous 2014 report independently identified him as a former AEA employee. This supports strong education-labor alignment but not a complete economic ideology.",contemporary_institutional_profile,high,True,,,
CASE-DDE96BA4BB,2014,2012-03-01,localism_personal_vote,"The UNA profile reports ten years as a Morgan County teacher, statewide and local civic awards, leadership of the Morgan County Democratic Executive Committee, and repeated election as a national and state Democratic delegate. These establish unusually deep local and organizational roots before the 2014 race.",contemporary_institutional_profile,high,True,,,
CASE-E118DC28E8,2014,2013-01-30,economic_ideology,"the candidate advocated teacher and support-personnel pay increases, recruitment and retention programs, full AMSTI funding, classroom resources, and public investment rather than education deregulation.",contemporary_candidate_column,high,True,,,
CASE-E118DC28E8,2014,2013-03-07,guns_position,"the candidate sponsored legislation allowing trained school personnel and community volunteers to serve as armed reserve deputies or police reserves. This establishes support for an armed-school-security policy, but is narrower than a general Second Amendment rating.",associated_press_reporting,high,True,,,
CASE-E118DC28E8,2014,2014-11-04,localism_personal_vote,"Election-night reporting documented 24 years of representation and credited the candidate with school safety, industrial jobs, road work, veterans programming, TVA revenue for local groups, and constituent advocacy.",contemporary_local_reporting,high,True,,,
CASE-E2D0093589,2014,2014-01-01,economic_ideology,His 2014 campaign issue menu emphasized jobs and the economy and support for public education; contemporary Democratic commentary credited him with helping create an industrial authority that preserved Goodyear jobs.,campaign_position_summary,medium,True,,,
CASE-E2D0093589,2014,2006-04-04,guns_position,the candidate introduced the NRA-supported legislation that became Alabama's stand-your-ground law and removed the duty to retreat in lawful locations.,legislative_history,medium,True,,,
CASE-E2D0093589,2014,2011-03-18,guns_position,Vote Smart reports that the candidate received a 100 percent NRA-PVF Alabama rating; he also sponsored Alabama's 2006 stand-your-ground law.,interest_group_rating,high,True,,,
CASE-E2D0093589,2014,2014-09-04,labor_position,"A contemporary working-families column credited the candidate with creating the local industrial authority that helped preserve 1,400 Goodyear jobs and add 190 more.",contemporary_partisan_commentary,medium,True,,,
CASE-E2D0093589,2014,2012-08-29,localism_personal_vote,"After acquittal in the bingo-corruption trials, the candidate won a four-way Attalla mayoral race with 69 percent; residents had encouraged his comeback, evidence of a durable local personal vote.",associated_press_reporting,high,True,,,
CASE-E2D0093589,2014,2010-10-04,opponent_quality_context,the candidate's 2010 defeat occurred one month after a federal indictment; he was later acquitted and returned to local office. This makes his 2010-to-2014 CMO change partly a scandal-recovery comparison rather than an ideology change.,associated_press_reporting,high,True,,,
CASE-E84040A89A,2010,2010-11-02,overall_ideological_valence,"the candidate's pre-election Shor-McCarty score of -0.105 placed him around the 71st conservative percentile of the active Alabama Democratic House caucus, on its more conservative side.",academic_ideal_point_dataset,high,True,,,
CASE-E84040A89A,2010,2012-02-07,party_identity,"the candidate announced a Democratic-to-Republican switch in 2012, saying it followed consultations and was best for HD-61 constituents; the statement did not identify a specific ideological disagreement.",contemporary_state_reporting,high,False,,,
CASE-EC689D7331,2010,2010-11-02,party_identity,The official Morgan County sample ballot lists the candidate as the Democratic candidate for House District 8.,official_election_record,high,True,,,
CASE-F33A7169AB,2010,2010-11-02,overall_ideological_valence,the candidate's Shor-McCarty score of -0.217 placed him around the 64th conservative percentile of the contemporary Alabama Democratic Senate reference caucus. The score derives from his House service before his 2010 Senate election and is valid as a broad pre-election legislator measure.,academic_ideal_point_dataset,high,True,,,
CASE-F6144B0512,2014,2013-11-27,government_reform,"the candidate launched his campaign emphasizing education, infrastructure, TVA protection, opposition to extreme partisanship, and honesty in office. Contemporary election coverage also described representation without special-interest money as a central theme.",contemporary_campaign_announcement,high,True,,,
CASE-F6144B0512,2014,2014-11-04,overall_ideological_valence,"the candidate's legislative service predates the scored election. His Shor-McCarty score of -0.016 places him around the 92nd conservative percentile of Alabama Democratic House members in the project reference caucus. Under the fixed percentile rule this is a strong relative-caucus conservative code, not proof of a uniformly conservative platform.",academic_ideal_point_dataset,high,True,,,
CASE-F6144B0512,2014,,overall_ideological_valence,Contemporary campaign announcement described the candidate as a conservative who would resist extreme partisan politics.,contemporary_local_reporting,medium,False,,,
CASE-F6144B0512,2014,2010-10-06,party_independence,His legislative identity centered on refusing campaign contributions and repeatedly sponsoring a ban on PAC-to-PAC transfers.,contemporary_reporting,medium,True,,,
CASE-FB2339B984,2018,2018-08-27,abortion_position,Contemporary campaign profile described his voting record as pro-life.,contemporary_local_reporting,high,True,,,
CASE-FB2339B984,2018,2018-08-27,economic_ideology,The same profile emphasized defense of public education and the Retirement Systems of Alabama and opposition to charter-school funding shifts.,contemporary_local_reporting,medium,True,,,
CASE-FB2339B984,2018,2018-08-27,guns_position,Contemporary campaign profile described his record as pro-Second Amendment.,contemporary_local_reporting,high,True,,,
CASE-FB2339B984,2018,2018-08-27,localism_personal_vote,"Profile emphasized Rural Caucus leadership, accessibility, constituency responsiveness, and rural advocacy.",contemporary_local_reporting,medium,True,,,
CASE-FB2339B984,2018,2018-08-27,social_ideology,Contemporary campaign profile explicitly described the candidate as a conservative Democrat with a pro-life and pro-family voting record.,contemporary_local_reporting,high,True,,,
CASE-FC84CBAA62,2018,2018-10-28,economic_ideology,"In a contemporary Huntsville Times voter guide, the candidate prioritized an education lottery and Medicaid expansion to address hospital closures, mental-health and addiction treatment, infant mortality, and diabetes care. This supports a mildly progressive public-investment code but does not establish her position on taxes or other economic issues.",contemporary_candidate_voter_guide,high,True,,,
CASE-FC84CBAA62,2018,2018-10-28,localism_personal_vote,"The same voter guide identified the candidate as a retired Grissom High School teacher, a first-time candidate, and an active member of Madison County Democratic organizations. The occupational tie supports some local credibility, but the evidence does not demonstrate a long-standing personal electoral network.",contemporary_candidate_voter_guide,medium,True,,,
