measure,party,outcome,people,status,coefficient,standard_error,p_value,r_squared
primitive:civil_social_liberty,D,presidential_mean,26,estimated,6.998647164032005,6.183118437556165,0.2688612450205475,0.05067754625806793
primitive:civil_social_liberty,R,federal_mean,29,estimated,,,,
primitive:civil_social_liberty,R,presidential_mean,29,estimated,-4.80019344630366,8.47768730579805,0.5759241719817667,0.011734712894697583
primitive:christian_sexual_morality,D,federal_mean,2,underpowered,,,,
primitive:christian_sexual_morality,D,presidential_mean,2,underpowered,,,,
primitive:christian_sexual_morality,R,federal_mean,11,underpowered,,,,
primitive:christian_sexual_morality,R,presidential_mean,11,underpowered,,,,
primitive:racial_civil_rights,D,federal_mean,3,underpowered,,,,
primitive:racial_civil_rights,D,presidential_mean,3,underpowered,,,,
primitive:racial_civil_rights,R,federal_mean,18,underpowered,,,,
primitive:racial_civil_rights,R,presidential_mean,18,underpowered,,,,
primitive:anti_discrimination,D,federal_mean,19,estimated,,,,
primitive:anti_discrimination,D,presidential_mean,19,estimated,6.298209370251111,6.067043259234723,0.31376355323439675,0.05961257682393487
primitive:anti_discrimination,R,federal_mean,14,underpowered,,,,
primitive:anti_discrimination,R,presidential_mean,14,underpowered,,,,
primitive:religion_state,D,federal_mean,23,underpowered,,,,
primitive:religion_state,D,presidential_mean,23,underpowered,,,,
primitive:religion_state,R,federal_mean,18,underpowered,,,,
primitive:religion_state,R,presidential_mean,18,underpowered,,,,
primitive:criminal_punishment,D,federal_mean,42,estimated,,,,
primitive:criminal_punishment,D,presidential_mean,42,estimated,-15.880028711037319,15.26433625633607,0.3044317800082139,0.026344623283624337
primitive:criminal_punishment,R,federal_mean,43,estimated,,,,
primitive:criminal_punishment,R,presidential_mean,43,estimated,24.439537251773707,21.81551512824842,0.2691130478391451,0.029701376088776023
primitive:drug_criminalization,D,federal_mean,3,underpowered,,,,
primitive:drug_criminalization,D,presidential_mean,3,underpowered,,,,
primitive:drug_criminalization,R,federal_mean,3,underpowered,,,,
primitive:drug_criminalization,R,presidential_mean,3,underpowered,,,,
primitive:due_process,D,federal_mean,1,underpowered,,,,
primitive:due_process,D,presidential_mean,1,underpowered,,,,
primitive:due_process,R,federal_mean,10,underpowered,,,,
primitive:due_process,R,presidential_mean,10,underpowered,,,,
primitive:market_governance,D,federal_mean,40,estimated,,,,
primitive:market_governance,D,presidential_mean,40,estimated,,,,
primitive:market_governance,R,federal_mean,42,estimated,,,,
primitive:market_governance,R,presidential_mean,42,estimated,6.281833907463938,7.222254952324344,0.3896057247057306,0.018562225581823535
primitive:tax_burden,D,federal_mean,17,estimated,,,,
primitive:tax_burden,D,presidential_mean,17,estimated,13.73524389380208,12.052207898826595,0.2723063456251904,0.07968638236476058
primitive:tax_burden,R,federal_mean,15,estimated,,,,
primitive:tax_burden,R,presidential_mean,15,estimated,,,,
primitive:tax_distribution,D,federal_mean,3,underpowered,,,,
primitive:tax_distribution,D,presidential_mean,3,underpowered,,,,
primitive:tax_distribution,R,federal_mean,0,underpowered,,,,
primitive:tax_distribution,R,presidential_mean,0,underpowered,,,,
primitive:public_spending,D,federal_mean,19,underpowered,,,,
primitive:public_spending,D,presidential_mean,19,underpowered,,,,
primitive:public_spending,R,federal_mean,20,estimated,14.13152438094329,7.107911922446964,0.06222272233130152,0.18005533311236388
primitive:public_spending,R,presidential_mean,20,estimated,,,,
primitive:deficit_discipline,D,federal_mean,12,underpowered,,,,
primitive:deficit_discipline,D,presidential_mean,12,underpowered,,,,
primitive:deficit_discipline,R,federal_mean,11,underpowered,,,,
primitive:deficit_discipline,R,presidential_mean,11,underpowered,,,,
primitive:welfare_generosity,D,federal_mean,21,estimated,,,,
primitive:welfare_generosity,D,presidential_mean,21,estimated,3.7871790692298863,10.383369137024275,0.719337269523431,0.006952985158888529
primitive:welfare_generosity,R,federal_mean,15,estimated,,,,
primitive:welfare_generosity,R,presidential_mean,15,estimated,-0.4556768473370481,5.567524347223091,0.936016288494115,0.0005150182235191302
primitive:welfare_conditionality,D,federal_mean,18,underpowered,,,,
primitive:welfare_conditionality,D,presidential_mean,18,underpowered,,,,
primitive:welfare_conditionality,R,federal_mean,16,underpowered,,,,
primitive:welfare_conditionality,R,presidential_mean,16,underpowered,,,,
primitive:labor_capital_alignment,D,federal_mean,21,underpowered,,,,
primitive:labor_capital_alignment,D,presidential_mean,21,underpowered,,,,
primitive:labor_capital_alignment,R,federal_mean,11,underpowered,,,,
primitive:labor_capital_alignment,R,presidential_mean,11,underpowered,,,,
primitive:labor_rights,D,federal_mean,5,underpowered,,,,
primitive:labor_rights,D,presidential_mean,5,underpowered,,,,
primitive:labor_rights,R,federal_mean,8,underpowered,,,,
primitive:labor_rights,R,presidential_mean,8,underpowered,,,,
primitive:public_employee_compensation,D,federal_mean,22,underpowered,,,,
primitive:public_employee_compensation,D,presidential_mean,22,underpowered,,,,
primitive:public_employee_compensation,R,federal_mean,34,underpowered,,,,
primitive:public_employee_compensation,R,presidential_mean,34,underpowered,,,,
primitive:education_public_funding,D,federal_mean,33,estimated,,,,
primitive:education_public_funding,D,presidential_mean,33,estimated,-9.193935539087978,21.24049558075535,0.6681208755317916,0.006007517218688685
primitive:education_public_funding,R,federal_mean,39,estimated,,,,
primitive:education_public_funding,R,presidential_mean,39,estimated,-1.4944430745297108,9.127356298934242,0.8708330029854247,0.0007240231757964934
primitive:education_market_choice,D,federal_mean,13,underpowered,,,,
primitive:education_market_choice,D,presidential_mean,13,underpowered,,,,
primitive:education_market_choice,R,federal_mean,34,estimated,,,,
primitive:education_market_choice,R,presidential_mean,34,estimated,-7.077909372498067,27.902522276680127,0.8013766970131493,0.002006784225915865
primitive:environmental_protection,D,federal_mean,14,estimated,,,,
primitive:environmental_protection,D,presidential_mean,14,estimated,0.13999987462697747,8.182992346459201,0.9866311147250382,2.4391536809394246e-05
primitive:environmental_protection,R,federal_mean,13,estimated,,,,
primitive:environmental_protection,R,presidential_mean,13,estimated,-8.904529875858323,6.244297465319551,0.18161813814489672,0.15602425079037946
primitive:resource_development,D,federal_mean,7,underpowered,,,,
primitive:resource_development,D,presidential_mean,7,underpowered,,,,
primitive:resource_development,R,federal_mean,11,underpowered,,,,
primitive:resource_development,R,presidential_mean,11,underpowered,,,,
primitive:conservation_preservation,D,federal_mean,3,underpowered,,,,
primitive:conservation_preservation,D,presidential_mean,3,underpowered,,,,
primitive:conservation_preservation,R,federal_mean,1,underpowered,,,,
primitive:conservation_preservation,R,presidential_mean,1,underpowered,,,,
primitive:immigration_access,D,federal_mean,4,underpowered,,,,
primitive:immigration_access,D,presidential_mean,4,underpowered,,,,
primitive:immigration_access,R,federal_mean,3,underpowered,,,,
primitive:immigration_access,R,presidential_mean,3,underpowered,,,,
primitive:immigration_enforcement,D,federal_mean,7,underpowered,,,,
primitive:immigration_enforcement,D,presidential_mean,7,underpowered,,,,
primitive:immigration_enforcement,R,federal_mean,12,underpowered,,,,
primitive:immigration_enforcement,R,presidential_mean,12,underpowered,,,,
primitive:healthcare_access,D,federal_mean,32,estimated,,,,
primitive:healthcare_access,D,presidential_mean,32,estimated,14.681686523243368,6.942871141727365,0.042878906593640125,0.1297211677993225
primitive:healthcare_access,R,federal_mean,26,estimated,,,,
primitive:healthcare_access,R,presidential_mean,26,estimated,-9.501794649989701,6.495525148719457,0.15648977606019826,0.08186150043203964
primitive:government_ethics_transparency,D,federal_mean,23,estimated,,,,
primitive:government_ethics_transparency,D,presidential_mean,23,estimated,3.579189382293197,3.9976806965555034,0.38076593434867656,0.036767571945811324
primitive:government_ethics_transparency,R,federal_mean,32,estimated,,,,
primitive:government_ethics_transparency,R,presidential_mean,32,estimated,7.490620998140401,3.9534206183080682,0.06780431113636706,0.10687598140815346
primitive:voting_access,D,federal_mean,14,underpowered,,,,
primitive:voting_access,D,presidential_mean,14,underpowered,,,,
primitive:voting_access,R,federal_mean,10,underpowered,,,,
primitive:voting_access,R,presidential_mean,10,underpowered,,,,
