roll_call_id,human_issue_code,policy_direction_of_yea,substantive_vote,ideological_valence,summary_sufficient_for_coding,human_confidence,review_status,source_basis,human_review_note
535684,business_economic_development,"requires a municipality or municipal public authority abating county taxes for economic development to abate the corresponding municipal tax at the same rate",true,conservative,true,medium,reviewed,legiscan_synopsis,"Secondary, marginally conservative local-fiscal-restraint signal. Yea favors fiscal symmetry and intergovernmental accountability but does not indicate general opposition to industrial incentives."
152482,business_economic_development,"expands long-term ad valorem and construction-related transaction-tax abatements for qualifying data centers and logistics facilities while reducing the data-center employment threshold",true,mixed,true,high,reviewed,enrolled_bill_text,"Targeted-industrial-policy anchor. The act permits sector-specific abatements lasting up to 30 years, preserves education taxes, establishes capital and employment thresholds, and prevents certain replacement jobs from being counted as new employment. Do not assign a simple liberal-conservative score."
1336165,anti_esg_governance,"prohibits governmental entities from using covered public contracts or other governmental pressure to advance economic boycotts targeting a bundle of protected industries, environmental and corporate-governance choices, firearms activity, and refusals to facilitate abortion or gender-transition care",true,conservative,true,high,reviewed,enrolled_bill_text,"Bundled conservative anti-ESG governance anchor. Suitable as an overall ideological signal, but do not use it as a clean position on any single component issue or infer that the legislator separately endorsed every protected activity."
183986,taxes_budget,"redirects all dedicated scrap-tire environmental-fee revenue to the State General Fund for fiscal years 2013 and 2014",true,conservative,true,high,reviewed,engrossed_bill_text,"Conservative budget-priority signal favoring temporary General Fund flexibility over dedicated fee revenue. The normal allocation formula resumed beginning October 1, 2014."
183986,environment_energy,"suspends dedicated funding for scrap-tire remediation, environmental enforcement, county programs, and recycling-market development for two fiscal years",true,conservative,true,high,reviewed,engrossed_bill_text,"Narrow environmental-priority signal. Treat as a temporary funding tradeoff during fiscal pressure, not evidence of broad opposition to environmental regulation."
87114,ethics_government,"requires more frequent electronic campaign-finance reporting, expands reporting requirements for Section 527 organizations and large contributions, and establishes a state electronic disclosure database",true,indeterminate,true,medium,reviewed,legiscan_synopsis,"Campaign-finance transparency and government-reform anchor without a reliable conventional left-right direction."
90957,ethics_government,"requires disclosure to the Ethics Commission of the names and compensation of public officials and their spouses who are employed by or contract with the state or a local government",true,indeterminate,true,medium,reviewed,legiscan_synopsis,"Pro-transparency and conflict-of-interest disclosure anchor without a reliable conventional left-right direction."
731215,ethics_government,"expands the category of minor ethics violations eligible for consent-based administrative resolution, raises the maximum administrative fine from $1,000 to $6,000, and makes an approved administrative resolution preclude later state or local criminal prosecution",true,indeterminate,true,high,reviewed,enrolled_act_text,"Mixed ethics-enforcement reform with a net movement toward less criminal treatment of lower-dollar or mitigating violations. Measures administrative proportionality versus stricter criminal exposure, not a conventional left-right position."
722179,ethics_government,"requires all covered campaign-finance reports to be filed electronically without the prior exceptions",true,indeterminate,true,high,reviewed,legiscan_synopsis,"Clean pro-transparency and administrative-modernization position with low comparative value because support was nearly unanimous."
270611,social_services,"restricts public-assistance purchases and benefit use at specified establishments",true,conservative,true,high,reviewed,engrossed_bill_text,"Predecessor and corroboration for SB116; do not double-weight the two measures."
270611,gambling_cultural,"prohibits using public-assistance benefits for lottery tickets or at casinos and other specified establishments",true,conservative,true,high,reviewed,engrossed_bill_text,"Moral-regulation component of the broader benefit-use restriction; do not double-weight with SB116."
350873,social_services,"restricts public-assistance purchases and use at specified establishments and provides sanctions and eligibility controls",true,conservative,true,high,reviewed,enrolled_bill_text,"Primary conservative benefit-use restriction anchor."
350873,gambling_cultural,"prohibits using public-assistance benefits for lottery tickets or at casinos and other specified establishments",true,conservative,true,high,reviewed,enrolled_bill_text,"Gambling and moral-regulation component of the broader benefit-use restriction."
85995,public_employee_benefits,"increases retiree PEEHIP cost-sharing and tightens employer contribution policy",true,conservative,true,high,reviewed,enrolled_bill_text,"Conservative public-employee-benefit retrenchment with lower-income assistance retained."
85995,labor_unions,"increases education-employee retiree health cost-sharing and reduces the supermajority requirement for changing participant costs",true,conservative,true,high,reviewed,enrolled_bill_text,"Labor-related benefit retrenchment affecting public education employees."
84439,public_employee_benefits,"tightens state-retiree health eligibility and increases participant cost-sharing",true,conservative,true,high,reviewed,enrolled_bill_text,"Conservative state-employee-benefit retrenchment with lower-income assistance retained."
476199,healthcare_medicaid_finance,"imposes a temporary nursing-facility bed assessment contingent on a minimum General Fund Medicaid appropriation",true,mixed,true,high,reviewed,introduced_bill_text_and_enacted_summary,"Specialized provider-assessment financing mechanism treated as an allowable Medicaid reimbursement cost; not a general tax ideology signal."
618976,assisted_dying,"prohibits deliberately providing aid in dying and establishes civil and criminal penalties",true,conservative,true,high,reviewed,enrolled_bill_text,"Clear socially conservative assisted-suicide prohibition."
619669,healthcare_conscience,"authorizes providers to decline health care services that violate their conscience",true,conservative,true,high,reviewed,enrolled_bill_text,"Clear conservative conscience-rights position."
644761,criminal_justice,"creates a Class C felony for causing death through a knowing non-DUI traffic violation that is the proximate cause",true,conservative,true,high,reviewed,enrolled_bill_text,"Punitive criminal-justice anchor with knowledge and proximate-cause requirements."
538769,public_private_partnerships,"authorizes private design, financing, ownership, operation, and maintenance arrangements for major transportation projects",true,conservative,true,high,reviewed,enrolled_bill_text,"Moderately conservative pro-market infrastructure-delivery anchor with procedural safeguards."
717771,labor_unions,"requires equal school-employee access for competing professional educator associations",true,conservative,true,high,reviewed,enrolled_bill_text_and_contemporaneous_reporting,"Reduces the incumbent AEA's potential preferential access and benefits competing educator organizations."
717771,public_education,"requires school districts to give all professional educator associations equal access to employees",true,conservative,true,high,reviewed,enrolled_bill_text_and_contemporaneous_reporting,"Education-governance component of association competition."
725596,occupational_licensing,"expands the emergency or incidental school-interpreter licensing exemption to locally approved members of the public",true,conservative,true,medium,reviewed,introduced_bill_text,"Narrow deregulatory and local-control signal; downweight because practical interpreter availability may also motivate support."
91541,taxes_budget,"caps annual Education Trust Fund appropriations and establishes stabilization and capital funds",true,conservative,true,high,reviewed,enrolled_bill_text,"Strong fiscal-restraint and reserve-policy anchor."
188686,business_economic_development,"extends claim periods and permits carryforwards for capital tax credits tied to qualifying projects",true,mixed,true,high,reviewed,enrolled_bill_text,"Targeted-industrial-policy and business-incentive anchor without a simple left-right direction."
1483089,culture_lgbtq,"defines sex-based terms and establishes policy recognizing sex as male or female",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear final-passage synopsis."
1551403,culture_lgbtq,"restricts gender-identity and sexual-orientation instruction, displays, and pronoun use in public schools",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear final-passage synopsis; separate cosponsor roll call is excluded."
1336165,environment_energy,"prohibits public contracting rules based on certain environmental or corporate-governance boycotts",true,conservative,true,medium,reviewed,legiscan_synopsis,"Clear anti-ESG direction, although the bill also reaches non-environmental boycotts."
87114,ethics_government,"expands and accelerates electronic campaign-finance disclosure",true,progressive,true,high,reviewed,legiscan_synopsis,"Clear transparency measure."
90957,ethics_government,"requires disclosure of public officials or spouses employed by or contracting with government",true,progressive,true,high,reviewed,legiscan_synopsis,"Clear transparency measure."
722179,ethics_government,"requires electronic campaign-finance filing without exceptions",true,progressive,true,high,reviewed,legiscan_synopsis,"Clear transparency measure."
77267,ethics_government,"protects Ethics Commission funding through a fixed General Fund share and legislative approval for reductions",true,progressive,true,medium,reviewed,legiscan_synopsis,"Institutional independence interpretation is clear enough but less direct than disclosure votes."
852080,gambling,"establishes an Alabama lottery and provides for distribution of proceeds",true,mixed,true,high,reviewed,legiscan_synopsis,"Clear expansion of legalized gambling; not assigned a simple left-right valence."
1645238,gambling,"expands simulcast racing and pari-mutuel wagering authority in Greene County",true,mixed,true,high,reviewed,legiscan_synopsis,"Clear gambling expansion; not assigned a simple left-right valence."
619155,guns,"authorizes trained church security members to carry firearms",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear expansion of authorized firearm carrying."
527897,guns,"expands circumstances in which firearm possession and vehicle or property carry are authorized",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear gun-rights direction."
626676,guns,"repeals or removes several restrictions on firearm possession and carrying",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear gun-rights direction."
275159,guns,"strengthens state firearm preemption and expands vehicle possession and pistol-permit protections",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear gun-rights direction."
273827,guns,"adds strict constitutional scrutiny for governmental burdens on the right to bear arms",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear constitutional gun-rights direction."
583992,immigration,"requires higher-education institutions to comply with state immigration restrictions or risk funding",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear restrictive immigration-enforcement direction."
187211,immigration,"strengthens and revises restrictions and enforcement concerning unlawfully present immigrants",true,conservative,true,medium,reviewed,legiscan_synopsis,"Direction is clear but the omnibus revisions require text for provision-level interpretation."
1551123,immigration,"expands arrest, detention, transportation, and reporting procedures concerning unauthorized immigrants",true,conservative,true,high,reviewed,legiscan_synopsis,"Final-passage record; separate same-day procedural record is excluded."
77113,immigration,"establishes broad employment, benefits, education, documentation, and enforcement restrictions concerning unauthorized immigrants",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear omnibus restrictive direction; provision-level claims require text."
1488930,immigration,"creates offenses for concealing and smuggling unauthorized immigrants and establishes detainee-status procedures",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear restrictive enforcement direction."
498436,labor_unions,"preempts local minimum-wage and employment-benefit requirements",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear labor-policy preemption."
174486,labor_unions,"prohibits public payroll deductions for political committees or organizational dues",true,conservative,true,medium,reviewed,legiscan_synopsis,"Clear restriction affecting public-employee organizations; scope should be checked against text."
495002,labor_unions,"constitutionalizes right-to-work protections against mandatory union membership or dues",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear right-to-work direction."
242777,labor_unions,"declares right-to-work policy and creates a cause of action",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear right-to-work direction."
520654,labor_unions,"constitutionalizes right-to-work protections against mandatory union membership or dues",true,conservative,true,high,reviewed,legiscan_synopsis,"Senate final passage of the same right-to-work constitutional amendment."
412791,school_choice,"authorizes public charter schools and creates a state charter-school commission",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear charter-school expansion."
231467,school_choice,"creates school-flexibility provisions and tax credits for transfers from designated failing schools",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear school-choice and tax-credit direction."
408281,school_choice,"authorizes public charter schools and creates a state charter-school commission",true,conservative,true,high,reviewed,legiscan_synopsis,"Senate final passage of charter-school expansion."
191844,school_choice,"authorizes flexibility-contract schools and public charter schools",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear school-choice direction."
1323541,school_choice,"revises charter-school commission appointments and charter-school procedures",true,conservative,true,medium,reviewed,legiscan_synopsis,"Supports charter governance but text is needed for provision-level consequences."
619068,social_services,"protects religious child-placement providers from adverse state action",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear religious-exemption direction."
350895,social_services,"requires TANF applicants to seek employment and creates ineligibility under specified conditions",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear benefits-eligibility restriction."
626637,social_services,"protects religious child-placement providers from adverse state action",true,conservative,true,high,reviewed,legiscan_synopsis,"Senate final passage of the religious child-placement measure."
330408,social_services,"requires TANF applicants to seek employment and creates ineligibility under specified conditions",true,conservative,true,high,reviewed,legiscan_synopsis,"Senate final passage of benefits-eligibility restrictions."
1652062,social_services,"directs the state to seek authority to prohibit SNAP purchases of soda and candy",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear restriction on permissible benefit purchases."
1642545,taxes_revenue,"creates a sales-tax holiday for specified firearms-related purchases",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear tax reduction tied to gun policy."
274177,school_choice,"expands or revises Accountability Act school-choice tax credits and flexibility provisions",true,conservative,true,medium,reviewed,legiscan_synopsis,"Clear general direction; full text needed for the magnitude and eligibility changes."
