person_id,election_cycle,display_candidate,chamber,district,identity_assessment,summary,offices_and_public_service,profession_and_employment,education,community_and_local_ties,political_profile,important_caveats,source_urls_used,memo_path,model,invalid_source_urls,review_status
ALPERSON-RANDALL-WHITE,2010,Randall White,house,26,confirmed_alabama,"Randall White was a Democratic candidate in the 2010 Alabama House District 26 race, where he lost to Republican Kerry Rich. He is described as a lifelong district resident and a recently retired adult-education supervisor.","[""adult education supervisor""]",[],[],"[""lifelong district resident""]","[""Democratic"", ""culturally conservative (per contemporaneous blog)""]","[""The broad conservative classification is provisional and low confidence."", ""Local-root and educator facts require independent corroboration.""]","[""https://wantedalabamademocrats.blogspot.com/2010/10/"", ""https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2010-sample-ballots/Marshall-2010-Sample.pdf""]",research\cmo_ideology\candidate_memos\randall_white.md,qwen3.5:9b,[],draft_sourced
ALPERSON-TAMMY-L-IRONS,2010,Tammy Irons,senate,1,confirmed_alabama,"Tammy Irons was an elected House member and Florence attorney with local civic ties who won the open-seat Senate District 1 contest in Alabama's 2010 election. She had previously won a special election for that district in 2006, establishing her political network before seeking the Senate seat. Her pre-election Shor-McCarty score of -0.437 placed her around the middle of Alabama Democrats serving at that time.","[""Alabama House member"", ""Florence attorney""]","[""Attorney in Florence, AL""]",[],"[""Local civic ties to Florence area""]","[""Middle-of-caucus legislator with a strong education orientation"", ""Not a strong conservative-Democrat case""]","[""No sufficiently strong contemporaneous evidence has yet been found on abortion or guns; those dimensions remain NA""]","[""https://www.una.edu/pressroom/2010/05/una-rep.-tammy-irons-announce-two-grants-for-university.html"", ""https://www.apr.org/2008-03-17/alabama-chancellor-on-familiar-ground-in-political-fight"", ""https://www.apr.org/2012-03-06/bill-would-provide-teachers-with-300-for-supplies""]",research\cmo_ideology\candidate_memos\tammy_irons.md,qwen3.5:9b,[],draft_sourced
ALPERSON-VIVIAN-DAVIS-FIGURES,2010,Vivian Davis Figures,senate,33,confirmed_alabama,"Vivian Davis Figures represented the majority-Black Mobile district in Alabama Senate District 33 since succeeding her late husband, Michael Figures. In February 2010 she sponsored SB401 to impose escalating penalties for negligently storing firearms where minors could gain access and had a long pre-2010 record of pursuing comprehensive restrictions on smoking in workplaces and public accommodations.","[""Alabama Senate District 33""]",[],[],[],"[""progressive"", ""gun-safety""]","[""Incumbency, family political networks, and Black down-ballot coalition loyalty are powerful alternative mechanisms.""]","[""https://doi.org/10.7910/DVN/GZJOT3"", ""https://www.legislature.state.al.us/pdf/SearchableInstruments/2010RS/EndOfDay/StatusSheet.pdf"", ""https://alabamaretail.org/wp-content/uploads/20090206CRR.pdf"", ""https://web.archive.org/web/20110516063507/http://www.legislature.state.al.us/senate/senators/senatebios/sd033.html""]",research\cmo_ideology\candidate_memos\vivian_davis_figures.md,qwen3.5:9b,[],draft_sourced
ALPERSON-ANDREW-ANDY-BETTERTON,2014,"Andrew ""Andy"" Betterton",house,2,confirmed_alabama,"Andrew 'Andy' Betterton ran for the Alabama House District 2 seat in the 2014 election, losing to Republican incumbent Lynn Greer. He recorded approximately +27.5 OOF CMO despite this loss. His biography includes two terms on the Florence City Board of Education and a second term on the Florence City Council, along with extensive civic-board service. Betterton's platform favored public education, opposed using public tax dollars for private schools, and supported Medicaid expansion.","[""Florence City Board of Education"", ""Florence City Council""]",[],[],"[""Florence""]","[""Democrat"", ""Progressive economic platform""]","[""Biography site WordPress API dates publication to August 12, 2014 and last modification to August 22, 2014.""]","[""https://abetterton.com/andy-betterton/"", ""https://abetterton.com/issues/"", ""https://www.alreporter.com/2014/02/11/democrats-qualify-in-house-races/""]",research\cmo_ideology\candidate_memos\andy_betterton.md,qwen3.5:9b,[],draft_sourced
ALPERSON-ANTHONY-DANIELS,2014,Anthony Daniels,house,53,confirmed_alabama,"Anthony Daniels ran for the Alabama House District 53 seat in the November 2014 election. He won with a two-party vote margin of approximately +55.7 points, defeating Republican Christian Horn who received 22.2 percent of the vote. The district was approximately 70 percent nonwhite. Daniels held pre-election roles including chairing the NEA Student Program and serving on the Alabama Education Association state board, establishing an education-labor identity. He later demonstrated a progressive record on issues such as Medicaid expansion and abortion.","[""Chair of NEA Student Program"", ""Chair of Huntsville Education Association legislative committee"", ""Member of Alabama Education Association state board""]",[],[],"[""Huntsville (implied by role in Huntsville Education Association)"", ""Alabama Retail Association PAC endorsement recipient"", ""Member of Black-majority coalition""]","[""Democratic candidate for Alabama House District 53, 2014 election"", ""Won with a two-party vote margin of approximately +55.7 points in HD-53 (approx. 70% nonwhite district)"", ""Later record broadly progressive on Medicaid expansion and abortion""]","[""No contemporaneous platform or issue interview evidence recovered for the November 2014 election."", ""Pre-election education-association roles documented retrospectively in a later source.""]","[""https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2014/2014GeneralResults-WithoutWriteIn.pdf"", ""https://birminghamwatch.org/2022/05/18/christian-horn-republican-secretary-of-state/"", ""https://alabamaretail.org/news/initial-2014-endorsements/"", ""https://blackburninstitute.sa.ua.edu/wp-content/uploads/sites/17/2018/01/Full-Packet-jsh.pdf""]",research\cmo_ideology\candidate_memos\anthony_daniels.md,qwen3.5:9b,[],draft_sourced
ALPERSON-BARBARA-A-DRUMMOND,2014,Barbara A. Drummond,house,103,confirmed_alabama,"Barbara A. Drummond is an Alabama legislative candidate who ran in the 2014 House District 103 election, recording approximately +29.9 OOF CMO and remaining a high performer across audited precinct-allocation scenarios with estimates ranging from +12.9 to +29.9. She holds a Shor-McCarty score of -0.610, placing her on the progressive side of Alabama's Democratic House caucus at entry into office in 2014. Her later record includes support for Medicaid expansion and opposition to permitless carry gun-storage legislation, public education funding, and equity-focused neighborhood investment. Campaign-visible signals recovered include an alignment with labor/public-education based on records from the Alabama Education Association shortly before her general election.","[""Alabama House District 103""]","[""Local journalist"", ""County administrative work"", ""City administrative work"", ""Neighborhood services"", ""Public works"", ""Constituent-response systems"", ""Industrial recruitment participation""]",[],"[""Mobile networks (roughly two decades)"", ""Majority-Black district HD-103 resident or representative context""]","[""Progressive side of Alabama Democratic House caucus"", ""Clean counterexample to universal move-right story in majority-Black districts""]","[""Shor-McCarty score is post-election evidence as she first entered the legislature in 2014."", ""Later positions (Medicaid expansion, etc.) corroborate progressive profile but do not establish salience for 2014 prospective treatment."", ""Evidence does not claim her later positions were salient during the 2014 campaign.""]","[""https://justfacts.votesmart.org/candidate/biography/149928/barbara-drummond"", ""https://www.wsfa.com/2019/05/15/ala-house-democrats-vow-continue-fight-expand-medicaid/"", ""https://drummondformayor.com/about/"", ""https://drummondformayor.com/issues/"", ""https://doi.org/10.7910/DVN/GZJOT3"", ""https://publicunionfacts.com/union/QUxBQkFNQSBFRFVDQVRJT04gQVNTT0NJQVRJT04%3D/alabama-education-association/state-candidates/all-contributions""]",research\cmo_ideology\candidate_memos\barbara_drummond.md,qwen3.5:9b,[],draft_sourced
ALPERSON-CRAIG-FORD,2014,Craig Ford,house,28,confirmed_alabama,"Craig Ford ran for the Alabama House District 28 in the 2014 election. He recorded a campaign model output (CMO) of approximately +23.7, with adjusted estimates around +22.9 after accounting for resources. His pre-election Shor-McCarty ideology score was -0.152, placing him near the 89th conservative percentile within the Alabama Democratic House caucus at that time. In a subsequent interview regarding his 2018 Senate run as an independent, Ford described himself as aligned with conservative principles and estranged from national Democrats. Vote Smart later recorded high ratings for gun rights organizations (NRA: 92%, Gun Owners of America: 100%). Despite cultural conservatism, he advocated for full public-school funding, pre-K education, teacher raises, repeal of the Alabama Accountability Act, Medicaid expansion, and stronger mental-health funding during his political career. His campaign appeal combined conservative cultural identity with economic-populist services.","[""Alabama House District 28 (Candidate)"", ""Senate District 10 (Independent Candidate)""]",[],[],[],"[""Conservative cultural identity"", ""Economic-populist services advocate"", ""Explicit independence from party leadership""]","[""The 2018 interview is retrospective to the scored 2014 election and should corroborate rather than substitute for a contemporaneous platform.""]","[""https://aldailynews.com/senate-district-10-race-profile-ford-jones/"", ""https://justfacts.votesmart.org/candidate/53381/craig-ford"", ""https://doi.org/10.7910/DVN/GZJOT3""]",research\cmo_ideology\candidate_memos\craig_ford.md,qwen3.5:9b,[],draft_sourced
ALPERSON-BEDDINGFIELD,2014,David Beddingfield,house,24,confirmed_alabama,"David Beddingfield was the Democratic nominee for Alabama House District 24 in the 2014 election. He recorded approximately +23.2 OOF CMO against Nathaniel Ledbetter, achieving a positive campaign metric despite facing a resource disadvantage compared to his opponent's roughly $145,000 in contributions versus Beddingfield's about $60,000. His candidacy was supported by education-union backing from the Alabama Education Association (AEA). Prior to and during this election cycle, he served as president of the Fort Payne City Board of Education, a role confirmed by an official 2008 school directory and correspondence in April 2014.","[""President of the Fort Payne City Board of Education (pre-2014 election)""]",[],[],"[""Fort Payne, Alabama""]","[""Democratic nominee"", ""House District 24 candidate""]","[""No detailed issue platform has been recovered for Beddingfield."", ""Ideological moderation cannot be confirmed due to missing full campaign platform.""]","[""https://southerntorch.com/16630/"", ""https://publicunionfacts.com/union/QUxBQkFNQSBFRFVDQVRJT04gQVNTT0NJQVRJT04%3D/alabama-education-association/state-candidates/all-contributions"", ""https://www2.alabamavotes.gov/downloads/election/2014/primary/2014-Pri-StateCert-DemCand_2014-03-21.pdf"", ""https://mail.acaletics.com/Directories/Directories/Working%20Files/AL/SDE_Directory.pdf"", ""https://www.splcenter.org/wp-content/uploads/files/d6_legacy_files/final_letter_to_superintendent_cunningham_re_enrollment_of_jt_-_english.pdf""]",research\cmo_ideology\candidate_memos\david_beddingfield.md,qwen3.5:9b,[],draft_sourced
ALPERSON-HENRY-A-WHITE,2014,Henry A. White,house,5,confirmed_alabama,"Henry A. White is a lifelong resident of Limestone County, Alabama, with extensive local experience including serving as superintendent for county schools (four years), member of the Athens City Council (six years), and prior legislative service. In 2014, he ran in House District 5 against Dan Williams. His campaign emphasized public schools, jobs, locally owned businesses, industrial recruitment, and assistance for elderly and disabled people. Ideologically, his pre-election Shor-McCarty score was -0.230 (79th conservative percentile of the Alabama Democratic House caucus).","[""Limestone County schools superintendent (4 years)"", ""Athens City Council member (6 years)""]",[],[],"[""lifelong Limestone County resident"", ""local civic work""]","[""Democratic House candidate, 2014 Alabama House District 5 race against Dan Williams""]",[],"[""https://www.alreporter.com/2014/01/31/former-rep-henry-white-announces-candidacy-for-alabama-house-of-representatives/"", ""https://doi.org/10.7910/DVN/GZJOT3""]",research\cmo_ideology\candidate_memos\henry_white.md,qwen3.5:9b,[],draft_sourced
ALPERSON-JEFF-MCLAUGHLIN,2014,Jeff McLaughlin,house,27,confirmed_alabama,"Jeff McLaughlin is a former Alabama state representative who served in the House from 2001 through 2010. He ran for re-election to represent House District 27 in the 2014 election against Will Ainsworth, raising approximately $13,455 compared to his opponent's roughly $113,956. McLaughlin is a Guntersville attorney and former teacher with extensive local civic ties. His campaign emphasized education, infrastructure, protecting TVA resources, opposition to extreme partisanship, honesty in government, and representation without special-interest money. Ideologically, he holds conservative views within the Alabama Democratic House caucus (92nd percentile on Shor–McCarty score). He previously proposed nonpartisan judicial elections in 2010 and repeatedly sought to ban PAC-to-PAC transfers.","[""Alabama state representative, served from 2001 through 2010"", ""Guntersville attorney"", ""Former teacher""]","[""Attorney (based in Guntersville)"", ""Teacher (former)""]",[],"[""Guntersville"", ""House District 27""]","[""Alabama Democratic House caucus member"", ""Conservative relative-caucus classification (92nd percentile Shor\u2013McCarty score)"", ""Reform and public-institution themes supporter""]",[],"[""https://www.alreporter.com/2013/11/27/jeff-mclaughlin-announces-campaign-for-house-district-27/"", ""https://www.waff.com/story/27273752/district-27-in-marshall-co-awaits-announcement-of-new-representative/"", ""https://www.apr.org/2010-04-07/nonpartisan-judge-elections-voted-down-by-house-panel"", ""https://southerntorch.com/16630/""]",research\cmo_ideology\candidate_memos\jeff_mclaughlin.md,qwen3.5:9b,[],draft_sourced
ALPERSON-JOHN-JODY-LETSON,2014,John (Jody) Letson,house,7,confirmed_alabama,John 'Jody' Letson was the Democratic candidate for Alabama House District 7 in the 2014 election. He previously represented that district from the 1990s through 2010 and served as a Lawrence County commissioner.,"[""Lawrence County Commissioner"", ""Alabama House of Representatives (District 7)""]","[""General Motors employee"", ""Letson's Grocery operator"", ""Farmer""]","[""Calhoun Community College attendee"", ""Courtland High School graduate""]","[""Lawrence County native and resident of Hillsboro"", ""Service with Lawrence County Historical Commission"", ""Involvement in industrial development, regional government, mental health, and youth organizations""]",[],[],"[""https://justfacts.votesmart.org/candidate/biography/15202/jody-letson"", ""https://en.wikipedia.org/wiki/Jody_Letson""]",research\cmo_ideology\candidate_memos\john_jody_letson.md,qwen3.5:9b,[],draft_sourced
ALPERSON-LARRY-MEANS,2014,Larry Means,senate,10,confirmed_alabama,"Larry Means was an Alabama Democratic candidate who ran for Senate in District 10 during the 2014 election, where he lost narrowly to Republican Phil Williams after previously losing a seat as incumbent in 2010. He is characterized by culturally conservative and economically populist views: holding strong gun rights positions with a perfect NRA-PVF rating and sponsoring Alabama's 2006 stand-your-ground law; while emphasizing jobs and public education, he helped create an industrial authority that preserved Goodyear jobs. His localism was exceptional, having served in Attalla government for years before the Senate race, returning to win mayoralty there after being acquitted of bingo-corruption charges.","[""Attalla city council"", ""Alabama State Senator (District 10)"", ""Attalla Mayor""]",[],[],"[""Attalla, Alabama""]","[""culturally conservative"", ""economically populist"", ""localism-focused""]","[""Indicted in federal bingo-corruption case roughly one month before 2010 general election; acquitted later.""]","[""https://justfacts.votesmart.org/candidate/15978/larry-means"", ""https://www.bhamwiki.com/w/Alabama_Stand_Your_Ground_Law"", ""https://www.birminghamtimes.com/2014/09/working-for-working-families/"", ""https://www.apr.org/politics-government/2012-08-29/acquitted-former-senator-makes-political-comeback""]",research\cmo_ideology\candidate_memos\larry_means.md,qwen3.5:9b,[],draft_sourced
ALPERSON-REX-CHEATHAM,2014,Rex Cheatham,house,8,confirmed_alabama,"Rex Cheatham is a Democratic legislative candidate for Alabama House District 8 who ran in the 2014 election. He recorded an out-of-fold Campaign Model Outcome (CMO) score of approximately +16.7 against Republican incumbent Terri Collins, with adjusted scores remaining positive after accounting for spending and fundraising differences. His public identity was centered on education-labor alignment rather than cultural issues.","[""Former teacher in Morgan County schools"", ""Worked for the Alabama Education Association (AEA)"", ""Education liaison to Governor George Wallace"", ""Led a gubernatorial education-reform committee""]","[""Teacher"", ""Alabama Education Association employee""]",[],"[""Morgan County resident/leader"", ""Leadership of the Morgan County Democratic Executive Committee"", ""Democratic national and state delegate (repeated service)""]","[""Democrat""]",[],"[""https://www.una.edu/alumni/benefits/files/mags/UNAmagazineSpring%20Vol-20%20No%201-2012SM.pdf"", ""https://www.ksl.com/article/29741497""]",research\cmo_ideology\candidate_memos\rex_cheatham.md,qwen3.5:9b,[],draft_sourced
ALPERSON-RICHARD-LINDSEY,2014,Richard Lindsey,house,39,confirmed_alabama,"Richard Lindsey is a candidate for Alabama House District 39 in the 2014 election. He was an incumbent representing the district since 1983 and previously chaired the Education Finance and Appropriations Committee. Ideologically, his Shor–McCarty score places him around the 92nd conservative percentile of the Alabama Democratic House caucus, making him conservative relative to fellow Democrats while aligned with the education establishment. His positions on abortion or guns are unknown as no time-valid evidence has been recovered for these dimensions.","[""Alabama State Representative (House District 39)""]",[],[],[],"[""Incumbent since 1983"", ""Chaired the Education Finance and Appropriations Committee"", ""Conservative relative to fellow Democrats (Shor\u2013McCarty score ~92nd percentile of Alabama Democratic House caucus)"", ""Aligned with education establishment""]","[""No time-valid evidence has yet been recovered for Lindsey's abortion or gun positions."", ""Lindsey recorded about +40.8 Total OOF CMO while winning.""]","[""https://www.alreporter.com/2014/09/24/heath-jones-running-as-republican-in-house-district-39/"", ""https://publicunionfacts.com/union/QUxBQkFNQSBFRFVDQVRJT04gQVNTT0NJQVRJT04%3D/alabama-education-association/state-candidates/all-contributions"", ""https://doi.org/10.7910/DVN/GZJOT3""]",research\cmo_ideology\candidate_memos\richard_lindsey.md,qwen3.5:9b,[],draft_sourced
