focal_person_id,focal_candidate,election_cycle,comparison_candidate,dimension,evidence_summary,source_type,source_url,confidence,source_perspective,review_status
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,Ray Robbins,opponent_disruption,"Republican incumbent Jim Preuitt ended his campaign on September 1, roughly two months before the general election, and the party selected businessman Ray Robbins as its replacement on September 7. Fielding therefore faced a late substitute rather than a normally nominated opponent.",contemporary_associated_press_reporting,https://www.apr.org/2010-09-07/ala-gop-picks-robbins-to-replace-sen-preuitt,high,news_report,verified
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,Ray Robbins,local_network,"Fielding entered the race after a 26-year career as a Talladega County district and circuit judge. This offered unusually broad name recognition and a nonlegislative public-service identity across the district.",contemporary_and_retrospective_reporting,https://www.alreporter.com/2012/10/05/senator-fielding-welcomed-in-senate-republican-caucus-mark-kennedy-calls-him-a-liar/,high,news_report,provisional
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,Ray Robbins,law_enforcement_endorsement,"The Alabama Police Benevolent Association listed Fielding among its endorsed 2010 candidates after the election. The publication date is post-election, but it confirms support from a law-enforcement organization consistent with his judicial background.",contemporary_interest_group_record,https://www.sspba.org/gen/articles/2010_ALPBA_Elected_Candidates_101.jsp,medium,interest_group_post_election_list,provisional
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,John Robinson,opponent_profile,"Heath Jones campaigned as a grassroots fiscal and social conservative, opposed Medicaid expansion, advocated term limits, and said he accepted no special-interest money.",contemporary_reporting,https://www.alreporter.com/2014/09/24/heath-jones-running-as-republican-in-house-district-39/,high,news_report_based_on_opponent_statement,provisional
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,John Robinson,finance_context,"The processed state-file feature gives Lindsey a log D:R spending ratio of 3.745 versus -0.765 for Robinson; resource adjustment reduces the pair CMO gap from 35.9 to 30.9 points.",project_data,research/cmo_ideology/matched_pair_evidence.csv,high,derived_project_measure,verified
ALPERSON-JOHN-ROBINSON,John Robinson,2014,Richard Lindsey,local_tenure,"Contemporary campaign material states that Robinson had held HD-23 since 1994.",campaign_material,https://algop.org/candidate-spotlight-week-september-22-2014/,medium,opposing_party,provisional
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,Barbara A. Drummond,baseline_geography,"The production allocation gives HD-53 a -13.65 core statewide margin, while richer unambiguous precinct-link scenarios give -4.38. Including the production regime yields a 9.27-point baseline range and reduces raw overperformance from 69.2 to 61.8 at the scenario mean.",project_sensitivity_audit,research/cmo_ideology/article_baseline_geography_sensitivity.csv,high,derived_project_measure,verified
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,Barbara A. Drummond,finance_context,"The production finance feature shows a large Democratic spending advantage, but the resource-adjusted OOF score remains above 53 points, so modeled spending explains little of the extreme residual.",project_data,research/cmo_ideology/matched_pair_evidence.csv,high,derived_project_measure,verified
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,Barbara A. Drummond,coalition_context,"HD-53 was approximately 70 percent nonwhite in the project demographics and voted Democratic by 55.6 points legislatively. Its top-ticket and legislative electorates diverged sharply, making coalition turnout and down-ballot voting central alternatives to candidate ideology.",project_data,research/cmo_ideology/candidate_cycle_analysis.csv,high,derived_project_measure,verified
ALPERSON-JOHN-ROBINSON,John Robinson,2014,Richard Lindsey,opponent_profile,"Tommy Hanes was a retired firefighter and commercial fisherman with deep local roots; his campaign emphasized pro-life, pro-family, education, and strong Second Amendment positions.",campaign_material,https://algop.org/candidate-spotlight-week-september-22-2014/,medium,opposing_party,provisional
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,Barbara A. Drummond,temporal_ideology_limit,"Daniels's Shor-McCarty score comes from legislative service after the 2014 election and must not be treated as a pre-election voter perception measure.",methodological_audit,research/cmo_ideology/shor_mccarty_candidate_universe.csv,high,derived_project_measure,verified
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,Anthony Daniels,temporal_ideology_limit,"Drummond's Shor-McCarty score comes from legislative service after the 2014 election and must not be treated as a pre-election voter perception measure.",methodological_audit,research/cmo_ideology/shor_mccarty_candidate_universe.csv,high,derived_project_measure,verified
ALPERSON-ANDREW-ANDY-BETTERTON,"Andrew ""Andy"" Betterton",2014,,local_tenure,"Betterton had served two terms on the Florence City Board of Education and was in his second City Council term; his long local elected-service record is a strong non-ideological explanation for candidate recognition. WordPress metadata dates the biography to August 12, 2014.",contemporaneous_candidate_biography,https://abetterton.com/andy-betterton/,high,candidate_self_description,verified
ALPERSON-DAVID-COACH-BURKETTE,"David ""Coach"" Burkette",2018,,local_tenure,"Burkette was a locally raised public-school educator and three-term Montgomery city councilman. Contemporary reporting attributed his special-primary upset partly to his long history as a coach, teacher, and councilman in the district.",contemporary_local_reporting,https://www.alreporter.com/2018/02/28/upset-burkette-knocks-off-knight-district-26-primary-runoff/,high,news_report,verified
ALPERSON-DAVID-COACH-BURKETTE,"David ""Coach"" Burkette",2018,,organizational_support,"The Alabama Democratic Conference endorsed Burkette in the special runoff. Contemporary reporting described the endorsement as shaped by Joe Reed's conflict with John Knight, making organization and intraparty networks a plausible explanation distinct from ideology.",contemporary_local_reporting,https://www.alreporter.com/2018/02/08/knight-v-burkette-near-riot-unpaid-bills-campaign-manager-calls-quits-district-26-race/,medium,reported_campaign_insiders,verified_as_reported
ALPERSON-DAVID-COACH-BURKETTE,"David ""Coach"" Burkette",2018,,campaign_quality,"Contemporary reporting documented severe fundraising and campaign-management problems before the special runoff. His later general-election overperformance therefore should not be read as evidence of unusually strong campaign operations.",contemporary_local_reporting,https://www.alreporter.com/2018/02/08/knight-v-burkette-near-riot-unpaid-bills-campaign-manager-calls-quits-district-26-race/,high,reported_campaign_insiders,verified_as_reported
ALPERSON-ALAN-HARPER,Alan Harper,2010,,local_tenure,"A later party-switch announcement described Harper's longstanding work in local government, public education, banking, and economic development and credited him with major district job recruitment. These biographical facts support a local-service explanation but are documented retrospectively.",later_contemporary_reporting,https://yellowhammernews.com/rep-alan-harper-of-aliceville-announces-switch-to-alabama-gop/,medium,candidate_statement,retrospective_facts
ALPERSON-ALAN-HARPER,Alan Harper,2010,,party_switching,"Harper changed from Democratic to Republican affiliation in February 2012, after the scored election. The switch corroborates ideological or constituency fit only weakly: he said his priorities had not changed, while Democratic leader Craig Ford argued that joining the GOP would require substantive voting changes.",later_contemporary_reporting,https://yellowhammernews.com/rep-alan-harper-of-aliceville-announces-switch-to-alabama-gop/,high,candidate_statement,post_election_ambiguous
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,,cross_institutional_support,"Daniels combined a long education-association leadership history with a contemporaneous Alabama Retail PAC endorsement. This cross-institutional coalition is more consistent with pragmatic local credibility than a single left-right campaign identity.",mixed_contemporary_and_retrospective_sources,https://alabamaretail.org/news/initial-2014-endorsements/,medium,derived_interpretation,provisional
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,,local_tenure,"Before running, Drummond had spent decades as a Mobile journalist and as a senior city and county administrator. Her professional network and visibility are plausible non-ideological explanations for her large margin.",contemporary_profile_metadata,https://www.al.com/live/2014/02/barbara_drummond_a_longtime_ci.html,medium,news_profile,verified_biography_article_body_inaccessible
ALPERSON-RANDALL-WHITE,Randall White,2010,,local_tenure,"Contemporaneous partisan commentary identified White as a lifelong district resident and recently retired adult-education supervisor and explicitly contrasted his local familiarity with his Republican opponent.",contemporary_partisan_commentary,https://wantedalabamademocrats.blogspot.com/2010/10/,low,party_aligned_source,provisional
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,,local_tenure,"Ledbetter had served on the Rainsville City Council and as mayor before his 2010 House campaign. His municipal record supplies a strong personal-vote explanation separate from ideological positioning.",later_biographical_reporting,https://apnews.com/article/d3f2441992b128fd6cc80e4207d53278,high,news_report,retrospective_facts
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,,party_switching,"Ledbetter ran as a Democrat in 2010, switched parties before 2014, and then won the same seat as a Republican. A 2013 meeting memorandum reports that he expected most prior Democratic supporters to remain with him, directly suggesting a candidate-centered local vote.",later_first_person_meeting_memorandum,https://southerntorch.com/wp-content/uploads/2014/02/NATHANIEL-LEDBETTER.pdf,medium,interested_party_document,post_election_retrospective
ALPERSON-BEDDINGFIELD,David Beddingfield,2014,Nathaniel Ledbetter,finance_context,"Contemporary reporting placed Beddingfield's total contributions near $60,000 versus roughly $145,000 for Ledbetter. His positive CMO occurred despite a substantial resource disadvantage.",contemporary_local_reporting,https://southerntorch.com/16630/,medium,local_news_finance_summary,verified_as_reported
ALPERSON-DRAMA-BRELAND,Drama Breland,2010,Terri Collins,local_family_network,"Later official and biographical records identify Breland as the wife of longtime Decatur municipal judge and civic leader David Breland and part of a locally prominent judicial family. This supplies a plausible recognition network, but the evidence is retrospective and does not establish how it affected the campaign.",later_official_memorial_resolution,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/SJR90-int.pdf,medium,official_biographical_record,retrospective_facts
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,,incumbency_and_family_network,"Figures had represented SD-33 since 1997 after succeeding her late husband, former Senate president pro tempore Michael Figures. Long incumbency and a prominent Mobile political network are major explanations distinct from ideology.",historical_biographical_record,https://www.legislature.state.al.us/senate/senators/senatebios/sd033.html,high,official_biography_archived,verified
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,Kim West,prior_legislative_service,"Beasley entered the 2010 Senate contest after multiple terms in the Alabama House, giving him an established legislative identity even though he was not the Senate incumbent.",historical_biographical_record,https://www.multistate.us/elections/candidate?id=7536&st=AL,medium,election_history,verified
ALPERSON-BEDDINGFIELD,David Beddingfield,2014,Nathaniel Ledbetter,local_education_network,"Beddingfield was president of the Fort Payne City Board of Education by 2008 and still held that office in April 2014. The long, district-relevant school governance role is a strong candidate-recognition mechanism independent of a detailed ideology platform.",official_school_directory,https://mail.acaletics.com/Directories/Directories/Working%20Files/AL/SDE_Directory.pdf,high,official_directory,verified
ALPERSON-DENNIS-W-STEPHENS,Dennis W. Stephens,2014,John (Jody) Letson,opponent_strength,"Republican Ritchie Whorton entered the general election after defeating an incumbent Republican 58-42 in the primary and publicly emphasized grassroots campaigning, smaller government, and resistance to Montgomery political bosses. Stephens therefore faced an opponent with demonstrated campaign strength and anti-establishment momentum.",contemporary_reporting,https://www.alreporter.com/2014/06/06/ritchie-whorton-claims-historic-win-in-state-house-district-22-race/,high,news_report,verified
ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,2014,David Beddingfield,prior_service_and_local_network,"McLaughlin represented HD-27 from 2001 through 2010, was born and practiced law in Guntersville, and held extensive local civic memberships. His decade of prior representation gives him a far stronger personal-vote base than a first-time challenger.",contemporary_campaign_announcement,https://www.alreporter.com/2013/11/27/jeff-mclaughlin-announces-campaign-for-house-district-27/,high,news_report,verified
ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,2014,David Beddingfield,finance_context,"Contemporary reporting lists about $13,455 raised by McLaughlin versus roughly $113,956 for Will Ainsworth. McLaughlin's large positive CMO therefore survived an approximately eight-to-one fundraising disadvantage.",contemporary_local_reporting,https://southerntorch.com/16630/,medium,local_news_finance_summary,verified_as_reported
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,John Robinson,opponent_resource_asymmetry,"FollowTheMoney records only about $5,891 for Heath Jones, while the state-file spending feature shows an overwhelming Democratic advantage. By contrast John Robinson and Tommy Hanes raised roughly $108,569 and $125,109. Opponent resources sharply distinguish the otherwise ideologically similar incumbents.",project_finance_data,research/cmo_ideology/matched_pair_evidence.csv,high,derived_project_measure,verified
ALPERSON-JOHN-ROBINSON,John Robinson,2014,Richard Lindsey,cross_institutional_support,"The Alabama Retail Association endorsed Robinson while AEA records show substantial support as well. His coalition crossed business and education-labor institutions, making a narrow ideological rejection less plausible than opponent and campaign explanations.",contemporary_endorsement,https://alabamaretail.org/news/initial-2014-endorsements/,high,association_record,verified
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,Louise Alexander,opponent_resource_asymmetry,"FollowTheMoney reports about $85,460 for Drummond against $8,292 for Ralph Carmichael. Louise Alexander's total is unobserved, while Republican Darius Foster raised about $114,147 and ran an intensive community-outreach campaign. The focal candidate had the much easier documented resource matchup.",project_finance_data,research/cmo_ideology/matched_pair_evidence.csv,high,derived_project_measure,verified
ALPERSON-LOUISE-ALEXANDER,Louise Alexander,2014,Barbara A. Drummond,opponent_quality,"National Public Radio documented Darius Foster's door-to-door campaign, school-technology and job-fair initiatives, national Republican attention, and success converting at least some prior Democrats. Alexander faced a substantively active opponent rather than a nominal Republican.",contemporary_national_reporting,https://www.apr.org/politics-government/2014-10-24/in-alabama-darius-foster-is-an-unlikely-gop-candidate,high,news_report,verified
ALPERSON-LOUISE-ALEXANDER,Louise Alexander,2014,Barbara A. Drummond,local_network,"Alexander had served on the Bessemer City Council from 1998 through 2010 and held extensive small-business, funeral-home, church, youth, and alumni ties. Her long municipal and community record is a substantial candidate-recognition mechanism.",official_municipal_record,https://bessemer-al.elaws.us/code/coor_app,high,official_record_with_later_biographical_detail,verified
ALPERSON-HENRY-A-WHITE,Henry A. White,2014,Jennifer Marsden,same_candidate_same_opponent_change,"White faced Dan Williams in both 2010 and 2014, but his OOF CMO moved from about -4.4 to +29.7. A roughly 34-point within-person shift with the opponent held constant is strong evidence that CMO is not a direct ideology measure.",project_candidate_cycle_analysis,research/cmo_ideology/candidate_cycle_analysis.csv,high,derived_project_measure,verified
ALPERSON-JENNIFER-MARSDEN,Jennifer Marsden,2014,Henry A. White,opponent_incumbency,"Republican Steve Clouse had represented House District 93 since 1994 and chaired the General Fund Ways and Means Committee. Marsden therefore faced a powerful twenty-year incumbent rather than a typical Republican officeholder.",contemporary_reporting,https://www.alreporter.com/2014/05/23/clouse-favors-medicaid-expansion-says-aca-saved-al-money/,high,news_report,verified
ALPERSON-JENNIFER-MARSDEN,Jennifer Marsden,2014,Henry A. White,opponent_issue_overlap,"Clouse publicly favored Medicaid expansion if Alabama's share remained capped at ten percent. Because Marsden also championed expansion, the contest did not present a clean expansion-versus-rejection ideological contrast.",contemporary_reporting,https://www.alreporter.com/2014/05/23/clouse-favors-medicaid-expansion-says-aca-saved-al-money/,high,news_report,verified
ALPERSON-JENNIFER-MARSDEN,Jennifer Marsden,2014,Henry A. White,historical_vote_benchmark,"Clouse won about 77.7 percent of the two-party vote in 2010 and 76.7 percent against Marsden in 2014. Marsden essentially matched the prior Democratic nominee's share, weakening any claim that her progressive platform uniquely depressed the Democratic vote.",project_election_database,data/processed/elections/legislative_candidates.csv,high,derived_project_measure,verified
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2014,Michael J. Gladden,long_incumbency_and_constituent_service,"Morrow had represented HD-18 for 24 years and contemporary reporting tied him to a school-safety law, industrial and road projects, veterans programming, TVA revenue, and direct constituent advocacy. This accumulated personal vote is inseparable from his ideological brand.",contemporary_local_reporting,https://www.franklincountytimes.com/franklincountytimes/news/2014/11/04/morrow-re-elected-to-house/?host=www-franklincountytimes-com.newsmemory.net,high,local_news_report,verified
ALPERSON-MICHAEL-J-GLADDEN,Michael J. Gladden,2014,Johnny Mack Morrow,opponent_and_redistricting_context,"Gladden challenged Republican incumbent Becky Nordgren after Nordgren had defeated the prior Democratic incumbent in 2010. The comparison crosses districts with different post-redistricting histories and does not hold opponent incumbency constant.",official_results_and_election_history,https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2014/2014GeneralResults-WithWriteIn.pdf,medium,official_results_with_derived_context,verified
ALPERSON-LARRY-MEANS,Larry Means,2014,Darrell Turner,scandal_recovery,"Means's 2010 defeat followed a federal indictment by roughly one month. After acquittal in two trials, he won a four-way Attalla mayoral race with 69 percent in 2012. The -5.7 to +29.1 CMO change is therefore also a reputation-shock and recovery sequence.",associated_press_reporting,https://www.apr.org/politics-government/2012-08-29/acquitted-former-senator-makes-political-comeback,high,news_report,verified
ALPERSON-DARRELL-TURNER,Darrell Turner,2014,Larry Means,resource_disadvantage,"Project finance data show Turner at an extreme spending disadvantage while Means substantially outspent his Republican opponent. Resource adjustment reduces the pair's CMO gap from about 24.7 to 13.2 points.",project_finance_data,research/cmo_ideology/matched_pair_evidence.csv,high,derived_project_measure,verified
ALPERSON-DARRELL-TURNER,Darrell Turner,2014,Larry Means,late_negative_coverage,"A complaint publicized one week before Election Day alleged that Turner filed his statement of economic interests late and questioned his ballot eligibility. The contemporaneous report did not establish a final adjudication, so this is campaign context rather than proven misconduct.",contemporary_reporting,https://www.alreporter.com/2014/10/27/failure-to-file-statement-of-economic-interest-results-in-ethics-complaint/,high,news_report_of_allegation,verified_allegation_not_adjudication
