amendment_id,person_id,candidate,election_cycle,bill_number,issue,stance_code,position_summary,revision_direction,ideological_valence,evidence_date,temporal_status,confidence,source_url,local_text,review_note,linked_bill_number,header_bill_number,bill_link_status
76059,ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,HB380,criminal_justice,amendment_support,Proposed deleting a requirement that the parole board notify the governor and attorney general of certain consideration dates and reverse a parole-consideration decision if either objected.,removes_executive_parole_objection,progressive,2019-05-09,post_election,high,https://legiscan.com/AL/amendment/HB380/id/76059,data\processed\legislative\focal_amendment_text\76059.txt,"The amendment fragment is uninterpretable alone, and one model fabricated unrelated spending language. Page 17 of the archived HB380 identifies the deleted provision exactly; removing an executive objection mechanism increases parole-board discretion and is coded reform-minded/progressive.",HB380,HB380,matched
75861,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB339,public_education,amendment_support,Proposed prohibiting schools from punishing or penalizing a student who refused to recite the Pledge of Allegiance.,adds_student_pledge_opt_out_protection,progressive,2019-05-07,post_election,high,https://legiscan.com/AL/amendment/HB339/id/75861,data\processed\legislative\focal_amendment_text\75861.txt,The amendment is self-contained and unambiguously protects an individual student's freedom not to participate in the pledge.,HB339,HB339,matched
76193,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB314,abortion,amendment_support,Proposed making legislators who voted for HB314 personally pay Alabama's attorney fees from litigation challenging the act's legality.,shifts_litigation_costs_to_supporting_legislators,progressive,2019-05-14,post_election,medium,https://legiscan.com/AL/amendment/HB314/id/76193,data\processed\legislative\focal_amendment_text\76193.txt,"HB314 was Alabama's 2019 abortion ban. The amendment is a fiscal-accountability provision on its face and a clear hostile amendment to the ban in context; it supports opposition to the restriction, though its mechanism was likely rhetorical.",HB314,HB314,matched
76194,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB314,healthcare_medicaid,amendment_support,Proposed requiring the Alabama Medicaid Agency to promulgate rules expanding Medicaid eligibility.,mandates_medicaid_eligibility_expansion,progressive,2019-05-14,post_election,high,https://legiscan.com/AL/amendment/HB314/id/76194,data\processed\legislative\focal_amendment_text\76194.txt,The operative sentence is complete and unambiguous. One model invented a conscience-protection contingency that does not appear in the amendment or HB314; that interpretation was rejected.,HB314,HB314,matched
61687,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB175,public_education,amendment_support,Proposed striking portions of the Orr floor amendment that would have deleted two passages from the education budget and replaced AMSTI language with a requirement to evaluate it under newly developed regional in-service-center accountability standards.,removes_orr_budget_amendment_sections,indeterminate,2018-03-15,post_election,medium,https://legiscan.com/AL/amendment/HB175/id/61687,data\processed\legislative\focal_amendment_text\61687.txt,"The Figures fragment was reconstructed from amendment 61686 in the downloaded archive. It blocks identifiable education-budget revisions, but the underlying substituted budget language is needed to describe every restored provision or assign ideological valence.",HB175,HB175,matched
74118,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,SB258,public_education,amendment_support,Proposed prohibiting schools from punishing or penalizing a student who refused to recite the Pledge of Allegiance.,adds_student_pledge_opt_out_protection,progressive,2019-04-18,post_election,high,https://legiscan.com/AL/amendment/SB258/id/74118,data\processed\legislative\focal_amendment_text\74118.txt,The amendment is self-contained and duplicates the same student civil-liberties protection the candidate offered to HB339 that session.,SB258,SB258,matched
75214,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB163,taxes_budget,amendment_support,"Proposed requiring facilitators to report specified tangible-property rentals, notify lessors lacking evidence of the required rental license, and subject noncompliance to existing tax-administration penalties.",adds_rental_transaction_reporting_and_enforcement,indeterminate,2019-04-30,post_election,high,https://legiscan.com/AL/amendment/HB163/id/75214,data\processed\legislative\focal_amendment_text\75214.txt,"The text directly adds reporting, notice, and enforcement authority. It indicates tax and licensing compliance as a priority but does not support a simple ideological valence.",HB163,HB163,matched
76233,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,HB32,public_education,amendment_support,Proposed allowing either a single-use epinephrine autoinjector or another FDA-approved public-use epinephrine system under the K-12 student self-administration law.,broadens_school_epinephrine_device_definition,indeterminate,2019-05-14,post_election,high,https://legiscan.com/AL/amendment/HB32/id/76233,data\processed\legislative\focal_amendment_text\76233.txt,"The amendment and HB32 description establish the school-health context and broaden permissible devices. Broader emergency-treatment access is clear, but the narrow technical change is not assigned a left-right valence.",HB32,HB32,matched
76367,ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,HB209,criminal_justice,amendment_support,"Proposed requiring school resource officers to receive specialized youth training, limiting arrest powers to APOSTC-certified officers, and allowing otherwise qualified retired law-enforcement officers to serve.",adds_school_officer_training_and_arrest_limits,indeterminate,2019-05-15,post_election,high,https://legiscan.com/AL/amendment/HB209/id/76367,data\processed\legislative\focal_amendment_text\76367.txt,The complete operative changes establish stronger youth-training and certification safeguards while also broadening eligibility to retirees. Those mixed directions make a single ideological code inappropriate.,HB209,HB209,matched
77222,ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,SB402,health_social_services,amendment_support,"Proposed encouraging emergency detention of people considered mentally ill and dangerous for evaluation and treatment, treating participating officers and providers as state agents with statutory immunity while preserving existing medical-liability law.",grants_state_agent_immunity_for_mental_health_detentions,indeterminate,2019-05-29,post_election,high,https://legiscan.com/AL/amendment/SB402/id/77222,data\processed\legislative\focal_amendment_text\77222.txt,"The amendment directly states the detention policy and immunity framework. It combines treatment and public-safety aims with liability protection, so it is not reduced to a left-right code.",SB402,SB402,matched
77240,ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,SB154,infrastructure_energy,amendment_support,Proposed a free toll pass for permanent Mobile and Baldwin County residents for tolls authorized under the relevant state toll-road statute.,creates_free_local_toll_pass,indeterminate,2019-05-29,post_election,high,https://legiscan.com/AL/amendment/SB154/id/77240,data\processed\legislative\focal_amendment_text\77240.txt,"The amendment is self-contained and establishes categorical local toll relief. It indicates opposition to imposing the full toll on nearby residents, not a general ideological position on infrastructure finance.",SB154,SB154,matched
77241,ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,SB154,infrastructure_energy,amendment_support,Proposed a half-price toll pass for permanent Mobile and Baldwin County residents using the proposed I-10 bridge or Wallace Tunnel over the Mobile River.,creates_half_price_local_toll_pass,indeterminate,2019-05-29,post_election,high,https://legiscan.com/AL/amendment/SB154/id/77241,data\processed\legislative\focal_amendment_text\77241.txt,This second amendment offered a narrower discount after the same candidate's free-pass proposal. Together they provide strong evidence that local toll relief was a priority.,SB154,SB154,matched
88714,ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,HB80,public_employee_benefits,amendment_support,Proposed extending HB80's law-enforcement subsistence-pay provisions from Department of Revenue personnel to qualifying Department of Mental Health employees in good standing when the act took effect.,extends_law_enforcement_subsistence_pay,progressive,2021-02-09,post_election,high,https://legiscan.com/AL/amendment/HB80/id/88714,data\processed\legislative\focal_amendment_text\88714.txt,"The bill description and repeated insertions establish a targeted expansion of public-employee compensation. It is coded progressive on the labor/public-benefit dimension, not as a general mental-health spending position.",HB80,HB80,matched
92025,ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,HB220,public_education,amendment_support,"Proposed transferring most state-college construction authority to institutional governing boards while retaining central oversight for K-12 and constitutionally governed institutions, requiring free electronic submissions and detailed annual K-12 project reports, and preserving tornado-safe-space standards.",decentralizes_higher_education_construction_oversight,indeterminate,2021-02-25,post_election,high,https://legiscan.com/AL/amendment/HB220/id/92025,data\processed\legislative\focal_amendment_text\92025.txt,"This comprehensive amendment combines institutional autonomy, transparency, administrative modernization, and safety requirements. Those components are clear but do not share a single ideological direction.",HB220,HB220,matched
100587,ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,HB224,healthcare_conscience,amendment_support,"Proposed requiring parental or representative consent before a DNAR order for a minor, presuming resuscitation during disputes, permitting expedited judicial review, requiring disclosure of provider policies, and protecting compliant providers from liability.",substitutes_parental_consent_dnar_framework,conservative,2021-03-30,post_election,high,https://legiscan.com/AL/amendment/HB224/id/100587,data\processed\legislative\focal_amendment_text\100587.txt,"The complete Simon's Law substitute prioritizes parental control and continued life-sustaining intervention in pediatric end-of-life decisions. That is a conventional conservative/pro-life direction, distinct from assisted-dying legislation.",HB224,HB224,matched
76195,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB314,abortion,amendment_support,Proposed felony penalties for men obtaining or attempting to obtain vasectomies as a hostile parity amendment to HB314's criminal abortion ban.,adds_vasectomy_criminalization_parity_amendment,progressive,2019-05-14,post_election,medium,https://legiscan.com/AL/amendment/HB314/id/76195,data\processed\legislative\focal_amendment_text\76195.txt,"The literal text criminalizes vasectomy, but treating it as an affirmative policy preference would ignore its placement among the candidate's hostile amendments to HB314. It is coded as abortion-rights opposition to asymmetric reproductive criminalization, with medium confidence because rhetorical intent is contextual.",HB314,HB314,matched
76451,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,SB320,criminal_justice,amendment_support,Proposed removing SB320's rewrite of the statutory sex-offense list and related citations while making narrower terminology changes elsewhere in the sexual-offenses bill.,removes_sex_offender_statute_rewrite,indeterminate,2019-05-16,post_election,medium,https://legiscan.com/AL/amendment/SB320/id/76451,data\processed\legislative\focal_amendment_text\76451.txt,"Pages 28-35 of the archived introduced bill show that the large deletion removes the proposed Section 15-20A-5 rewrite, not an unspecified notification provision. The amendment resists that rewrite, but its net punitive or reform direction cannot be established without a provision-by-provision comparison to then-current law.",SB320,SB320,matched
80628,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB147,taxes_budget,amendment_support,Proposed exempting Class 2 municipalities—Mobile—from HB147's prohibition on municipal occupational taxes not already in effect or authorized by local law.,exempts_mobile_from_occupational_tax_ban,indeterminate,2020-02-27,post_election,high,https://legiscan.com/AL/amendment/HB147/id/80628,data\processed\legislative\focal_amendment_text\80628.txt,The amendment and bill description together establish a Mobile fiscal-authority carveout. It preserves local taxing discretion but is not treated as a general preference for higher taxes.,HB147,HB147,matched
105030,ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,HB573,ethics_government,amendment_support,Proposed adding both legislative minority leaders or their designees to HB573's state-parks and historical-sites financing governance and increasing the relevant membership count from three to five.,adds_legislative_minority_leaders_to_park_governance,progressive,2021-04-13,post_election,high,https://legiscan.com/AL/amendment/HB573/id/105030,data\processed\legislative\focal_amendment_text\105030.txt,"The amendment expands formal minority-party representation; it does not direct money to minority leaders as one model incorrectly claimed. This is coded progressive on inclusive institutional governance, not on park spending.",HB573,HB573,matched
109504,ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,SB227,healthcare_medicaid,amendment_support,"Proposed exempting ERISA-governed self-funded health plans from specified provisions of Alabama's pharmacy-benefit-manager law, limiting another provision to in-network entities, and expressly covering every CMS-eligible specialty-tier medication.",carves_out_erisa_plans_and_defines_specialty_drugs,indeterminate,2021-04-29,post_election,high,https://legiscan.com/AL/amendment/SB227/id/109504,data\processed\legislative\focal_amendment_text\109504.txt,"The amendment mixes a regulatory carveout with broader specialty-drug coverage language. Federal preemption may motivate the ERISA provision, so the text does not justify a simple ideological code.",SB227,SB227,matched
113266,ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,SB267,healthcare_conscience,amendment_support,"Proposed excluding physicians, dentists, medical institutions, hospitals, and other defined health-care providers from SB267's restrictions on vaccine-status documentation.",exempts_healthcare_providers_from_vaccine_passport_ban,progressive,2021-05-17,post_election,high,https://legiscan.com/AL/amendment/SB267/id/113266,data\processed\legislative\focal_amendment_text\113266.txt,The carveout is explicit and preserves provider/institutional discretion under a broader vaccine-passport ban. That runs in the progressive/public-health direction relative to the underlying restriction.,SB267,SB267,matched
125584,ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,HB153,public_education,amendment_support,"Proposed extending remote-meeting authority to Alabama State University's trustees, establishing special and emergency meeting procedures, treating remote participation as presence, and requiring Open Meetings Act compliance and simultaneous public access.",extends_remote_meeting_authority_to_asu,indeterminate,2022-02-02,post_election,high,https://legiscan.com/AL/amendment/HB153/id/125584,data\processed\legislative\focal_amendment_text\125584.txt,The complete amendment modernizes university governance while preserving notice and public-observation safeguards. It is a clear governance priority without a stable left-right valence.,HB153,HB153,matched
137827,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,HB312,racial_civil_rights,amendment_support,Proposed providing that HB312's restrictions could not be construed to prohibit teaching topics or historical events in a historically accurate context.,adds_historically_accurate_teaching_safeguard,progressive,2022-03-17,post_election,high,https://legiscan.com/AL/amendment/HB312/id/137827,data\processed\legislative\focal_amendment_text\137827.txt,HB312 was a divisive-concepts restriction. The amendment narrows its possible chilling effect on historically accurate instruction and therefore has a progressive direction relative to the underlying bill.,HB312,HB312,matched
142406,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,SB224,labor_unions,amendment_support,Proposed retaining SB224's three-employer weekly search rule only for claimants within 45 miles of a Career Center and reducing it to one prospective employer for claimants farther away.,adds_rural_unemployment_search_exception,progressive,2022-04-06,post_election,high,https://legiscan.com/AL/amendment/SB224/id/142406,data\processed\legislative\focal_amendment_text\142406.txt,The archived engrossed bill supplies the missing number: three employer contacts. The amendment directly eases benefit conditions for geographically isolated workers and is progressive on unemployment-benefit access.,SB224,SB224,matched
142408,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,SB224,labor_unions,amendment_support,"Proposed retaining SB224's three-employer weekly search rule only for claimants within 45 miles of a municipality of at least 1,500 residents and reducing it to one prospective employer elsewhere.",adds_rural_unemployment_search_exception,progressive,2022-04-06,post_election,high,https://legiscan.com/AL/amendment/SB224/id/142408,data\processed\legislative\focal_amendment_text\142408.txt,This alternative rural-access formulation also eases unemployment-benefit conditions where employers are sparse. It is separate from the Career Center version and retained as its own proposal.,SB224,SB224,matched
142599,ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,HB400,rural_hunting,amendment_support,"Proposed exempting containers used exclusively to store, preserve, or prepare agricultural and horticultural seed for market from ad valorem taxation.",adds_agricultural_seed_container_tax_exemption,conservative,2022-04-06,post_election,high,https://legiscan.com/AL/amendment/HB400/id/142599,data\processed\legislative\focal_amendment_text\142599.txt,The amendment is self-contained targeted property-tax relief for agricultural infrastructure. It is coded conservative on tax burden and also records a distinct rural/agricultural priority.,HB400,HB400,matched
203086,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,HB60,criminal_justice,amendment_support,"Proposed new tiered crimes and penalties for intentional or reckless abuse, neglect, and financial exploitation of adults with disabilities, plus a seven-year limitations period for financial exploitation.",substitutes_disability_abuse_protection_act,conservative,2024-02-28,post_election,high,https://legiscan.com/AL/amendment/HB60/id/203086,data\processed\legislative\focal_amendment_text\203086.txt,"The comprehensive substitute clearly expands criminal liability to protect disabled adults. Its punitive enforcement direction is coded conservative, while the protected-population purpose is separately preserved in the summary rather than treated as ideologically exclusive.",HB60,HB60,matched
205495,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,HB102,labor_unions,amendment_support,"Proposed requiring suspension or revocation of employment for a 14- or 15-year-old whose school attendance or performance was found unsatisfactory by the school or home-school instructor, with departmental action upon notification.",preserves_school_based_child_work_safeguard,progressive,2024-03-06,post_election,high,https://legiscan.com/AL/amendment/HB102/id/205495,data\processed\legislative\focal_amendment_text\205495.txt,"HB102 eliminated the eligibility-to-work form. The amendment restores a school-performance safeguard within the new child-labor framework, a progressive worker/child-protection direction.",HB102,HB102,matched
81740,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,SB165,healthcare_medicaid,amendment_support,Proposed adding menopause and premenstrual syndrome as qualifying conditions under the medical-cannabis bill.,adds_womens_health_medical_cannabis_conditions,progressive,2020-03-12,post_election,high,https://legiscan.com/AL/amendment/SB165/id/81740,data\processed\legislative\focal_amendment_text\81740.txt,"The insertion is self-contained and broadens regulated medical-cannabis access for women's health conditions, a progressive direction relative to the substitute.",SB165,SB165,matched
89284,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,SB55,ethics_government,amendment_support,"Proposed exempting Class 2 municipalities—Mobile—from SB55's prohibition on local ordinances governing the transportation, storage, retail sale, or possession of sparkling devices or fireworks novelties.",exempts_mobile_from_fireworks_local_preemption,indeterminate,2021-02-11,post_election,high,https://legiscan.com/AL/amendment/SB55/id/89284,data\processed\legislative\focal_amendment_text\89284.txt,The archived SB55 text identifies the subsection one model misread as cultural merchandise. The amendment preserves Mobile's local regulatory authority; it does not establish a general pro- or anti-fireworks position.,SB55,SB55,matched
92067,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,SB170,public_education,amendment_support,Proposed allowing school-board peer-review panels to meet electronically even when conducting a disciplinary hearing.,allows_electronic_school_board_discipline_hearings,indeterminate,2021-02-25,post_election,high,https://legiscan.com/AL/amendment/SB170/id/92067,data\processed\legislative\focal_amendment_text\92067.txt,Deleting the exception from the complete SB170 sentence broadens electronic meeting authority. The change is administrative and does not itself remove the hearing or due-process rights.,SB170,SB170,matched
92068,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,SB170,public_education,amendment_support,"Proposed deleting proposed requirements that prospective county and city school-board members attend meetings, complete approved pre-service training, and agree to the BEST Act code, while revising the prior-removal disqualification and related vacancy exceptions.",removes_school_board_candidate_prerequisites,indeterminate,2021-02-25,post_election,medium,https://legiscan.com/AL/amendment/SB170/id/92068,data\processed\legislative\focal_amendment_text\92068.txt,"The deletions were reconstructed from pages 18-20 of archived SB170. They reduce state gatekeeping for board service but also remove training and conduct safeguards, so the ideological valence remains indeterminate.",SB170,SB170,matched
94875,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,SB214,racial_civil_rights,amendment_support,"Proposed increasing specified Alabama Gaming Commission appointments and requiring the governor, lieutenant governor, and House speaker each to select one appointee from a three-person slate proposed by the Alabama Black Legislative Caucus.",adds_black_caucus_nominated_gaming_members,progressive,2021-03-09,post_election,high,https://legiscan.com/AL/amendment/SB214/id/94875,data\processed\legislative\focal_amendment_text\94875.txt,"The complete amendment directly creates formal Black-caucus input and representation in gaming governance, a progressive racial-representation position.",SB214,SB214,matched
94876,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,SB214,ethics_government,amendment_support,"Proposed voiding the gaming constitutional amendment, regardless of the referendum result, unless the Legislature enacted all required implementing legislation before the ratification vote.",conditions_gaming_amendment_on_enabling_laws,indeterminate,2021-03-09,post_election,high,https://legiscan.com/AL/amendment/SB214/id/94876,data\processed\legislative\focal_amendment_text\94876.txt,"The condition is explicit and reflects implementation sequencing and voter clarity. It is a governance safeguard within the gaming measure, not evidence for or against gambling itself.",SB214,SB214,matched
102541,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB131,criminal_justice,amendment_support,"Proposed replacing the Legislature's open-ended authority to enumerate no-bail offenses with a constitutional list of specified violent Class A crimes, including murder, first-degree rape, trafficking, robbery, and aggravated child abuse.",replaces_open_ended_no_bail_power_with_fixed_list,mixed,2021-04-06,post_election,high,https://legiscan.com/AL/amendment/HB131/id/102541,data\processed\legislative\focal_amendment_text\102541.txt,"The amendment authorizes bail denial for a broad serious-crime list, a conservative public-safety direction, while preventing later expansion through ordinary general law, a constraining civil-liberties safeguard. The net valence is therefore mixed.",HB131,HB131,matched
102568,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB130,criminal_justice,amendment_support,Proposed deleting first-degree assault from HB130's list of charges for which a judge could deny bail after a clear-and-convincing-evidence detention hearing.,removes_first_degree_assault_from_no_bail_list,progressive,2021-04-06,post_election,high,https://legiscan.com/AL/amendment/HB130/id/102568,data\processed\legislative\focal_amendment_text\102568.txt,The amendment fragment is resolved by page 3 of the archived introduced Aniah's Law bill: paragraph b is first-degree assault. Removing it narrows pretrial detention and is progressive on criminal-justice liberty.,HB130,HB130,matched
50790,ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,SB60,racial_civil_rights,amendment_support,"Proposed allowing temporary relocation or protection of a covered public monument for emergency repairs or construction, with restoration afterward and a waiver required for projects expected to exceed 120 days.",adds_emergency_monument_relocation_exception,indeterminate,2017-04-27,post_election,high,https://legiscan.com/AL/amendment/SB60/id/50790,data\processed\legislative\focal_amendment_text\50790.txt,The amendment narrows the Memorial Preservation Act with a practical emergency exception but preserves mandatory restoration. It is not evidence of a general position on Confederate monument removal.,SB60,SB60,matched
61645,ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,SB212,public_education,amendment_support,Proposed adding the Alabama Community College System chancellor or designee to the Alabama Cyber Engineering School board and allowing the board to recognize a member as an expert in lieu of a specified degree.,adds_community_college_voice_and_expert_path,indeterminate,2018-03-21,post_election,high,https://legiscan.com/AL/amendment/SB212/id/61645,data\processed\legislative\focal_amendment_text\61645.txt,The two discrete additions broaden postsecondary representation and qualification flexibility in school governance without a stable ideological direction.,SB212,SB212,matched
61646,ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,SB212,public_education,amendment_support,Proposed adding the University of South Alabama president or designee to the Alabama Cyber Engineering School governing board.,adds_south_alabama_president_to_cyber_school_board,indeterminate,2018-03-21,post_election,high,https://legiscan.com/AL/amendment/SB212/id/61646,data\processed\legislative\focal_amendment_text\61646.txt,"The self-contained appointment provision indicates a regional higher-education representation priority, not a left-right position.",SB212,SB212,matched
