ontology_version,review_id,election_year,normalized_option,question,option_text,decision,primary_domain,policy_domains_json,policy_key,effects_json,confidence,reviewer_notes,consensus_status,direction_resolutions_json,review_source
2.0.1,2B0E533AEFC60615,1998,"allow welfare recipients to remain eligible for benefits while saving money for education, starting a business, or buying a home.",Indicate which principles you support (if any) regarding welfare.,"g) Allow welfare recipients to remain eligible for benefits while saving money for education, starting a business, or buying a home.",adjudicated,welfare,"[""welfare""]",,"[{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The policy explicitly mentions saving money for business or education, which suggests a focus on small businesses and individuals.""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""The policy aims to allow welfare recipients to continue receiving benefits while pursuing personal goals, which aligns with expanding the scope of welfare programs.""},{""axis"":""tax_distribution"",""pole"":""regressive"",""strength"":""secondary"",""rationale"":""The policy could potentially benefit those with lower incomes more than higher-income individuals, as they may have greater needs for education or business opportunities.""},{""axis"":""childcare_delivery"",""pole"":""employer_incentive"",""strength"":""secondary"",""rationale"":""Support for saving money for education, business starting, or home buying implies an incentive to employers who provide childcare services.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,2B2DA101C222848F,2006,criminalize the employment of an undocumented immigrant in alabama.,Indicate which principles you support (if any) regarding crime.,n) Criminalize the employment of an undocumented immigrant in Alabama.,adjudicated,criminal_justice,"[""criminal_justice""]",,"[{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""secondary"",""rationale"":""This policy directly impacts labor market dynamics.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""The impact of this policy is likely to be more significant on small businesses that rely on undocumented workers.""},{""axis"":""criminal_punishment"",""pole"":""punitive"",""strength"":""primary"",""rationale"":""The primary effect is to impose criminal penalties on employers who hire undocumented immigrants, indicating a punitive approach towards crime control.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,2DC8998598026774,2006,increase funding for improvements to alabama's power generating and transmission facilities.,Indicate which principles you support (if any) regarding the environment and energy.,d) Increase funding for improvements to Alabama's power generating and transmission facilities.,adjudicated,environment,"[""environment""]",,"[{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""resource_development"",""pole"":""expand"",""strength"":""primary"",""rationale"":""primary""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""primary"",""rationale"":""Increasing funding for improvements to power generating and transmission facilities indicates a government intervention in the market, as it is providing financial support to enhance infrastructure.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,308441A9ED2DA09A,2014,do you support requiring individuals to purchase health care insurance?,,e) Do you support requiring individuals to purchase health care insurance?,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy is a restriction on access to healthcare.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,322CA7D48D04601A,2002,eliminate government-funded welfare programs.,Indicate which principles you support (if any) regarding welfare.,f) Eliminate government-funded welfare programs.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy directly limits the provision of welfare programs.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,368D7BAA6EFC1AA6,2002,support a constitutional amendment giving communities control over local school funding and standards.,Indicate which principles you support (if any) regarding education.,l) Support a constitutional amendment giving communities control over local school funding and standards.,adjudicated,education,"[""education""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The text implies a preference for increased control over local school funding and standards.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""A constitutional amendment may require intervention in the market by altering existing governance structures, potentially leading to a shift from market-driven decisions to more community-led ones.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,3BCAB0D1F59A2F3C,2014,do you support interstate health insurance compacts?,,c) Do you support interstate health insurance compacts?,adjudicated,healthcare,"[""healthcare"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The policy is a support for interstate health insurance compacts. This implies that the policy supports the expansion of healthcare access and coverage.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,3DF013D73F0D40C0,2002,support contracting with private sector firms to build and/or manage state prisons.,Indicate which principles you support (if any) to address crime.,b) Support contracting with private sector firms to build and/or manage state prisons.,adjudicated,business,"[""business"",""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""The text implies a preference for private sector involvement in prison management.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The text suggests a restriction on government's role in prison management.""},{""axis"":""labor_capital_alignment"",""pole"":""capital_management"",""strength"":""primary"",""rationale"":""Private sector firms are often more capital-efficient than government-run prisons. This could lead to reduced costs and improved resource allocation for other welfare programs.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,3E200B09DAF92379,2014,instituting mandatory furloughs and/or layoffs for state employees,"1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Instituting mandatory furloughs AND/OR layoffs for state employees,adjudicated,labor,"[""labor"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy is a form of labor restriction.""},{""axis"":""business_scale_alignment"",""pole"":""large_business"",""strength"":""secondary"",""rationale"":""Layoffs and furloughs are more likely to impact large businesses than small businesses.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,3FEF986C9A21BBA1,2006,enact environmental regulations even if they are stricter than federal law.,Indicate which principles you support (if any) regarding the environment and energy.,f) Enact environmental regulations even if they are stricter than federal law.,adjudicated,environment,"[""environment""]",,"[{""axis"":""environmental_protection"",""pole"":""strengthen"",""strength"":""secondary"",""rationale"":""The policy explicitly supports stricter environmental regulations.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""primary"",""rationale"":""Enacting environmental regulations implies government intervention in the market to enforce compliance with stricter standards.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,40F0CB680D808788,2010,do you support expanding access to health care through commercial health insurance reform?,,b) Do you support expanding access to health care through commercial health insurance reform?,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""public_private_provision"",""pole"":""public_provision"",""strength"":""primary"",""rationale"":""The question asks for support of expanding access to healthcare through commercial health insurance reform. This implies a government-funded or regulated system, not private provision.""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""The policy aims to expand access to health care through commercial insurance reform.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,42C5D23EEB4415CF,2006,eliminate government-funded welfare programs.,Indicate which principles you support (if any) regarding welfare.,g) Eliminate government-funded welfare programs.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy is a restriction on government-funded welfare programs.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,43626A90BE2A35E9,2010,do you support increasing penalties for illegal cockfighting?,,d) Do you support increasing penalties for illegal cockfighting?,adjudicated,criminal_justice,"[""criminal_justice""]",,"[{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""secondary"",""rationale"":""This policy directly impacts labor by increasing penalties for illegal activities that may affect the workforce.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""The impact of this policy on small businesses is secondary. This policy primarily affects illegal activities, which may have a broader impact on the economy.""},{""axis"":""environmental_protection"",""pole"":""weaken"",""strength"":""secondary"",""rationale"":""This policy does not directly address environmental protection or resource management. It focuses on criminal justice and public safety issues.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""Increasing penalties implies a restriction on the practice.""},{""axis"":""criminal_punishment"",""pole"":""punitive"",""strength"":""primary"",""rationale"":""Supporting increased penalties suggests a punitive approach to crime.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,4389BFFBF6BF5237,2010,do you support the state's use of affirmative action?,,e) Do you support the state's use of affirmative action?,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""affirmative action is a form of government intervention in the labor market.""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""affirmative action expands opportunities for historically disadvantaged groups.""},{""axis"":""civil_social_liberty"",""pole"":""expand"",""strength"":""primary"",""rationale"":""Supporting affirmative action is often framed in terms of promoting civil liberties and equality, which can be considered an expansion of these rights.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,4414F58653B9CA9C,2010,regulating and taxing gaming proceeds,1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,b) Regulating and taxing gaming proceeds,adjudicated,taxation,"[""taxation"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""regulating and taxing gaming proceeds is a form of restriction on the industry.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""Regulating and taxing gaming proceeds involves government intervention in the market, which can be seen as a form of regulation.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,504E31D8A695D80A,2018,do you support requiring individuals to purchase health care insurance?,,c) Do you support requiring individuals to purchase health care insurance?,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""primary"",""rationale"":""Focused Ministral pole adjudication""}]",medium,,direction_conflict,"{""welfare_policy"": ""restriction""}",focused_ministral_direction_adjudication
2.0.1,535CB79330B5241C,1998,use state funds to continue some medicaid coverage for legal immigrants.,Indicate which principles you support (if any) regarding health issues.,e) Use state funds to continue some Medicaid coverage for legal immigrants.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The text explicitly states that the option is about using state funds to continue Medicaid coverage for legal immigrants. This implies an expansion of healthcare access, which aligns with a welfare policy goal of expanding access to services.""},{""axis"":""tax_distribution"",""pole"":""progressive"",""strength"":""primary"",""rationale"":""Using state funds for this purpose implies a progressive approach, as it distributes resources based on need rather than ability to pay taxes.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,53A6A5F7E512C9BD,2018,do you support greater efforts by alabama state government in closing the pay gap between men and women?,,c) Do you support greater efforts by Alabama state government in closing the pay gap between men and women?,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The question asks for support of efforts to close the pay gap. This implies a policy that aims to increase the income of women, which is an expansion of welfare.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,550A97458B9F11A9,2018,do you support increasing funding for the state education budget?,,d) Do you support increasing funding for the state education budget?,adjudicated,education,"[""education""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""expansion of public services""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""Increasing funding for the state education budget could be seen as an intervention in market-driven educational systems.""},{""axis"":""education_governance"",""pole"":""public_system"",""strength"":""primary"",""rationale"":""Supporting increased funding aligns with a public system of education, where the government plays a central role in providing education services to citizens.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,57E513C620CA44A1,1998,eliminate government-funded welfare programs.,Indicate which principles you support (if any) regarding welfare.,i) Eliminate government-funded welfare programs.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""1""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,599EFED63AC23D0D,2010,should candidates for state office be encouraged to meet voluntary spending limits?,c) Do you support limits on the following types of contributions to candidates for state government?,d) Should candidates for state office be encouraged to meet voluntary spending limits?,adjudicated,business,"[""business"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""This policy restricts the amount of money candidates can spend on their campaigns.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,5B2149A1C60F5703,1998,transfer more existing medicaid recipients into managed care programs.,Indicate which principles you support (if any) regarding health issues.,d) Transfer more existing Medicaid recipients into managed care programs.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""primary"",""rationale"":""Focused Ministral pole adjudication""}]",medium,,direction_conflict,"{""welfare_policy"": ""restriction""}",focused_ministral_direction_adjudication
2.0.1,6132F9FB6E2EA24E,1998,support contracting with private sector firms to build and/or manage state prisons.,Indicate which principles you support (if any) to address crime.,b) Support contracting with private sector firms to build and/or manage state prisons.,adjudicated,business,"[""business"",""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""The policy directly involves private sector firms in the management of state prisons.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""This option restricts government involvement in prison construction and management, potentially leading to a reduction in public provision of this service.""},{""axis"":""labor_capital_alignment"",""pole"":""capital_management"",""strength"":""primary"",""rationale"":""Private sector firms are often more capital-efficient than public entities, which could lead to cost savings and improved prison management.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,63383E8D3ECED2DE,1998,provide tax incentives to businesses that hire welfare recipients.,Indicate which principles you support (if any) regarding welfare.,d) Provide tax incentives to businesses that hire welfare recipients.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""business_scale_alignment""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""business_scale_alignment""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,644206883C74EA1A,2002,ban the use of racial profiling by law enforcement officers.,Indicate which principles you support (if any) to address crime.,l) Ban the use of racial profiling by law enforcement officers.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""labor_capital_alignment"",""pole"":""labor"",""strength"":""secondary"",""rationale"":""This policy directly impacts labor relations by limiting police practices that could be seen as discriminatory or unfair to certain groups.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""This policy directly impacts market governance by limiting police practices that could be seen as discriminatory or unfair to certain groups.""},{""axis"":""public_private_provision"",""pole"":""public_provision"",""strength"":""secondary"",""rationale"":""This policy directly impacts public provision by limiting police practices that could be seen as discriminatory or unfair to certain groups.""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""primary"",""rationale"":""Restricting racial profiling aligns with restricting practices that may unfairly target certain groups, thus promoting welfare for those affected by such targeting.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,652DFD9FD6D61608,2014,do you support providing financial incentives to the private sector for the purpose of job creation?,,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,adjudicated,business,"[""business"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""The policy is designed to encourage job creation by providing financial incentives to employers who offer childcare benefits.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""This option specifically targets the private sector, including small businesses. It aims to incentivize job creation by providing financial support for employers who offer childcare benefits.""},{""axis"":""market_governance"",""pole"":""market_autonomy"",""strength"":""primary"",""rationale"":""Providing financial incentives to the private sector implies less direct government intervention in labor markets, promoting market autonomy.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,67A1A9458B0C5345,2002,provide tax incentives to businesses that hire welfare recipients.,Indicate which principles you support (if any) regarding welfare.,c) Provide tax incentives to businesses that hire welfare recipients.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""secondary""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,680B83C545612D27,2010,do you support state funding for improvements to alabama's energy infrastructure?,,d) Do you support state funding for improvements to Alabama's energy infrastructure?,adjudicated,environment,"[""environment""]",,"[{""axis"":""business_scale_alignment"",""pole"":""large_business"",""strength"":""secondary"",""rationale"":""The text does not specify whether the policy would be applied to small or large businesses.""},{""axis"":""resource_development"",""pole"":""expand"",""strength"":""primary"",""rationale"":""The question asks for support of state funding for improvements to Alabama's energy infrastructure, which implies a policy that would increase the development of this sector.""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""State funding for energy infrastructure improvements is a policy that expands the availability and accessibility of clean or sustainable energy sources, which can contribute to environmental welfare.""},{""axis"":""environmental_protection"",""pole"":""weaken"",""strength"":""secondary"",""rationale"":""While supporting state funding for infrastructure improvements may lead to increased efficiency in the use of resources and reduced emissions, it could also potentially weaken environmental protection if not accompanied by stringent regulations.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,69FBB4116F95F5A5,1998,decriminalize the use of marijuana for medicinal purposes.,Indicate which principles you support (if any) to address crime.,i) Decriminalize the use of marijuana for medicinal purposes.,adjudicated,criminal_justice,"[""criminal_justice""]",,[],medium,,direction_conflict,"{""welfare_policy"": ""not_applicable""}",focused_ministral_direction_adjudication
2.0.1,6E103B2BADA84DB2,2014,do you support state funding for improvements to alabama's energy infrastructure?,,c) Do you support state funding for improvements to Alabama's energy infrastructure?,adjudicated,environment,"[""environment""]",,"[{""axis"":""business_scale_alignment"",""pole"":""large_business"",""strength"":""primary"",""rationale"":""The question asks for state funding to improve energy infrastructure. This suggests a focus on large-scale projects that would benefit businesses.""},{""axis"":""resource_development"",""pole"":""expand"",""strength"":""primary"",""rationale"":""The policy directly supports expanding the development of resources, which is a clear indication of expansion in this domain.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""primary"",""rationale"":""The policy involves state funding which implies some level of government intervention in the energy sector.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,6E8C2C3510B78831,2006,limit the amount of punitive damages that can be awarded in medical malpractice lawsuits.,Indicate which principles you support (if any) regarding health.,c) Limit the amount of punitive damages that can be awarded in medical malpractice lawsuits.,adjudicated,healthcare,"[""healthcare"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy reduces the amount of money that can be awarded to plaintiffs in medical malpractice lawsuits.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,6F2F07CB8ACCADC4,2006,increase state funding for state and local emergency agencies to prevent or respond to terrorism.,Indicate which principles you support (if any) regarding crime.,k) Increase state funding for state and local emergency agencies to prevent or respond to terrorism.,adjudicated,welfare,"[""welfare""]",,"[{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""The text does not specify a business scale. It is unclear if the policy would impact small or large businesses.""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""This option aims to increase funding for emergency agencies, which suggests an expansion of welfare services.""}]",medium,,compatible_additive,{},small_model_additive_consensus
