organization,issue_categories,adjudication_status,adjudication_rationale
"American Federation of State, County & Municipal Employees (AFSCME)",Labor Unions,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
American Federation of Teachers,Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Forest and Paper Association,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Hospital Association,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Humane Association,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Immigration Lawyers Association (AILA),Immigration,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Institute of Aeronautics and Astronautics,Science,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Land Rights Association (formerly League of Private Property Voters),Housing and Property,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Lands Alliance,Environment,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Library Association,"Arts, Entertainment, and History",excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Medical Association PAC,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Muslims for Palestine,Foreign Affairs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Nurses Association,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Postal Workers Union,Infrastructure,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Public Health Association,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Road & Transportation Builders Association,Labor Unions,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Security Council Foundation,Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Shareholders Association,Finance and Banking,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Society for Radiation Oncology,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Society for the Prevention of Cruelty to Animals,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Society of Anesthesiologists,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Society of Landscape Architects,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Veterans,Veterans,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Veterinary Medical Association,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Wilderness Coalition,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Wind Energy Association,Energy,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Americans United for the Separation of Church and State,Religion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Americans for Democratic Action (ADA),Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Americans for Fair Taxation,Taxes,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Americans for Immigration Control,Immigration,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Americans for Prosperity,"Budget, Spending and Taxes",mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Americans for Safe Access,Marijuana,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Americans for Tax Reform,Taxes,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Americans for the Arts Action Fund,"Arts, Entertainment, and History",excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Animal Welfare Institute,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Animal Wellness Action,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Arab American Institute,Elections,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Armenian National Committee of America (ANCA),Foreign Affairs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Associated Builders & Contractors (ABC),Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Associated Equipment Distributors,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Associated General Contractors of America,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Association For Supervision and Curriculum Development,Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Association of Community Organization for Reform Now (ACORN),Unemployed and Low-Income,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Association of University Centers on Disabilities,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
"Bakery, Confectionery, Tobacco Workers and Grain Millers (BCTGM)",Labor Unions,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Battle For The Net,Technology and Communication,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Big Cat Rescue,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Bill Stamp,Religion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Born Free USA,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Brady Campaign to Prevent Gun Violence,Guns,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Bread for the World,Foreign Aid,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Business Council of Alabama,,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Business and Professional Women USA,Employment and Affirmative Action,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Business-Industry Political Action Committee (BIPAC),Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
CASA in Action,,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
CNET News,Technology and Communication,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Californians for Population Stabilization,Environment,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Campaign for America's Future,Liberal,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Campaign for Working Families,Abortion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Campaign for a Color Blind America,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Catholic Advocate,Religion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Center For Biological Diversity Action Fund,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Center for Freethought Equality,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Center for International Policy,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Center for Reclaiming America,Religion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Center for Security Policy,Defense,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Center for Worker Freedom (formerly known as Alliance for Worker Freedom),Employment and Affirmative Action,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Children's Defense Fund,Minors and Children,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Christian Action Network,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Christian Coalition of Alabama,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Christian Coalition of America,Family,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Church World Service,Foreign Aid,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Citizens United for Rehabilitation of Errants,Criminal Justice,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Citizens for Global Solutions,Environment,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Citizens for Health,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Citizens for Tax Justice,Taxes,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Clean Water Action,Environment,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Coalition of Franchisee Associations,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Common Cause,Campaign Finance,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Communications Workers of America,Labor Unions,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
CompTIA,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Competitive Enterprise Institute,Environment,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Computer & Communications Industry Association,Technology and Communication,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Concerned Women For America Legislative Action Committee,Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Concerned Women for America,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Concord Coalition,Economy and Fiscal,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
ConservAmerica,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Conservative Christians of Alabama,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Conservative Review,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Consumer Action,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Consumer Energy Alliance,Energy,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Consumer Federation of America,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Council for Citizens Against Government Waste,Government Budget and Spending,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Council for a Livable World,Defense,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Council on American-Islamic Relations,Foreign Affairs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Defenders of Wildlife Action Fund,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Depression and Bipolar Support Alliance,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Disabled American Veterans,Veterans,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Doris Day Animal League,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Drug Policy Alliance Network,Drugs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Drum Major Institute,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Eagle Forum,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Eagle Forum of Alabama,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
EarthRights International,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Eating Disorders Coalition,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Emerge America,,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Emergency Committee for American Trade,Economy and Fiscal,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
End Citizens United,Campaign Finance,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
EnerVest,Oil and Gas,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
English First,Immigration,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Environment America,Environment,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Everytown for Gun Safety/Moms Demand Action for Gun Sense in America,,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Faith and Freedom Coalition,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Family Policy Alliance,Abortion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Family Research Council (FRC) Action,Family,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Federally Employed Women,Employment and Affirmative Action,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Federation for American Immigration Reform (FAIR),Immigration,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Federation of American Societies for Experimental Biology,Science,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Financial Executives International,Finance and Banking,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Fleet Reserve Association,Military Personnel,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Food Policy Action,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Foreign Policy For America,Foreign Affairs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Freedom Democrats,Fiscally Liberal,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Freedom First Society,Fiscally Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
FreedomWorks,Government Operations,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Friends Committee on National Legislation,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
GOPUSA,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Global AIDS Alliance,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Global Exchange,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Grassroots Netroots Alliance,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Gun Owners of America (GOA),Guns,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Heritage Action for America,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Heritage Alliance,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
"Hispanic Federation, LCLAA, LULAC, Mi Familia Vota, NCLR, and Voto Latino",Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Home Builders of Association of Alabama,,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Home School Legal Defense Association (HSLDA),Education,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Hope for Peace and Justice,Religion,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Human Rights Campaign,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Humane World Action Fund,Animals and Wildlife,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Independent Electrical Contractors,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Independent Petroleum Association of America (IPAA),Oil and Gas,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Information Technology Industry Council,Technology and Communication,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
International Association of Fire Fighters,Infrastructure,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
International Association of Machinists and Aerospace Workers,Labor Unions,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
International Brotherhood of Boilermakers,Infrastructure,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
International Brotherhood of Electrical Workers (IBEW),Labor Unions,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
International Brotherhood of Teamsters,Labor Unions,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
International Foodservice Distributors Association,Food Processing and Sales,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
International Warehouse Logistics Association,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Iraq and Afghanistan Veterans of America,Veterans,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Keep America Safe,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
LEAP Forward,Guns,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
LGBTQ+ Victory Fund,,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Latin America Working Group,Foreign Affairs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Leading Age,Housing and Property,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
League of Conservation Voters,Environment,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
League of Southeastern Credit Unions,Business and Consumers|Finance and Banking,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
League of United Latin American Citizens,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
