election_year,section,question,option_text,policy_key,dimension,affirmative_direction,coding_confidence,response_mode,coding_status,candidates_observed,selected_responses,normalized_option,policy_family
2014.0,Crime & Public Safety Issues:,,"b) Do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",,,,,,unmapped,5,5,"do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",criminal_justice
2014.0,Crime & Public Safety Issues:,,c) Do you support legalizing the possession of small amounts of marijuana?,crime_marijuana_legalization,criminal_justice_position,-1.0,high,binary,rule_mapped,5,4,do you support legalizing the possession of small amounts of marijuana?,criminal_justice
2014.0,Crime & Public Safety Issues:,,d) Should a minor accused of a violent crime be prosecuted as an adult?,,,,,,unmapped,5,4,should a minor accused of a violent crime be prosecuted as an adult?,criminal_justice
2014.0,Crime & Public Safety Issues:,,e) Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,,,,,,unmapped,5,4,should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,criminal_justice
2014.0,Crime & Public Safety Issues:,,f) Do you support the enforcement of federal immigration laws by state and local police?,,,,,,unmapped,5,4,do you support the enforcement of federal immigration laws by state and local police?,criminal_justice
2014.0,Economic Issues:,,a) Do you support reducing government regulations on the private sector?,economic_reduce_regulation,economic_ideology,1.0,high,binary,rule_mapped,5,4,do you support reducing government regulations on the private sector?,economy_business
2014.0,Economic Issues:,,b) Do you support increased state funding for job-training programs that re-train displaced workers?,economic_job_training,economic_ideology,-1.0,high,binary,rule_mapped,5,5,do you support increased state funding for job-training programs that re-train displaced workers?,economy_business
2014.0,Economic Issues:,,c) Do you support expanding access to unemployment benefits?,economic_unemployment_benefits,economic_ideology,-1.0,high,binary,rule_mapped,5,5,do you support expanding access to unemployment benefits?,economy_business
2014.0,Economic Issues:,,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,,,,,,unmapped,5,5,do you support providing financial incentives to the private sector for the purpose of job creation?,economy_business
2014.0,Economic Issues:,,e) Do you support government spending as a means of promoting economic growth?,economic_government_spending_growth,economic_ideology,-1.0,high,binary,rule_mapped,5,5,do you support government spending as a means of promoting economic growth?,economy_business
2014.0,Economic Issues:,,f) Do you support providing direct financial assistance to homeowners facing foreclosure?,economic_homeowner_assistance,economic_ideology,-1.0,high,binary,rule_mapped,5,5,do you support providing direct financial assistance to homeowners facing foreclosure?,economy_business
2014.0,Economic Issues:,,g) Do you support an increase of the minimum wage?,labor_minimum_wage,labor_position,-1.0,high,binary,rule_mapped,5,5,do you support an increase of the minimum wage?,economy_business
2014.0,Education Issues:,,a) Do you support the national Common Core State Standards initiative?,,,,,,unmapped,5,4,do you support the national common core state standards initiative?,education
2014.0,Education Issues:,,b) Do you support a merit pay system for teachers?,education_teacher_merit_pay,education_position,1.0,medium,binary,rule_mapped,5,5,do you support a merit pay system for teachers?,education
2014.0,Education Issues:,,c) Is the tenure process for public school teachers producing effective teachers?,,,,,,unmapped,5,4,is the tenure process for public school teachers producing effective teachers?,education
2014.0,Education Issues:,,d) Should parents be allowed to use vouchers to send their children to any school?,education_vouchers,education_position,1.0,medium,binary,rule_mapped,5,5,should parents be allowed to use vouchers to send their children to any school?,education
2014.0,Education Issues:,,e) Do you support state funding for charter schools?,education_charter_schools,education_position,1.0,medium,binary,rule_mapped,5,5,do you support state funding for charter schools?,education
2014.0,Education Issues:,,f) Do you support the state government providing college students with financial aid?,education_student_financial_aid,education_position,-1.0,high,binary,rule_mapped,5,5,do you support the state government providing college students with financial aid?,education
2014.0,Education Issues:,,g) Should illegal immigrants who graduate from Alabama high schools be eligible for in-state tuition at public universities?,immigration_instate_tuition,immigration_position,-1.0,high,binary,rule_mapped,5,5,should illegal immigrants who graduate from alabama high schools be eligible for in-state tuition at public universities?,education
2014.0,Environment & Energy Issues:,,a) Do you support state funding for the development of alternative energy?,environment_alternative_energy_funding,environment_position,-1.0,high,binary,rule_mapped,5,5,do you support state funding for the development of alternative energy?,environment_energy_resources
2014.0,Environment & Energy Issues:,,"b) Do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",,,,,,unmapped,5,5,"do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",environment_energy_resources
2014.0,Environment & Energy Issues:,,c) Do you support state funding for improvements to Alabama's energy infrastructure?,,,,,,unmapped,5,5,do you support state funding for improvements to alabama's energy infrastructure?,environment_energy_resources
2014.0,Environment & Energy Issues:,,d) Do you support state funding for open space preservation?,environment_open_space_funding,environment_position,-1.0,high,binary,rule_mapped,5,5,do you support state funding for open space preservation?,environment_energy_resources
2014.0,Environment & Energy Issues:,,e) Do you support government regulations of greenhouse gas emissions?,environment_emissions_regulation,environment_position,-1.0,high,binary,rule_mapped,5,5,do you support government regulations of greenhouse gas emissions?,environment_energy_resources
2014.0,Environment & Energy Issues:,,f) Other or expanded principles:,,,,,,unmapped,5,0,other or expanded principles:,environment_energy_resources
2014.0,Gun Issues:,,a) Do you support restrictions on the purchase and possession of guns?,guns_restrictions,guns_position,-1.0,high,binary,rule_mapped,5,4,do you support restrictions on the purchase and possession of guns?,guns
2014.0,Gun Issues:,,b) Should background checks be required on gun sales between private citizens at gun shows?,guns_background_checks,guns_position,-1.0,high,binary,rule_mapped,5,4,should background checks be required on gun sales between private citizens at gun shows?,guns
2014.0,Gun Issues:,,c) Should citizens be allowed to carry concealed guns?,,,,,,unmapped,5,4,should citizens be allowed to carry concealed guns?,guns
2014.0,Gun Issues:,,d) Should a license be required for gun possession?,guns_license,guns_position,-1.0,high,binary,rule_mapped,5,4,should a license be required for gun possession?,guns
2014.0,Health Issues:,,"a) Do you support a universally-accessible, publicly-administered health insurance option?",,,,,,unmapped,5,5,"do you support a universally-accessible, publicly-administered health insurance option?",healthcare
2014.0,Health Issues:,,b) Do you support expanding access to health care through commercial health insurance reform?,,,,,,unmapped,5,5,do you support expanding access to health care through commercial health insurance reform?,healthcare
2014.0,Health Issues:,,c) Do you support interstate health insurance compacts?,,,,,,unmapped,5,5,do you support interstate health insurance compacts?,healthcare
2014.0,Health Issues:,,d) Do you support Medicaid expansion under the Affordable Care Act?,,,,,,unmapped,5,5,do you support medicaid expansion under the affordable care act?,healthcare
2014.0,Health Issues:,,e) Do you support requiring individuals to purchase health care insurance?,,,,,,unmapped,5,4,do you support requiring individuals to purchase health care insurance?,healthcare
2014.0,Health Issues:,,f) Do you support monetary limits on damages that can be collected in malpractice lawsuits?,economic_tort_damage_limits,economic_ideology,1.0,high,binary,rule_mapped,5,4,do you support monetary limits on damages that can be collected in malpractice lawsuits?,healthcare
2014.0,Health Issues:,,g) Do you support allowing doctors to prescribe marijuana to their patients for medicinal purposes?,health_medical_marijuana,healthcare_position,-1.0,high,binary,rule_mapped,5,5,do you support allowing doctors to prescribe marijuana to their patients for medicinal purposes?,healthcare
2014.0,Health Issues:,,h) Other or expanded principles:,,,,,,unmapped,5,0,other or expanded principles:,healthcare
2014.0,Social Issues:,,a) Do you support same-sex marriage?,social_same_sex_marriage,social_ideology,-1.0,high,binary,rule_mapped,5,4,do you support same-sex marriage?,social_civil_family
2014.0,Social Issues:,,b) Should same-sex couples be allowed to form civil unions?,social_same_sex_marriage,social_ideology,-1.0,high,binary,rule_mapped,5,4,should same-sex couples be allowed to form civil unions?,social_civil_family
2014.0,Social Issues:,,c) Do you support the inclusion of sexual orientation in Alabama's anti-discrimination laws?,social_sexual_orientation_inclusion,social_ideology,-1.0,high,binary,rule_mapped,5,4,do you support the inclusion of sexual orientation in alabama's anti-discrimination laws?,social_civil_family
2014.0,Social Issues:,,d) Do you support the inclusion of gender identity in Alabama's anti-discrimination laws?,social_gender_identity_inclusion,social_ideology,-1.0,high,binary,rule_mapped,5,4,do you support the inclusion of gender identity in alabama's anti-discrimination laws?,social_civil_family
2014.0,Social Issues:,,e) Other or expanded principles:,,,,,,unmapped,4,0,other or expanded principles:,social_civil_family
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,a) Abortions should always be illegal.,abortion_always_illegal,abortion_position,1.0,high,binary,rule_mapped,62,5,abortions should always be illegal.,abortion_reproductive
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,b) Abortions should always be legally available.,abortion_always_legal,abortion_position,-1.0,high,binary,rule_mapped,62,7,abortions should always be legally available.,abortion_reproductive
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,c) Abortions should be legal only within the first trimester of pregnancy.,abortion_first_trimester_legality,abortion_position,-1.0,medium,binary,rule_mapped,62,9,abortions should be legal only within the first trimester of pregnancy.,abortion_reproductive
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,d) Abortions should be legal when the pregnancy resulted from incest or rape.,abortion_rape_incest_exception,abortion_position,-1.0,medium,binary,rule_mapped,62,30,abortions should be legal when the pregnancy resulted from incest or rape.,abortion_reproductive
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,e) Abortions should be legal when the life of the woman is endangered.,abortion_life_exception,abortion_position,-1.0,medium,binary,rule_mapped,62,43,abortions should be legal when the life of the woman is endangered.,abortion_reproductive
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,f) Eliminate public funding for abortions and public funding of organizations that advocate or perform abortions.,abortion_public_funding_prohibition,abortion_position,1.0,high,binary,rule_mapped,62,35,eliminate public funding for abortions and public funding of organizations that advocate or perform abortions.,abortion_reproductive
2002.0,Abortion Issues,Indicate which principles you support (if any) concerning abortion.,g) Other or expanded principles,open_ended_other,non_scorable,,high,,non_scorable,61,9,other or expanded principles,abortion_reproductive
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,a) Education (Higher),spending_higher_education,education_position,-1.0,high,ordinal,rule_mapped,62,56,education (higher),fiscal_tax_budget
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,b) Education (K-12),spending_k12_education,education_position,-1.0,high,ordinal,rule_mapped,62,57,education (k-12),fiscal_tax_budget
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,c) Environment,spending_environment,environment_position,-1.0,high,ordinal,rule_mapped,62,56,environment,fiscal_tax_budget
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,d) Health care,spending_healthcare,healthcare_position,-1.0,high,ordinal,rule_mapped,62,56,health care,fiscal_tax_budget
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,e) Law enforcement,spending_law_enforcement,criminal_justice_position,1.0,medium,ordinal,rule_mapped,62,56,law enforcement,fiscal_tax_budget
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,f) Transportation and Highway infrastructure,transportation_spending,position_only,,high,ordinal,position_only,62,56,transportation and highway infrastructure,fiscal_tax_budget
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,g) Welfare,spending_welfare,economic_ideology,-1.0,high,ordinal,rule_mapped,62,55,welfare,fiscal_tax_budget
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,h) Other or expanded categories,open_ended_other,non_scorable,,high,,non_scorable,60,3,other or expanded categories,fiscal_tax_budget
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,a) Alcohol taxes,tax_alcohol,economic_ideology,-1.0,medium,ordinal,rule_mapped,62,52,alcohol taxes,fiscal_tax_budget
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,b) Capital gains taxes,tax_capital_gains,economic_ideology,-1.0,high,ordinal,rule_mapped,62,52,capital gains taxes,fiscal_tax_budget
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,c) Cigarette taxes,tax_cigarette,economic_ideology,-1.0,medium,ordinal,rule_mapped,62,52,cigarette taxes,fiscal_tax_budget
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,d) Corporate taxes,tax_corporate,economic_ideology,-1.0,high,ordinal,rule_mapped,62,52,corporate taxes,fiscal_tax_budget
2002.0,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,e) Gasoline taxes,tax_gasoline,economic_ideology,-1.0,medium,ordinal,rule_mapped,62,52,gasoline taxes,fiscal_tax_budget
