canonical_candidate_id,person_id,year,chamber,district_candidate,canonical_party,canonical_name,incumbent,winner,prior_winner_i,expected_prior_officeholder,resolved_name,name_source,people_id,member_source_id,member_display_name,first_session,last_session,legislative_sessions,identity_status,identity_match_method,review_reason
AL-2002-house-10-R-BALL-MIKE,ALPERSON-BALL-MIKE,2002,house,10,R,"Ball, Mike",0,1,False,False,"Ball, Mike",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-83-D-BANDY,ALPERSON-BANDY,1994,house,83,D,Bandy,0,1,False,False,Bandy,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-83-D-BANDY-GEORGE-TOOTIE,ALPERSON-BANDY-GEORGE-TOOTIE,2002,house,83,D,"Bandy, George (Tootie)",0,1,False,False,"Bandy, George (Tootie)",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-3-R-BARNES-STEVEN-C,ALPERSON-BARNES-STEVEN-C,2002,house,3,R,"Barnes, Steven C.",0,0,False,False,Steven C. Barnes,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-senate-8-D-BARRON,ALPERSON-BARRON,1994,senate,8,D,Barron,0,1,False,False,Barron,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-104-R-BARTON-JIM,ALPERSON-BARTON-JIM,2002,house,104,R,"Barton, Jim",0,1,False,False,"Barton, Jim",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-senate-7-D-BATTS,ALPERSON-BATTS,1998,senate,7,D,Batts,0,0,False,False,Batts,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-97-R-BAUMHAUER,ALPERSON-BAUMHAUER,1994,house,97,R,Baumhauer,0,0,False,False,Baumhauer,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-84-D-BEASLEY,ALPERSON-BEASLEY,1998,house,84,D,Beasley,0,1,False,False,Beasley,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-84-D-BEASLEY-BILLY,ALPERSON-BEASLEY-BILLY,2002,house,84,D,"Beasley, Billy",0,1,False,False,"Beasley, Billy",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-51-R-BEASON-SCOTT,ALPERSON-BEASON-SCOTT,2002,house,51,R,"Beason, Scott",0,1,False,False,"Beason, Scott",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2014-senate-35-D-BEAU-DOOLITTLE,ALPERSON-BEAU-DOOLITTLE,2014,senate,35,D,Beau Doolittle,0,0,False,False,Beau Doolittle,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-87-R-BECK-WARREN-HARRIS,ALPERSON-BECK-WARREN-HARRIS,2002,house,87,R,"Beck, Warren Harris",0,1,False,False,"Beck, Warren Harris",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2014-house-24-D-BEDDINGFIELD,ALPERSON-BEDDINGFIELD,2014,house,24,D,Beddingfield,0,0,False,False,David Beddingfield,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-senate-6-D-BEDFORD,ALPERSON-BEDFORD,1994,senate,6,D,Bedford,0,1,False,False,Bedford,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-1-R-BEER,ALPERSON-BEER,1998,house,1,R,Beer,0,0,False,False,Greg Beer,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-house-32-R-BEN-LITTLE,ALPERSON-BEN-LITTLE,2006,house,32,R,BEN LITTLE,0,0,False,False,Benjamin L. Little,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-senate-21-R-BENTLEY,ALPERSON-BENTLEY,1998,senate,21,R,Bentley,0,0,False,False,Robert J. Bentley,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-12-R-BESHEARS-MITCHELL,ALPERSON-BESHEARS-MITCHELL,2002,house,12,R,"BeShears, Mitchell",0,0,False,False,"BeShears, Mitchell",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-42-R-BIALAS,ALPERSON-BIALAS,1994,house,42,R,Bialas,0,0,False,False,Howard Bialas,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-senate-17-D-BIDDLE,ALPERSON-BIDDLE,1994,senate,17,D,Biddle,0,1,False,False,Biddle,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-senate-17-R-BIDDLE-JACK-III,ALPERSON-BIDDLE-JACK-III,2002,senate,17,R,"Biddle, Jack, III",0,1,False,False,"Biddle, Jack, III",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-senate-9-R-BILL-INGRAM,ALPERSON-BILL-INGRAM,2006,senate,9,R,BILL INGRAM,0,0,False,False,BILL INGRAM,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-27-D-BILL-JONES,ALPERSON-BILL-JONES,2018,house,27,D,Bill Jones,0,0,False,False,Bill Jones,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-house-17-R-BILLY-DIXON,ALPERSON-BILLY-DIXON,2006,house,17,R,BILLY DIXON,0,0,False,False,BILLY DIXON,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-8-D-BILLY-JACKSON,ALPERSON-BILLY-JACKSON,2018,house,8,D,Billy Jackson,0,0,False,False,Billy Jackson,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-senate-5-D-BISHOP,ALPERSON-BISHOP,1998,senate,5,D,Bishop,0,0,False,False,Bishop,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-71-D-BLACK,ALPERSON-BLACK,1994,house,71,D,Black,0,1,False,False,Black,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-71-D-BLACK-LUCIUS,ALPERSON-BLACK-LUCIUS,2002,house,71,D,"Black, Lucius",0,1,False,False,"Black, Lucius",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-49-D-BLAIR,ALPERSON-BLAIR,1998,house,49,D,Blair,0,0,False,False,Sara Beth Blair,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-53-R-BLAKE,ALPERSON-BLAKE,1994,house,53,R,Blake,0,0,False,False,Blake,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-senate-23-R-BOB-DUKE,ALPERSON-BOB-DUKE,2006,senate,23,R,BOB DUKE,0,0,False,False,BOB DUKE,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-senate-3-D-BOBBY-DAY,ALPERSON-BOBBY-DAY,2006,senate,3,D,BOBBY DAY,0,0,False,False,BOBBY DAY,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2014-house-85-R-BOBBY-LEWIS,ALPERSON-BOBBY-LEWIS,2014,house,85,R,Bobby Lewis,0,0,False,False,Bobby Lewis,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-senate-20-R-BONHAM,ALPERSON-BONHAM,1998,senate,20,R,Bonham,0,0,False,False,Ken Hugh Bonham,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-89-D-BOOTHE-ALAN,ALPERSON-BOOTHE-ALAN,2002,house,89,D,"Boothe, Alan",0,1,False,False,"Boothe, Alan",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-64-R-BOWEN,ALPERSON-BOWEN,1994,house,64,R,Bowen,0,0,False,False,Bowen,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-31-R-BOWEN,ALPERSON-BOWEN,1998,house,31,R,Bowen,0,0,False,False,David Bowen,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-12-R-BOWLING,ALPERSON-BOWLING,1994,house,12,R,Bowling,0,0,False,False,Bowling,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-96-D-BOX,ALPERSON-BOX,1994,house,96,D,Box,0,1,False,False,Mike Box,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-32-D-BOYD-BARBARA-BIGSBY,ALPERSON-BOYD-BARBARA-BIGSBY,2002,house,32,D,"Boyd, Barbara Bigsby",0,1,False,False,"Boyd, Barbara Bigsby",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2010-senate-33-R-BRAD-MOSER,ALPERSON-BRAD-MOSER,2010,senate,33,R,BRAD MOSER,0,0,False,False,BRAD MOSER,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-32-R-BRADFORD,ALPERSON-BRADFORD,1998,house,32,R,Bradford,0,0,False,False,Ralph Bradford Sr.,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-senate-11-R-BRADFORD-RALPH-SR,ALPERSON-BRADFORD-RALPH-SR,2002,senate,11,R,"Bradford, Ralph, Sr.",0,0,False,False,"Bradford, Ralph, Sr.",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-senate-32-R-BRADLEY-BYRNE,ALPERSON-BRADLEY-BYRNE,2006,senate,32,R,BRADLEY BYRNE,0,1,False,False,BRADLEY BYRNE,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-13-R-BRANCH,ALPERSON-BRANCH,1998,house,13,R,Branch,0,0,False,False,Branch,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-senate-13-R-BRANCH,ALPERSON-BRANCH,1998,senate,13,R,Branch,0,0,False,False,Branch,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2010-senate-5-D-BRETT-WADSWORTH,ALPERSON-BRETT-WADSWORTH,2010,senate,5,D,BRETT WADSWORTH,0,0,False,False,BRETT WADSWORTH,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-75-R-BREWBAKER-DICK-L,ALPERSON-BREWBAKER-DICK-L,2002,house,75,R,"Brewbaker, Dick L.",0,1,False,False,"Brewbaker, Dick L.",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-5-D-BRIAN-D-WILLIAMS,ALPERSON-BRIAN-D-WILLIAMS,2018,house,5,D,Brian D Williams,0,0,False,False,Brian D Williams,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-38-D-BRIAN-MCGEE,ALPERSON-BRIAN-MCGEE,2018,house,38,D,Brian McGee,0,0,False,False,Brian McGee,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-38-R-BRIDGES-DUWAYNE,ALPERSON-BRIDGES-DUWAYNE,2002,house,38,R,"Bridges, DuWayne",0,1,False,False,"Bridges, DuWayne",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-18-R-BRITNELL,ALPERSON-BRITNELL,1998,house,18,R,Britnell,0,0,False,False,Britnell,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-senate-18-R-BRITNELL,ALPERSON-BRITNELL,1998,senate,18,R,Britnell,0,0,False,False,Britnell,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-69-R-BROOKS,ALPERSON-BROOKS,1994,house,69,R,Brooks,0,0,False,False,Brooks,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-40-R-BROOKS-PETE,ALPERSON-BROOKS-PETE,2002,house,40,R,"Brooks, Pete",0,0,False,False,"Brooks, Pete",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-92-R-BROXTON-ROGER,ALPERSON-BROXTON-ROGER,2002,house,92,R,"Broxton, Roger",0,0,False,False,"Broxton, Roger",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2014-senate-7-D-BRYAN-BENNETT,ALPERSON-BRYAN-BENNETT,2014,senate,7,D,Bryan Bennett,0,0,False,False,Bryan Bennett,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-senate-3-R-BUCHANAN,ALPERSON-BUCHANAN,1998,senate,3,R,Buchanan,0,0,False,False,Jack Buchanan,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-24-D-BURKE,ALPERSON-BURKE,1994,house,24,D,Burke,0,1,False,False,Burke,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-24-D-BURKE,ALPERSON-BURKE,1998,house,24,D,Burke,0,0,True,True,Ralph Burke,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-99-D-BUSKEY,ALPERSON-BUSKEY,1994,house,99,D,Buskey,0,1,False,False,Buskey,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-99-D-BUSKEY-JAMES-E,ALPERSON-BUSKEY-JAMES-E,2002,house,99,D,"Buskey, James E.",0,1,False,False,"Buskey, James E.",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-senate-2-D-BUTLER-TOM,ALPERSON-BUTLER-TOM,2002,senate,2,D,"Butler, Tom",0,1,False,False,"Butler, Tom",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-senate-32-R-BYRNE-BRADLEY,ALPERSON-BYRNE-BRADLEY,2002,senate,32,R,"Byrne, Bradley",0,1,False,False,"Byrne, Bradley",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2014-house-21-D-C-TERRY-JONES,ALPERSON-C-TERRY-JONES,2014,house,21,D,C. Terry Jones,0,0,False,False,C. Terry Jones,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-senate-35-R-CALLAHAN,ALPERSON-CALLAHAN,1998,senate,35,R,Callahan,0,1,False,False,Callahan,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-senate-35-R-CALLAHAN-GEORGE-M,ALPERSON-CALLAHAN-GEORGE-M,2002,senate,35,R,"Callahan, George M.",0,0,False,False,George M. Callahan,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-house-49-R-CAM-WARD,ALPERSON-CAM-WARD,2006,house,49,R,CAM WARD,0,1,False,False,CAM WARD,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-36-D-CAMPBELL,ALPERSON-CAMPBELL,1994,house,36,D,Campbell,0,0,False,False,Campbell,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-43-D-CARIN-MAYO,ALPERSON-CARIN-MAYO,2018,house,43,D,Carin Mayo,0,0,False,False,Carin Mayo,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-senate-11-D-CARL-CARTER,ALPERSON-CARL-CARTER,2018,senate,11,D,Carl Carter,0,0,False,False,Carl Carter,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-48-R-CARNS-JIM,ALPERSON-CARNS-JIM,2002,house,48,R,"Carns, Jim",0,1,False,False,"Carns, Jim",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-senate-1-D-CAROLINE-SELF,ALPERSON-CAROLINE-SELF,2018,senate,1,D,Caroline Self,0,0,False,False,Caroline Self,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-house-79-D-CAROLYN-ELLIS,ALPERSON-CAROLYN-ELLIS,2006,house,79,D,CAROLYN ELLIS,0,0,False,False,Carolyn Ellis,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-86-D-CAROTHERS,ALPERSON-CAROTHERS,1994,house,86,D,Carothers,0,1,False,False,Joe R. Carothers Jr.,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-86-D-CAROTHERS,ALPERSON-CAROTHERS,1998,house,86,D,Carothers,0,1,True,True,Carothers,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-86-D-CAROTHERS-JOE,ALPERSON-CAROTHERS-JOE,2002,house,86,D,"Carothers, Joe",0,1,False,False,"Carothers, Joe",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-5-D-CARTER,ALPERSON-CARTER,1994,house,5,D,Carter,0,1,False,False,Carter,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-5-D-CARTER,ALPERSON-CARTER,1998,house,5,D,Carter,0,1,True,True,Tommy Carter,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-5-D-CARTER-TOMMY,ALPERSON-CARTER-TOMMY,2002,house,5,D,"Carter, Tommy",0,1,False,False,"Carter, Tommy",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-42-R-CATON-ALLEN,ALPERSON-CATON-ALLEN,2002,house,42,R,"Caton, Allen",0,0,False,False,"Caton, Allen",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-3-D-CHAD-YOUNG,ALPERSON-CHAD-YOUNG,2018,house,3,D,Chad Young,0,0,False,False,Chad Young,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-36-D-CHANDLER-WAYNE,ALPERSON-CHANDLER-WAYNE,2002,house,36,D,"Chandler, Wayne",0,0,False,False,"Chandler, Wayne",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-senate-25-D-CHAPPELL,ALPERSON-CHAPPELL,1998,senate,25,D,Chappell,0,0,False,False,Michael Chappell,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2010-house-45-D-CHARLENE-CANNON,ALPERSON-CHARLENE-CANNON,2010,house,45,D,CHARLENE CANNON,0,0,False,False,CHARLENE CANNON,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-99-R-CHARLES-W-TALBERT,ALPERSON-CHARLES-W-TALBERT,2018,house,99,R,Charles W. Talbert,0,0,False,False,Charles W. Talbert,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-37-D-CHARLOTTE-A-CLARK-FRIESON,ALPERSON-CHARLOTTE-A-CLARK-FRIESON,2018,house,37,D,Charlotte A. Clark-Frieson,0,0,False,False,Charlotte A. Clark-Frieson,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-senate-7-R-CHERYL-BASWELL-GUTHRIE,ALPERSON-CHERYL-BASWELL-GUTHRIE,2006,senate,7,R,CHERYL BASWELL-GUTHRIE,0,0,False,False,CHERYL BASWELL-GUTHRIE,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-80-D-CHRISTOPHER-F-APOSTLE-DAVIS,ALPERSON-CHRISTOPHER-F-APOSTLE-DAVIS,2018,house,80,D,"Christopher F. ""Apostle"" Davis",0,0,False,False,"Christopher F. ""Apostle"" Davis",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
