ontology_version,review_id,election_year,section,question,option_text,candidate_count,initial_models_agree,escalated,initial_effect_signature,human_review_required
2.0.1,86F73CED0D2C803E,2006,Budget and Tax Issues,State Budget: Indicate the funding levels (#1-6) you will support for the following general categories. Select one level per category.State Taxes: Indicate the tax levels (#1-6) you will support. Select one level per tax.,c) Emergency preparedness,34,False,True,,True
2.0.1,8C79679C3CD55C04,2018,Health Issues:,,b) Do you support Medicaid expansion through Alabama's health care programs?,18,True,True,"[[""welfare_policy"", ""expansion""]]",True
2.0.1,8FDCBA6BE570A020,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,g) Should current elected officials be prohibited from holding additional state jobs?,19,False,True,,True
2.0.1,90DAFBF66D8125A3,2018,Campaign Finance & Government Reform Issues:,,b) Do you support the regulation of indirect campaign contributions from corporations and unions?,19,False,True,,True
2.0.1,91A39BD191A5FD02,2010,Environment and Energy Issues,,"b) Do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",20,False,True,,True
2.0.1,9213CF20D5CEC9AB,2014,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,d) Do you support the use of an independent AND/OR bipartisan commission for redistricting?,4,False,True,,True
2.0.1,931EB467CC8B2AA0,2006,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,d) Redirect welfare funding to faith-based and community-based private organizations.,13,False,True,,True
2.0.1,9395B1D2CF02F0D7,2010,Crime and Public Safety Issues,,c) Should the possession of small amounts of marijuana be decriminalized?,20,False,True,,True
2.0.1,9420CEB59F3A5B54,1998,Social Issues,Indicate which principles you support (if any) regarding social issues.,b) Provide tax credits for businesses that provide child care for their employees.,49,False,True,,True
2.0.1,9425212F9E5F1AAD,2010,Economic Issues,,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,21,False,True,,True
2.0.1,95759DE3BF6FFDC2,2010,Health Issues,,"a) Do you support a universally-accessible, publicly-administered health insurance option?",20,True,True,"[[""welfare_policy"", ""expansion""]]",True
2.0.1,9D9EDCB0385C047E,1998,Education,Indicate which principles you support (if any) regarding education.,j) Support state-funded merit scholarships for Alabama students to attend college in Alabama.,46,False,True,,True
2.0.1,A034F58CAE369A18,2014,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",f) Transportation/infrastructure,4,False,True,,True
2.0.1,A3DAFE003331A320,2014,Education Issues:,,c) Is the tenure process for public school teachers producing effective teachers?,3,True,True,"[[""welfare_policy"", ""restriction""]]",True
2.0.1,A7650344F2E564A0,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,4) Political Party,21,False,True,,True
2.0.1,A7E047B2B299B4BB,2010,Crime and Public Safety Issues,,g) Do you support the enforcement of federal immigration laws by state and local police?,20,False,True,,True
2.0.1,A8F2E5E479B405FD,2006,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,e) Use federal TANF (Temporary Assistance to Needy Families) funds to extend health and child care subsidies to the working poor.,19,False,True,,True
2.0.1,AD5450F8A17FF56B,2010,Crime and Public Safety Issues,,"b) Do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",21,False,True,,True
2.0.1,AE7AFBFDADB8713B,2006,Budget and Tax Issues,State Budget: Indicate the funding levels (#1-6) you will support for the following general categories. Select one level per category.State Taxes: Indicate the tax levels (#1-6) you will support. Select one level per tax.,n) Should fee increases be used to balance the state budget?,34,False,True,,True
2.0.1,B14D15340216A904,1998,Environment & Energy,Indicate which principles you support (if any) regarding the environment and energy.,i) Support a three-year moratorium on both new hog farms and all expansions of farms to over 500 hogs.,11,False,True,,True
2.0.1,B4C11C285F3DA7B1,1998,Health Issues,Indicate which principles you support (if any) regarding health issues.,a) Provide tax incentives to small businesses that provide health care to their employees.,54,False,True,,True
2.0.1,B60E072A2DCDE919,2014,Health Issues:,,b) Do you support expanding access to health care through commercial health insurance reform?,4,False,True,,True
2.0.1,B81626DD5A2B1221,2014,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,b) Should candidates for state office be encouraged to meet voluntary spending limits?,4,False,True,,True
2.0.1,BA4CFD7BC06EEBC3,2018,"Budget, Spending, & Tax Issues:",1) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.,b) Instituting mandatory furloughs AND/OR layoffs for state employees?,18,False,True,,True
2.0.1,BBD154B206600077,2002,Crime Issues,Indicate which principles you support (if any) to address crime.,i) Support the lower .08 blood-alcohol-content limit defining drunk driving.,25,False,True,,True
2.0.1,BDB4C004A3F394E9,2014,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Gas/Oil taxes,4,False,True,,True
2.0.1,BDFC17C9697200A8,2002,Crime Issues,Indicate which principles you support (if any) to address crime.,g) Decriminalize the use of marijuana for medicinal purposes.,8,False,True,,True
2.0.1,BE221EBFA9C53E45,2006,Health Issues,Indicate which principles you support (if any) regarding health.,b) Transfer current Medicaid recipients into managed care programs.,7,False,True,,True
2.0.1,C4F21038900DEBEE,2002,Health Issues,Indicate which principles you support (if any) regarding health issues.,b) Transfer more existing Medicaid recipients into managed care programs.,8,False,True,,True
2.0.1,C5DA12534832F532,2002,Educational Issues,Indicate which principles you support (if any) regarding education.,j) Increase state funding to expand Head Start programs.,14,False,True,,True
2.0.1,C9499D0747CD29F1,1998,Environment & Energy,Indicate which principles you support (if any) regarding the environment and energy.,a) Require the use of cleaner burning fuels in order to prevent pollution.,19,False,True,,True
2.0.1,CEE7FF2B6F853736,2018,Health Issues:,,e) Do you support eliminating religious exemptions for vaccinations?,15,False,True,,True
2.0.1,CF3028AB45081628,2014,Crime & Public Safety Issues:,,"b) Do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",4,True,True,"[[""welfare_policy"", ""expansion""]]",True
2.0.1,CFF92AE2BB06F063,2002,Environmental and Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,"b) Use state funds to clean up former industrial and commercial sites that are contaminated, unused or abandoned.",13,False,True,,True
2.0.1,D328971C903F1683,1998,Environment & Energy,Indicate which principles you support (if any) regarding the environment and energy.,h) Restructure the electric utility industry to allow consumers to choose their power company.,25,False,True,,True
2.0.1,D55FDC04F3A4AA8A,2006,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,f) Support marriage promotion programs for welfare recipients.,11,False,True,,True
2.0.1,D7EBE8A3B0F4393A,2014,Crime & Public Safety Issues:,,e) Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,3,False,True,,True
2.0.1,D983DB3B49C90843,1998,Education,Indicate which principles you support (if any) regarding education.,f) Support sex education programs which stress safe sexual practices.,7,True,True,"[[""welfare_policy"", ""expansion""]]",True
2.0.1,DB4AD8BA5596940A,2002,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,g) Redirect welfare funding to faith-based and community-based private organizations.,12,False,True,,True
2.0.1,DC24DA6CE8CE0373,1998,Social Issues,Indicate which principles you support (if any) regarding social issues.,d) Deny or suspend state-issued permits and licenses to parents who are delinquent in paying court-ordered child support.,47,False,True,,True
2.0.1,DC85E256045D3D09,2018,Crime & Public Safety Issues:,,d) Do you support the enforcement of federal immigration laws by state and local police?,16,False,True,,True
2.0.1,E6D2D863E600914F,2010,Social Issues,,a) Should marriage only be between one man and one woman?,21,False,True,,True
2.0.1,E9798404FBF8E10D,2014,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,4) Political Party,4,False,True,,True
2.0.1,EA2FFA874E5E7780,2018,Campaign Finance & Government Reform Issues:,,a) Do you support any limits on campaign contributions to state candidates?,19,False,True,,True
2.0.1,EFC7DFA03B262A76,2018,Crime & Public Safety Issues:,,c) Should a minor accused of a violent crime be prosecuted as an adult?,15,False,True,,True
2.0.1,F03227E589B2FDD3,2010,Health Issues,,d) Should individuals be required to purchase health care insurance?,21,False,True,,True
2.0.1,F30F0BD890822606,2010,"Budget, Spending, and Tax Issues",1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,c) Issuing the early release of certain non-violent offenders,19,False,True,,True
2.0.1,FADDAC9C37EC191A,2014,Crime & Public Safety Issues:,,d) Should a minor accused of a violent crime be prosecuted as an adult?,3,False,True,,True
2.0.1,FCCFD9807200C492,2006,Crime Issues,Indicate which principles you support (if any) regarding crime.,"i) Require that crimes based on race, ethnic background, religious belief, sex, age, disability, or sexual orientation be prosecuted as hate crimes.",14,False,True,,True
2.0.1,FE34C50E38019745,2018,Education Issues:,,a) Do you support adopting federal education standards in Alabama?,16,False,True,,True
