group_id,normalized_option,representative_section,representative_question,representative_option_text,item_count,years,selected_response_count,candidate_count_sum
72CD81ADE3180A96,do you support expanding access to health care through commercial health insurance reform?,Health Issues,,b) Do you support expanding access to health care through commercial health insurance reform?,3,2010.0;2014.0;nan,28,30
B5D18EE5DC63970D,do you support the use of an independent and/or bipartisan commission for redistricting?,Campaign Finance & Government Reform Issues:,,c) Do you support the use of an independent AND/OR bipartisan commission for redistricting?,3,2014.0;2018.0;2022.0,28,31
F92066B40462BC2D,increase state funding for additional security of critical infrastructure against terrorist attacks.,Crime Issues,Indicate which principles you support (if any) to address crime.,n) Increase state funding for additional security of critical infrastructure against terrorist attacks.,1,2002.0,28,62
6F8F8ECFB0F90D18,support a constitutional amendment giving communities control over local school funding and standards.,Educational Issues,Indicate which principles you support (if any) regarding education.,l) Support a constitutional amendment giving communities control over local school funding and standards.,1,2002.0,28,62
E26913E2331E9D96,should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,Crime and Public Safety Issues,,f) Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,3,2010.0;2014.0;nan,27,30
795F2C1B083ED362,do you support interstate health insurance compacts?,Health Issues,,c) Do you support interstate health insurance compacts?,3,2010.0;2014.0;nan,27,30
DD858D7B08BFDA0D,criminalize the employment of an undocumented immigrant in alabama.,Crime Issues,Indicate which principles you support (if any) regarding crime.,n) Criminalize the employment of an undocumented immigrant in Alabama.,1,2006.0,27,42
D44A66199A838832,do you support state funding for improvements to alabama's energy infrastructure?,Environment and Energy Issues,,d) Do you support state funding for improvements to Alabama's energy infrastructure?,3,2010.0;2014.0;nan,26,30
9B9D38535E77953A,should the state government increase funding for treatment facilities to combat opioid abuse?,Health Issues:,,a) Should the state government increase funding for treatment facilities to combat opioid abuse?,2,2018.0;2022.0,26,26
34D2CC47531892B9,other or expanded categories,"Budgetary, Spending and Tax Issues",State Budget: Indicate the funding levels you will support for the following general categories.State Taxes: Indicate the tax levels you will support.,l) Other or expanded categories,16,2002.0;2004.0;2006.0;2008.0;2010.0;2016.0;nan,25,242
A714B77C7A43E502,increase state funding for state and local emergency agencies to prevent or respond to terrorism.,Crime Issues,Indicate which principles you support (if any) regarding crime.,k) Increase state funding for state and local emergency agencies to prevent or respond to terrorism.,1,2006.0,25,42
598D2A11B325C61F,do you support limits on the number of terms for alabama governors?,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,a) Do you support limits on the number of terms for Alabama governors?,2,2010.0;nan,24,25
7DBF6E046C7E1194,should the alabama ethics commission have the power of subpoena?,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,f) Should the Alabama Ethics Commission have the power of subpoena?,2,2010.0;nan,24,25
83D7B9715C2EBBEA,do you support increased spending on infrastructure projects for the purpose of job creation?,Economic Issues,,e) Do you support increased spending on infrastructure projects for the purpose of job creation?,2,2010.0;nan,24,25
C5ECF5B9E85430ED,do you support legalizing physician-assisted suicide in alabama?,Health Issues,,f) Do you support legalizing physician-assisted suicide in Alabama?,2,2010.0;nan,24,25
A617B2749862700A,should marriage only be between one man and one woman?,Social Issues,,a) Should marriage only be between one man and one woman?,2,2010.0;nan,24,25
A31BACE454B65297,do you support state funding for stem cell research?,Social Issues,,c) Do you support state funding for stem cell research?,2,2010.0;nan,24,25
55522A1661687460,do you support state funding for embryonic stem cell research?,Social Issues,,d) Do you support state funding for embryonic stem cell research?,2,2010.0;nan,24,25
B68FE65F0796D269,do you support the state's use of affirmative action?,Social Issues,,e) Do you support the state's use of affirmative action?,2,2010.0;nan,24,25
50DFDFB15FC13B0A,increase state funding for training health workers to recognize and respond to the release of biological agents.,Health Issues,Indicate which principles you support (if any) regarding health issues.,h) Increase state funding for training health workers to recognize and respond to the release of biological agents.,1,2002.0,24,62
802E32D513B92646,regulating and taxing gaming proceeds,"Budget, Spending, and Tax Issues",1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,b) Regulating and taxing gaming proceeds,2,2010.0;nan,23,25
DBA3ADFF58F0E88D,do you support limits on the number of terms for alabama state legislators?,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,b) Do you support limits on the number of terms for Alabama state legislators?,2,2010.0;nan,23,25
E1B7BBB24A058BF5,should the possession of small amounts of marijuana be decriminalized?,Crime and Public Safety Issues,,c) Should the possession of small amounts of marijuana be decriminalized?,2,2010.0;nan,23,25
BDFA22A792119458,do you support increasing penalties for illegal cockfighting?,Crime and Public Safety Issues,,d) Do you support increasing penalties for illegal cockfighting?,2,2010.0;nan,23,25
663101FA4C96C63F,do you support using a merit pay system for teachers?,Education Issues,,c) Do you support using a merit pay system for teachers?,2,2010.0;nan,23,25
DF35CAB2B386E152,do you support providing financial incentives to farms that produce biofuel crops?,Environment and Energy Issues,,c) Do you support providing financial incentives to farms that produce biofuel crops?,2,2010.0;nan,23,25
DC8DDD56B1E19B2F,do you support enacting environmental regulations aimed at reducing the effects of climate change?,Environment and Energy Issues,,f) Do you support enacting environmental regulations aimed at reducing the effects of climate change?,2,2010.0;nan,23,25
73BD24796B85C77F,should individuals be required to purchase health care insurance?,Health Issues,,d) Should individuals be required to purchase health care insurance?,2,2010.0;nan,23,25
7143581A79E4D5CD,do you support increasing state funding for clean drinking water initiatives?,Environment & Energy Issues:,,c) Do you support increasing state funding for clean drinking water initiatives?,2,2018.0;2022.0,23,26
6CF58A73F3A1236E,transfer more existing medicaid recipients into managed care programs.,Health Issues,Indicate which principles you support (if any) regarding health issues.,d) Transfer more existing Medicaid recipients into managed care programs.,2,1998.0;2002.0,23,136
7A492945E2D70F8F,issuing the early release of certain non-violent offenders,"Budget, Spending, and Tax Issues",1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,c) Issuing the early release of certain non-violent offenders,2,2010.0;nan,22,25
AA8EE2B9DACB4C76,instituting mandatory furloughs and layoffs for state employees,"Budget, Spending, and Tax Issues",1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,e) Instituting mandatory furloughs and layoffs for state employees,2,2010.0;nan,22,25
49E9656C834AFC9B,should current elected officials be prohibited from holding additional state jobs?,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,g) Should current elected officials be prohibited from holding additional state jobs?,2,2010.0;nan,22,25
164AAE4D6ECCB2EE,do you support national education standards?,Education Issues,,a) Do you support national education standards?,2,2010.0;nan,22,25
6CDB03D8D4C67D00,do you support adopting federal education standards in alabama?,Education Issues:,,a) Do you support adopting federal education standards in Alabama?,2,2018.0;2022.0,22,26
72243000CEBAB4E4,ban the use of racial profiling by law enforcement officers.,Crime Issues,Indicate which principles you support (if any) to address crime.,l) Ban the use of racial profiling by law enforcement officers.,1,2002.0,22,62
60E99F2FE7149BA5,do you support the regulation of indirect campaign contributions from corporations and unions?,Campaign Finance & Government Reform Issues:,,b) Do you support the regulation of indirect campaign contributions from corporations and unions?,3,2016.0;2018.0;nan,21,22
13ABCEB90F3633BD,do you support eliminating religious exemptions for vaccinations?,Health Issues:,,e) Do you support eliminating religious exemptions for vaccinations?,2,2018.0;2022.0,21,26
44E6C1303DB203E0,use federal tanf (temporary assistance to needy families) funds to extend health and child care subsidies to the working poor.,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,e) Use federal TANF (Temporary Assistance to Needy Families) funds to extend health and child care subsidies to the working poor.,1,2006.0,21,42
CCF484792879BB5D,do you support requiring individuals to purchase health care insurance?,Health Issues:,,c) Do you support requiring individuals to purchase health care insurance?,2,2014.0;2018.0,20,25
068B5E78CA2983E4,"support ""buffer zones"" by requiring demonstrators to stay at least 15 feet away from abortion clinic doorways and driveways.",Abortion,Indicate which principles you support (if any) concerning abortion.,"h) Support ""buffer zones"" by requiring demonstrators to stay at least 15 feet away from abortion clinic doorways and driveways.",1,1998.0,20,74
4E113403522B11A3,require the use of cleaner burning fuels in order to prevent pollution.,Environment & Energy,Indicate which principles you support (if any) regarding the environment and energy.,a) Require the use of cleaner burning fuels in order to prevent pollution.,1,1998.0,20,74
D9CED0C694E028B4,support funding for open space preservation.,Environment & Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,e) Support funding for open space preservation.,1,2006.0,20,42
4543247C172F3794,limit the amount of punitive damages that can be awarded in medical malpractice lawsuits.,Health Issues,Indicate which principles you support (if any) regarding health.,c) Limit the amount of punitive damages that can be awarded in medical malpractice lawsuits.,1,2006.0,20,42
AC928CA145E5BC39,should immigrants unlawfully present in the united states who graduate from alabama high schools be eligible for in-state tuition at public universities?,Education Issues:,,c) Should immigrants unlawfully present in the United States who graduate from Alabama high schools be eligible for in-state tuition at public universities?,2,2018.0;2022.0,19,26
7B195D60EE7067CA,do you support any limits on campaign contributions to state candidates?,Campaign Finance & Government Reform Issues:,,a) Do you support any limits on campaign contributions to state candidates?,1,2018.0,19,20
388C1250E037201F,do you support increasing funding for the state education budget?,Education Issues:,,d) Do you support increasing funding for the state education budget?,1,2018.0,19,20
4207C611009556D1,do you support greater efforts by alabama state government in closing the pay gap between men and women?,Social Issues:,,c) Do you support greater efforts by Alabama state government in closing the pay gap between men and women?,1,2018.0,19,20
6BA591E8C37F268F,"allow welfare recipients to remain eligible for benefits while saving money for education, starting a business, or buying a home.",Welfare,Indicate which principles you support (if any) regarding welfare.,"g) Allow welfare recipients to remain eligible for benefits while saving money for education, starting a business, or buying a home.",1,1998.0,18,74
FD6CD4F5E954DFF8,instituting mandatory furloughs and/or layoffs for state employees?,"Budget, Spending, & Tax Issues:",1) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.,b) Instituting mandatory furloughs AND/OR layoffs for state employees?,1,2018.0,18,20
0511834CFF75FEB0,should teachers be allowed to bring guns into the classroom?,Gun Issues:,,c) Should teachers be allowed to bring guns into the classroom?,1,2018.0,18,20
B35997538D957CDE,do you support medicaid expansion through alabama's health care programs?,Health Issues:,,b) Do you support Medicaid expansion through Alabama's health care programs?,1,2018.0,18,20
A0D990D3F3D26805,reducing state employee salaries and/or pensions?,"Budget, Spending, & Tax Issues:",1) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.,a) Reducing state employee salaries AND/OR pensions?,1,2018.0,17,20
86D3C214BFD1DE34,an income tax increase on any tax bracket?,"Budget, Spending, & Tax Issues:",1) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.,d) An income tax increase on any tax bracket?,1,2018.0,17,20
A399710553C38635,do you support legislation that grants citizens the right to choose to die through euthanasia?,Health Issues:,,d) Do you support legislation that grants citizens the right to choose to die through euthanasia?,1,2018.0,17,20
3B2EB6DCEF7B29CB,increase state funding to expand head start programs.,Educational Issues,Indicate which principles you support (if any) regarding education.,j) Increase state funding to expand Head Start programs.,1,2002.0,15,62
0A7DF7732A3B4DD1,"use state funds to clean up former industrial and commercial sites that are contaminated, unused or abandoned.",Environmental and Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,"b) Use state funds to clean up former industrial and commercial sites that are contaminated, unused or abandoned.",1,2002.0,15,62
9A8CFEEB3732B83B,"use state funds to clean up former industrial and commercial sites that are contaminated, unused, or abandoned.",Environment & Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,"c) Use state funds to clean up former industrial and commercial sites that are contaminated, unused, or abandoned.",1,2006.0,15,42
7313C6900C902847,increase funding for improvements to alabama's power generating and transmission facilities.,Environment & Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,d) Increase funding for improvements to Alabama's power generating and transmission facilities.,1,2006.0,15,42
67F4356192CE8A10,enact environmental regulations even if they are stricter than federal law.,Environment & Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,f) Enact environmental regulations even if they are stricter than federal law.,1,2006.0,15,42
BD2F3F8D1C8E4060,do you support the removal of confederate monuments from public spaces?,Social Issues:,,d) Do you support the removal of Confederate monuments from public spaces?,1,2018.0,15,20
3954DE319D5E61AA,use state funds to continue some medicaid coverage for legal immigrants.,Health Issues,Indicate which principles you support (if any) regarding health issues.,e) Use state funds to continue some Medicaid coverage for legal immigrants.,1,1998.0,14,74
EB220CD69831B041,"require that crimes based on race, ethnic background, religious belief, sex, age, disability, or sexual orientation be prosecuted as hate crimes.",Crime Issues,Indicate which principles you support (if any) regarding crime.,"i) Require that crimes based on race, ethnic background, religious belief, sex, age, disability, or sexual orientation be prosecuted as hate crimes.",1,2006.0,14,42
3A7E40262EC1985D,support marriage promotion programs for welfare recipients.,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,f) Support marriage promotion programs for welfare recipients.,1,2006.0,13,42
C593814AEDA9F0E8,support a three-year moratorium on both new hog farms and all expansions of farms to over 500 hogs.,Environment & Energy,Indicate which principles you support (if any) regarding the environment and energy.,i) Support a three-year moratorium on both new hog farms and all expansions of farms to over 500 hogs.,1,1998.0,12,74
F0EDCE818972C0DD,"require that crimes based on gender, sexual orientation or disability be prosecuted as hate crimes.",Crime Issues,Indicate which principles you support (if any) to address crime.,"k) Require that crimes based on gender, sexual orientation or disability be prosecuted as hate crimes.",1,2002.0,12,62
40B61FF87C5BA53C,legalize physician-assisted suicide in alabama.,Health Issues,Indicate which principles you support (if any) regarding health issues.,g) Legalize physician-assisted suicide in Alabama.,1,2002.0,12,62
5E9BB7B380439F59,decriminalize the possession of small amounts of marijuana.,Crime Issues,Indicate which principles you support (if any) regarding crime.,f) Decriminalize the possession of small amounts of marijuana.,2,2004.0;2006.0,11,44
CE70A49882C863B6,allow doctors to prescribe marijuana to their patients for medicinal purposes.,Health Issues,Indicate which principles you support (if any) regarding health.,g) Allow doctors to prescribe marijuana to their patients for medicinal purposes.,2,2004.0;2006.0,11,44
68BF0109C6F8A87B,education,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",d) Education,7,1996.0;2000.0;2004.0;2008.0;2016.0,8,8
F60AEA3DC01B6737,support sex education programs which stress safe sexual practices.,Education,Indicate which principles you support (if any) regarding education.,f) Support sex education programs which stress safe sexual practices.,1,1998.0,7,74
F609956D9C231D77,transfer current medicaid recipients into managed care programs.,Health Issues,Indicate which principles you support (if any) regarding health.,b) Transfer current Medicaid recipients into managed care programs.,1,2006.0,7,42
1B0B7E51EE5D8E25,defense,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",c) Defense,5,2000.0;2004.0;2008.0;2016.0,6,6
35D60DCD9F98FFED,"in order to balance the budget, do you support reducing state employee salaries and/or pensions?","Budget, Spending, & Tax Issues:",,"a) In order to balance the budget, do you support reducing state employee salaries AND/OR pensions?",1,2022.0,6,6
045A9A168D48F154,"do you support raising taxes on any income or on any entity, to promote economic growth?","Budget, Spending, & Tax Issues:",,"b) DO you support raising taxes on any income or on any entity, to promote economic growth?",1,2022.0,6,6
E1B2176050C2EA34,do you support providing financial relief to businesses and/or corporations negatively impacted by the state of national emergency for covid-19?,Economic Issues:,,d) Do you support providing financial relief to businesses AND/OR corporations negatively impacted by the state of national emergency for COVID-19?,1,2022.0,6,6
A90CE283DCC15018,do you support automatic voter registration?,Government Reform Issues:,,d) Do you support automatic voter registration?,1,2022.0,6,6
AC82E82B1F21515E,do you support a government-run (single-payer) healthcare program such as medicare-for all?,Health Issues:,,b) Do you support a government-run (single-payer) healthcare program such as Medicare-for All?,1,2022.0,6,6
18AA63FC40BCA6DC,do you support expanding paid family and/or medical leave opportunities?,Health Issues:,,e) Do you support expanding paid family AND/OR medical leave opportunities?,1,2022.0,6,6
AEBEFF563523BE85,do you support lowering the cost of prescription drugs?,Health Issues:,,f) Do you support lowering the cost of prescription drugs?,1,2022.0,6,6
2BEA485D7E756495,"do you support greater efforts by alabama's state government in closing gender, racial and other wage gaps?",Social Issues:,,"c) Do you support greater efforts by Alabama's state government in closing gender, racial and other wage gaps?",1,2022.0,6,6
907DECFCC13A76FA,arts,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",b) Arts,4,2000.0;2004.0;2008.0;2016.0,5,5
5F0D92E6D72A6660,international aid,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",g) International aid,4,2000.0;2004.0;2008.0;2016.0,5,5
B82012E39FC2E4C0,medical research,"Budgetary, Spending, and Tax Issues, Part 1: Budget Priorities","Using the key, indicate what federal funding levels you support for the following general categories. Select one number per category.Budget Priorities",i) Medical research,4,2000.0;2004.0;2008.0;2016.0,5,5
8C5DD0736C8A6EE8,armed forces personnel training,"Budgetary, Spending, and Tax Issues, Part 2: Defense Spending",Defense Spending,a) Armed Forces personnel training,4,1996.0;2000.0;2004.0;2008.0,5,5
9579343420BC9AEA,pay for active duty personnel,"Budgetary, Spending, and Tax Issues, Part 2: Defense Spending",Defense Spending,f) Pay for active duty personnel,4,1996.0;2000.0;2004.0;2008.0,5,5
A15931B1AC286324,should an individual under 18 accused of a violent crime be prosecuted as an adult?,Crime & Public Safety Issues:,,b) Should an individual under 18 accused of a violent crime be prosecuted as an adult?,1,2022.0,5,6
C1EFD5A77B8A48AF,do you support the use of private prisons?,Crime & Public Safety Issues:,,d) Do you support the use of private prisons?,1,2022.0,5,6
515A951400C97364,do you support increasing teacher salaries and/or benefits in alabama?,Education Issues:,,c) Do you support increasing teacher salaries AND/OR benefits in Alabama?,1,2022.0,5,6
B6012DD405D57D81,"do you support the regulation of campaign contributions from corporations, unions, and individuals?",Government Reform Issues:,,"a) Do you support the regulation of campaign contributions from corporations, unions, and individuals?",1,2022.0,5,6
89F2B18C2EC4F273,should an individual have the right to choose to die through euthanasia?,Health Issues:,,c) Should an individual have the right to choose to die through euthanasia?,1,2022.0,5,6
E91B67EEF03FE81A,do you support the removal of confederate monuments from public spaces in alabama?,Social Issues:,,d)Do you support the removal of confederate monuments from public spaces in Alabama?,1,2022.0,5,6
9BC472975FA8FB7D,law enforcement/corrections,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Law enforcement/corrections,1,2014.0,5,5
1B65CEB46B954825,transportation/infrastructure,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",f) Transportation/infrastructure,1,2014.0,5,5
C67332BCE2FA8FC0,gas/oil taxes,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Gas/Oil taxes,1,2014.0,5,5
12CD885053C337F8,income taxes (mid-income families),"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",h) Income taxes (mid-income families),1,2014.0,5,5
84BC38025A0D8040,reducing state employee salaries and/or pensions,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Reducing state employee salaries AND/OR pensions,1,2014.0,5,5
FDE8FDD1B1A348B0,instituting mandatory furloughs and/or layoffs for state employees,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Instituting mandatory furloughs AND/OR layoffs for state employees,1,2014.0,5,5
5998AF93F1D88E5D,do you support a merit pay system for teachers?,Education Issues:,,b) Do you support a merit pay system for teachers?,1,2014.0,5,5
0B19A5E05928BFEB,do you support medicaid expansion under the affordable care act?,Health Issues:,,d) Do you support Medicaid expansion under the Affordable Care Act?,1,2014.0,5,5
