ontology_version,review_id,election_year,option_text,primary_domain,policy_key,response_mode,adjudication_authority,axis,pole,strength,rationale
2.0.1,2B0E533AEFC60615,1998,"g) Allow welfare recipients to remain eligible for benefits while saving money for education, starting a business, or buying a home.",welfare,,,model_consensus_provisional,business_scale_alignment,small_business,primary,"The policy explicitly mentions saving money for business or education, which suggests a focus on small businesses and individuals."
2.0.1,2B0E533AEFC60615,1998,"g) Allow welfare recipients to remain eligible for benefits while saving money for education, starting a business, or buying a home.",welfare,,,model_consensus_provisional,welfare_policy,expansion,primary,"The policy aims to allow welfare recipients to continue receiving benefits while pursuing personal goals, which aligns with expanding the scope of welfare programs."
2.0.1,2B0E533AEFC60615,1998,"g) Allow welfare recipients to remain eligible for benefits while saving money for education, starting a business, or buying a home.",welfare,,,model_consensus_provisional,tax_distribution,regressive,secondary,"The policy could potentially benefit those with lower incomes more than higher-income individuals, as they may have greater needs for education or business opportunities."
2.0.1,2B0E533AEFC60615,1998,"g) Allow welfare recipients to remain eligible for benefits while saving money for education, starting a business, or buying a home.",welfare,,,model_consensus_provisional,childcare_delivery,employer_incentive,secondary,"Support for saving money for education, business starting, or home buying implies an incentive to employers who provide childcare services."
2.0.1,2B2DA101C222848F,2006,n) Criminalize the employment of an undocumented immigrant in Alabama.,criminal_justice,,,model_consensus_provisional,labor_capital_alignment,labor,secondary,This policy directly impacts labor market dynamics.
2.0.1,2B2DA101C222848F,2006,n) Criminalize the employment of an undocumented immigrant in Alabama.,criminal_justice,,,model_consensus_provisional,business_scale_alignment,small_business,primary,The impact of this policy is likely to be more significant on small businesses that rely on undocumented workers.
2.0.1,2B2DA101C222848F,2006,n) Criminalize the employment of an undocumented immigrant in Alabama.,criminal_justice,,,model_consensus_provisional,criminal_punishment,punitive,primary,"The primary effect is to impose criminal penalties on employers who hire undocumented immigrants, indicating a punitive approach towards crime control."
2.0.1,2DC8998598026774,2006,d) Increase funding for improvements to Alabama's power generating and transmission facilities.,environment,,,model_consensus_provisional,business_scale_alignment,small_business,secondary,secondary
2.0.1,2DC8998598026774,2006,d) Increase funding for improvements to Alabama's power generating and transmission facilities.,environment,,,model_consensus_provisional,resource_development,expand,primary,primary
2.0.1,2DC8998598026774,2006,d) Increase funding for improvements to Alabama's power generating and transmission facilities.,environment,,,model_consensus_provisional,market_governance,intervention,primary,"Increasing funding for improvements to power generating and transmission facilities indicates a government intervention in the market, as it is providing financial support to enhance infrastructure."
2.0.1,308441A9ED2DA09A,2014,e) Do you support requiring individuals to purchase health care insurance?,welfare,,,model_consensus_provisional,welfare_policy,restriction,secondary,The policy is a restriction on access to healthcare.
2.0.1,322CA7D48D04601A,2002,f) Eliminate government-funded welfare programs.,welfare,,,model_consensus_provisional,welfare_policy,restriction,secondary,The policy directly limits the provision of welfare programs.
2.0.1,368D7BAA6EFC1AA6,2002,l) Support a constitutional amendment giving communities control over local school funding and standards.,education,,,model_consensus_provisional,welfare_policy,expansion,secondary,The text implies a preference for increased control over local school funding and standards.
2.0.1,368D7BAA6EFC1AA6,2002,l) Support a constitutional amendment giving communities control over local school funding and standards.,education,,,model_consensus_provisional,market_governance,intervention,secondary,"A constitutional amendment may require intervention in the market by altering existing governance structures, potentially leading to a shift from market-driven decisions to more community-led ones."
2.0.1,3BCAB0D1F59A2F3C,2014,c) Do you support interstate health insurance compacts?,healthcare,,,model_consensus_provisional,welfare_policy,expansion,secondary,The policy is a support for interstate health insurance compacts. This implies that the policy supports the expansion of healthcare access and coverage.
2.0.1,3DF013D73F0D40C0,2002,b) Support contracting with private sector firms to build and/or manage state prisons.,business,,,model_consensus_provisional,market_governance,intervention,secondary,The text implies a preference for private sector involvement in prison management.
2.0.1,3DF013D73F0D40C0,2002,b) Support contracting with private sector firms to build and/or manage state prisons.,business,,,model_consensus_provisional,welfare_policy,restriction,secondary,The text suggests a restriction on government's role in prison management.
2.0.1,3DF013D73F0D40C0,2002,b) Support contracting with private sector firms to build and/or manage state prisons.,business,,,model_consensus_provisional,labor_capital_alignment,capital_management,primary,Private sector firms are often more capital-efficient than government-run prisons. This could lead to reduced costs and improved resource allocation for other welfare programs.
2.0.1,3E200B09DAF92379,2014,e) Instituting mandatory furloughs AND/OR layoffs for state employees,labor,,,model_consensus_provisional,welfare_policy,restriction,secondary,The policy is a form of labor restriction.
2.0.1,3E200B09DAF92379,2014,e) Instituting mandatory furloughs AND/OR layoffs for state employees,labor,,,model_consensus_provisional,business_scale_alignment,large_business,secondary,Layoffs and furloughs are more likely to impact large businesses than small businesses.
2.0.1,3FEF986C9A21BBA1,2006,f) Enact environmental regulations even if they are stricter than federal law.,environment,,,model_consensus_provisional,environmental_protection,strengthen,secondary,The policy explicitly supports stricter environmental regulations.
2.0.1,3FEF986C9A21BBA1,2006,f) Enact environmental regulations even if they are stricter than federal law.,environment,,,model_consensus_provisional,market_governance,intervention,primary,Enacting environmental regulations implies government intervention in the market to enforce compliance with stricter standards.
2.0.1,40F0CB680D808788,2010,b) Do you support expanding access to health care through commercial health insurance reform?,welfare,,,model_consensus_provisional,public_private_provision,public_provision,primary,"The question asks for support of expanding access to healthcare through commercial health insurance reform. This implies a government-funded or regulated system, not private provision."
2.0.1,40F0CB680D808788,2010,b) Do you support expanding access to health care through commercial health insurance reform?,welfare,,,model_consensus_provisional,welfare_policy,expansion,primary,The policy aims to expand access to health care through commercial insurance reform.
2.0.1,42C5D23EEB4415CF,2006,g) Eliminate government-funded welfare programs.,welfare,,,model_consensus_provisional,welfare_policy,restriction,secondary,The policy is a restriction on government-funded welfare programs.
2.0.1,43626A90BE2A35E9,2010,d) Do you support increasing penalties for illegal cockfighting?,criminal_justice,,,model_consensus_provisional,labor_capital_alignment,labor,secondary,This policy directly impacts labor by increasing penalties for illegal activities that may affect the workforce.
2.0.1,43626A90BE2A35E9,2010,d) Do you support increasing penalties for illegal cockfighting?,criminal_justice,,,model_consensus_provisional,business_scale_alignment,small_business,secondary,"The impact of this policy on small businesses is secondary. This policy primarily affects illegal activities, which may have a broader impact on the economy."
2.0.1,43626A90BE2A35E9,2010,d) Do you support increasing penalties for illegal cockfighting?,criminal_justice,,,model_consensus_provisional,environmental_protection,weaken,secondary,This policy does not directly address environmental protection or resource management. It focuses on criminal justice and public safety issues.
2.0.1,43626A90BE2A35E9,2010,d) Do you support increasing penalties for illegal cockfighting?,criminal_justice,,,model_consensus_provisional,welfare_policy,restriction,secondary,Increasing penalties implies a restriction on the practice.
2.0.1,43626A90BE2A35E9,2010,d) Do you support increasing penalties for illegal cockfighting?,criminal_justice,,,model_consensus_provisional,criminal_punishment,punitive,primary,Supporting increased penalties suggests a punitive approach to crime.
2.0.1,4389BFFBF6BF5237,2010,e) Do you support the state's use of affirmative action?,welfare,,,model_consensus_provisional,market_governance,intervention,secondary,affirmative action is a form of government intervention in the labor market.
2.0.1,4389BFFBF6BF5237,2010,e) Do you support the state's use of affirmative action?,welfare,,,model_consensus_provisional,welfare_policy,expansion,primary,affirmative action expands opportunities for historically disadvantaged groups.
2.0.1,4389BFFBF6BF5237,2010,e) Do you support the state's use of affirmative action?,welfare,,,model_consensus_provisional,civil_social_liberty,expand,primary,"Supporting affirmative action is often framed in terms of promoting civil liberties and equality, which can be considered an expansion of these rights."
2.0.1,4414F58653B9CA9C,2010,b) Regulating and taxing gaming proceeds,taxation,,,model_consensus_provisional,welfare_policy,restriction,secondary,regulating and taxing gaming proceeds is a form of restriction on the industry.
2.0.1,4414F58653B9CA9C,2010,b) Regulating and taxing gaming proceeds,taxation,,,model_consensus_provisional,market_governance,intervention,secondary,"Regulating and taxing gaming proceeds involves government intervention in the market, which can be seen as a form of regulation."
2.0.1,504E31D8A695D80A,2018,c) Do you support requiring individuals to purchase health care insurance?,welfare,,,model_consensus_provisional,welfare_policy,restriction,primary,Focused Ministral pole adjudication
2.0.1,535CB79330B5241C,1998,e) Use state funds to continue some Medicaid coverage for legal immigrants.,welfare,,,model_consensus_provisional,welfare_policy,expansion,secondary,"The text explicitly states that the option is about using state funds to continue Medicaid coverage for legal immigrants. This implies an expansion of healthcare access, which aligns with a welfare policy goal of expanding access to services."
2.0.1,535CB79330B5241C,1998,e) Use state funds to continue some Medicaid coverage for legal immigrants.,welfare,,,model_consensus_provisional,tax_distribution,progressive,primary,"Using state funds for this purpose implies a progressive approach, as it distributes resources based on need rather than ability to pay taxes."
2.0.1,53A6A5F7E512C9BD,2018,c) Do you support greater efforts by Alabama state government in closing the pay gap between men and women?,welfare,,,model_consensus_provisional,welfare_policy,expansion,secondary,"The question asks for support of efforts to close the pay gap. This implies a policy that aims to increase the income of women, which is an expansion of welfare."
2.0.1,550A97458B9F11A9,2018,d) Do you support increasing funding for the state education budget?,education,,,model_consensus_provisional,welfare_policy,expansion,secondary,expansion of public services
2.0.1,550A97458B9F11A9,2018,d) Do you support increasing funding for the state education budget?,education,,,model_consensus_provisional,market_governance,intervention,secondary,Increasing funding for the state education budget could be seen as an intervention in market-driven educational systems.
2.0.1,550A97458B9F11A9,2018,d) Do you support increasing funding for the state education budget?,education,,,model_consensus_provisional,education_governance,public_system,primary,"Supporting increased funding aligns with a public system of education, where the government plays a central role in providing education services to citizens."
2.0.1,57E513C620CA44A1,1998,i) Eliminate government-funded welfare programs.,welfare,,,model_consensus_provisional,welfare_policy,restriction,secondary,1
2.0.1,599EFED63AC23D0D,2010,d) Should candidates for state office be encouraged to meet voluntary spending limits?,business,,,model_consensus_provisional,welfare_policy,restriction,secondary,This policy restricts the amount of money candidates can spend on their campaigns.
2.0.1,5B2149A1C60F5703,1998,d) Transfer more existing Medicaid recipients into managed care programs.,welfare,,,model_consensus_provisional,welfare_policy,restriction,primary,Focused Ministral pole adjudication
2.0.1,6132F9FB6E2EA24E,1998,b) Support contracting with private sector firms to build and/or manage state prisons.,business,,,model_consensus_provisional,market_governance,intervention,secondary,The policy directly involves private sector firms in the management of state prisons.
2.0.1,6132F9FB6E2EA24E,1998,b) Support contracting with private sector firms to build and/or manage state prisons.,business,,,model_consensus_provisional,welfare_policy,restriction,secondary,"This option restricts government involvement in prison construction and management, potentially leading to a reduction in public provision of this service."
2.0.1,6132F9FB6E2EA24E,1998,b) Support contracting with private sector firms to build and/or manage state prisons.,business,,,model_consensus_provisional,labor_capital_alignment,capital_management,primary,"Private sector firms are often more capital-efficient than public entities, which could lead to cost savings and improved prison management."
2.0.1,63383E8D3ECED2DE,1998,d) Provide tax incentives to businesses that hire welfare recipients.,welfare,,,model_consensus_provisional,market_governance,intervention,secondary,business_scale_alignment
2.0.1,63383E8D3ECED2DE,1998,d) Provide tax incentives to businesses that hire welfare recipients.,welfare,,,model_consensus_provisional,welfare_policy,expansion,secondary,business_scale_alignment
2.0.1,644206883C74EA1A,2002,l) Ban the use of racial profiling by law enforcement officers.,welfare,,,model_consensus_provisional,labor_capital_alignment,labor,secondary,This policy directly impacts labor relations by limiting police practices that could be seen as discriminatory or unfair to certain groups.
2.0.1,644206883C74EA1A,2002,l) Ban the use of racial profiling by law enforcement officers.,welfare,,,model_consensus_provisional,market_governance,intervention,secondary,This policy directly impacts market governance by limiting police practices that could be seen as discriminatory or unfair to certain groups.
2.0.1,644206883C74EA1A,2002,l) Ban the use of racial profiling by law enforcement officers.,welfare,,,model_consensus_provisional,public_private_provision,public_provision,secondary,This policy directly impacts public provision by limiting police practices that could be seen as discriminatory or unfair to certain groups.
2.0.1,644206883C74EA1A,2002,l) Ban the use of racial profiling by law enforcement officers.,welfare,,,model_consensus_provisional,welfare_policy,restriction,primary,"Restricting racial profiling aligns with restricting practices that may unfairly target certain groups, thus promoting welfare for those affected by such targeting."
2.0.1,652DFD9FD6D61608,2014,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,business,,,model_consensus_provisional,welfare_policy,expansion,secondary,The policy is designed to encourage job creation by providing financial incentives to employers who offer childcare benefits.
2.0.1,652DFD9FD6D61608,2014,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,business,,,model_consensus_provisional,business_scale_alignment,small_business,primary,"This option specifically targets the private sector, including small businesses. It aims to incentivize job creation by providing financial support for employers who offer childcare benefits."
2.0.1,652DFD9FD6D61608,2014,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,business,,,model_consensus_provisional,market_governance,market_autonomy,primary,"Providing financial incentives to the private sector implies less direct government intervention in labor markets, promoting market autonomy."
2.0.1,67A1A9458B0C5345,2002,c) Provide tax incentives to businesses that hire welfare recipients.,welfare,,,model_consensus_provisional,market_governance,intervention,secondary,secondary
2.0.1,67A1A9458B0C5345,2002,c) Provide tax incentives to businesses that hire welfare recipients.,welfare,,,model_consensus_provisional,welfare_policy,expansion,secondary,secondary
2.0.1,680B83C545612D27,2010,d) Do you support state funding for improvements to Alabama's energy infrastructure?,environment,,,model_consensus_provisional,business_scale_alignment,large_business,secondary,The text does not specify whether the policy would be applied to small or large businesses.
2.0.1,680B83C545612D27,2010,d) Do you support state funding for improvements to Alabama's energy infrastructure?,environment,,,model_consensus_provisional,resource_development,expand,primary,"The question asks for support of state funding for improvements to Alabama's energy infrastructure, which implies a policy that would increase the development of this sector."
2.0.1,680B83C545612D27,2010,d) Do you support state funding for improvements to Alabama's energy infrastructure?,environment,,,model_consensus_provisional,welfare_policy,expansion,primary,"State funding for energy infrastructure improvements is a policy that expands the availability and accessibility of clean or sustainable energy sources, which can contribute to environmental welfare."
2.0.1,680B83C545612D27,2010,d) Do you support state funding for improvements to Alabama's energy infrastructure?,environment,,,model_consensus_provisional,environmental_protection,weaken,secondary,"While supporting state funding for infrastructure improvements may lead to increased efficiency in the use of resources and reduced emissions, it could also potentially weaken environmental protection if not accompanied by stringent regulations."
2.0.1,6E103B2BADA84DB2,2014,c) Do you support state funding for improvements to Alabama's energy infrastructure?,environment,,,model_consensus_provisional,business_scale_alignment,large_business,primary,The question asks for state funding to improve energy infrastructure. This suggests a focus on large-scale projects that would benefit businesses.
2.0.1,6E103B2BADA84DB2,2014,c) Do you support state funding for improvements to Alabama's energy infrastructure?,environment,,,model_consensus_provisional,resource_development,expand,primary,"The policy directly supports expanding the development of resources, which is a clear indication of expansion in this domain."
2.0.1,6E103B2BADA84DB2,2014,c) Do you support state funding for improvements to Alabama's energy infrastructure?,environment,,,model_consensus_provisional,market_governance,intervention,primary,The policy involves state funding which implies some level of government intervention in the energy sector.
2.0.1,6E8C2C3510B78831,2006,c) Limit the amount of punitive damages that can be awarded in medical malpractice lawsuits.,healthcare,,,model_consensus_provisional,welfare_policy,restriction,secondary,The policy reduces the amount of money that can be awarded to plaintiffs in medical malpractice lawsuits.
2.0.1,6F2F07CB8ACCADC4,2006,k) Increase state funding for state and local emergency agencies to prevent or respond to terrorism.,welfare,,,model_consensus_provisional,business_scale_alignment,small_business,secondary,The text does not specify a business scale. It is unclear if the policy would impact small or large businesses.
2.0.1,6F2F07CB8ACCADC4,2006,k) Increase state funding for state and local emergency agencies to prevent or respond to terrorism.,welfare,,,model_consensus_provisional,welfare_policy,expansion,primary,"This option aims to increase funding for emergency agencies, which suggests an expansion of welfare services."
2.0.1,7316C27BE82BA07E,2002,"k) Require that crimes based on gender, sexual orientation or disability be prosecuted as hate crimes.",criminal_justice,,,model_consensus_provisional,business_scale_alignment,small_business,primary,"The impact on small businesses is unclear, but it could potentially increase costs for businesses that are targeted by hate crimes."
2.0.1,7316C27BE82BA07E,2002,"k) Require that crimes based on gender, sexual orientation or disability be prosecuted as hate crimes.",criminal_justice,,,model_consensus_provisional,labor_capital_alignment,labor,secondary,This policy may impact labor relations as employers and employees may have different perspectives on the issue of hate crime legislation.
2.0.1,7316C27BE82BA07E,2002,"k) Require that crimes based on gender, sexual orientation or disability be prosecuted as hate crimes.",criminal_justice,,,model_consensus_provisional,market_governance,intervention,primary,This policy involves government intervention in the legal process to ensure that certain crimes are prosecuted as hate crimes.
2.0.1,767A9519A76D2C79,2014,d) Do you support Medicaid expansion under the Affordable Care Act?,welfare,,,model_consensus_provisional,welfare_policy,expansion,primary,Focused Ministral pole adjudication
2.0.1,769166C67EE826C8,2010,f) Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,criminal_justice,,,model_consensus_provisional,family_support_enforcement,strict_enforcement,primary,"The question asks whether a minor who sends sexually-explicit or nude photos by cell phone should face criminal charges. This implies a focus on enforcing strict penalties for such actions, likely reflecting a stance against child exploitation and potentially advocating for stricter legal consequences."
2.0.1,769166C67EE826C8,2010,f) Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,criminal_justice,,,model_consensus_provisional,criminal_punishment,punitive,primary,"The policy suggests that sending sexually-explicit or nude photos by cell phone should result in criminal charges, indicating a punitive approach to addressing such behavior."
2.0.1,79788219C2D42312,2014,c) Should citizens be allowed to carry concealed guns?,guns,,,model_consensus_provisional,gun_access,expand,secondary,The policy allows more people the ability to carry concealed weapons.
2.0.1,7EB52696081DFCF1,2010,2) Political Action Committee,business,,,model_consensus_provisional,market_governance,intervention,primary,Focused Ministral pole adjudication
2.0.1,7F56AA668C1DD545,2014,e) Law enforcement/corrections,government_reform,,,model_consensus_provisional,welfare_policy,restriction,primary,Focused Ministral pole adjudication
2.0.1,8C79679C3CD55C04,2018,b) Do you support Medicaid expansion through Alabama's health care programs?,welfare,,,model_consensus_provisional,welfare_policy,expansion,secondary,The question asks for support of Medicaid expansion.
2.0.1,8FDCBA6BE570A020,2010,g) Should current elected officials be prohibited from holding additional state jobs?,business,,,model_consensus_provisional,welfare_policy,restriction,secondary,This option restricts the ability of officials to hold additional state jobs. This is a form of market governance intervention.
2.0.1,931EB467CC8B2AA0,2006,d) Redirect welfare funding to faith-based and community-based private organizations.,welfare,,,model_consensus_provisional,welfare_policy,restriction,secondary,The policy is a restriction on the scope of welfare programs.
2.0.1,931EB467CC8B2AA0,2006,d) Redirect welfare funding to faith-based and community-based private organizations.,welfare,,,model_consensus_provisional,business_scale_alignment,small_business,primary,"The policy favors smaller organizations, potentially impacting larger ones."
2.0.1,931EB467CC8B2AA0,2006,d) Redirect welfare funding to faith-based and community-based private organizations.,welfare,,,model_consensus_provisional,public_private_provision,private_provision,primary,Shifting funding from public to private entities for welfare services.
2.0.1,9425212F9E5F1AAD,2010,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,business,,,model_consensus_provisional,welfare_policy,expansion,secondary,The policy is designed to encourage job creation by providing financial incentives to employers who offer childcare benefits.
2.0.1,9425212F9E5F1AAD,2010,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,business,,,model_consensus_provisional,business_scale_alignment,small_business,primary,"This option specifically targets the private sector, including small businesses, as a means to stimulate job creation."
2.0.1,9425212F9E5F1AAD,2010,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,business,,,model_consensus_provisional,market_governance,market_autonomy,primary,"Providing financial incentives to the private sector is a form of market autonomy, allowing businesses more freedom in their operations and decision-making processes."
2.0.1,95759DE3BF6FFDC2,2010,"a) Do you support a universally-accessible, publicly-administered health insurance option?",welfare,,,model_consensus_provisional,welfare_policy,expansion,secondary,secondary
2.0.1,9D9EDCB0385C047E,1998,j) Support state-funded merit scholarships for Alabama students to attend college in Alabama.,education,,,model_consensus_provisional,welfare_policy,expansion,secondary,secondary
2.0.1,9D9EDCB0385C047E,1998,j) Support state-funded merit scholarships for Alabama students to attend college in Alabama.,education,,,model_consensus_provisional,business_scale_alignment,small_business,secondary,secondary
2.0.1,A034F58CAE369A18,2014,f) Transportation/infrastructure,business,,,model_consensus_provisional,welfare_policy,expansion,secondary,The candidate supports increased state funding for transportation/infrastructure.
2.0.1,A034F58CAE369A18,2014,f) Transportation/infrastructure,business,,,model_consensus_provisional,market_governance,intervention,primary,Focused Ministral pole adjudication
2.0.1,A3DAFE003331A320,2014,c) Is the tenure process for public school teachers producing effective teachers?,education,,,model_consensus_provisional,welfare_policy,restriction,secondary,"The question asks if the tenure process is producing effective teachers. This implies a restriction on teacher tenure, which would likely lead to fewer teachers being able to stay in their positions and potentially impact the quality of education."
2.0.1,A7650344F2E564A0,2010,4) Political Party,business,,,model_consensus_provisional,market_governance,intervention,secondary,The policy is a restriction on political party contributions to candidates. This suggests the candidate supports limiting market influence in the political process.
2.0.1,A8F2E5E479B405FD,2006,e) Use federal TANF (Temporary Assistance to Needy Families) funds to extend health and child care subsidies to the working poor.,welfare,,,model_consensus_provisional,welfare_policy,expansion,secondary,The policy expands access to childcare services for working poor families.
2.0.1,A8F2E5E479B405FD,2006,e) Use federal TANF (Temporary Assistance to Needy Families) funds to extend health and child care subsidies to the working poor.,welfare,,,model_consensus_provisional,business_scale_alignment,small_business,secondary,"The policy incentivizes employers to provide childcare, potentially benefiting small businesses."
2.0.1,A8F2E5E479B405FD,2006,e) Use federal TANF (Temporary Assistance to Needy Families) funds to extend health and child care subsidies to the working poor.,welfare,,,model_consensus_provisional,childcare_delivery,employer_incentive,primary,"The policy uses federal TANF funds to incentivize employers to provide child care subsidies, which is a form of employer incentive under the childcare delivery axis."
2.0.1,AD5450F8A17FF56B,2010,"b) Do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",welfare,,,model_consensus_provisional,welfare_policy,expansion,secondary,secondary
2.0.1,AE7AFBFDADB8713B,2006,n) Should fee increases be used to balance the state budget?,taxation,,,model_consensus_provisional,tax_distribution,regressive,secondary,secondary
2.0.1,B14D15340216A904,1998,i) Support a three-year moratorium on both new hog farms and all expansions of farms to over 500 hogs.,environment,,,model_consensus_provisional,environmental_protection,weaken,secondary,The policy restricts the growth of a specific industry. This is likely to weaken environmental protection in the long term.
2.0.1,B14D15340216A904,1998,i) Support a three-year moratorium on both new hog farms and all expansions of farms to over 500 hogs.,environment,,,model_consensus_provisional,conservation_preservation,preserve,secondary,The moratorium could be seen as a preservation measure if it is intended to protect existing environmental conditions and prevent further degradation due to increased hog farming operations.
2.0.1,B4C11C285F3DA7B1,1998,a) Provide tax incentives to small businesses that provide health care to their employees.,healthcare,,,model_consensus_provisional,welfare_policy,expansion,secondary,secondary
2.0.1,B4C11C285F3DA7B1,1998,a) Provide tax incentives to small businesses that provide health care to their employees.,healthcare,,,model_consensus_provisional,business_scale_alignment,small_business,primary,primary
