canonical_candidate_id,year,chamber,district,party,candidate_name,canonical_incumbent,inferred_prior_winner,expected_prior_officeholder,proposed_people_id,proposed_member_name,proposed_member_chamber,recovery_method,recovery_confidence
AL-2002-house-40-R-BROOKS-PETE,2002,house,40,R,"Brooks, Pete",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-92-R-BROXTON-ROGER,2002,house,92,R,"Broxton, Roger",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-senate-7-D-BRYAN-BENNETT,2014,senate,7,D,Bryan Bennett,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-3-R-BUCHANAN,1998,senate,3,R,Jack Buchanan,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-24-D-BURKE,1994,house,24,D,Burke,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-24-D-BURKE,1998,house,24,D,Ralph Burke,0,True,True,,,,no_unique_deterministic_recovery,none
AL-1994-house-99-D-BUSKEY,1994,house,99,D,Buskey,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-99-D-BUSKEY-JAMES-E,2002,house,99,D,"Buskey, James E.",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-2-D-BUTLER-TOM,2002,senate,2,D,"Butler, Tom",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-32-R-BYRNE-BRADLEY,2002,senate,32,R,"Byrne, Bradley",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-house-21-D-C-TERRY-JONES,2014,house,21,D,C. Terry Jones,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-35-R-CALLAHAN,1998,senate,35,R,Callahan,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-35-R-CALLAHAN-GEORGE-M,2002,senate,35,R,George M. Callahan,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-49-R-CAM-WARD,2006,house,49,R,CAM WARD,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-36-D-CAMPBELL,1994,house,36,D,Campbell,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-43-D-CARIN-MAYO,2018,house,43,D,Carin Mayo,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-senate-11-D-CARL-CARTER,2018,senate,11,D,Carl Carter,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-48-R-CARNS-JIM,2002,house,48,R,"Carns, Jim",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-senate-1-D-CAROLINE-SELF,2018,senate,1,D,Caroline Self,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-79-D-CAROLYN-ELLIS,2006,house,79,D,Carolyn Ellis,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-86-D-CAROTHERS,1994,house,86,D,Joe R. Carothers Jr.,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-86-D-CAROTHERS,1998,house,86,D,Carothers,0,True,True,,,,no_unique_deterministic_recovery,none
AL-2002-house-86-D-CAROTHERS-JOE,2002,house,86,D,"Carothers, Joe",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-5-D-CARTER,1994,house,5,D,Carter,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-5-D-CARTER,1998,house,5,D,Tommy Carter,0,True,True,,,,no_unique_deterministic_recovery,none
AL-2002-house-5-D-CARTER-TOMMY,2002,house,5,D,"Carter, Tommy",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-42-R-CATON-ALLEN,2002,house,42,R,"Caton, Allen",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-3-D-CHAD-YOUNG,2018,house,3,D,Chad Young,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-36-D-CHANDLER-WAYNE,2002,house,36,D,"Chandler, Wayne",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-25-D-CHAPPELL,1998,senate,25,D,Michael Chappell,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2010-house-45-D-CHARLENE-CANNON,2010,house,45,D,CHARLENE CANNON,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-99-R-CHARLES-W-TALBERT,2018,house,99,R,Charles W. Talbert,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-37-D-CHARLOTTE-A-CLARK-FRIESON,2018,house,37,D,Charlotte A. Clark-Frieson,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-senate-7-R-CHERYL-BASWELL-GUTHRIE,2006,senate,7,R,CHERYL BASWELL-GUTHRIE,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-80-D-CHRISTOPHER-F-APOSTLE-DAVIS,2018,house,80,D,"Christopher F. ""Apostle"" Davis",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-house-53-R-CHRISTOPHER-HORN,2014,house,53,R,Christopher Horn,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-28-R-CHRISTOPHER-P-WORD,2006,house,28,R,CHRISTOPHER P. WORD,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-senate-16-D-CINDY-BELL,2014,senate,16,D,Cindy Bell,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-80-R-CINDY-DUNN-IRVIN,2006,house,80,R,CINDY DUNN IRVIN,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-33-D-CLARA-L-CURTIS,2006,house,33,D,CLARA L. CURTIS,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-84-D-CLARK,1994,house,84,D,Clark,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-98-D-CLARK,1994,house,98,D,Clark,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-98-D-CLARK-BILL,2002,house,98,D,"Clark, Bill",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-28-D-CLAY,1994,senate,28,D,George Clay,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-21-R-CLEMONS,1998,house,21,R,Adam Clemons,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-93-R-CLOUSE-STEVE,2002,house,93,R,"Clouse, Steve",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-29-R-CODY-ROBINSON,2006,house,29,R,Cody Robinson,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-5-R-COFFMAN-RONNIE-G,2002,house,5,R,"Coffman, Ronnie G.",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-60-D-COLEMAN-LINDA,2002,house,60,D,"Coleman, Linda",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-57-D-COLEMAN-MERIKA,2002,house,57,D,"Coleman, Merika",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-9-R-COLEY-ROY,2002,house,9,R,"Coley, Roy",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-105-R-COLLIER-JACK-SPENCER,2002,house,105,R,"Collier, ""Jack"" Spencer",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-16-D-COLLINS,1994,house,16,D,Collins,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-13-R-COMBS-TOMMY,2002,house,13,R,"Combs, Tommy",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-62-R-COPELAND,1994,house,62,R,Copeland,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-house-40-D-COPELAND,2014,house,40,D,Copeland,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-88-D-CORY-CREEL,2018,house,88,D,Cory Creel,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-25-D-COX-HOBSON,2002,senate,25,D,"Cox, Hobson",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-37-R-CREED-WAYNE-J,2002,house,37,R,"Creed, Wayne J.",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-105-R-CRIGLER,1994,house,105,R,"Richard P. """"Phil"""" Crigler Jr.",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-105-R-CRIGLER,1998,house,105,R,Crigler,0,True,True,,,,no_unique_deterministic_recovery,none
AL-1998-senate-8-R-CULPEPPER,1998,senate,8,R,Culpepper,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-23-R-CURL,1994,senate,23,R,Curl,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-15-R-CURRY,1994,house,15,R,Johnny Curry,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-33-D-CURTIS-CLARA,2002,house,33,D,"Curtis, Clara",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-senate-26-R-D-J-JOHNSON,2018,senate,26,R,D. J. Johnson,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-94-D-DANIELLE-MASHBURN-MYRICK,2018,house,94,D,Danielle Mashburn-Myrick,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2010-senate-22-R-DANNY-B-JOYNER,2010,senate,22,R,Danny B. Joyner,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-house-56-R-DARIUS-FOSTER,2014,house,56,R,Darius Foster,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-senate-13-D-DARRELL-TURNER,2014,senate,13,D,Darrell Turner,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-senate-13-D-DARRELL-TURNER,2018,senate,13,D,Darrell Turner,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-senate-25-D-DAVID-A-SADLER,2018,senate,25,D,David A. Sadler,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2010-house-92-D-DAVID-S-DARBY,2010,house,92,D,DAVID S. DARBY,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-5-R-DAVIDSON,1994,senate,5,R,Charles Davidson,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-96-R-DAVIS-RANDY,2002,house,96,R,"Davis, Randy",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-22-R-DAY-SHELDON-A,2002,senate,22,R,Sheldon A. Day,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-104-R-DEAN,1994,house,104,R,Mike Dean,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-104-R-DEAN,1998,house,104,R,Mike Dean,0,True,True,,,,no_unique_deterministic_recovery,none
AL-2018-senate-7-D-DEBORAH-BARROS,2018,senate,7,D,Deborah Barros,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-79-D-DEMPSEY,1998,house,79,D,Jan Miles Dempsey,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-house-22-D-DENNIS-W-STEPHENS,2014,house,22,D,Dennis W. Stephens,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-1-D-DENTON,1994,senate,1,D,Denton,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-1-D-DENTON,1998,senate,1,D,Denton,0,True,True,,,,no_unique_deterministic_recovery,none
AL-2002-senate-1-D-DENTON-BOBBY,2002,senate,1,D,"Denton, Bobby",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-13-D-DIAL,1994,senate,13,D,Dial,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-13-D-DIAL-GERALD,2002,senate,13,D,"Dial, Gerald",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-25-R-DIXON-LARRY,2002,senate,25,R,"Dixon, Larry",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-67-R-DOBYNES,1998,house,67,R,Aaron Dobynes,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-65-D-DOLBARE,1994,house,65,D,Jeff Dolbare,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-65-D-DOLBARE,1998,house,65,D,Jeff Dolbare,0,True,True,,,,no_unique_deterministic_recovery,none
AL-2002-house-65-D-DOLBARE-JEFF,2002,house,65,D,Jeff Dolbare,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-house-17-D-DON-BARNWELL,2014,house,17,D,Don Barnwell,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-senate-8-R-DON-STOUT,2006,senate,8,R,DON STOUT,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-house-28-R-DOUG-SHERROD,2014,house,28,R,Doug Sherrod,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2010-senate-25-D-DOUG-SMITTY-SMITH,2010,senate,25,D,DOUG 'Smitty' SMITH,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-11-D-DRAKE,1994,house,11,D,Drake,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2010-house-8-D-DRAMA-BRELAND,2010,house,8,D,DRAMA BRELAND,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-21-R-DUGAN-JERRY,2002,house,21,R,"Dugan, Jerry",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-8-D-DUKES-BILL-J,2002,house,8,D,"Dukes, Bill J.",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-80-R-DUNN,1998,house,80,R,Cindy Dunn Irvin,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-56-D-DUNN-PRICILLA,2002,house,56,D,"Dunn, Pricilla",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-5-D-DUTTON-JOHN-RANDALL,2002,senate,5,D,"Dutton, John Randall",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-38-R-DUWAYNE-BRIDGES,2006,house,38,R,DuWayne Bridges,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-senate-31-R-DWIGHT-ADAMS,2006,senate,31,R,DWIGHT ADAMS,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-house-81-D-DYLAN-V-OLIVER,2014,house,81,D,Dylan V. Oliver,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-senate-19-D-E-B-MCCLAIN,2006,senate,19,D,E.B. MCCLAIN,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-96-D-EASON,1998,house,96,D,Tonia Cherry Eason,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-18-D-EDDIE-BRITTON,2018,house,18,D,Eddie Britton,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-9-R-EDMONDS-DORIS,2002,senate,9,R,"Edmonds, Doris",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-64-D-ELLIOT-D-DICK-WEAVER,2006,house,64,D,"ELLIOT D. ""DICK"" WEAVER",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-41-D-EMILY-ANNE-MARCUM,2018,house,41,D,Emily Anne Marcum,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-7-R-ENFINGER,1998,senate,7,R,Jeffrey Wade Enfinger,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-7-D-ENFINGER-JEFF,2002,senate,7,D,"Enfinger, Jeff",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-14-R-ERWIN-HENRY-E-HANK-JR,2002,senate,14,R,"Erwin, Henry E. ""Hank"", Jr.",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-20-D-ESCOTT,1998,senate,20,D,Escott,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-20-D-ESCOTT-RUSSELL,1994,senate,20,D,Escott-Russell,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-20-D-ESCOTT-SUNDRA,2002,senate,20,D,"Escott, Sundra",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-29-R-ESTES,1994,house,29,R,Estes,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-55-R-EVANS,1994,house,55,R,Evans,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-66-D-F-P-SKIPPY-WHITE,2006,house,66,D,"F. P. ""SKIPPY"" WHITE",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-6-R-FARGERSON-SHAWN,2002,house,6,R,Shawn Fargerson,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-4-D-FARRAR,1994,senate,4,D,Farrar,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-94-R-FAUST-JOE-SR,2002,house,94,R,"Faust, Joe, Sr.",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-46-D-FELICIA-STEWART,2018,house,46,D,Felicia Stewart,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-33-D-FIGURES,1994,senate,33,D,Figures,0,False,False,,,,no_unique_deterministic_recovery,none
