adjudication_id,state_code,cycle_start,cycle_end,chamber,district,party,candidate_name,provider_identity,provider_candidate_name,evidence_source_path,evidence_source_url,evidence_quote,rationale,review_status,reviewer
FINID-TX-LUISA-DEL-ROSAL-HD114,TX,2020,2020,house,114,R,"Luisa Del Rosal",00083731,"Del Rosal Isais, Luisa M. (Mrs.)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"ctaSeekOfficeDistrict=114; provider name contains exact Luisa Del Rosal sequence","Exact person-name sequence and House district establish the candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-PAM-BAGGETT-HD19,TX,2022,2022,house,19,D,"Pam Baggett",00086312,"Baggett-Wallis, Pamela A. (Ms.)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"filerNameShort=Pam Baggett; ctaSeekOfficeDistrict=19","Official TEC short name and exact House district establish the candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-TERRI-LEO-WILSON-HD23,TX,2022,2024,house,23,R,"Terri Leo-Wilson",00086218,"Wilson, Teresa S. (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"filerNameShort=Terri; ctaSeekOfficeDistrict=23; filerHoldOfficeDistrict=23","Official TEC short name, surname, and exact House district establish the recurring candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-MIMI-COFFEY-HD99,TX,2022,2024,house,99,D,"Mimi Coffey",00085868,"Coffey, Elizabeth M. (Ms.)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"filerNameShort=Mimi; ctaSeekOfficeDistrict=99; cover reports span 2021-2024","Official TEC short name and exact House district identify the active filer with reports in both modeled windows.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-ASHTON-MURRAY-SD26,TX,2022,2022,senate,26,R,"Ashton Murray",00086227,"Murray Hanna, Ashton G. (Mr.)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"ctaSeekOfficeDistrict=26; provider name contains exact Ashton and Murray tokens","Exact person-name evidence, party, office, and district establish the candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TN-BETH-HARWELL-HD56,TN,2016,2016,house,56,R,"Beth Harwell",511,"HARWELL (HOUSE 16), BETH HALTEMAN",data/raw/finance/southern_summaries/TN/2016/candidate_index_page_6.html,https://apps.tn.gov/tncamp/public/replist.htm?id=511,"Official candidate index: HARWELL (HOUSE 16), BETH HALTEMAN; Republican; House district 56","The election-source Harwell-Haltman concatenation and provider's Halteman variant resolve to the uniquely scoped incumbent Beth Harwell.",approved,Codex official-source reconciliation 2026-08-31
FINID-TN-CURTIS-HALFORD-HD79,TN,2016,2016,house,79,R,"Curtis Halford",1470,"HALFORD, CURTIS",data/raw/finance/southern_summaries/TN/2018/candidate_index_page_3.html,https://apps.tn.gov/tncamp/public/replist.htm?id=1470,"Official report list for filer 1470 contains eight reports assigned to election 2016","The stable official filer has exact candidate identity and reports explicitly assigned to the 2016 election.",approved,Codex official-source reconciliation 2026-08-31
FINID-NC-TIM-BENTON-HD46,NC,2016,2016,house,46,D,"Tim Benton",STA-V7O6JB-C-001,"CURTIS TIMOTHY BENTON NC HOUSE DISTRICT 46",data/raw/finance/southern/NC/transactions_v2/2016/NSHS.csv,https://cf.ncsbe.gov/CFTxnLkup/Export,"Official transaction export identifies committee STA-V7O6JB-C-001 as CURTIS TIMOTHY BENTON NC HOUSE DISTRICT 46.","The candidate's displayed first name is a standard shortening of Timothy and the official committee name states the exact House district; the mapping is restricted to the 2016 House 46 Democratic candidate.",approved,Codex official-source reconciliation 2026-08-31
FINID-NC-JIM-DAVIS-SD50,NC,2016,2018,senate,50,R,"Jim Davis",STA-P3K19V-C-001,"JAMES C DAVIS CAMPAIGN / DAVIS FOR NC SENATE",data/raw/finance/southern_summaries/NC/targeted_transaction_batches_v3.jsonl,https://cf.ncsbe.gov/CFTxnLkup/Export,"Official committee directory identifies JAMES C DAVIS CAMPAIGN and the annual transaction exports identify DAVIS FOR NC SENATE.","Jim is a standard shortening of James; the Senate committee is unique in the official exports and the mapping is restricted to the exact 2016-2018 Senate 50 Republican candidate.",approved,Codex official-source reconciliation 2026-08-31
FINID-NC-EDDIE-GALLIMORE-SD29,NC,2018,2018,senate,29,R,"Eddie Gallimore",STA-U2M5ML-C-001,"GALLIMORE, JOHNNY EDWARD-NO 2026 ORG PAPERWORK RECEIVED",data/raw/finance/southern/NC/transactions_v2/2018/NSHS.csv,https://cf.ncsbe.gov/CFTxnLkup/Export,"Official transaction export identifies committee STA-U2M5ML-C-001 as GALLIMORE, JOHNNY EDWARD.","The ballot name Eddie corresponds to the official middle name Edward and no competing Gallimore committee exists; the mapping is restricted to the 2018 Senate 29 Republican candidate.",approved,Codex official-source reconciliation 2026-08-31
FINID-NC-JAY-ADAMS-HD96,NC,2024,2024,house,96,R,"Jay Adams",STA-B6IP24-C-001,"ADAMS FOR NC HOUSE (ADAMS, JAMES CECIL JR)",data/raw/finance/southern_summaries/NC/targeted_transaction_batches_v3.jsonl,https://cf.ncsbe.gov/CFTxnLkup/Export,"Official committee directory identifies ADAMS FOR NC HOUSE with owner ADAMS, JAMES CECIL JR; annual exports identify the same committee as STA-B6IP24-C-001.","The long-running official candidate committee and exact election scope distinguish James Cecil Jay Adams from other Adams committees; the mapping is restricted to the 2024 House 96 Republican candidate.",approved,Codex official-source reconciliation 2026-08-31
FINID-NC-STEVE-LUKING-SD26,NC,2024,2024,senate,26,D,"Steve Luking",STA-D2LNG4-C-001,"STEVELUKING4NC",data/raw/finance/southern/NC/transactions_v2/2024/NCSN.csv,https://cf.ncsbe.gov/CFTxnLkup/Export,"Official transaction export identifies committee STA-D2LNG4-C-001 as STEVELUKING4NC.","The official committee string contains the candidate's exact concatenated name and the mapping is restricted to the 2024 Senate 26 Democratic candidate.",approved,Codex official-source reconciliation 2026-08-31
FINID-AL-RON-WILSON-HD85,AL,2018,2018,house,85,R,"J. Ron Wilson",454|3047,"JAMES (RON) WILSON|JAMES WILSON",data/raw/finance/southern_summaries/AL/adjudicated_committee_searches_v1/FINID-AL-RON-WILSON-HD85.json,https://fcpa.alabamavotes.gov/page.request.do,"Official FCPA search returns record IDs 454 and 3047 for Republican James Ron Wilson committees in House District 85.","The official middle-name display supplies Ron and both records have the exact office, district, party, and surname; both records are retained so the exact cycle summary is complete.",approved,Codex official-source reconciliation 2026-08-31
FINID-AL-MIKE-JONES-HD92,AL,2018,2018,house,92,R,"Mike Jones, Jr.",336|1578,"MICHAEL L JONES|MICHAEL LANCE JONES",data/raw/finance/southern_summaries/AL/adjudicated_committee_searches_v1/FINID-AL-MIKE-JONES-HD92.json,https://fcpa.alabamavotes.gov/page.request.do,"Official FCPA search returns record IDs 336 and 1578 for Republican Michael L Jones committees in House District 92.","Mike is a standard shortening of Michael and both records share the exact office, district, party, and person; both records are retained for the exact cycle.",approved,Codex official-source reconciliation 2026-08-31
FINID-AL-PRISCILLA-DUNN-SD19,AL,2018,2018,senate,19,D,"Priscilla Dunn",310|1990,"PRISCILLA P DUNN|PRISCILLA A DUNN",data/raw/finance/southern_summaries/AL/adjudicated_committee_searches_v1/FINID-AL-PRISCILLA-DUNN-SD19.json,https://fcpa.alabamavotes.gov/page.request.do,"Official FCPA search returns record IDs 310 and 1990 for Democratic Priscilla Dunn committees in Senate District 19.","Exact first and last name, office, district, and party establish the candidate; both historical committee records are retained for the exact cycle.",approved,Codex official-source reconciliation 2026-08-31
FINID-AL-BILLY-BEASLEY-SD28-2018,AL,2018,2018,senate,28,D,"Billy Beasley",749|2278,"WILLIAM MARTIN BEASLEY",data/raw/finance/southern_summaries/AL/adjudicated_committee_searches_v1/FINID-AL-BILLY-BEASLEY-SD28-2018.json,https://fcpa.alabamavotes.gov/page.request.do,"Official FCPA search returns record IDs 749 and 2278 for Democratic William Martin Beasley committees in Senate District 28.","The official committee roster later displays the same legal name with nickname Billy; exact office, district, and party establish the identity for 2018.",approved,Codex official-source reconciliation 2026-08-31
FINID-AL-PAM-HOWARD-HD40,AL,2022,2022,house,40,D,GSL040DHOW,3006,"PAMELA JEAN HOWARD",data/manual/ideology/candidate_research_aliases.csv,https://www.sos.alabama.gov/sites/default/files/election-data/2022-11/Final%20Canvass%20of%20Results%20%28canvassed%20by%20state%20canvassing%20board%2011-28-2022%29.pdf,"The certified results resolve GSL040DHOW as Pam Howard; official FCPA record 3006 is Pamela Jean Howard, Democratic House District 40.","Certified election evidence repairs the parser artifact and exact FCPA office, district, party, and name establish the candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-AL-MARCUS-CASTER-HD65,AL,2022,2022,house,65,D,GSL065DCAS,3065|5317,"MARCUS ELLIS CASTER|MARCUS E CASTER",data/manual/ideology/candidate_research_aliases.csv,https://www.sos.alabama.gov/sites/default/files/election-data/2022-11/Final%20Canvass%20of%20Results%20%28canvassed%20by%20state%20canvassing%20board%2011-28-2022%29.pdf,"The certified results resolve GSL065DCAS as Marcus Caster; official FCPA records 3065 and 5317 are Democratic Marcus Caster committees in House District 65.","Certified election evidence repairs the parser artifact and exact FCPA office, district, party, and name establish the candidate identity; both records are retained for the exact cycle.",approved,Codex official-source reconciliation 2026-08-31
FINID-AL-BILLY-BEASLEY-SD28-2022,AL,2022,2022,senate,28,D,"Billy Beasley",428,"WILLIAM M BILLY BEASLEY",data/raw/finance/southern_summaries/AL/adjudicated_committee_searches_v1/FINID-AL-BILLY-BEASLEY-SD28-2022.json,https://fcpa.alabamavotes.gov/page.request.do,"Official FCPA search returns active record ID 428 for Democratic William M Billy Beasley in Senate District 28, registered September 1 2022.","The official portal supplies the ballot nickname and exact office, district, and party for the 2022 candidate.",approved,Codex official-source reconciliation 2026-08-31
FINID-AL-BILL-JONES-HD27,AL,2018,2018,house,27,D,"Bill Jones",3059,"WILLIAM B JONES",data/raw/finance/southern_summaries/AL/adjudicated_committee_searches_v2/FINID-AL-BILL-JONES-HD27.json,https://fcpa.alabamavotes.gov/page.request.do,"Official FCPA first-and-last-name search returns record ID 3059, committee ID 27934, for Democratic William B Jones, State Representative, House District 27, registered February 10 2018.","Bill is a standard shortening of William; exact office, district, party, surname, and middle initial establish the 2018 candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-AL-SUSAN-SMITH-HD66,AL,2018,2018,house,66,D,"Susan E. Smith",3159,"SUSAN ELAINE SMITH",data/raw/finance/southern_summaries/AL/adjudicated_committee_searches_v2/FINID-AL-SUSAN-SMITH-HD66.json,https://fcpa.alabamavotes.gov/page.request.do,"Official FCPA first-and-last-name search returns record ID 3159, committee ID 28034, for Democratic Susan Elaine Smith, State Representative, House District 66, registered March 2 2018.","Exact first and last name, matching middle initial, office, district, party, and registration timing establish the 2018 candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-NC-ERICA-SMITH-INGRAM-SD3,NC,2016,2016,senate,3,D,"Erica Smith-Ingram",STA-73RLZJ-C-001,"VOTE ERICA FOR NC (SMITH, ERICA DANETTE)",data/raw/finance/southern_summaries/NC/modeled_candidate_committee_searches_v2.jsonl,https://cf.ncsbe.gov/CFTxnLkup/CommitteeSearch?handler=Search,"Official committee directory identifies org group 26605 as VOTE ERICA FOR NC (SMITH, ERICA DANETTE); the 2015 and 2016 Senate exports identify VOTE ERICA FOR NC as STA-73RLZJ-C-001.","Exact first name and surname, the unique candidate committee, Senate-export classification, and activity in the 2015-2016 cycle establish the identity; Ingram is the election-source married surname.",approved,Codex official-source reconciliation 2026-08-31
FINID-NC-IVES-BRIZUELA-DE-SHOLAR-HD66,NC,2022,2022,house,66,R,"Ives Brizuela de Sholar",STA-R9ID38-C-001,"CAMPAIGN DISTRICT 66 (DE SHOLAR, IVESMARIA BRIZUELA)",data/raw/finance/southern_summaries/NC/modeled_candidate_committee_searches_v2.jsonl,https://cf.ncsbe.gov/CFTxnLkup/CommitteeSearch?handler=Search,"Official committee directory identifies org group 48980 as CAMPAIGN DISTRICT 66 (DE SHOLAR, IVESMARIA BRIZUELA); the 2022 House export identifies the same committee as STA-R9ID38-C-001.","The provider owner contains the candidate's complete distinctive name and the committee states the exact House district; the election-source concatenation is a parser artifact.",approved,Codex official-source reconciliation 2026-08-31
FINID-NC-MICHAEL-GREER-OSHEA-HD117,NC,2022,2022,house,117,D,"Michael Greer O'Shea",STA-220225-C-001,"O'SHEA FOR NC (O'SHEA, MICHAEL)",data/raw/finance/southern_summaries/NC/modeled_candidate_committee_searches_v2.jsonl,https://cf.ncsbe.gov/CFTxnLkup/CommitteeSearch?handler=Search,"Official committee directory identifies org group 48375 as O'SHEA FOR NC (O'SHEA, MICHAEL); the 2022 House export identifies O'SHEA FOR NC as STA-220225-C-001.","Exact first name and distinctive surname, legislative-compatible committee name, and House-export classification establish the identity; the election-source concatenation is a parser artifact.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-HILDA-GARZA-DESHAZO-HD41,TX,2016,2016,house,41,R,"Hilda Garza De Shazo",00080430,"DeShazo, Hilda Garza (Ms.)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"TEC filer 00080430 is the unique Hilda Garza DeShazo filer and has continuous candidate reports from July 2015 through December 2016, including pre-election reports filed October 11 and October 31 2016.","The complete distinctive name and exact 2015-2016 campaign-report timing establish the House 41 candidate identity; the registry's current seek-office field reflects a later office and is not used as historical scope evidence.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-GARY-VANDEAVER-HD1-2018,TX,2018,2018,house,1,R,"Gary VanDeaver",00069367,"VanDeaver, Gary W. (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"TEC filer 00069367 is Gary W. VanDeaver, State Representative District 1, and contains reports covering every half-year in 2017 and 2018.","Exact surname, compatible given name, incumbent office, district, and continuous report periods establish the omitted 2018 crosswalk identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-KYLE-AUSTIN-HD49,TX,2018,2018,house,49,R,"Kyle Austin",00082449,"Frels-Henry, Kyle Austin (Mr.)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"TEC filer 00082449 is Kyle Austin Frels-Henry, State Representative District 49, with five reports covering July 2017 through December 2018.","The ballot display uses the candidate's first and middle names; the exact distinctive Kyle Austin tokens, office, district, and cycle establish the identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-HUGH-SHINE-HD55-2018,TX,2018,2018,house,55,R,"Hugh D. Shine",00026513,"Shine, Hugh D. (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"TEC filer 00026513 is Hugh D. Shine, State Representative District 55, and contains reports covering all of 2017 and 2018.","Exact full name, incumbent office, district, and continuous report periods establish the omitted 2018 crosswalk identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TN-RICK-TILLIS-HD92,TN,2018,2018,house,92,R,"Rick Tillis",6029,"TILLIS, THOMAS R.",data/raw/finance/southern_summaries/TN/2018/candidate_index_page_6.html,https://apps.tn.gov/tncamp/public/replist.htm?id=6029,"Official candidate index identifies filer 6029 as Republican Thomas R. Tillis for House District 92 in the 2018 general election.","The ballot nickname Rick matches the provider middle initial R and exact Tillis surname; party, office, district, and election year make the identity unique.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-HILDA-GARZA-DESHAZO-HD41-2018,TX,2018,2018,house,41,R,"Hilda Garza De Shazo",00080430,"DeShazo, Hilda Garza (Mrs.)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"TEC filer 00080430 is the unique Hilda Garza DeShazo filer and has candidate reports covering all of 2017 and 2018, including 30-day and 8-day pre-election reports.","The complete distinctive name, exact House district election scope, and continuous 2017-2018 report timing establish the candidate identity despite the surname-only election display.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-PAUL-BETTENCOURT-SD7-2018,TX,2018,2018,senate,7,R,"Paul Bettencourt",00069337,"Bettencourt, Paul",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"TEC filer 00069337 is Paul Bettencourt, State Senator District 7, for the 2018 cycle.","Exact given name, office, district, and party establish the identity; BETTENCORT in the election source is a one-letter transcription error.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-PAUL-BETTENCOURT-SD7-2024,TX,2024,2024,senate,7,R,"Paul Bettencourt",00069337,"Bettencourt, Paul",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"TEC filer 00069337 is Paul Bettencourt, State Senator District 7, for the 2024 cycle.","Exact given name, office, district, and party establish the identity; BETTENCORT in the election source is a one-letter transcription error.",approved,Codex official-source reconciliation 2026-08-31
FINID-AL-ALLI-SUMMERFORD-HD48,AL,2018,2018,house,48,D,"Alli Summerford",2703,"ALLISON SUMMERFORD DENNING",data/raw/finance/southern_summaries/AL/adjudicated_committee_searches_v2/FINID-AL-ALLI-SUMMERFORD-HD48.json,https://fcpa.alabamavotes.gov/page.request.do,"Official FCPA search returns record 2703 and committee 27578 for Democratic Allison Summerford Denning, State Representative, House District 48, registered September 27 2018.","Alli is a standard shortening of Allison; Summerford is the provider middle surname, and exact office, district, party, and cycle establish the identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TN-TORREY-HARRIS-HD90-2020,TN,2020,2020,house,90,D,"Torrey C. Harris",6812,"HARRIS, TORREY",data/raw/finance/southern_summaries/TN/2020/report_lists/6812_page_1.html,"https://apps.tn.gov/tncamp/public/replist.htm?id=6812&owner=HARRIS,%20TORREY","Official report list identifies filer 6812 as Harris, Torrey and provides 2019-2020 reports for election 2020.","Exact distinctive name and the already matched 2020 House candidate establish identity; the adjudication authorizes acquisition of the official XLS fallback for unreadable report 126167.",approved,Codex official-source reconciliation 2026-08-31
FINID-TN-JESSE-HUSETH-HD97-2024,TN,2024,2024,house,97,D,"Jesse Huseth",10523,"HUSETH, JESSE",data/raw/finance/southern_summaries/TN/2024/adjudicated_report_lists_v2/10523_page_1.html,"https://apps.tn.gov/tncamp/public/replist.htm?id=10523&owner=HUSETH,%20JESSE","Official report list identifies filer 10523 as Huseth, Jesse and provides reports for election 2024 from 2023 through 2025.","Exact full name and reports covering the 2023-2024 House campaign cycle establish the candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-DENISE-RUSSELL-HD109-2016,TX,2016,2016,house,109,R,"A. Denise Russell",00069509,"Russell, Alissa D. (Mrs.)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"TEC filer 00069509 is Alissa D. Russell and contains reports covering all of 2015 and 2016, including 30-day and 8-day pre-election reports.","The ballot form A. Denise corresponds to provider given name Alissa and middle initial D; the exact surname, user-supplied filer ID, and complete 2015-2016 filing sequence establish the identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-JASON-ROWE-HD142-2020,TX,2020,2020,house,142,R,"Jason Rowe",00084443,"Rowe, Jason D. (Mr.)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"TEC filer 00084443 is Jason D. Rowe, State Representative District 142.","Exact given name, surname, office, district, party, cycle, and user-supplied filer ID establish the identity; the archive contains no report cover for this filer.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-MARTHA-GUTIERREZ-HD31-2022,TX,2022,2022,house,31,D,"Martha M. Gutierrez",00086413,"Gutierrez, Martha M.",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"TEC filer 00086413 is Martha M. Gutierrez, State Representative District 31.","Exact full name, office, district, party, cycle, and user-supplied filer ID establish the identity; the archive contains no report cover for this filer.",approved,Codex official-source reconciliation 2026-08-31
FINID-KY-WILLIAM-BRANDON-REED-HD24-2020,KY,2020,2020,house,24,R,"William Brandon Reed",232,"William Reed",data/raw/finance/southern_summaries/KY/2020_house_candidate_finance_index.html,https://legislature.ky.gov/LRC/Publications/Documents/GA%20Directory%202021.pdf,"KREF candidate 232 is William Reed for State Representative, 24th District, 11/3/2020 General; the official General Assembly directory identifies House 24 as Brandon Reed.","The official finance legal-name display and official legislative display share the Reed surname and exact House district; William Brandon Reed bridges the two displays for the 2020 candidate.",approved,Codex official-source reconciliation 2026-08-31
FINID-KY-WILLIAM-BRANDON-REED-HD24-2022,KY,2022,2022,house,24,R,"William Brandon Reed",152899,"William Reed",data/raw/finance/southern_summaries/KY/2022_house_candidate_finance_index.html,https://legislature.ky.gov/LRC/Publications/Documents/GA%20Directory%202021.pdf,"KREF candidate 152899 is William Reed for State Representative, 24th District, 11/8/2022 General; the official General Assembly directory identifies House 24 as Brandon Reed.","The official finance legal-name display and official legislative display share the Reed surname and exact House district; William Brandon Reed bridges the two displays for the 2022 candidate.",approved,Codex official-source reconciliation 2026-08-31
FINID-OK-CYNTHIA-CINDY-ROE-HD42-2022,OK,2022,2022,house,42,R,"Cynthia Cindy Roe","CYNTHIA JO ROE","CYNTHIA JO ROE",data/raw/finance/southern/OK/2022_ContributionLoanExtract.csv.zip,https://former.okhouse.gov/Journals/MJ/2021%20Master%20Journal%20vol1.pdf,"The official House journal lists District 42 as Cynthia Cindy Roe; Guardian bulk records identify the candidate as Cynthia Jo Roe.","Exact surname, legal given name, explicit official nickname, party, and House district establish the 2022 candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-OK-HURCHEL-TREY-CALDWELL-HD63-2022,OK,2022,2022,house,63,R,"Hurchel E. Trey Caldwell III","HURCHEL E CALDWELL","HURCHEL E CALDWELL III",data/raw/finance/southern/OK/2022_ContributionLoanExtract.csv.zip,https://www.okhouse.gov/representatives/trey-caldwell,"The official House biography identifies Representative Trey Caldwell of District 63 as Hurchel E. Trey Caldwell III; Guardian bulk records use Hurchel E Caldwell III.","The official biography supplies the nickname bridge and exact House district for the 2022 candidate.",approved,Codex official-source reconciliation 2026-08-31
