hypothesis_id,family,variable_or_construct,unit,temporal_status,causal_role,expected_cmo_relationship,current_status,current_field_or_source,preferred_test,priority
BASE-11,partisan_context,national generic-ballot environment,cycle,pre-election,context,"A more Democratic national environment should improve Democratic legislative margins",proposed,polling environment archive,"historically matched polling-cutoff forward test",P2
BASE-12,partisan_context,chamber,district-cycle,pre-election,context,"House and Senate candidate effects and campaign visibility may differ",implemented,chamber,"stratified estimates and interaction tests",P0
BASE-13,partisan_context,election cycle,district-cycle,not_prospectively_available_as_category,context,"Election-specific shocks affect residual distributions",implemented,cycle,"historical description only; no unseen-cycle one-hot forecast",P0
BASE-14,partisan_context,political era,district-cycle,pre_specified,structural_break,"Relationships may differ pre-2008, in 2010-2014, and after 2016",tested,era,"expanding-window tests plus prespecified interactions",P0
BASE-15,partisan_context,district plan or redistricting disruption,district-cycle,pre-election,context,"New boundaries weaken accumulated candidate relationships and lagged comparisons",proposed,map_vintage and district-plan crosswalks,"new-plan indicator and population-overlap interaction",P1
DEMO-01,demographics,nonwhite population share,district-cycle,pre-election,confounder_or_effect_modifier,"Coalition composition may change which candidates overperform",implemented,nonwhite_share,"forward-cycle nonlinear effect and ideology interaction",P0
DEMO-02,demographics,white non-Hispanic college share,district-cycle,pre-election,confounder_or_effect_modifier,"Education composition may affect candidate fit and nationalization",implemented,white_college_share,"forward-cycle nonlinear effect and ideology interaction",P0
DEMO-03,demographics,overall college share,district-cycle,pre-election,context,"Educational attainment may matter beyond white-college composition",available,college_share,"compare against white-college specification without collinear stacking",P1
DEMO-04,demographics,Black CVAP share,district-cycle,pre-election,effect_modifier,"Black electorate size may affect Democratic coalition stability and candidate returns",available,cvap_black_share,"2014-2022 forward-cycle and majority-Black stratification",P0
DEMO-05,demographics,Hispanic CVAP share,district-cycle,pre-election,effect_modifier,"Hispanic composition may alter coalition and turnout dynamics",available,cvap_hispanic_share,"coverage-aware forward-cycle test",P1
DEMO-06,demographics,other nonwhite CVAP share,district-cycle,pre-election,context,"Nonwhite groups should not be assumed behaviorally interchangeable",available,cvap_other_nonwhite_share,"descriptive and pooled-shrinkage test",P2
DEMO-07,demographics,white noncollege share,district-cycle,pre-election,effect_modifier,"Potential base for culturally conservative Democratic overperformance",available,joint race-education cells,"interact with social and economic ideology",P0
DEMO-08,demographics,Black college and noncollege shares,district-cycle,pre-election,effect_modifier,"Race and education may jointly structure candidate fit",available,joint race-education cells,"partial-pooled joint-cell interaction",P1
DEMO-09,demographics,majority-white district,district-cycle,pre-election,stratifier,"Social conservatism may be more electorally relevant in majority-white districts",tested,majority_white derived from nonwhite_share,"prespecified subgroup and continuous interaction",P0
DEMO-10,demographics,urbanicity or rurality,district-cycle,pre-election,effect_modifier,"Localism and cultural positioning may operate differently in rural districts",proposed,ACS density and geography,"continuous density plus rural classification sensitivity",P1
DEMO-11,demographics,age composition,district-cycle,pre-election,effect_modifier,"Older electorates may respond differently to incumbency and social ideology",available,RDH L2 and ACS age cells,"2014-2022 forward-cycle test after harmonization",P1
DEMO-12,demographics,sex composition,district-cycle,pre-election,effect_modifier,"Gender composition may modestly condition issue effects",available,RDH L2 and ACS,"regularized interaction only",P2
DEMO-13,demographics,population growth and demographic change,district-cycle,pre-election,context,"Rapid change may weaken historical baselines and incumbent relationships",proposed,multi-vintage ACS,"lagged change test with redistricting sensitivity",P1
DEMO-14,demographics,turnout propensity and composition,district-cycle,mostly_same_cycle_post_treatment,mediator_or_outcome,"Candidate mobilization may be a mechanism of overperformance rather than an exogenous predictor",experimental,RDH L2 turnout and primary turnout panels,"mechanism analysis; use lagged turnout for prediction",P0
CAND-01,candidate_history,incumbent status by party,candidate-cycle,pre-election,endogenous_selection_and_possible_treatment,"Observed incumbent advantage combines prior strength, officeholding, deterrence, and survival",decomposed,dem_incumbent_i and rep_incumbent_i,"never headline CMO adjustment; predictive sensitivity only",P0
CAND-02,candidate_history,first-term incumbent,candidate-cycle,pre-election,endogenous_treatment,"Separates recent winners selected by strong prior performance from established incumbents",implemented,first_term_incumbent,"within-person transition and forward prediction",P0
CAND-03,candidate_history,established incumbent,candidate-cycle,pre-election,endogenous_treatment,"Repeated survival may proxy durable personal vote and challenger deterrence",implemented,established_incumbent,"within-person and duration-response analysis",P0
CAND-04,candidate_history,prior candidate CMO,candidate-cycle,strictly_lagged,latent_candidate_strength,"Persistent candidate appeal should predict later overperformance with regression to the mean",implemented,prior_candidate_overperformance,"candidate-grouped forward-cycle validation",P0
CAND-05,candidate_history,prior winner,candidate-cycle,strictly_lagged,selection,"Winning selects strong candidates into future incumbency",implemented,prior_winner,"selection model and transition analysis",P0
CAND-06,candidate_history,prior unopposed status,candidate-cycle,strictly_lagged,selection_or_deterrence,"An unopposed race may reflect deterrence but gives no usable margin-quality signal",implemented,prior_unopposed,"separate indicator; never convert unopposed margin to CMO",P0
CAND-07,candidate_history,prior contested status,candidate-cycle,strictly_lagged,measurement_quality,"Only contested prior races identify comparable CMO",implemented,prior_contested,"availability-stratified persistence test",P0
CAND-08,candidate_history,prior cycle gap,candidate-cycle,strictly_lagged,measurement_quality,"Candidate-strength persistence should decay with time away from the ballot",implemented,prior_cycle_gap,"interaction with prior CMO",P1
CAND-09,candidate_history,number of prior incumbent appearances,candidate-cycle,strictly_lagged,endogenous_duration,"Tenure may reflect experience and personal vote but also repeated survival",implemented,prior_incumbent_appearances,"nonlinear within-person and predictive sensitivity",P1
CAND-10,candidate_history,challenger entry or deterrence,race-cycle,pre-election_but_endogenous,selection_mechanism,"Strong incumbents may overperform partly by deterring serious challengers or producing unopposed races",tested,incumbency_survivorship outputs,"two-stage contest-entry then margin model",P0
CAND-11,candidate_history,candidate rerunning and survival,candidate-cycle,pre-election_but_endogenous,selection_mechanism,"Only successful or persistent candidates remain observable",tested,incumbency_survivorship outputs,"inverse-probability or multistate sensitivity",P0
CAND-12,candidate_history,party switching,candidate-cycle,pre-election,candidate_trait_and_identity_risk,"Switchers may carry personal votes across party coalitions and complicate incumbency coding",available,party affiliation/adjudication records,"switcher case study and separate indicator",P1
FIN-01,finance,Democratic-to-Republican fundraising ratio,race-cycle,partly_pre_election_mediator,mediator_and_signal,"Resource advantage may improve performance and signal candidate quality",implemented,log_fundraising_ratio_d_to_r,"separate fundraising-adjusted CMO and cutoff-date sensitivity",P0
FIN-02,finance,Democratic-to-Republican expenditure ratio,race-cycle,post_treatment_or_contemporaneous,mediator,"Spending may affect votes but responds to expected competitiveness and candidate quality",implemented,log_spending_ratio_d_to_r,"resource-adjusted sensitivity; not headline causal control",P0
FIN-03,finance,beginning cash,race-cycle,pre-election,resource_stock,"Preexisting cash may be less endogenous than full-cycle receipts",available,FCPA committee finance,"forward test using frozen pre-election cutoff",P1
FIN-04,finance,ending cash,race-cycle,post_treatment,post_treatment_descriptor,"Ending cash reflects strategic spending and should not explain the election causally",available,FCPA committee finance,"descriptive only",P2
FIN-05,finance,small-donor versus large-donor composition,candidate-cycle,partly_pre_election,coalition_signal,"Donor structure may capture grassroots intensity or elite support",proposed,FCPA transactions,"cutoff-date composition features and forward test",P1
FIN-06,finance,local versus out-of-district donor share,candidate-cycle,partly_pre_election,localism_signal,"Locally rooted fundraising may proxy constituent networks",proposed,FCPA transactions,"geocoded donor-share test",P1
FIN-07,finance,finance completeness and missingness,race-cycle,measurement_quality,missingness_indicator,"Missing records may be systematic and must never be treated as zero",implemented,finance_complete and ftm_finance_complete,"coverage subgroup errors and multiple-source sensitivity",P0
IDEO-01,ideology,overall ideological valence,candidate-cycle,pre_election_if_evidence_predates_vote,candidate_trait,"Candidate moderation or conservatism may affect Democratic overperformance",tested,Shor-McCarty and PCT composite,"source-specific estimates; never pool incompatible scales blindly",P0
IDEO-02,ideology,social liberty-equality or social conservatism,candidate-cycle,pre_election_if_lagged,candidate_trait,"Socially conservative Democrats may overperform especially in conservative majority-white districts",tested,ideology_v3_social_liberty_equality and social_ideology,"district-fit interaction by era",P0
IDEO-03,ideology,economic market-government direction,candidate-cycle,pre_election_if_lagged,candidate_trait,"Economic populism and social conservatism may have distinct electoral effects",available,ideology_v3_market_government_direction and economic_ideology,"joint two-axis model",P0
IDEO-04,ideology,material support and welfare generosity,candidate-cycle,pre_election_if_lagged,candidate_trait,"Support for public material benefits may aid Democrats independently of social ideology",available,ideology_v3_material_support,"joint two-axis and rural interaction",P1
IDEO-05,ideology,labor-capital alignment,candidate-cycle,pre_election_if_lagged,candidate_trait,"Pro-labor positioning may strengthen legacy Democratic coalitions",available,ideology_v3_labor_capital and labor_position,"era and district-union-context interaction",P1
IDEO-06,ideology,criminal justice and order,candidate-cycle,pre_election_if_lagged,candidate_trait,"Tough-on-crime positioning may help in culturally conservative districts but harm elsewhere",available,ideology_v3_order_justice and criminal_justice_position,"district-fit interaction",P1
IDEO-07,ideology,gun policy,candidate-cycle,pre_election_if_lagged,candidate_trait,"Gun-rights alignment may aid rural or conservative-district Democrats",available,guns_position,"rurality and prior-presidential interaction",P1
IDEO-08,ideology,abortion policy,candidate-cycle,pre_election_if_lagged,candidate_trait,"Anti-abortion positioning may historically aid conservative-district Democrats",available,abortion_position,"era and district-fit interaction",P1
IDEO-09,ideology,education policy,candidate-cycle,pre_election_if_lagged,candidate_trait,"Public-school advocacy may be a locally salient cross-partisan strength",available,education_position,"teacher-union and rural interaction",P1
IDEO-10,ideology,health-care policy,candidate-cycle,pre_election_if_lagged,candidate_trait,"Medicaid and health-service positions may matter in rural districts",available,healthcare_position,"rural and hospital-access interaction",P2
IDEO-11,ideology,environment and resource policy,candidate-cycle,pre_election_if_lagged,candidate_trait,"Environmental positions may depend on local extractive or agricultural economies",available,environment_position and ideology_v3_environment_resources,"local-industry interaction",P2
IDEO-12,ideology,government and institutional reform,candidate-cycle,pre_election_if_lagged,candidate_trait,"Reform or anti-establishment positioning may create candidate-specific appeal",available,government_reform_position and ideology_v3_institutional_reform,"era-specific test",P2
IDEO-13,ideology,immigration position,candidate-cycle,pre_election_if_lagged,candidate_trait,"Restrictive positioning may track cultural fit but evidence is sparse",available,immigration_position,"descriptive until coverage threshold",P2
IDEO-14,ideology,ideological distance from district,candidate-cycle,pre-election,derived_candidate_district_fit,"Congruence should matter more than absolute ideology",tested,social_x_prior_pres and district_republican_lean interactions,"candidate ideology by district partisanship interaction",P0
IDEO-15,ideology,ideological distance from party caucus median,candidate-cycle,pre_election_if_lagged,candidate_trait,"Caucus heterodoxy may proxy local fit or reduced party support",available,Shor-McCarty/roll-call ideal points,"within-cycle chamber-party centered test",P1
IDEO-16,ideology,party loyalty and cross-party voting,candidate-cycle,pre_election_only_when_lagged,candidate_behavior,"Bipartisan voting may create personal appeal but is also enabled by safe tenure",available,party_loyalty_rate and cross_party_voting_rate,"strictly lagged incumbent-only test",P1
IDEO-17,ideology,bill sponsorship priorities,candidate-cycle,pre_election_only_when_lagged,candidate_priority,"Agenda choice may reveal issue emphasis beyond roll-call ideology",available,candidate sponsorship evidence,"topic shares and district-fit interactions",P1
IDEO-18,ideology,amendment direction and committee behavior,candidate-cycle,pre_election_only_when_lagged,candidate_behavior,"Less visible legislative actions may distinguish substantive priorities from final-passage voting",partially_available,amendment and committee evidence,"lagged evidence model after coverage audit",P2
IDEO-19,ideology,campaign positions and endorsements,candidate-cycle,pre-election,candidate_signal,"Publicly emphasized positions and coalition endorsements may predict electoral fit",partially_available,campaign websites and evidence ledger,"source-date constrained test",P1
IDEO-20,ideology,localism and personal-vote orientation,candidate-cycle,pre-election,candidate_trait,"Local roots and district-specific service may raise overperformance independent of left-right ideology",tested,localism evidence in ideology research,"matched case comparison then structured feature build",P0
BIO-01,candidate_biography,years resident in district,candidate-cycle,pre-election,candidate_trait,"Long local tenure may build trust and name recognition",qualitative,candidate biographies,"code from contemporaneous biographies and test nonlinearly",P1
BIO-02,candidate_biography,prior municipal or county office,candidate-cycle,pre-election,candidate_trait,"Local elected experience may transfer a personal vote into legislative races",qualitative,candidate biographies,"office-type indicators with district and era controls",P0
BIO-03,candidate_biography,prior nonlegislative elected office,candidate-cycle,pre-election,candidate_trait,"Prior electoral experience may signal campaign skill and visibility",qualitative,candidate biographies,"strictly prior-office indicator",P1
BIO-04,candidate_biography,length of legislative service,candidate-cycle,pre-election,endogenous_duration,"Tenure may build service reputation but is selected through repeated survival",available,legislator service records,"within-person duration sensitivity separate from incumbency",P1
BIO-05,candidate_biography,constituent-service reputation,candidate-cycle,pre-election,candidate_trait,"Visible casework and district service may create a durable personal vote",qualitative,candidate memos and public sources,"structured evidence rubric and matched cases",P0
BIO-06,candidate_biography,candidate accessibility and local presence,candidate-cycle,pre-election,candidate_trait,"Frequent local presence may distinguish state candidates from national party brands",qualitative,campaign and news sources,"blind-coded evidence and matched comparisons",P1
BIO-07,candidate_biography,local family or political network,candidate-cycle,pre-election,candidate_trait,"Family and civic networks may mobilize cross-partisan support",qualitative,candidate biographies,"network indicator with name-recognition sensitivity",P1
BIO-08,candidate_biography,famous surname or inherited name recognition,candidate-cycle,pre-election,candidate_trait,"Recognizable political surnames may independently affect vote choice",qualitative,candidate biographies,"manual flag and matched district comparison",P2
BIO-09,candidate_biography,occupation and occupational credibility,candidate-cycle,pre-election,candidate_trait,"Occupation may signal issue competence or cultural fit",qualitative,candidate biographies,"preregistered occupation categories and partial pooling",P1
BIO-10,candidate_biography,education-sector employment or ties,candidate-cycle,pre-election,candidate_trait,"School ties may strengthen local networks and public-education credibility",qualitative,candidate biographies and organization evidence,"interaction with education employment and rurality",P1
BIO-11,candidate_biography,business ownership or leadership,candidate-cycle,pre-election,candidate_trait,"Business identity may signal competence or conservative economic credibility",qualitative,candidate biographies,"interaction with economic ideology",P2
BIO-12,candidate_biography,clergy church or faith-community leadership,candidate-cycle,pre-election,candidate_trait,"Religious leadership may generate trusted networks and cultural congruence",qualitative,candidate biographies,"interaction with social ideology and district context",P1
BIO-13,candidate_biography,military or law-enforcement background,candidate-cycle,pre-election,candidate_trait,"Service background may provide cross-party credibility on order and patriotism",qualitative,candidate biographies,"interaction with criminal-justice positioning",P1
BIO-14,candidate_biography,Black civic church and community networks,candidate-cycle,pre-election,candidate_trait,"Dense civic networks may support turnout and candidate persistence in Black communities",qualitative,candidate biographies,"majority-Black district matched comparisons",P0
BIO-15,candidate_biography,bipartisan or Rural Caucus leadership,candidate-cycle,pre-election_if_lagged,candidate_behavior,"Cross-party institutional roles may signal coalition breadth",qualitative,legislative and candidate biographies,"strictly lagged leadership indicator",P1
BIO-16,candidate_biography,endorsement coalition breadth,candidate-cycle,pre-election,candidate_signal,"Cross-cutting endorsements may signal viability and group alignment",partially_available,endorsement and interest-group evidence,"source-specific counts with timing cutoff",P1
BIO-17,candidate_biography,campaign organization and field strength,candidate-cycle,pre-election_or_mediator,candidate_mechanism,"Organizational capacity may mobilize votes beyond baseline",proposed,campaign reports and finance proxies,"pre-election staffing and field proxies",P1
BIO-18,candidate_biography,localist campaign message,candidate-cycle,pre-election,candidate_signal,"Emphasizing district service over national party conflict may improve crossover appeal",qualitative,campaign websites and advertisements,"blind content coding and era interaction",P0
BIO-19,candidate_biography,candidate scandal or legal controversy,candidate-cycle,pre-election_if_known,candidate_shock,"Scandal should reduce candidate-specific performance",qualitative,contemporaneous news,"dated event indicator and case-control design",P1
BIO-20,candidate_biography,party-switching history,candidate-cycle,pre-election,candidate_trait_and_identity_risk,"Switchers may retain personal support from a prior coalition or suffer distrust",available,party affiliation records,"switcher event study",P1
BIO-21,candidate_biography,Black candidate identity,candidate-cycle,pre-election,candidate_trait_and_coalition_signal,"A Black major-party nominee may increase legislative turnout especially among Black voters",proposed,reviewed candidate race and ethnicity crosswalk,"district-cycle counterfactual turnout analysis with overlap diagnostics",P0
OPP-01,opponent_context,opponent prior electoral experience,race-cycle,pre-election,opponent_trait,"Experienced opponents may reduce focal-candidate CMO",proposed,candidate history panel,"symmetric candidate-pair feature",P0
OPP-02,opponent_context,opponent prior CMO,race-cycle,strictly_lagged,opponent_strength,"A strong opponent should lower focal performance in the zero-sum race score",implemented,candidate history panel,"candidate-grouped forward-cycle validation",P0
OPP-03,opponent_context,opponent resource advantage,race-cycle,partly_pre_election_mediator,opponent_strength,"Well-resourced opponents may suppress focal performance",implemented,finance ratios,"cutoff-date resource comparison",P0
OPP-04,opponent_context,opponent ideological fit,race-cycle,pre_election_if_lagged,opponent_trait,"A locally congruent opponent may reduce crossover opportunities",proposed,ideology matrix plus district context,"paired candidate-district fit model",P1
OPP-05,opponent_context,opponent scandal,race-cycle,pre-election_if_known,opponent_shock,"Opponent scandal may produce unusually high focal overperformance",qualitative,contemporaneous news,"dated case-control analysis",P1
OPP-06,opponent_context,open seat,race-cycle,pre-election,contest_context,"Open seats remove officeholding advantages but also change recruitment and spending",available,incumbency pair,"separate stratum and finance interaction",P0
OPP-07,opponent_context,weak major-party recruitment,race-cycle,pre-election_but_latent,selection_mechanism,"Parties may field weak nominees where they expect poor performance",qualitative,candidate biographies and finance,"latent opponent-quality index; avoid post-result coding",P0
OPP-08,opponent_context,third-party or independent presence,race-cycle,pre-election,contest_context,"Additional candidates can change major-party vote shares and coalition choices",available,canonical candidate roster,"separate vote-share and two-party-margin sensitivities",P1
OPP-09,opponent_context,contest salience and media attention,race-cycle,pre-election_or_endogenous,contest_context,"High-salience races may nationalize voting and attract resources",proposed,news volume and spending,"pre-election media-volume measure",P2
OPP-10,opponent_context,local issue salience,race-cycle,pre-election,contest_context,"A locally dominant issue may amplify biography or issue-position effects",qualitative,campaign and news evidence,"topic-coded case study then hierarchical feature",P1
QUAL-01,measurement,demographic availability and vintage age,district-cycle,pre-election,measurement_quality,"Older or missing ACS data may inflate error and apparent effects",implemented,demographics_available and demographic_age_years,"error stratification and weighted sensitivity",P0
QUAL-02,measurement,baseline fallback share,district-cycle,same_cycle_measurement,measurement_quality,"County or provisional allocation can create artificial CMO extremes",implemented,baseline_fallback_share,"exclude/high-low fallback sensitivity",P0
QUAL-03,measurement,presidential fallback share,district-cycle,pre-election_measurement,measurement_quality,"Weak presidential geography can attenuate context relationships",implemented,prior_pres_fallback_share,"coverage subgroup and exclusion sensitivity",P0
QUAL-04,measurement,incumbency evidence completeness,race-cycle,pre-election,measurement_quality,"Unknown historical incumbency must not become non-incumbency",implemented,incumbency_evidence_complete,"complete-case and unknown-category sensitivity",P0
QUAL-05,measurement,ideology evidence count and conflict,candidate-cycle,pre-election_if_lagged,measurement_quality,"Thin or conflicting evidence can attenuate ideology estimates",implemented,ideology_v3_evidence_records and ideology_v3_max_conflict_ratio,"measurement-error sensitivity and source-specific models",P0
QUAL-06,selection,contested Democratic-Republican eligibility,race-cycle,same_cycle_selection,selection_mechanism,"Candidate strength affects whether a race is contested; modeled races are not all districts",implemented,cmo_eligibility_funnel.csv,"contest-entry model and explicit conditional estimand",P0
QUAL-07,selection,questionnaire response and public-record availability,candidate-cycle,pre-election_but_selected,selection_mechanism,"Candidates with ideology evidence may be systematically different",implemented,pct_available and source coverage fields,"response-propensity weighting and coverage comparison",P0
