act_id,act_year,act_number,act_citation,measure_type,measure_number,origin_chamber,title,approval_label,approval_date_raw,source_volume_year,source_file,ordinal_in_volume,ocr_block_characters,act_key,source_observations,distinct_measure_types,distinct_measure_numbers,identity_conflict,is_canonical_observation
ALACT-4865F1D5F72D6BF7,1986,635,86-635,HJR,5.0,H,"COMMENDING MAYOR STEVE MEANS, GADSDEN, ALA¬",Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,11,1948,1986-635,1,1,1,False,True
ALACT-44C416F5DE48E64F,1986,636,86-636,HJR,49.0,H,CONGRATULATING THE TROY STATE UNIVERSITY BASEBALL TEAM ON ITS 1986 NCAA DIVISION II NATIONAL CHAMPIONSHIP,Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,12,2940,1986-636,1,1,1,False,True
ALACT-8905ACCFCEEADA11,1986,637,86-637,HJR,48.0,H,CONGRATULATING THE TROY STATE UNIVERSITY LADY TROJAN GOLF TEAM UPON ITS 1986 NATIONAL CHAMPIONSHIP,Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,13,2166,1986-637,1,1,1,False,True
ALACT-E1C685B7672F5A1D,1986,638,86-638,HJR,45.0,H,"COMMENDING C. THOMAS CROOKS, III, OF PLEASANT GROVE, ALABAMA, FOR OUTSTANDING PROFESSIONAL ACHIEVEMENT",Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,14,1898,1986-638,1,1,1,False,True
ALACT-9B93216229941DE1,1986,639,86-639,HJR,40.0,H,COMMENDING GOVERNOR GEORGE WALLACE ON HIS PROCLAMATION OF SEPTEMBER 1986 AS “LITERACY MONTH” IN THE STATE OF ALABAMA,Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,15,1413,1986-639,1,1,1,False,True
ALACT-DF79F76EE6CDB68E,1986,640,86-640,HJR,14.0,H,"MOURNING THE DEATH OF JAMES ARTHUR RUTH¬ ERFORD, JR., OF GADSDEN, ALABAMA",Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,16,1400,1986-640,1,1,1,False,True
ALACT-CEDFAA26815B9FDB,1986,641,86-641,HJR,13.0,H,"COMMENDING THE ALABAMA DISTINGUISHED PRIN¬ CIPAL FOR 1986, DORIS LEFTWICH OF ETOWAH COUNTY’S WHITESBORO ELEMENTARY SCHOOL",Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,17,2466,1986-641,1,1,1,False,True
ALACT-B139AE6A47ED731C,1986,642,86-642,HJR,12.0,H,"COMMENDING LOWRY HOBBS OF GADSDEN, ALABAMA, FOR OUTSTANDING ACHIEVEMENT",Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,18,1915,1986-642,1,1,1,False,True
ALACT-199F09AB07D37097,1986,643,86-643,HJR,51.0,H,"CONGRATULATING MR. AND MRS. JAMES MELVIN TAY¬ LOR, SR. ON THE OCCASION OF THEIR 50TH WEDDING ANNIVERSARY",Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,19,1515,1986-643,1,1,1,False,True
ALACT-4C5F99CB473621E0,1986,644,86-644,HJR,50.0,H,"COMMENDING DR. RALPH N. WESLEY, JR., OF GADS¬ DEN, ALABAMA",Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,20,2974,1986-644,1,1,1,False,True
ALACT-49EF75DE4B7654E0,1986,646,86-646,SJR,93.0,S,POSTPONING AND RESCHEDULING THE ELECTION DATE ON THE CONSTITUTONAL AMENDMENT ON CER¬ TAIN TAXES FOR SCHOOL PURPOSES IN TUSCALOOSA 1986 REGULAR SESSION,,,1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,22,1356,1986-646,1,1,1,False,True
ALACT-EDE0B4C443B4E182,1986,647,86-647,H,64.0,H,,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,23,1746,1986-647,1,1,1,False,True
ALACT-439843889193D8EC,1986,648,86-648,H,132.0,H,,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,24,3620,1986-648,1,1,1,False,True
ALACT-72B0EF1024AC3088,1986,649,86-649,S,11.0,S,,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,25,5598,1986-649,1,1,1,False,True
ALACT-6F7FCB542D193BB4,1986,650,86-650,S,7.0,S,,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,26,3844,1986-650,1,1,1,False,True
ALACT-54E689E83F09DA54,1986,651,86-651,S,1.0,S,,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,27,1243,1986-651,1,1,1,False,True
ALACT-E58D8A2D956F6E6E,1986,652,86-652,S,6.0,S,,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,28,2464,1986-652,1,1,1,False,True
ALACT-01121EAA83BC1C1A,1986,653,86-653,SJR,21.0,S,CONGRATULATING TROY STATE UNIVERSITY ON ITS CENTENNIAL CELEBRATION,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,29,2420,1986-653,1,1,1,False,True
ALACT-9B9DCCD76AE7C663,1986,654,86-654,SJR,20.0,S,COMMENDING THE ALABAMA INSTITUTE FOR DEAF AND BLIND,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,30,2048,1986-654,1,1,1,False,True
ALACT-DA34A224E9CB0E29,1986,655,86-655,SJR,22.0,S,"MOURNING THE DEATH OF JAMES VANDIVER NEW¬ TON OF GREENVILLE, ALABAMA",Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,31,1854,1986-655,1,1,1,False,True
ALACT-ACF309BB3793ABEE,1986,656,86-656,H,12.0,H,,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,32,16801,1986-656,1,1,1,False,True
ALACT-AD37264A93E3E8B3,1986,657,86-657,H,16.0,H,,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,33,1001,1986-657,1,1,1,False,True
ALACT-A8887FBF58CF1317,1986,658,86-658,H,54.0,H,,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,34,723,1986-658,1,1,1,False,True
ALACT-F44389149C00E602,1986,659,86-659,H,9.0,H,,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,35,13086,1986-659,1,1,1,False,True
ALACT-74C3E8460717AD0F,1986,660,86-660,HJR,74.0,H,"MOURNING THE DEATH OF WILBUR E. DEARMAN OF SUMTER COUNTY, ALABAMA",Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,36,2642,1986-660,1,1,1,False,True
ALACT-B847B51BD871C868,1986,661,86-661,HJR,72.0,H,"CONGRATULATING MRS. ANNA LOUISE MORRISS STAPLES OF MOBILE, ALABAMA, ON THE OCCASION OF HER 102ND BIRTHDAY",Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,37,1868,1986-661,1,1,1,False,True
ALACT-353091346824E5D0,1986,662,86-662,HJR,71.0,H,"MOURNING THE DEATH OF GARROLD H. NUNGESTER, JR., OF DECATUR, ALABAMA",Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,38,1822,1986-662,1,1,1,False,True
ALACT-9EB788CECEB613D0,1986,663,86-663,HJR,70.0,H,COMMENDING CHRISTINA ANN BELL FOR DISTIN¬ GUISHED SERVICE TO THE MORGAN COUNTY BOARD OF REGISTRARS,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,39,2012,1986-663,1,1,1,False,True
ALACT-9CA0CC542D041C2E,1986,664,86-664,HJR,69.0,H,COMMENDING WAYNE F. SCHWEITZER ON HIS DIS¬ TINGUISHED CAREER WITH DELTA AIR LINES,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,40,2734,1986-664,1,1,1,False,True
ALACT-967754DDE56CBBCA,1986,665,86-665,HJR,67.0,H,"COMMENDING AMERICAN CANDY COMPANY OF SELMA,",Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,41,2651,1986-665,1,1,1,False,True
ALACT-87033C1AA70AF2D4,1986,666,86-666,HJR,66.0,H,"MOURNING THE DEATH OF JAMES VANDIVER NEW¬ TON OF GREENVILLE, ALABAMA",Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,42,2478,1986-666,1,1,1,False,True
ALACT-A16E888DBDD44E70,1986,667,86-667,HJR,59.0,H,"MOURNING THE DEATH OF GLENN R. McCLENDON OF LAFAYETTE, ALABAMA",Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,43,3049,1986-667,1,1,1,False,True
ALACT-7B473CEFFA56651A,1986,668,86-668,HJR,46.0,H,"NAMING WASHINGTON COUNTY ROAD 28 THE “DAN BEECH ROAD""",Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,44,1280,1986-668,1,1,1,False,True
ALACT-9238B3858787768E,1986,669,86-669,HJR,11.0,H,URGING THE SOUTHEAST COMPACT COMMISSION TO PLACE THE STATE OF ALABAMA AT NUMBER SEVEN IN THE TECHNICAL RANKINGS OF THE HOST STATE CRI¬ TERION OF THE COMMISSION,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,45,2155,1986-669,1,1,1,False,True
ALACT-BB14F334BCF73889,1986,670,86-670,HJR,10.0,H,DESIGNATING A PORTION OF HIGHWAY 143 AS “ROBINSON SPRINGS ROAD.”,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,46,694,1986-670,1,1,1,False,True
ALACT-38B8F2A5A6B9FCA7,1986,671,86-671,HJR,81.0,H,COMMENDING DAVIS ANDREW FEARS FOR OUTSTAND¬ ING COMMUNITY SERVICE,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,47,1759,1986-671,1,1,1,False,True
ALACT-6435460CABE77157,1986,672,86-672,HJR,89.0,H,ESTABLISHING THE JOINT GOVERNOR’S-LEGISLATIVE TASK FORCE ON CHILD DAY CARE,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,48,4124,1986-672,1,1,1,False,True
ALACT-46BD3FC4F4689428,1986,673,86-673,HJR,87.0,H,"COMMENDING THE CITY OF VESTAVIA HILLS, ITS MAYOR AND COUNCIL, ON THE SELECTION OF SAID CITY AS A BICENTENNIAL COMMUNITY",Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,49,1933,1986-673,1,1,1,False,True
ALACT-618591D56EFA2E47,1986,674,86-674,HJR,84.0,H,EXPRESSING LEGISLATIVE INTENT REGARDING ELEC¬ TION OF CHAIRMAN OF MACON COUNTY COMMISSION,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,50,1259,1986-674,1,1,1,False,True
ALACT-89CF1F130EAA9E25,1986,675,86-675,HJR,79.0,H,EXPRESSING LEGISLATIVE INTENT REGARDING ACT,Approved,"September 18, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,51,999,1986-675,1,1,1,False,True
ALACT-09C1A39CBF291784,1986,676,86-676,HJR,76.0,H,HONORING ALABAMA’S PEACE CORPS VOLUNTEERS,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,52,2437,1986-676,1,1,1,False,True
ALACT-FBADF2E48A919739,1986,677,86-677,HJR,91.0,H,"MOURNING THE DEATH OF EDWARD CECIL VENTRESS OF CLAYTON, ALABAMA",Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,53,2152,1986-677,1,1,1,False,True
ALACT-ED4B9837FE7ADE52,1986,678,86-678,HJR,92.0,H,"MOURNING THE DEATH OF E. H. “HAMP” GRAVES OF EUFAULA, ALABAMA",Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,54,1736,1986-678,1,1,1,False,True
ALACT-1F77E0A59096847D,1986,679,86-679,HJR,94.0,H,COMMENDING WILLIAM MICHAEL HOUSE FOR OUT¬ STANDING PROFESSIONAL ACHIEVEMENT,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,55,2998,1986-679,1,1,1,False,True
ALACT-82E3DE16D01C0B74,1986,680,86-680,HJR,96.0,H,HONORING AMERICA’S EX-PRISONERS-OF-WAR,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,56,1508,1986-680,1,1,1,False,True
ALACT-ABB0577724D2370B,1986,681,86-681,H,58.0,H,,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,57,1582,1986-681,1,1,1,False,True
ALACT-03333E271B6D3DDF,1986,682,86-682,H,46.0,H,,Approved,"September 25, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,58,1070,1986-682,1,1,1,False,True
ALACT-3A6C8F74CC29BDE0,1986,683,86-683,SJR,73.0,S,"PROPOSING THAT THE LEGISLATURE STAND IN RE¬ CESS BETWEEN THE HOURS OF 2 P.M. AND 4:30 P.M. ON THURSDAY, SEPTEMBER 18,1986, THE TIME OF PRESIDENT REAGAN’S VISIT TO MONTGOMERY",Approved,"September 29, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,59,1621,1986-683,1,1,1,False,True
ALACT-588DC88C47879195,1986,684,86-684,S,2.0,S,,Approved,"September 29, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,60,5393,1986-684,1,1,1,False,True
ALACT-44B97C0DD4791182,1986,685,86-685,S,53.0,S,,Approved,"September 29, 1986. /",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,61,3092,1986-685,1,1,1,False,True
ALACT-029D7BA4CAA6AFC3,1986,686,86-686,S,69.0,S,,Approved,"September 29, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,62,3095,1986-686,1,1,1,False,True
ALACT-F73DA1D585721056,1986,687,86-687,S,37.0,S,,Approved,"September 29, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,63,6548,1986-687,1,1,1,False,True
ALACT-1E4363DAF2594D19,1986,688,86-688,S,25.0,S,,Approved,"September 29, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,64,2488,1986-688,1,1,1,False,True
ALACT-27CED61CDECCD477,1986,689,86-689,H,61.0,H,,Approved,"September 29, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,65,16230,1986-689,1,1,1,False,True
ALACT-6974AA7434C3C596,1986,690,86-690,H,62.0,H,,Approved,"September 29, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,66,9827,1986-690,1,1,1,False,True
ALACT-FF8344CAEDB8D4F8,1986,691,86-691,H,123.0,H,,Approved,"September 29, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,67,1226,1986-691,1,1,1,False,True
ALACT-B7A8BF9FCBF586A6,1986,692,86-692,H,125.0,H,,Approved,"September 29, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,68,1522,1986-692,1,1,1,False,True
ALACT-C6D1D65711DBD5D7,1986,693,86-693,H,147.0,H,,Approved,"September 29, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,69,1133,1986-693,1,1,1,False,True
ALACT-2630AD0334BBC377,1986,694,86-694,HJR,99.0,H,MOURNING THE DEATH OF ROBERT KEITH GROUBY,Approved,"September 29, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,70,2065,1986-694,1,1,1,False,True
ALACT-B7A5891FD45FA465,1986,695,86-695,S,106.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,71,6852,1986-695,1,1,1,False,True
ALACT-22948272289540A3,1986,696,86-696,S,110.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,72,1855,1986-696,1,1,1,False,True
ALACT-E065AFC468FB1B94,1986,697,86-697,S,103.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,73,2524,1986-697,1,1,1,False,True
ALACT-3398DBC5A2EFB0FF,1986,698,86-698,S,86.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,74,1305,1986-698,1,1,1,False,True
ALACT-978FA609C41D836A,1986,699,86-699,S,71.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,75,2660,1986-699,1,1,1,False,True
ALACT-E0790930C5C4725E,1986,700,86-700,S,90.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,76,2888,1986-700,1,1,1,False,True
ALACT-47B934550D0DF003,1986,701,86-701,S,92.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,77,2027,1986-701,1,1,1,False,True
ALACT-711111E1CD069A5C,1986,702,86-702,S,95.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,78,1696,1986-702,1,1,1,False,True
ALACT-2A40000ACCBA591B,1986,703,86-703,S,17.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,79,9924,1986-703,1,1,1,False,True
ALACT-A4CC876A34D48603,1986,704,86-704,S,18.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,80,3291,1986-704,1,1,1,False,True
ALACT-7A05F5B6A4739E25,1986,705,86-705,S,26.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,81,3026,1986-705,1,1,1,False,True
ALACT-FFC00AF38AAEE0CE,1986,706,86-706,S,27.0,S,,,,1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,82,975,1986-706,2,1,1,False,True
ALACT-65DE5B19818B717C,1986,707,86-707,S,28.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,84,2178,1986-707,1,1,1,False,True
ALACT-A915185BD55B99A0,1986,708,86-708,S,31.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,85,3045,1986-708,1,1,1,False,True
ALACT-DEAAC071BF786047,1986,709,86-709,S,68.0,S,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,86,12112,1986-709,1,1,1,False,True
ALACT-3290A2038D0A58F1,1986,710,86-710,H,45.0,H,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,87,1529,1986-710,1,1,1,False,True
ALACT-3D988E2A5AD2E8AB,1986,711,86-711,H,39.0,H,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,88,1313,1986-711,1,1,1,False,True
ALACT-7F2ADCEB0FD8E43D,1986,712,86-712,H,27.0,H,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,89,2053,1986-712,1,1,1,False,True
ALACT-DF2953FECB324F13,1986,713,86-713,H,25.0,H,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,90,39063,1986-713,1,1,1,False,True
ALACT-4AAB8FDE02F19991,1986,719,86-719,H,8.0,H,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,91,1554,1986-719,1,1,1,False,True
ALACT-780FB018018999C1,1986,720,86-720,H,6.0,H,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,92,3823,1986-720,1,1,1,False,True
ALACT-11E203A298A34881,1986,721,86-721,H,4.0,H,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,93,2350,1986-721,1,1,1,False,True
ALACT-CE7BC66E50CC68D1,1986,722,86-722,H,5.0,H,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,94,641,1986-722,1,1,1,False,True
ALACT-FBEC78A06CE3D0D9,1986,723,86-723,H,33.0,H,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,95,6143,1986-723,1,1,1,False,True
ALACT-19B3C5EC9E1C0101,1986,724,86-724,H,109.0,H,,approved,evaluators designated and trained,1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,96,19220,1986-724,1,1,1,False,True
ALACT-8F83842F38551814,1986,725,86-725,H,126.0,H,,Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,97,9642,1986-725,1,1,1,False,True
ALACT-B569504185888005,1986,726,86-726,SJR,82.0,S,"MOURNING THE DEATH OF E. M. “MAC” McKINNEY OF MONTGOMERY, ALABAMA",Approved,"October 2, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,98,2333,1986-726,1,1,1,False,True
