county,precinct,dem_votes,rep_votes,two_party_votes,pres_dem_margin,source_format
Talladega,WINTERBORO VOL. FIRE,634,653,1287,-1.4763014763014763,standard_xlsx
Talladega,BERNEYS STATION VFD,244,81,325,50.15384615384615,standard_xlsx
Talladega,LAY LAKE VOL. FIRE DEPARTMENT,43,500,543,-84.16206261510129,standard_xlsx
Talladega,ST. ANDREWS METHODIST CHURCH,173,507,680,-49.11764705882353,standard_xlsx
Talladega,J. CRAIG SMITH COMM. CTR,2379,3271,5650,-15.787610619469026,standard_xlsx
Talladega,R. S. LIMBAUGH COMM. CTR,1040,1421,2461,-15.48151158065827,standard_xlsx
Talladega,BON AIR CITY HALL,210,207,417,0.7194244604316546,standard_xlsx
Talladega,OAK GROVE CITY HALL,390,748,1138,-31.45869947275923,standard_xlsx
Talladega,SYCAMORE NUTRITION CENTER,162,263,425,-23.764705882352942,standard_xlsx
Talladega,WALDO CITY HALL,87,270,357,-51.260504201680675,standard_xlsx
Talladega,FAYETTEVILLE FIRE DEPARTMENT,157,501,658,-52.27963525835866,standard_xlsx
Talladega,COUNTY LINE VOL FIRE DEPT.,56,314,370,-69.72972972972973,standard_xlsx
Talladega,STEMLEY VOL. FIRE DEPARTMENT,412,742,1154,-28.596187175043326,standard_xlsx
Talladega,RENFROE VOL. FIRE DEPARTMENT,257,599,856,-39.953271028037385,standard_xlsx
Talladega,MUNFORD OLD HIGH SCHOOL GYM,483,998,1481,-34.773801485482785,standard_xlsx
Talladega,ABSENTEE,322,644,966,-33.333333333333336,standard_xlsx
Talladega,PROVISIONAL,1,7,8,-75.0,standard_xlsx
Tallapoosa,A/C HOUSING AUTHORITY,463,368,831,11.432009626955475,standard_xlsx
Tallapoosa,COOPER COMMUNITY CENTER,1398,870,2268,23.280423280423282,standard_xlsx
Tallapoosa,MONCRIEF,29,182,211,-72.51184834123222,standard_xlsx
Tallapoosa,OURTOWN V.F.D.,98,565,663,-70.43740573152338,standard_xlsx
Tallapoosa,ALEX CITY NATIONAL GUARD,387,1251,1638,-52.747252747252745,standard_xlsx
Tallapoosa,ALEX CITY FIRE LAKE HILL,153,680,833,-63.265306122448976,standard_xlsx
Tallapoosa,HILLABEE BAPTIST CHURCH,57,580,637,-82.10361067503925,standard_xlsx
Tallapoosa,HACKNEYVILLE COMMUNITY CENTER,61,575,636,-80.81761006289308,standard_xlsx
Tallapoosa,COWPENS VOTING HOUSE,71,324,395,-64.0506329113924,standard_xlsx
Tallapoosa,NEW SITE TOWN HALL,96,499,595,-67.73109243697479,standard_xlsx
Tallapoosa,EAGLE CREEK VOTING HOUSE,42,182,224,-62.5,standard_xlsx
Tallapoosa,DADEVILLE RECREATION CENTER,774,698,1472,5.163043478260869,standard_xlsx
Tallapoosa,MANOY VOTING HOUSE,116,701,817,-71.60342717258261,standard_xlsx
Tallapoosa,NEW PACES PT. V.F.D.,177,850,1027,-65.53067185978578,standard_xlsx
Tallapoosa,UNION COMMUNITY BUILDING,61,508,569,-78.55887521968366,standard_xlsx
Tallapoosa,SARDIS COMMUNITY BUILDING,95,167,262,-27.480916030534353,standard_xlsx
Tallapoosa,REELTOWN FIRE DEPARTMENT,147,804,951,-69.08517350157729,standard_xlsx
Tallapoosa,TALLASSEE CITY HALL,111,498,609,-63.54679802955665,standard_xlsx
Tallapoosa,WALL STREET COMMUNITY CENTER,415,237,652,27.300613496932517,standard_xlsx
Tallapoosa,CHURCHHILL VOTING HOUSE,32,76,108,-40.74074074074074,standard_xlsx
Tallapoosa,MARYS CROSS RDS. VOTING HOUSE,143,94,237,20.675105485232066,standard_xlsx
Tallapoosa,MT. LOVELY BAPTIST CHURCH,761,85,846,79.90543735224587,standard_xlsx
Tallapoosa,BUTTSTON VOLUNTEER FIRE,25,95,120,-58.333333333333336,standard_xlsx
Tallapoosa,DAVISTON COMMUNITY CENTER,74,172,246,-39.83739837398374,standard_xlsx
Tallapoosa,JACKSONS GAP V.F.D.,247,810,1057,-53.2639545884579,standard_xlsx
Tallapoosa,ABSENTEE,219,432,651,-32.71889400921659,standard_xlsx
Tallapoosa,PROVISIONAL,0,0,0,,standard_xlsx
Tuscaloosa,WHITSON CHURCH OF CHRIST,4,33,37,-78.37837837837837,standard_xlsx
Tuscaloosa,WINDHAM SPRINGS BAPTIST,16,144,160,-80.0,standard_xlsx
Tuscaloosa,SHERIFFS FIRING RANGE,18,184,202,-82.17821782178218,standard_xlsx
Tuscaloosa,MAYFIELD FIRE,14,95,109,-74.31192660550458,standard_xlsx
Tuscaloosa,MONTGOMERY FIRE DEPT.,80,611,691,-76.8451519536903,standard_xlsx
Tuscaloosa,SAMANTHA VFD,89,575,664,-73.19277108433735,standard_xlsx
Tuscaloosa,COUNTY ROAD CAMP 3,111,342,453,-50.99337748344371,standard_xlsx
Tuscaloosa,STATION 2 CARROLLS CREEK,139,736,875,-68.22857142857143,standard_xlsx
Tuscaloosa,YELLOW CREEK FIRE DEPT.,66,438,504,-73.80952380952381,standard_xlsx
Tuscaloosa,ANTIOCH BAPTIST CHURCH,20,138,158,-74.68354430379746,standard_xlsx
Tuscaloosa,TANNEHILL VLY BAPTIST,168,1195,1363,-75.34849596478357,standard_xlsx
Tuscaloosa,LAKEVIEW FIRE,229,1673,1902,-75.92008412197687,standard_xlsx
Tuscaloosa,ABERNANT BAPTIST CHURCH,85,578,663,-74.35897435897436,standard_xlsx
Tuscaloosa,G G HARDIN COMMUNITY CENTER,151,855,1006,-69.98011928429423,standard_xlsx
Tuscaloosa,MARY PHELPS CENTER,632,2315,2947,-57.10892432982694,standard_xlsx
Tuscaloosa,CARROLLS CREEK BAPTIST,306,2166,2472,-75.24271844660194,standard_xlsx
Tuscaloosa,CHAPEL HILL BAPTIST,344,1278,1622,-57.583230579531445,standard_xlsx
Tuscaloosa,ECHOLA VFD,20,211,231,-82.68398268398268,standard_xlsx
Tuscaloosa,MOUNT OLIVE VFD,143,822,965,-70.36269430051813,standard_xlsx
Tuscaloosa,FLATWOODS BAPTIST,656,1229,1885,-30.397877984084882,standard_xlsx
Tuscaloosa,NORTHPORT CITY HALL,902,2136,3038,-40.61882817643186,standard_xlsx
Tuscaloosa,VESTAVIA HILLS ELEMENTARY,590,1476,2066,-42.884801548886735,standard_xlsx
Tuscaloosa,TUSCALOOSA ACADEMY,930,2661,3591,-48.20384294068504,standard_xlsx
Tuscaloosa,HOLT ELEMENTARY,1218,393,1611,51.21042830540037,standard_xlsx
Tuscaloosa,PETERSON COMMUNITY CHURCH,110,436,546,-59.70695970695971,standard_xlsx
Tuscaloosa,JAYCEE PARK BOYS CLUB,1683,838,2521,33.51844506148354,standard_xlsx
Tuscaloosa,U OF A STUDENT REC/CTR.,817,1395,2212,-26.130198915009043,standard_xlsx
Tuscaloosa,TUSCALOOSA COURTHOUSE ANNEX,480,696,1176,-18.367346938775512,standard_xlsx
Tuscaloosa,SPRAYBERRY REG ED CENTER,650,216,866,50.11547344110855,standard_xlsx
Tuscaloosa,NORTHPORT COMMUNITY CENTER,836,811,1647,1.5179113539769278,standard_xlsx
Tuscaloosa,COKER FIRE DEPT.,82,549,631,-74.0095087163233,standard_xlsx
Tuscaloosa,BUHL VFD STATION,32,329,361,-82.27146814404432,standard_xlsx
Tuscaloosa,ELROD VFD STATION,31,178,209,-70.33492822966507,standard_xlsx
Tuscaloosa,ROMULUS FIRE DEPT.,44,199,243,-63.78600823045267,standard_xlsx
Tuscaloosa,UNITY BAPTIST,346,89,435,59.08045977011494,standard_xlsx
Tuscaloosa,STILLMAN COLL HAYS CTR,2964,72,3036,95.25691699604744,standard_xlsx
Tuscaloosa,MCDONALD HUGHES CC,2185,27,2212,97.55877034358048,standard_xlsx
Tuscaloosa,GREEN ACRES HEALTH CTR,898,202,1100,63.27272727272727,standard_xlsx
Tuscaloosa,FORREST LAKE METHODIST,262,350,612,-14.379084967320262,standard_xlsx
Tuscaloosa,UNIV MALL,752,944,1696,-11.320754716981131,standard_xlsx
Tuscaloosa,MCABEE CENTER,936,881,1817,3.026967528893781,standard_xlsx
Tuscaloosa,COMMUNITY CHURCH COTTONDALE,415,1030,1445,-42.56055363321799,standard_xlsx
Tuscaloosa,COTTONDALE METHODIST CHURCH,209,722,931,-55.10204081632653,standard_xlsx
Tuscaloosa,MCFARLAND MALL,2664,1698,4362,22.145804676753784,standard_xlsx
Tuscaloosa,SKYLAND ELEMENTARY,1565,695,2260,38.49557522123894,standard_xlsx
Tuscaloosa,OLD REX APPLIANCE BUILDING,1585,360,1945,62.98200514138817,standard_xlsx
Tuscaloosa,BOBBY MILLER ACTIVITY,1894,3215,5109,-25.85633196320219,standard_xlsx
Tuscaloosa,DUNCANVILLE MIDDLE,436,1228,1664,-47.59615384615385,standard_xlsx
Tuscaloosa,COALING TOWN HALL,285,1174,1459,-60.932145305003424,standard_xlsx
Tuscaloosa,VANCE COMMUNITY CENTER,196,781,977,-59.877175025588535,standard_xlsx
Tuscaloosa,HAGLER FIRE DEPT.,16,212,228,-85.96491228070175,standard_xlsx
Tuscaloosa,BIG SANDY BAPTIST,1028,1403,2431,-15.425750719868367,standard_xlsx
Tuscaloosa,FOSTERS FIRE DEPT.,388,513,901,-13.873473917869035,standard_xlsx
Tuscaloosa,RALPH FIRE DEPT.,175,347,522,-32.95019157088122,standard_xlsx
Tuscaloosa,ABSENTEE,1108,1829,2937,-24.548859380320053,standard_xlsx
Tuscaloosa,PROVISIONAL,45,45,90,0.0,standard_xlsx
Walker,JASPER MALL,405,1819,2224,-63.57913669064748,standard_xlsx
Walker,FARMSTEAD BAPTIST,331,1692,2023,-67.27632229362334,standard_xlsx
Walker,BETHEL ASSEMBLY OF GOD CHURCH,64,261,325,-60.61538461538461,standard_xlsx
Walker,MEADOW/SMITH LIBRARY,507,595,1102,-7.985480943738657,standard_xlsx
Walker,CARBON HILL COMMUNITY CENTER,331,640,971,-31.822863027806385,standard_xlsx
Walker,TOWNLEY ODD FELLOWS,54,153,207,-47.82608695652174,standard_xlsx
Walker,MEMORIAL PARK NATATORIUM,239,785,1024,-53.3203125,standard_xlsx
Walker,WESTSIDE BAPTIST,480,327,807,18.95910780669145,standard_xlsx
Walker,OAKMAN SENIOR CITIZENS,232,578,810,-42.71604938271605,standard_xlsx
Walker,TUTWILER FIRE DEPARTMENT,37,209,246,-69.91869918699187,standard_xlsx
Walker,UNION HALL GOODSPRINGS,85,318,403,-57.81637717121588,standard_xlsx
Walker,CORDOVA VFW BUILDING,375,1008,1383,-45.770065075921906,standard_xlsx
Walker,DORA CIVIC CENTER,307,815,1122,-45.27629233511586,standard_xlsx
Walker,VALLEY JR. HIGH,190,806,996,-61.84738955823293,standard_xlsx
Walker,SIPSEY SCHOOL,203,306,509,-20.23575638506876,standard_xlsx
Walker,EMPIRE UNION BUILDING,142,595,737,-61.46540027137042,standard_xlsx
Walker,CURRY-COMMUNITY CENTER,163,965,1128,-71.09929078014184,standard_xlsx
Walker,CORONA BAPTIST CHURCH,20,108,128,-68.75,standard_xlsx
Walker,COPELAND FERRY FIRE DEPARTMENT,32,158,190,-66.3157894736842,standard_xlsx
Walker,LIBERTY HILL CHURCH,13,55,68,-61.76470588235294,standard_xlsx
Walker,TWILLEY TOWN CHURCH,185,304,489,-24.335378323108383,standard_xlsx
Walker,PARRISH HIGH SCHOOL GYM,340,787,1127,-39.66282165039929,standard_xlsx
Walker,SARAGOSSA COMMUNITY CENTER,82,312,394,-58.3756345177665,standard_xlsx
Walker,POCAHONAS FREEWILL BAPTIST,75,155,230,-34.78260869565217,standard_xlsx
Walker,ELDRIDGE CITY HALL,24,171,195,-75.38461538461539,standard_xlsx
Walker,KANSAS CITY HALL,43,130,173,-50.28901734104046,standard_xlsx
Walker,RICES CHAPEL CHURCH,31,156,187,-66.84491978609626,standard_xlsx
Walker,BOLDO COMMUNITY CENTER,139,780,919,-69.74972796517955,standard_xlsx
Walker,TOWNLEY VOL. FIRE DEPT.,46,157,203,-54.679802955665025,standard_xlsx
Walker,ABUNDANT LIFE CHURCH,41,210,251,-67.33067729083665,standard_xlsx
Walker,THACH SCHOOL,82,432,514,-68.09338521400778,standard_xlsx
Walker,PROSPECT METHODIST CHURCH,143,490,633,-54.81832543443918,standard_xlsx
Walker,CROSSROADDS CHURCH OF CHRIST,43,306,349,-75.35816618911174,standard_xlsx
Walker,NAUVOO CITY HALL,111,343,454,-51.10132158590309,standard_xlsx
Walker,NEW BETHANY CHURCH OF GOD,28,194,222,-74.77477477477477,standard_xlsx
Walker,MCCOLLUM NATIONAL GUARD,30,163,193,-68.9119170984456,standard_xlsx
Walker,BEVILL STATE TECH.,226,1330,1556,-70.95115681233933,standard_xlsx
Walker,DILLWORTH COMMUNITY BUILDING,39,245,284,-72.53521126760563,standard_xlsx
Walker,NEW HOPE MISSIONARY,91,518,609,-70.11494252873563,standard_xlsx
Walker,WALKER COUNTY EMA BUILDING,53,253,306,-65.359477124183,standard_xlsx
Walker,PLEASANTFIELD COMMUNITY,25,101,126,-60.317460317460316,standard_xlsx
Walker,ARGO FIRE DEPARTMENT,112,215,327,-31.498470948012233,standard_xlsx
Walker,PINEYWOODS FIRE DEPARTMENT,70,467,537,-73.9292364990689,standard_xlsx
Walker,MANCHESTER COMMUNITY BUILDING,67,242,309,-56.63430420711974,standard_xlsx
Walker,OLD HERMAN CHURCH,59,329,388,-69.58762886597938,standard_xlsx
Walker,ABSENTEE,156,650,806,-61.29032258064516,standard_xlsx
Walker,PROVISIONAL,0,0,0,,standard_xlsx
Walker,SPARE,0,0,0,,standard_xlsx
Washington,HOBSON FIRE HOUSE,25,198,223,-77.57847533632287,standard_xlsx
Washington,FRANKVILLE FIRE HOUSE,145,224,369,-21.40921409214092,standard_xlsx
Washington,MILLRY FIRE HOUSE,327,453,780,-16.153846153846153,standard_xlsx
Washington,RED CREEK FIRE HOUSE,14,296,310,-90.96774193548387,standard_xlsx
Washington,COPELAND FIRE HOUSE,13,278,291,-91.06529209621993,standard_xlsx
Washington,YARBO FIRE HOUSE,98,270,368,-46.73913043478261,standard_xlsx
Washington,LATON HILL FIRE HOUSE,16,259,275,-88.36363636363636,standard_xlsx
Washington,FRUITDALE FIRE HOUSE,61,334,395,-69.11392405063292,standard_xlsx
Washington,DEER PARK FIRE HOUSE,234,401,635,-26.299212598425196,standard_xlsx
Washington,CHARITY CHAPEL FIRE HOUSE,21,179,200,-79.0,standard_xlsx
Washington,TIBBIE FIRE HOUSE,69,338,407,-66.0933660933661,standard_xlsx
Washington,FAIRFORD FIRE HOUSE,162,251,413,-21.54963680387409,standard_xlsx
Washington,McINTOSH HIGH,963,371,1334,44.377811094452774,standard_xlsx
Washington,WAGARVILLE FIRE HOUSE,215,340,555,-22.52252252252252,standard_xlsx
Washington,LEROY FIRE HOUSE,211,402,613,-31.158238172920065,standard_xlsx
Washington,ST. STEPHENS FIRE HOUSE,124,270,394,-37.055837563451774,standard_xlsx
Washington,CHATOM COURTHOUSE,195,588,783,-50.191570881226056,standard_xlsx
Washington,ABSENTEE,78,297,375,-58.4,standard_xlsx
Washington,PROVISIONAL,0,0,0,,standard_xlsx
Winston,DOUBLE SPRINGS COMMUNITY CNTR,154,991,1145,-73.1004366812227,standard_xlsx
Winston,NEIGHBORHOOD FAC. BUILDING,133,542,675,-60.592592592592595,standard_xlsx
Winston,HOME ZONE BUILDING NEEDMORE,64,398,462,-72.2943722943723,standard_xlsx
Winston,PEBBLE FIRE HOUSE,24,162,186,-74.19354838709677,standard_xlsx
Winston,21ST STREET GYM,174,1257,1431,-75.68134171907757,standard_xlsx
Winston,OLD UNION CHURCH,10,65,75,-73.33333333333333,standard_xlsx
Winston,CITY HALL LYNN,85,534,619,-72.53634894991923,standard_xlsx
Winston,BLACK POND FIRE STATION,49,360,409,-76.03911980440098,standard_xlsx
Winston,FIRE DEPARTMENT ARLEY,138,1051,1189,-76.78721614802355,standard_xlsx
Winston,FIRE DEPARTMENT HOUSTON,76,363,439,-65.37585421412301,standard_xlsx
Winston,FIRE STATION UPSHAW,46,150,196,-53.06122448979592,standard_xlsx
Winston,ADDISON COMMUNITY CENTER,99,746,845,-76.5680473372781,standard_xlsx
Winston,FIRE DEPARTMENT MORELAND,16,117,133,-75.93984962406014,standard_xlsx
Winston,FIRE DEPARTMENT HELICON,58,405,463,-74.94600431965442,standard_xlsx
Winston,NESMITH COMMUNITY CENTER,11,98,109,-79.81651376146789,standard_xlsx
Winston,DELMAR FIRE STATION,25,151,176,-71.5909090909091,standard_xlsx
Winston,NATURAL BRIDGE COMMUNITY CNTR,13,108,121,-78.51239669421487,standard_xlsx
Winston,ASHRIDGE FIRE DEPARTMENT,60,536,596,-79.86577181208054,standard_xlsx
Winston,ABSENTEE,51,276,327,-68.80733944954129,standard_xlsx
Winston,PROVISIONAL,0,0,0,,standard_xlsx
Autauga,JOURNEY CHURCH,320,1778,2098,-69.49475691134414,standard_xlsx
Autauga,TRINITY UNITED METHODIST CHURCH,327,1884,2211,-70.42062415196743,standard_xlsx
Autauga,CAMELLIA BAPTIST CHURCH,429,1021,1450,-40.827586206896555,standard_xlsx
Autauga,PRATTMONT BAPTIST CHURCH,280,793,1073,-47.809878844361606,standard_xlsx
Autauga,BOOTH VOLUNTEER FIRE DEPT,207,477,684,-39.473684210526315,standard_xlsx
Autauga,JONES COMMUNTY CTR,148,200,348,-14.942528735632184,standard_xlsx
Autauga,SAFE HARBOR MINISTRIES,470,1680,2150,-56.27906976744186,standard_xlsx
Autauga,160 SAFE HARBOR MINISTRIES,231,590,821,-43.72716199756395,standard_xlsx
Autauga,WHITE CITY VOLUNTEER FIRE DEPT,148,337,485,-38.96907216494845,standard_xlsx
Autauga,BILLINGSLEY GOVT CTR,46,327,373,-75.33512064343164,standard_xlsx
Autauga,MARBURY MIDDLE SCHOOL BAND ROOM,88,497,585,-69.91452991452991,standard_xlsx
Autauga,PINE LEVEL CULTURAL CTR,371,2279,2650,-72.0,standard_xlsx
Autauga,UPPER KINGSTON COMMUNITY CTR,249,915,1164,-57.21649484536083,standard_xlsx
Autauga,AUTAUGAVILLE VOLUNTEER FIRE DEPT,489,320,809,20.889987639060568,standard_xlsx
Autauga,PRATTVILLE CHAMBER OF COMMERCE,792,853,1645,-3.708206686930091,standard_xlsx
Autauga,INDEPENDENCE VOLUNTEER FIRE DEPT,256,199,455,12.527472527472527,standard_xlsx
Autauga,CENTRAL ALABAMA ELECTRIC COOP,222,116,338,31.36094674556213,standard_xlsx
Autauga,OLD KINGSTON VOLUNTEER FIRE DEPT,388,363,751,3.3288948069241013,standard_xlsx
Autauga,EAST MEMORIAL CHRISTIAN ACADEMY,681,1818,2499,-45.49819927971188,standard_xlsx
Autauga,ABSENTEE,212,919,1131,-62.51105216622458,standard_xlsx
Autauga,PROVISIONAL,0,0,0,,standard_xlsx
Baldwin,LITTLE RIVER FERGUSON STORE,46,106,152,-39.473684210526315,standard_xlsx
Baldwin,TENSAW VFD,102,31,133,53.38345864661654,standard_xlsx
Baldwin,VAUGHN COMMUNITY CENTER,249,160,409,21.760391198044008,standard_xlsx
Baldwin,CROSSROADS DURANT,132,365,497,-46.881287726358146,standard_xlsx
Baldwin,DOUGLASVILLE COMMUNITY CENTER,488,30,518,88.41698841698842,standard_xlsx
Baldwin,BROMLEY VFD SUBST,199,491,690,-42.31884057971015,standard_xlsx
Baldwin,NEW LIFE ASSEMBLY OF GOD,666,2364,3030,-56.039603960396036,standard_xlsx
Baldwin,ELLISVILLE COMMUNITY CENTER,196,251,447,-12.304250559284116,standard_xlsx
Baldwin,LOXLEY TOWN HALL,157,799,956,-67.15481171548117,standard_xlsx
Baldwin,LOTTIE VFD,19,120,139,-72.66187050359713,standard_xlsx
Baldwin,STOCKTON CIVIC BUILDING,29,394,423,-86.28841607565012,standard_xlsx
Baldwin,RABUN VFD,51,434,485,-78.96907216494846,standard_xlsx
Baldwin,PERDIDO VFD,81,486,567,-71.42857142857143,standard_xlsx
Baldwin,BAY MINETTE CIVIC CENTER,834,2666,3500,-52.34285714285714,standard_xlsx
Baldwin,PINEGROVE VFD,238,677,915,-47.978142076502735,standard_xlsx
Baldwin,WHITEHOUSE FORK VFD,129,663,792,-67.42424242424242,standard_xlsx
Baldwin,STAPLETON COMMUNITY HALL,83,827,910,-81.75824175824175,standard_xlsx
Baldwin,GATESWOOD VFD,22,169,191,-76.96335078534031,standard_xlsx
Baldwin,CLEAR SPRINGS FELLOWSHIP HALL,13,133,146,-82.1917808219178,standard_xlsx
Baldwin,ROSINTON METHODIST,133,1063,1196,-77.75919732441471,standard_xlsx
Baldwin,BELFOREST COMMUNITY CENTER,145,979,1124,-74.19928825622776,standard_xlsx
Baldwin,SILVERHILL TOWN HALL,248,1605,1853,-73.23259579060982,standard_xlsx
Baldwin,ROBERTSDALE CITY HALL,394,1838,2232,-64.69534050179212,standard_xlsx
Baldwin,ELSANOR COMMUNITY CENTER,120,739,859,-72.0605355064028,standard_xlsx
Baldwin,SEMINOLE FIRE HOUSE,65,437,502,-74.10358565737052,standard_xlsx
Baldwin,LILLIAN COMMUNITY,624,2201,2825,-55.823008849557525,standard_xlsx
Baldwin,PERDIDO BEACH VFD,99,440,539,-63.265306122448976,standard_xlsx
Baldwin,MARLOW VFD,364,1403,1767,-58.80022637238257,standard_xlsx
Baldwin,SUMMERDALE COMMUNITY CENTER,219,1290,1509,-70.97415506958251,standard_xlsx
Baldwin,ELBERTA CIVIC CENTER,236,1145,1381,-65.82186821144099,standard_xlsx
Baldwin,MIFLIN COMMUNITY CENTER,339,1538,1877,-63.87852956846031,standard_xlsx
Baldwin,JOSEPHINE VFD,72,360,432,-66.66666666666667,standard_xlsx
Baldwin,MAGNOLIA SPRGS WESLEYAN CH.,659,1961,2620,-49.69465648854962,standard_xlsx
Baldwin,BON SECOUR MORGANS CHAPEL,191,841,1032,-62.98449612403101,standard_xlsx
Baldwin,FOLEY CIVIC CENTER,1324,3372,4696,-43.61158432708688,standard_xlsx
Baldwin,GULF SHORES ACTIVITY,917,3853,4770,-61.55136268343816,standard_xlsx
Baldwin,FT. MORGAN VFD,73,293,366,-60.10928961748634,standard_xlsx
Baldwin,ORANGE BEACH COMMUNITY CNTR,510,3193,3703,-72.45476640561706,standard_xlsx
Baldwin,FAIRHOPE CIVIC CENTER,1907,5105,7012,-45.60752994865944,standard_xlsx
Baldwin,POINT CLEAR ST FRANCIS,301,658,959,-37.22627737226277,standard_xlsx
Baldwin,LIFE TABERNACLE CHURCH,781,3823,4604,-66.0729800173762,standard_xlsx
Baldwin,BARNWELL COMMUNITY CENTER,216,1414,1630,-73.49693251533742,standard_xlsx
Baldwin,SPANISH FORT EAST POINTE,487,2616,3103,-68.61102159200773,standard_xlsx
Baldwin,SPANISH FT VFD,262,1516,1778,-70.52868391451068,standard_xlsx
Baldwin,DAPHNE HIGH SCHOOL,527,1753,2280,-53.771929824561404,standard_xlsx
Baldwin,DAPHNE CIVIC CENTER,2692,6040,8732,-38.34173156207054,standard_xlsx
Baldwin,ABSENTEE,690,3130,3820,-63.87434554973822,standard_xlsx
Baldwin,PROVISIONAL,0,0,0,,standard_xlsx
Barbour,TEXASVILLE COMMUNITY CENTER,31,140,171,-63.74269005847953,standard_xlsx
Barbour,BAKERHILL TOWN HALL,161,206,367,-12.26158038147139,standard_xlsx
Barbour,SUTTON’S RESTAURANT,45,66,111,-18.91891891891892,standard_xlsx
Barbour,ELAMVILLE VOL. FIRE,42,141,183,-54.09836065573771,standard_xlsx
Barbour,CLIO CITY HALL,494,234,728,35.714285714285715,standard_xlsx
Barbour,CHATT CTS COMMUNITY CENTER,924,347,1271,45.397324940991346,standard_xlsx
Barbour,BEVILL CENTER,287,775,1062,-45.951035781544256,standard_xlsx
Barbour,FELLOWSHIP BAPTIST,302,744,1046,-42.25621414913958,standard_xlsx
Barbour,SPRINGHILL VFD,171,61,232,47.41379310344828,standard_xlsx
Barbour,CLAYTON COURTHOUSE,696,400,1096,27.00729927007299,standard_xlsx
Barbour,GREENS CROSSROADS,89,105,194,-8.24742268041237,standard_xlsx
Barbour,MT. ANDREW COMMUNITY CENTER,155,17,172,80.23255813953489,standard_xlsx
Barbour,LOUISVILLE CITY HALL,173,213,386,-10.362694300518134,standard_xlsx
Barbour,BLUE SPRINGS CITY HALL,78,258,336,-53.57142857142857,standard_xlsx
Barbour,EUFAULA WATER BOARD,573,318,891,28.61952861952862,standard_xlsx
Barbour,EUFAULA COMMUNITY CENTER,577,673,1250,-7.68,standard_xlsx
Barbour,SAMFORD AVENUE GYM,487,507,994,-2.0120724346076457,standard_xlsx
Barbour,ABSENTEE,594,339,933,27.331189710610932,standard_xlsx
Barbour,PROVISIONAL,39,11,50,56.0,standard_xlsx
Bibb,GREENPOND FIRE DEPT.,136,1331,1467,-81.4587593728698,standard_xlsx
Bibb,ALTERNATIVE SCHOOL,415,1239,1654,-49.8186215235792,standard_xlsx
Bibb,EOLINE FIRE DEPARTMENT,87,503,590,-70.50847457627118,standard_xlsx
Bibb,BRENT CITY HALL,685,304,989,38.52376137512639,standard_xlsx
Bibb,CENTREVILLE ROCK BLDG.,265,817,1082,-51.01663585951941,standard_xlsx
Bibb,SIX MILE COMMUNITY CENTER,176,560,736,-52.17391304347826,standard_xlsx
Bibb,LAWLEY COMMUNITY CTR.,84,351,435,-61.37931034482759,standard_xlsx
Bibb,NATIONAL GUARD ARMORY,287,840,1127,-49.06832298136646,standard_xlsx
