state_code,cycle,chamber,election_history_loaded,model_valid_outcomes,context_rows,strict_ready,research_ready,missing_context,missing_baseline,missing_incumbency,model_source_fallbacks,strict_baseline_rows,research_baseline_rows,strict_incumbency_rows,any_incumbency_rows,finance_complete_outcomes,strict_war_finance_complete,research_war_finance_complete,strict_ready_rate,research_ready_rate,coverage_class
GA,2020,upper,True,28,28,28,0,0,0,0,0,55,55,55,55,27,27,0,1.0,0.0,strict_complete
GA,2022,lower,True,86,86,86,0,0,0,0,0,180,180,180,180,80,80,0,1.0,0.0,strict_complete
GA,2022,upper,True,26,26,26,0,0,0,0,0,56,56,56,56,24,24,0,1.0,0.0,strict_complete
GA,2024,lower,True,90,90,89,1,0,0,0,0,90,90,89,90,86,85,1,0.9888888888888889,0.011111111111111112,research_complete
GA,2024,upper,True,23,23,23,0,0,0,0,0,23,23,23,23,21,21,0,1.0,0.0,strict_complete
KY,2016,lower,True,64,64,64,0,0,0,0,0,100,100,100,100,64,64,0,1.0,0.0,strict_complete
KY,2016,upper,True,6,6,6,0,0,0,0,0,19,19,19,19,6,6,0,1.0,0.0,strict_complete
KY,2018,lower,True,85,85,85,0,0,0,0,1,100,100,100,100,78,78,0,1.0,0.0,strict_complete
KY,2018,upper,True,16,16,16,0,0,0,0,0,19,19,19,19,16,16,0,1.0,0.0,strict_complete
KY,2020,lower,True,60,60,60,0,0,0,0,0,100,100,100,100,56,56,0,1.0,0.0,strict_complete
KY,2020,upper,True,8,8,8,0,0,0,0,0,19,19,19,19,6,6,0,1.0,0.0,strict_complete
KY,2022,lower,True,46,46,46,0,0,0,0,0,100,100,100,100,44,44,0,1.0,0.0,strict_complete
KY,2022,upper,True,8,8,8,0,0,0,0,0,19,19,19,19,7,7,0,1.0,0.0,strict_complete
KY,2024,lower,True,44,44,42,2,0,0,0,0,44,44,42,44,44,42,2,0.9545454545454546,0.045454545454545456,research_complete
KY,2024,upper,True,7,7,1,6,0,0,0,0,7,7,1,7,6,1,5,0.14285714285714285,0.8571428571428571,research_complete
LA,2019,lower,True,18,18,15,3,0,0,0,0,65,65,15,65,17,14,3,0.8333333333333334,0.16666666666666666,research_complete
LA,2019,upper,True,5,5,4,1,0,0,0,0,27,27,4,27,5,4,1,0.8,0.2,research_complete
LA,2023,lower,True,13,13,12,1,0,0,0,0,57,57,12,57,13,12,1,0.9230769230769231,0.07692307692307693,research_complete
LA,2023,upper,True,5,5,5,0,0,0,0,0,19,19,5,19,4,4,0,1.0,0.0,strict_complete
MO,2016,lower,True,66,66,66,0,0,0,0,0,66,66,163,163,0,0,0,1.0,0.0,strict_complete
MO,2016,upper,True,9,9,9,0,0,0,0,0,9,9,17,17,0,0,0,1.0,0.0,strict_complete
MO,2018,lower,True,117,117,117,0,0,0,0,0,163,163,163,163,0,0,0,1.0,0.0,strict_complete
MO,2018,upper,True,16,16,16,0,0,0,0,0,17,17,17,17,0,0,0,1.0,0.0,strict_complete
MO,2020,lower,True,80,80,80,0,0,0,0,0,163,163,163,163,0,0,0,1.0,0.0,strict_complete
MO,2020,upper,True,10,10,10,0,0,0,0,0,17,17,17,17,0,0,0,1.0,0.0,strict_complete
MO,2022,lower,True,69,69,69,0,0,0,0,0,163,163,163,163,0,0,0,1.0,0.0,strict_complete
MO,2022,upper,True,11,11,11,0,0,0,0,0,17,17,17,17,0,0,0,1.0,0.0,strict_complete
MO,2024,lower,True,110,110,103,7,0,0,0,0,110,110,103,110,0,0,0,0.9363636363636364,0.06363636363636363,research_complete
MO,2024,upper,True,14,14,6,8,0,0,0,0,14,14,6,14,0,0,0,0.42857142857142855,0.5714285714285714,research_complete
MS,2019,lower,True,24,24,24,0,0,0,0,0,122,122,122,122,0,0,0,1.0,0.0,strict_complete
MS,2019,upper,True,16,16,16,0,0,0,0,0,51,51,51,51,0,0,0,1.0,0.0,strict_complete
MS,2023,lower,True,17,17,9,8,0,0,0,0,17,17,9,17,0,0,0,0.5294117647058824,0.47058823529411764,research_complete
MS,2023,upper,True,8,8,7,1,0,0,0,0,8,8,7,8,0,0,0,0.875,0.125,research_complete
NC,2016,lower,True,60,60,60,0,0,0,0,0,120,120,120,120,60,60,0,1.0,0.0,strict_complete
NC,2016,upper,True,32,32,32,0,0,0,0,0,50,50,50,50,32,32,0,1.0,0.0,strict_complete
NC,2018,lower,True,117,117,117,0,0,0,0,0,120,120,120,120,117,117,0,1.0,0.0,strict_complete
NC,2018,upper,True,50,50,50,0,0,0,0,0,50,50,50,50,50,50,0,1.0,0.0,strict_complete
NC,2020,lower,True,107,107,107,0,0,0,0,0,120,120,120,120,107,107,0,1.0,0.0,strict_complete
NC,2020,upper,True,49,49,49,0,0,0,0,0,50,50,50,50,49,49,0,1.0,0.0,strict_complete
NC,2022,lower,True,81,81,81,0,0,0,0,0,120,120,120,120,81,81,0,1.0,0.0,strict_complete
NC,2022,upper,True,35,35,35,0,0,0,0,0,50,50,50,50,35,35,0,1.0,0.0,strict_complete
NC,2024,lower,True,90,90,68,22,0,0,0,0,90,90,68,90,90,68,22,0.7555555555555555,0.24444444444444444,research_complete
NC,2024,upper,True,42,42,23,19,0,0,0,0,42,42,23,42,42,23,19,0.5476190476190477,0.4523809523809524,research_complete
OK,2016,lower,True,70,70,70,0,0,0,0,0,73,73,101,101,62,62,0,1.0,0.0,strict_complete
OK,2016,upper,True,17,17,17,0,0,0,0,0,19,19,24,24,17,17,0,1.0,0.0,strict_complete
OK,2018,lower,True,73,73,73,0,0,0,0,0,73,73,101,101,73,73,0,1.0,0.0,strict_complete
OK,2018,upper,True,18,18,18,0,0,0,0,0,19,19,24,24,17,17,0,1.0,0.0,strict_complete
OK,2020,lower,True,36,36,36,0,0,0,0,0,37,37,101,101,35,35,0,1.0,0.0,strict_complete
OK,2020,upper,True,12,12,12,0,0,0,0,0,13,13,24,24,12,12,0,1.0,0.0,strict_complete
OK,2022,lower,True,29,29,29,0,0,0,0,0,31,31,101,101,27,27,0,1.0,0.0,strict_complete
OK,2022,upper,True,7,7,7,0,0,0,0,0,7,7,24,24,7,7,0,1.0,0.0,strict_complete
OK,2024,lower,True,25,25,24,1,0,0,0,0,25,25,24,25,24,23,1,0.96,0.04,research_complete
OK,2024,upper,True,9,9,5,4,0,0,0,0,9,9,5,9,8,4,4,0.5555555555555556,0.4444444444444444,research_complete
SC,2016,lower,True,32,32,32,0,0,0,0,32,124,124,124,124,30,30,0,1.0,0.0,strict_complete
SC,2016,upper,True,7,7,7,0,0,0,0,7,46,46,46,46,7,7,0,1.0,0.0,strict_complete
SC,2018,lower,True,45,45,45,0,0,0,0,0,123,123,124,124,40,40,0,1.0,0.0,strict_complete
SC,2020,lower,True,51,51,51,0,0,0,0,0,124,124,124,124,47,47,0,1.0,0.0,strict_complete
SC,2020,upper,True,30,30,30,0,0,0,0,0,46,46,46,46,29,29,0,1.0,0.0,strict_complete
SC,2022,lower,True,50,50,50,0,0,0,0,0,124,124,124,124,48,48,0,1.0,0.0,strict_complete
SC,2024,lower,True,47,47,42,5,0,0,0,0,47,47,42,47,47,42,5,0.8936170212765957,0.10638297872340426,research_complete
SC,2024,upper,True,22,22,18,4,0,0,0,0,22,22,18,22,22,18,4,0.8181818181818182,0.18181818181818182,research_complete
TN,2016,lower,True,51,51,51,0,0,0,0,0,99,99,99,99,51,51,0,1.0,0.0,strict_complete
TN,2016,upper,True,5,5,5,0,0,0,0,0,16,16,16,16,5,5,0,1.0,0.0,strict_complete
TN,2018,lower,True,73,73,73,0,0,0,0,0,99,99,99,99,73,73,0,1.0,0.0,strict_complete
TN,2018,upper,True,12,12,12,0,0,0,0,0,17,17,17,17,12,12,0,1.0,0.0,strict_complete
TN,2020,lower,True,38,38,38,0,0,0,0,0,99,99,99,99,37,37,0,1.0,0.0,strict_complete
TN,2020,upper,True,9,9,9,0,0,0,0,0,16,16,16,16,9,9,0,1.0,0.0,strict_complete
TN,2022,lower,True,36,36,36,0,0,0,0,0,99,99,99,99,36,36,0,1.0,0.0,strict_complete
TN,2022,upper,True,8,8,8,0,0,0,0,0,17,17,17,17,8,8,0,1.0,0.0,strict_complete
TN,2024,lower,True,60,60,60,0,0,0,0,0,60,60,60,60,60,60,0,1.0,0.0,strict_complete
TN,2024,upper,True,10,10,10,0,0,0,0,0,10,10,10,10,10,10,0,1.0,0.0,strict_complete
TX,2016,lower,True,52,52,52,0,0,0,0,0,52,52,150,150,51,51,0,1.0,0.0,strict_complete
TX,2016,upper,True,4,4,4,0,0,0,0,0,4,4,16,16,4,4,0,1.0,0.0,strict_complete
TX,2018,lower,True,94,94,94,0,0,0,0,0,150,150,150,150,92,92,0,1.0,0.0,strict_complete
TX,2018,upper,True,13,13,13,0,0,0,0,0,15,15,15,15,13,13,0,1.0,0.0,strict_complete
TX,2020,lower,True,94,94,94,0,0,0,0,0,141,146,150,150,91,91,0,1.0,0.0,strict_complete
TX,2020,upper,True,13,13,13,0,0,0,0,0,16,16,16,16,13,13,0,1.0,0.0,strict_complete
TX,2022,lower,True,80,80,80,0,0,0,0,0,80,80,150,150,78,78,0,1.0,0.0,strict_complete
TX,2022,upper,True,18,18,18,0,0,0,0,0,18,18,31,31,18,18,0,1.0,0.0,strict_complete
TX,2024,lower,True,89,89,89,0,0,0,0,1,89,89,89,89,86,86,0,1.0,0.0,strict_complete
TX,2024,upper,True,10,10,10,0,0,0,0,0,10,10,10,10,10,10,0,1.0,0.0,strict_complete
VA,2017,lower,True,60,60,0,60,0,0,0,0,0,100,100,100,59,0,59,0.0,1.0,research_complete
VA,2019,lower,True,65,65,65,0,0,0,0,0,100,100,100,100,64,64,0,1.0,0.0,strict_complete
VA,2019,upper,True,20,20,20,0,0,0,0,0,40,40,40,40,19,19,0,1.0,0.0,strict_complete
VA,2021,lower,True,91,91,0,91,0,0,0,0,0,100,100,100,90,0,90,0.0,1.0,research_complete
VA,2023,lower,True,65,65,38,27,0,0,0,0,65,65,38,65,63,37,26,0.5846153846153846,0.4153846153846154,research_complete
VA,2023,upper,True,34,34,19,15,0,0,0,0,34,34,19,34,32,18,14,0.5588235294117647,0.4411764705882353,research_complete
