state,year,chamber,outcome_rows_current,contested_races_current,outcome_status,observed_baseline_races,research_baseline_races,baseline_status,accepted_incumbency_races,accepted_incumbency_gap_known_current,incumbency_status,incumbency_quality_values,local_source_status,local_source_path,demographics_status,demographics_reference_year,finance_status,strict_war_races_current,research_war_races_current,strict_war_gap_known_current,core_war_status,basic_forecast_status,full_forecast_status,priority_tier,next_action
LA,2019,house,65,18,current_panel,18,18,complete_observed,0,18,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/southern_sos_elections/LA/2019/,unified_ready,2019.0,comparable_candidate_finance_missing,0,18,18,research_only,repairable_from_local_or_current_sources,not_ready,1,review_incumbency;acquire_harmonized_candidate_finance
LA,2019,senate,27,5,current_panel,5,5,complete_observed,0,5,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/southern_sos_elections/LA/2019/,unified_ready,2019.0,comparable_candidate_finance_missing,0,5,5,research_only,repairable_from_local_or_current_sources,not_ready,1,review_incumbency;acquire_harmonized_candidate_finance
LA,2023,house,57,13,current_panel,13,13,complete_observed,0,13,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/historical_statewide_elections/la_2023_gen_prim_pber.zip,unified_ready,2024.0,comparable_candidate_finance_missing,0,13,13,research_only,repairable_from_local_or_current_sources,not_ready,1,review_incumbency;acquire_harmonized_candidate_finance
LA,2023,senate,19,5,current_panel,5,5,complete_observed,0,5,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/historical_statewide_elections/la_2023_gen_prim_pber.zip,unified_ready,2024.0,comparable_candidate_finance_missing,0,5,5,research_only,repairable_from_local_or_current_sources,not_ready,1,review_incumbency;acquire_harmonized_candidate_finance
MO,2022,house,163,69,current_panel,0,0,missing,69,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2022/2022-mo-local-precinct-general.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,69,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
MO,2022,senate,17,11,current_panel,0,0,missing,11,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2022/2022-mo-local-precinct-general.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,11,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
MS,2023,house,0,0,missing_current_panel,0,0,missing,0,,missing,,complete_bundle_downloaded,data/raw/historical_statewide_elections/ms_gen_2023_prec.zip,unified_ready,2024.0,comparable_candidate_finance_missing,0,0,,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_outcomes;normalize_local_ticket_context;build_incumbency;acquire_harmonized_candidate_finance
MS,2023,senate,0,0,missing_current_panel,0,0,missing,0,,missing,,complete_bundle_downloaded,data/raw/historical_statewide_elections/ms_gen_2023_prec.zip,unified_ready,2024.0,comparable_candidate_finance_missing,0,0,,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_outcomes;normalize_local_ticket_context;build_incumbency;acquire_harmonized_candidate_finance
NC,2022,house,120,81,current_panel,0,0,missing,81,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/results_pct_20221108.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,81,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
NC,2022,senate,50,35,current_panel,0,0,missing,35,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/results_pct_20221108.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,35,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
NC,2024,house,90,90,contested_only_current,90,90,complete_observed,0,90,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/historical_statewide_elections/results_pct_20241105.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,90,90,research_only,repairable_from_local_or_current_sources,not_ready,1,review_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
NC,2024,senate,42,42,contested_only_current,42,42,complete_observed,0,42,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/historical_statewide_elections/results_pct_20241105.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,42,42,research_only,repairable_from_local_or_current_sources,not_ready,1,review_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
OK,2022,house,101,29,current_panel,0,0,missing,29,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2022/2022-ok-local-precinct-general.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,29,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
OK,2022,senate,24,7,current_panel,0,0,missing,7,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2022/2022-ok-local-precinct-general.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,7,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
OK,2024,house,25,25,contested_only_current,0,0,missing,0,25,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2024/ok24.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,25,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;review_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
OK,2024,senate,9,9,contested_only_current,0,0,missing,0,9,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2024/ok24.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,9,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;review_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
SC,2022,house,124,50,current_panel,0,0,missing,50,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2022/2022-sc-local-precinct-general.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,50,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
SC,2024,house,47,47,contested_only_current,0,0,missing,0,47,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2024/sc24.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,47,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;review_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
SC,2024,senate,22,22,contested_only_current,0,0,missing,0,22,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2024/sc24.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,22,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;review_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
TN,2022,house,99,36,current_panel,0,36,synthetic_only,36,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/tn_2022_gen_prec.zip,unified_ready,2022.0,comparable_candidate_finance_missing,0,36,36,research_only,repairable_from_local_or_current_sources,not_ready,1,replace_synthetic_baseline_from_local_bundle;acquire_harmonized_candidate_finance
TN,2022,senate,17,8,current_panel,0,8,synthetic_only,8,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/tn_2022_gen_prec.zip,unified_ready,2022.0,comparable_candidate_finance_missing,0,8,8,research_only,repairable_from_local_or_current_sources,not_ready,1,replace_synthetic_baseline_from_local_bundle;acquire_harmonized_candidate_finance
TN,2024,house,60,60,contested_only_current,0,60,synthetic_only,60,0,accepted_complete,reviewed_inference,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2024/tn24.zip,unified_ready,2024.0,comparable_candidate_finance_missing,0,60,60,research_only,repairable_from_local_or_current_sources,not_ready,1,replace_synthetic_baseline_from_local_bundle;acquire_harmonized_candidate_finance
TN,2024,senate,10,10,contested_only_current,0,10,synthetic_only,10,0,accepted_complete,reviewed_inference,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2024/tn24.zip,unified_ready,2024.0,comparable_candidate_finance_missing,0,10,10,research_only,repairable_from_local_or_current_sources,not_ready,1,replace_synthetic_baseline_from_local_bundle;acquire_harmonized_candidate_finance
FL,2018,senate,22,17,current_panel,14,14,partial_observed,17,0,accepted_complete,source_observed,partial_or_legislative_only_current,,not_in_unified_mart,,comparable_candidate_finance_missing,14,14,3,partial,repairable_from_local_or_current_sources,not_ready,2,adjudicate_unmatched_ticket_districts;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
KY,2018,house,100,85,current_panel,84,84,partial_observed,85,0,accepted_complete,source_observed,partial_or_legislative_only_current,,not_in_unified_mart,,comparable_candidate_finance_missing,84,84,1,partial,repairable_from_local_or_current_sources,not_ready,2,adjudicate_unmatched_ticket_districts;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
MO,2018,house,163,117,current_panel,114,114,partial_observed,117,0,accepted_complete,source_observed,partial_or_legislative_only_current,,not_in_unified_mart,,comparable_candidate_finance_missing,114,114,3,partial,repairable_from_local_or_current_sources,not_ready,2,adjudicate_unmatched_ticket_districts;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
MO,2024,house,110,110,contested_only_current,110,110,complete_observed,0,110,experimental_only,experimental_exact_prior_winner,partial_or_legislative_only_current,,not_in_unified_mart,,comparable_candidate_finance_missing,0,110,110,research_only,repairable_from_local_or_current_sources,not_ready,2,review_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
MO,2024,senate,14,14,contested_only_current,14,14,complete_observed,0,14,experimental_only,experimental_exact_prior_winner,partial_or_legislative_only_current,,not_in_unified_mart,,comparable_candidate_finance_missing,0,14,14,research_only,repairable_from_local_or_current_sources,not_ready,2,review_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
MS,2019,house,122,24,current_panel,23,23,partial_observed,24,0,accepted_complete,source_observed,partial_or_legislative_only_current,,unified_ready,2019.0,comparable_candidate_finance_missing,23,23,1,partial,repairable_from_local_or_current_sources,not_ready,2,adjudicate_unmatched_ticket_districts;acquire_harmonized_candidate_finance
SC,2020,house,124,51,current_panel,50,50,partial_observed,51,0,accepted_complete,source_observed,partial_or_legislative_only_current,,not_in_unified_mart,,comparable_candidate_finance_missing,50,50,1,partial,repairable_from_local_or_current_sources,not_ready,2,adjudicate_unmatched_ticket_districts;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
VA,2017,house,100,60,current_panel,0,0,missing,60,0,accepted_complete,source_observed,ticket_only_downloaded,data/raw/southern_sos_elections/VA/va_vest_17.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,60,not_ready,not_ready,not_ready,2,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
VA,2019,house,100,65,current_panel,0,0,not_applicable_no_same_cycle_ticket,65,0,accepted_complete,source_observed,legislative_results_downloaded_no_ticket,data/raw/southern_sos_elections/VA/,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,65,not_ready,not_ready,not_ready,2,define_offyear_baseline_policy;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
VA,2019,senate,40,21,current_panel,0,0,not_applicable_no_same_cycle_ticket,21,0,accepted_complete,source_observed,legislative_results_downloaded_no_ticket,data/raw/southern_sos_elections/VA/,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,21,not_ready,not_ready,not_ready,2,define_offyear_baseline_policy;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
VA,2021,house,100,91,current_panel,0,0,missing,91,0,accepted_complete,source_observed,ticket_only_downloaded,data/raw/southern_sos_elections/VA/va_vest_21.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,91,not_ready,not_ready,not_ready,2,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
VA,2023,house,0,0,missing_current_panel,0,0,not_applicable_no_same_cycle_ticket,0,,missing,,legislative_results_downloaded_no_ticket,data/raw/southern_sos_elections/VA/Election Results_2023.csv,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,,not_ready,not_ready,not_ready,2,normalize_local_outcomes;define_offyear_baseline_policy;build_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
VA,2023,senate,0,0,missing_current_panel,0,0,not_applicable_no_same_cycle_ticket,0,,missing,,legislative_results_downloaded_no_ticket,data/raw/southern_sos_elections/VA/Election Results_2023.csv,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,,not_ready,not_ready,not_ready,2,normalize_local_outcomes;define_offyear_baseline_policy;build_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
AR,2018,house,100,40,current_panel,40,40,complete_observed,40,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2018.0,comparable_candidate_finance_missing,40,40,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
AR,2018,senate,18,7,current_panel,7,7,complete_observed,7,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2018.0,comparable_candidate_finance_missing,7,7,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
AR,2020,house,100,38,current_panel,38,38,complete_observed,38,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2020.0,comparable_candidate_finance_missing,38,38,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
AR,2020,senate,17,8,current_panel,8,8,complete_observed,8,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2020.0,comparable_candidate_finance_missing,8,8,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
FL,2018,house,120,77,current_panel,77,77,complete_observed,77,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,77,77,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
FL,2020,house,120,95,current_panel,95,95,complete_observed,95,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,95,95,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
FL,2020,senate,20,17,current_panel,17,17,complete_observed,17,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,17,17,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
GA,2018,house,178,68,current_panel,68,68,complete_observed,68,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2018.0,comparable_candidate_finance_missing,68,68,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
GA,2018,senate,56,23,current_panel,23,23,complete_observed,23,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2018.0,comparable_candidate_finance_missing,23,23,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
GA,2020,house,180,86,current_panel,86,86,complete_observed,86,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2020.0,comparable_candidate_finance_missing,86,86,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
GA,2020,senate,55,28,current_panel,28,28,complete_observed,28,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2020.0,comparable_candidate_finance_missing,28,28,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
KY,2018,senate,19,16,current_panel,16,16,complete_observed,16,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,16,16,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
KY,2020,house,100,60,current_panel,60,60,complete_observed,60,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,60,60,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
KY,2020,senate,19,8,current_panel,8,8,complete_observed,8,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,8,8,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
MO,2018,senate,17,16,current_panel,16,16,complete_observed,16,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,16,16,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
MO,2020,house,163,80,current_panel,80,80,complete_observed,80,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,80,80,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
MO,2020,senate,17,10,current_panel,10,10,complete_observed,10,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,10,10,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
MS,2019,senate,51,16,current_panel,16,16,complete_observed,16,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2019.0,comparable_candidate_finance_missing,16,16,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
NC,2018,house,120,117,current_panel,117,117,complete_observed,117,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,117,117,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
NC,2018,senate,50,50,current_panel,50,50,complete_observed,50,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,50,50,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
NC,2020,house,120,107,current_panel,107,107,complete_observed,107,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,107,107,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
NC,2020,senate,50,49,current_panel,49,49,complete_observed,49,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,49,49,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
OK,2018,house,101,73,current_panel,73,73,complete_observed,73,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,73,73,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
OK,2018,senate,24,18,current_panel,18,18,complete_observed,18,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,18,18,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
OK,2020,house,101,36,current_panel,36,36,complete_observed,36,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,36,36,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
OK,2020,senate,24,12,current_panel,12,12,complete_observed,12,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,12,12,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
SC,2018,house,124,45,current_panel,45,45,complete_observed,45,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,45,45,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
SC,2020,senate,46,30,current_panel,30,30,complete_observed,30,0,accepted_complete,source_observed,integrated_current_panel,,not_in_unified_mart,,comparable_candidate_finance_missing,30,30,0,ready,not_ready,not_ready,3,build_harmonized_district_demographics;acquire_harmonized_candidate_finance
TN,2018,house,99,73,current_panel,73,73,complete_observed,73,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2018.0,comparable_candidate_finance_missing,73,73,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
TN,2018,senate,17,12,current_panel,12,12,complete_observed,12,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2018.0,comparable_candidate_finance_missing,12,12,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
TN,2020,house,99,38,current_panel,38,38,complete_observed,38,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2020.0,comparable_candidate_finance_missing,38,38,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
TN,2020,senate,16,9,current_panel,9,9,complete_observed,9,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2020.0,comparable_candidate_finance_missing,9,9,0,ready,ready,not_ready,3,acquire_harmonized_candidate_finance
TX,2018,house,150,94,current_panel,94,94,complete_observed,94,0,accepted_complete,source_observed,integrated_current_panel,,unified_ready,2018.0,processed_not_integrated,94,94,0,ready,ready,not_ready,3,integrate_candidate_finance
