state,year,chamber,district,democratic_fundraising,republican_fundraising,democratic_finance_status,republican_finance_status,finance_complete,log_fundraising_ratio_d_to_r,smoothing_constant,race_finance_status,finance_warehouse_run_id,finance_missing,finance_model_eligible
AL,2018,house,17,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,18,48045.0,195017.68,observed_positive,observed_positive,1,-1.3854666152277273,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,19,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,20,57521.98,115100.0,observed_positive,observed_positive,1,-0.6850494785378326,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,21,0.0,156920.7,observed_zero,observed_positive,1,-5.062093008299461,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,22,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,23,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,24,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,25,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,26,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,27,3457.46,136009.0,observed_positive,observed_positive,1,-3.4254675200261007,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,28,35642.04,86759.75,observed_positive,observed_positive,1,-0.8734067521727779,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,29,15458.67,124344.0,observed_positive,observed_positive,1,-2.030209567443257,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,30,9265.48,163810.37,observed_positive,observed_positive,1,-2.7760087300375322,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,31,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,32,80405.0,0.0,observed_positive,observed_zero,1,4.399436696183478,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,33,215.0,0.0,observed_positive,observed_zero,1,0.19474407679251185,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,34,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,35,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,36,8083.56,107020.0,observed_positive,observed_positive,1,-2.47585020890651,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,37,17173.66,88434.0,observed_positive,observed_positive,1,-1.593527630024141,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,38,32054.57,212236.32,observed_positive,observed_positive,1,-1.8642412021765338,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,39,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,40,7105.14,71500.0,observed_positive,observed_positive,1,-2.1910881335340773,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,41,6528.21,105570.0,observed_positive,observed_positive,1,-2.6501447484833953,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,42,,,,observed_zero,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,43,10784.93,256760.0,observed_positive,observed_positive,1,-3.0852073228121344,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,44,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,45,37133.05,235700.0,observed_positive,observed_positive,1,-1.8257121563398835,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,46,121142.03,270930.0,observed_positive,observed_positive,1,-0.8003601323051773,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,47,41531.1,167235.02000000002,observed_positive,observed_positive,1,-1.375126357358721,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,48,76487.23,160275.0,observed_positive,observed_positive,1,-0.7329978338293114,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,49,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,50,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,51,3720.83,54200.0,observed_positive,observed_positive,1,-2.4589783216873102,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,52,,,observed_zero,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,53,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,54,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,55,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,56,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,57,,,observed_zero,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,58,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,59,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,60,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,61,22823.0,116749.73,observed_positive,observed_positive,1,-1.597909939319084,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,62,14515.02,55000.0,observed_positive,observed_positive,1,-1.283543103760548,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,63,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,64,11548.96,125652.14,observed_positive,observed_positive,1,-2.311806479646948,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,65,213704.69,125226.33,observed_positive,observed_positive,1,0.5311869836508264,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,66,10654.84,113095.0,observed_positive,observed_positive,1,-2.281309890318625,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,67,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,68,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,69,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,70,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,71,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,72,,,observed_zero,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,73,28668.63,204908.64,observed_positive,observed_positive,1,-1.937342316621365,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,74,8485.0,102250.0,observed_positive,observed_positive,1,-2.3874416284541646,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,75,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,76,,,observed_zero,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,77,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,78,,,observed_zero,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,79,22489.5,211575.0,observed_positive,observed_positive,1,-2.2027413544810472,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,80,545.0,112950.0,observed_positive,observed_positive,1,-4.300735845341984,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,81,15170.14,107225.0,observed_positive,observed_positive,1,-1.901046061767851,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,82,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,83,79121.02,2745.0,observed_positive,observed_positive,1,3.063116624651042,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,84,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,85,127844.0,62200.0,observed_positive,observed_positive,1,0.712298069087187,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,86,0.0,167943.9,observed_zero,observed_positive,1,-5.12956670715187,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,87,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,88,5046.92,0.0,observed_positive,observed_zero,1,1.7995490515028845,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,89,47450.0,211653.55,observed_positive,observed_positive,1,-1.479131977321806,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,90,20788.18,261820.0,observed_positive,observed_positive,1,-2.49010176629988,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,91,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,92,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,93,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,94,58758.51,0.0,observed_positive,observed_zero,1,4.0903116074481325,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,95,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,96,12701.68,99035.0,observed_positive,observed_positive,1,-1.9880016716992401,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,97,137163.0,114284.0,observed_positive,observed_positive,1,0.1810354983419118,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,98,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,99,114850.92,1268.14,observed_positive,observed_positive,1,3.9333440797948143,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,100,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,101,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,102,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,103,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,104,6155.02,104401.05,observed_positive,observed_positive,1,-2.6899583898543913,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,105,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,1,96008.42,561740.0,observed_positive,observed_positive,1,-1.7580199308890678,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,2,46834.43,436358.8,observed_positive,observed_positive,1,-2.213008237749823,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,3,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,4,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,5,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,6,896963.94,386876.58,observed_positive,observed_positive,1,0.8394427153563976,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,7,9349.08,648767.22,observed_positive,observed_positive,1,-4.139716548799739,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,8,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,9,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,10,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,11,20827.99,0.0,observed_positive,observed_zero,1,3.0831930911967045,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,12,40358.7,1037926.6,observed_positive,observed_positive,1,-3.2236605453813683,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,13,49358.66,585970.9199999999,observed_positive,observed_positive,1,-2.455804678164121,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,14,4012.0,371970.0,observed_positive,observed_positive,1,-4.3096629504209885,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,15,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,16,0.0,409725.0,observed_zero,observed_positive,1,-6.0179238907924,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,17,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,18,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,19,,,observed_zero,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,20,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,21,18930.1,338268.47,observed_positive,observed_positive,1,-2.8345605890850423,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,22,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,23,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,24,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,25,12235.0,509228.0500000001,observed_positive,observed_positive,1,-3.651992946957215,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,26,210599.18,0.0,observed_positive,observed_zero,1,5.354693824740341,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,27,42329.7,1068459.95,observed_positive,observed_positive,1,-3.206070768297618,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,28,,,observed_zero,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,29,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,30,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,31,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,32,44298.85,710546.57,observed_positive,observed_positive,1,-2.754159222802395,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,senate,33,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,34,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,senate,35,22903.02,381011.07,observed_positive,observed_positive,1,-2.7714447764569123,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2022,house,1,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,2,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,3,67291.76000000001,197493.13,observed_positive,observed_positive,1,-1.066965374874577,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2022,house,4,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,5,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,6,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,7,0.0,142483.4,observed_zero,observed_positive,1,-4.966219349065784,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2022,house,8,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,9,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,10,202138.58,0.0,observed_positive,observed_zero,1,5.313888406233896,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2022,house,11,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,12,3288.66,130450.0,observed_positive,observed_positive,1,-3.422652221341088,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2022,house,13,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,14,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,15,85350.63,236270.54000000004,observed_positive,observed_positive,1,-1.0107849086301772,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2022,house,16,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,17,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,18,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,19,,,observed_positive,,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,20,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,21,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,22,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,23,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,24,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,25,0.0,222751.0,observed_zero,observed_positive,1,-5.41053382641872,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2022,house,26,17762.16,160393.0,observed_positive,observed_positive,1,-2.152000308844376,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2022,house,27,4635.9800000000005,143317.5,observed_positive,observed_positive,1,-3.2428446881337694,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2022,house,28,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,29,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,30,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,31,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,32,0.0,0.0,observed_zero,observed_zero,1,0.0,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2022,house,33,6992.92,162250.81,observed_positive,observed_positive,1,-3.016731580023261,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2022,house,34,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,35,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,36,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,37,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,38,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,39,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2022,house,40,25460.1,126345.0,observed_positive,observed_positive,1,-1.5712620008088192,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
