state_code,cycle,chamber,district,build_run_id,democratic_candidate_result_id,republican_candidate_result_id,democratic_finance_candidate_cycle_id,republican_finance_candidate_cycle_id,democratic_fundraising,republican_fundraising,democratic_finance_status,republican_finance_status,finance_complete,log_fundraising_ratio_d_to_r,smoothing_constant,race_finance_status
AL,2018,lower,13,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-13-R-CONNIE-COONER-ROWE,,FIN-2A8812DD5D3DB48EC5C7,,174330.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,14,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-14-R-TIM-WADSWORTH,,FIN-BC3099094AC1101EB571,,107102.56,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,15,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-15-D-SUZANNA-COLEMAN,AL-2018-house-15-R-ALLEN-FARLEY,FIN-74A1065C5967FB1C33F1,FIN-34D7E121B66638979D79,14119.55,86182.84,observed_positive,observed_positive,1,-1.7520189141548834,1000.0,complete
AL,2018,lower,16,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-16-R-KYLE-SOUTH,,FIN-D88969F82B1718125CA2,,158415.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,17,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-17-R-TRACY-ESTES,,FIN-5C253D722518EDD93CFD,,137676.99,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,18,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-18-D-EDDIE-BRITTON,AL-2018-house-18-R-JAMIE-KIEL,FIN-811E25F6FFA131CF1264,FIN-A5E50C27888424A3BE6F,48045.0,195017.68,observed_positive,observed_positive,1,-1.3854666152277273,1000.0,complete
AL,2018,lower,19,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-19-D-LAURA-HALL,,FIN-4BA83297067C56F8FB5F,,111120.09,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,2,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-2-D-LORA-KAY-MORROW,AL-2018-house-2-R-LYNN-GREER,FIN-A492A6C728E97F6B3791,FIN-47FBCCC02ADDD9399B04,13748.97,176800.0,observed_positive,observed_positive,1,-2.4894860732407134,1000.0,complete
AL,2018,lower,20,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-20-D-LINDA-MEIGS,AL-2018-house-20-R-HOWARD-SANDERFORD,FIN-4C14591D295EEFB6CAE6,FIN-34507EAD8DEB516E5F57,57521.98,115100.0,observed_positive,observed_positive,1,-0.6850494785378326,1000.0,complete
AL,2018,lower,21,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-21-D-TERRY-JONES,AL-2018-house-21-R-REX-REYNOLDS,FIN-75D14EE9FC58288A2219,FIN-775D65A822C962ED749A,0.0,156920.7,observed_zero,observed_positive,1,-5.062093008299461,1000.0,complete
AL,2018,lower,22,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-22-R-RITCHIE-WHORTON,,FIN-5851A2622A77CA75828A,,20350.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,23,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-23-R-TOMMY-HANES,,FIN-9A6949547EF65A1F252B,,112610.16,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,24,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-24-R-NATHANIEL-LEDBETTER,,FIN-21FFF3FAEA7FDFE4506E,,138480.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,25,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-25-R-MAC-MCCUTCHEON,,FIN-39A4BE11ED8510F896EF,,303115.46,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,26,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-26-R-KERRY-RICH,,FIN-C705945B7DD0BC5B1A21,,94570.24,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,27,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-27-D-BILL-JONES,AL-2018-house-27-R-WES-KITCHENS,FIN-EB26A31BF5D9F72BAFF8,FIN-8CB53B35621E7753EF0A,3457.46,136009.0,observed_positive,observed_positive,1,-3.4254675200261007,1000.0,complete
AL,2018,lower,28,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-28-D-KYLE-PIERCE,AL-2018-house-28-R-GIL-F-ISBELL,FIN-186956ACCFD569E827F7,FIN-6C7BAB9FF7D7284419B8,35642.04,86759.75,observed_positive,observed_positive,1,-0.8734067521727779,1000.0,complete
AL,2018,lower,29,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-29-D-JARED-MILLICAN,AL-2018-house-29-R-BECKY-NORDGREN,FIN-095E3047B0DBD5ED1899,FIN-C31ECEF5C824684E5A5E,15458.67,124344.0,observed_positive,observed_positive,1,-2.030209567443257,1000.0,complete
AL,2018,lower,3,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-3-D-CHAD-YOUNG,AL-2018-house-3-R-ANDREW-SORRELL,FIN-00736824F04112D048FE,FIN-C9E6EEBDDBF4360B2D6B,90321.42,370787.48,observed_positive,observed_positive,1,-1.4039370294460856,1000.0,complete
AL,2018,lower,30,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-30-D-JARED-VAUGHN,AL-2018-house-30-R-B-CRAIG-LIPSCOMB,FIN-B20FE99DBF6B914BC83E,FIN-765BDCC54B150EBC42CB,9265.48,163810.37,observed_positive,observed_positive,1,-2.7760087300375322,1000.0,complete
AL,2018,lower,31,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-31-R-MIKE-HOLMES,,FIN-A474A1EA2B167DF499DA,,129475.59,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,32,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-32-D-BARBARA-BIGSBY-BOYD,AL-2018-house-32-R-JAMES-ALLEN-LLOYD,FIN-99BDE7135E56E72265B6,FIN-BA9AF4CA0ECEAA480918,80405.0,0.0,observed_positive,observed_zero,1,4.399436696183478,1000.0,complete
AL,2018,lower,33,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-33-D-SCOTT-BREWER,AL-2018-house-33-R-RON-JOHNSON,FIN-0BEDB877763372D0240C,FIN-C53A558E47A571B1F6E4,215.0,0.0,observed_positive,observed_zero,1,0.19474407679251185,1000.0,complete
AL,2018,lower,34,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-34-R-DAVID-STANDRIDGE,,FIN-A6F872706A548557A372,,95075.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,35,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-35-R-STEVE-HURST,,FIN-64F95914D36E70B00CD0,,60275.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,36,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-36-D-NICKI-ARNOLD-SWINDLE,AL-2018-house-36-R-RANDY-WOOD,FIN-CE297BB72763C2BC0F6B,FIN-6B0BA7746489127BEF4D,8083.56,107020.0,observed_positive,observed_positive,1,-2.47585020890651,1000.0,complete
AL,2018,lower,37,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-37-D-CHARLOTTE-A-CLARK-FRIESON,AL-2018-house-37-R-BOB-FINCHER,FIN-B67004BE8F53C491D9ED,FIN-71BED07F94C84A6C0C4D,17173.66,88434.0,observed_positive,observed_positive,1,-1.593527630024141,1000.0,complete
AL,2018,lower,38,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-38-D-BRIAN-MCGEE,AL-2018-house-38-R-DEBBIE-HAMBY-WOOD,FIN-7C319BB897DBDE01F350,FIN-FCD2FA9B75C24D0E29F1,32054.57,212236.32,observed_positive,observed_positive,1,-1.8642412021765338,1000.0,complete
AL,2018,lower,39,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-39-R-GINNY-SHAVER,,FIN-AA8FC2AC38E7759E4F66,,116824.67,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,4,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-4-D-JO-ANN-CUMMINGS,AL-2018-house-4-R-PARKER-DUNCAN-MOORE,FIN-226900BA365B1CA1024C,FIN-D16384819234DB3C9BF4,15697.18,170422.22,observed_positive,observed_positive,1,-2.328889793145989,1000.0,complete
AL,2018,lower,40,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-40-D-PAMELA-JEAN-HOWARD,AL-2018-house-40-R-KOVEN-K-L-BROWN,FIN-C4032D9EACC824A520AF,FIN-E5EBE83648738BBC17E3,7105.14,71500.0,observed_positive,observed_positive,1,-2.1910881335340773,1000.0,complete
AL,2018,lower,41,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-41-D-EMILY-ANNE-MARCUM,AL-2018-house-41-R-CORLEY-ELLIS,FIN-83430A46E1C57AF4C79A,FIN-981A790C9B154805896D,6528.21,105570.0,observed_positive,observed_positive,1,-2.6501447484833953,1000.0,complete
AL,2018,lower,42,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-42-R-JAMES-M-JIMMY-MARTIN,,FIN-F4B7B7010F5D60AF4944,,0.0,,observed_zero,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,43,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-43-D-CARIN-MAYO,AL-2018-house-43-R-ARNOLD-G-MOONEY-II,FIN-488774264F61E7D1EBD6,FIN-BB5E1FB57F0A70C66352,10784.93,256760.0,observed_positive,observed_positive,1,-3.0852073228121344,1000.0,complete
AL,2018,lower,44,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-44-R-DANNY-GARRETT,,FIN-238A5D2F73BC49DB9BFF,,53250.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,45,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-45-D-JENN-GRAY,AL-2018-house-45-R-DICKIE-DRAKE,FIN-CAB42168F6B2102CB315,FIN-F9A7FBE3AB91F9A2CFDA,37133.05,235700.0,observed_positive,observed_positive,1,-1.8257121563398835,1000.0,complete
AL,2018,lower,46,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-46-D-FELICIA-STEWART,AL-2018-house-46-R-DAVID-FAULKNER,FIN-397A4822931D7CE6A3A7,FIN-18744CD23494D50D3F77,121142.03,270930.0,observed_positive,observed_positive,1,-0.8003601323051773,1000.0,complete
AL,2018,lower,47,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-47-D-JIM-TOOMEY,AL-2018-house-47-R-DAVID-WHEELER,FIN-3B812B0EA2C3CB187126,FIN-9FBEE71A9F32E2776CD0,41531.1,167235.02000000002,observed_positive,observed_positive,1,-1.375126357358721,1000.0,complete
AL,2018,lower,48,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-48-D-ALLI-SUMMERFORD,AL-2018-house-48-R-JIM-CARNS,FIN-6AE53A5902A2A9947AC6,FIN-11803F1C06ACE4E4E91F,76487.23,160275.0,observed_positive,observed_positive,1,-0.7329978338293114,1000.0,complete
AL,2018,lower,49,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-49-R-APRIL-WEAVER,,FIN-E7578F5AF7FE08BA424D,,228241.73,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,5,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-5-D-BRIAN-D-WILLIAMS,AL-2018-house-5-R-DANNY-F-CRAWFORD,FIN-2DDBFAE574F683CEA627,FIN-93F81C52ACF2E2124ADA,9050.23,115701.0,observed_positive,observed_positive,1,-2.4520195884207348,1000.0,complete
AL,2018,lower,50,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-50-R-JIM-HILL,,FIN-1EF664744858EDF0A1F3,,48289.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,51,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-51-D-VERONICA-R-JOHNSON,AL-2018-house-51-R-ALLEN-TREADAWAY,FIN-7A0A0C5D662DA870A2B0,FIN-CD2BB15C10B14EDA50B3,3720.83,54200.0,observed_positive,observed_positive,1,-2.4589783216873102,1000.0,complete
AL,2018,lower,52,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-52-D-JOHN-W-ROGERS-JR,,FIN-C85DA732F298C7776926,,0.0,,observed_zero,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,53,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-53-D-ANTHONY-DANIELS,,FIN-1658FE20789F9ADC13FF,,196296.17,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,54,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-54-D-NEIL-RAFFERTY,,FIN-DE9951E693ED147CF88D,,121250.16,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,55,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-55-D-RODERICK-ROD-HAMPTON-SCOTT,,FIN-3739730104768E4FF668,,144699.0,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,56,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-56-D-LOUISE-LULU-ALEXANDER,,FIN-6D5983038ADE9BC0D547,,68842.16,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,57,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-57-D-MERIKA-COLEMAN,,FIN-0B5044C8E6D5ECE6404A,,0.0,,observed_zero,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,58,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-58-D-ROLANDA-HOLLIS,,FIN-9BCD6B37F8256D8D9138,,124275.46,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,59,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-59-D-MARY-MOORE,,FIN-96E5BE07E28D965FEDBB,,49650.0,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,6,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-6-R-ANDY-WHITT,,FIN-7E06B41B57C175C001E2,,85865.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,60,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-60-D-JUANDALYNN-GIVAN,,FIN-28490A2B43A7999427DB,,63750.0,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,61,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-61-D-THOMAS-TOMMY-HYCHE,AL-2018-house-61-R-RODNEY-SULLIVAN,FIN-2739861D01223EFC8789,FIN-76757D8C43940782E0B5,22823.0,116749.73,observed_positive,observed_positive,1,-1.597909939319084,1000.0,complete
AL,2018,lower,62,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-62-D-WILL-BENTON,AL-2018-house-62-R-RICH-WINGO,FIN-BA398611B13EBC45927F,FIN-FAE00F35E357B8770879,14515.02,55000.0,observed_positive,observed_positive,1,-1.283543103760548,1000.0,complete
AL,2018,lower,63,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-63-R-BILL-POOLE,,FIN-71845769A9434183DCF3,,217100.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,64,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-64-D-AMBER-SELMAN-LYNN,AL-2018-house-64-R-HARRY-SHIVER,FIN-96CAB932CE5D8FFA0D85,FIN-F5D3D17C42DA66C4AC31,11548.96,125652.14,observed_positive,observed_positive,1,-2.311806479646948,1000.0,complete
AL,2018,lower,65,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-65-D-ELAINE-BEECH,AL-2018-house-65-R-BRETT-EASTERBROOK,FIN-E6BF09DB4B810EE434C1,FIN-A0D87FF07B8D4E402C18,213704.69,125226.33,observed_positive,observed_positive,1,0.5311869836508264,1000.0,complete
AL,2018,lower,66,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-66-D-SUSAN-E-SMITH,AL-2018-house-66-R-ALAN-BAKER,FIN-B6784E9854D282C998F4,FIN-DB562878A80A0B292A25,10654.84,113095.0,observed_positive,observed_positive,1,-2.281309890318625,1000.0,complete
AL,2018,lower,67,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-67-D-PRINCE-CHESTNUT,,FIN-FCCF5B29434B0CF05CDA,,135341.66999999998,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,68,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-68-D-THOMAS-E-ACTION-JACKSON,,FIN-BC4846F43B7D2F4CEDB1,,17550.0,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,69,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-69-D-KELVIN-JAMICHAEL-LAWRENCE,,FIN-A294D2FF31659AC34779,,75125.0,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,7,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-7-D-KENNETH-A-BRACKINS,AL-2018-house-7-R-PRONCEY-ROBERTSON,FIN-5786867D22EF0D2BAF8F,FIN-9F7798F2F026D16E4AEA,22654.66,88301.71,observed_positive,observed_positive,1,-1.3284605009380743,1000.0,complete
AL,2018,lower,70,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-70-D-CHRISTOPHER-JOHN-ENGLAND,,FIN-6E5D055D54DBF15E684E,,52000.0,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,71,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-71-D-ARTIS-A-J-MCCAMPBELL,,FIN-81D5769A91182A049EE6,,55257.96,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,72,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-72-D-RALPH-A-HOWARD,,FIN-8486D58F40A8307EC46A,,0.0,,observed_zero,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,73,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-73-D-JACK-JACOBS,AL-2018-house-73-R-MATT-FRIDY,FIN-72A3A634E8D67A770977,FIN-DF998418E73F437829CD,28668.63,204908.64,observed_positive,observed_positive,1,-1.937342316621365,1000.0,complete
AL,2018,lower,74,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-74-D-RAYFORD-MACK,AL-2018-house-74-R-DIMITRI-POLIZOS,FIN-76C7CB4ED9009E68EFE8,FIN-2A87D4E30FE83722BDBC,8485.0,102250.0,observed_positive,observed_positive,1,-2.3874416284541646,1000.0,complete
AL,2018,lower,75,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-75-R-REED-INGRAM,,FIN-1F7C80FAB1E4437979AD,,56250.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,76,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-76-D-THAD-MCCLAMMY,,FIN-DAAB60D0CBCAD12B4C95,,0.0,,observed_zero,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,77,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-77-D-TASHINA-MORRIS,,FIN-58F32E2075B68A8F5872,,31192.0,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,78,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-78-D-KIRK-HATCHER,,FIN-FC1D8572FE323650C595,,0.0,,observed_zero,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,79,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-79-D-MARY-WYNNE-KLING,AL-2018-house-79-R-JOE-LOVVORN,FIN-71C9D6FDF2BC8DA46A65,FIN-E11F4CF5B3885B5B9E69,22489.5,211575.0,observed_positive,observed_positive,1,-2.2027413544810472,1000.0,complete
AL,2018,lower,8,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-8-D-BILLY-JACKSON,AL-2018-house-8-R-TERRI-COLLINS,FIN-D038428BC2575C090D3C,FIN-D2645628DF6401D1567E,13436.0,170856.82,observed_positive,observed_positive,1,-2.4769366015003174,1000.0,complete
AL,2018,lower,80,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-80-D-CHRISTOPHER-F-APOSTLE-DAVIS,AL-2018-house-80-R-CHRIS-E-BLACKSHEAR,FIN-183740AC9178AABD8FAF,FIN-B02F626A23002EEE1411,545.0,112950.0,observed_positive,observed_positive,1,-4.300735845341984,1000.0,complete
AL,2018,lower,81,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-81-D-JEREMY-J-J-JEFFCOAT,AL-2018-house-81-R-ED-OLIVER,FIN-3C9AC545BD0F33F9586A,FIN-709495981A97B3E6A52F,15170.14,107225.0,observed_positive,observed_positive,1,-1.901046061767851,1000.0,complete
AL,2018,lower,82,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-82-D-PEBBLIN-WALKER-WARREN,,FIN-6067EA1B1F9CC5170D9A,,149721.59,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,83,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-83-D-JEREMY-MR-EYG-GRAY,AL-2018-house-83-R-MICHAEL-J-HOLDEN-II,FIN-571BF6153BCEF235D649,FIN-578FF7778D8EF08D7985,79121.02,2745.0,observed_positive,observed_positive,1,3.063116624651042,1000.0,complete
AL,2018,lower,84,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-84-D-BERRY-FORTE,,FIN-2C770BDE97838A02C89E,,25100.0,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,85,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-85-D-DEXTER-GRIMSLEY,AL-2018-house-85-R-J-RON-WILSON,FIN-47663D82B8B59094F97B,FIN-07CDFB2A508FFF0082E9,127844.0,62200.0,observed_positive,observed_positive,1,0.712298069087187,1000.0,complete
AL,2018,lower,86,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-86-D-KRISTY-M-KIRKLAND,AL-2018-house-86-R-PAUL-W-LEE,FIN-B483D17B7BA4E9392B76,FIN-93C145EFBD64F8CD614A,0.0,167943.9,observed_zero,observed_positive,1,-5.12956670715187,1000.0,complete
AL,2018,lower,87,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-87-R-JEFF-SORRELLS,,FIN-8A5A081A5BEB212DA918,,73705.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,88,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-88-D-CORY-CREEL,AL-2018-house-88-R-WILL-DISMUKES,FIN-CC49530E69C72751EA8F,FIN-6BC0C598E167012C4D1F,5046.92,0.0,observed_positive,observed_zero,1,1.7995490515028845,1000.0,complete
AL,2018,lower,89,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-89-D-JOEL-LEE-WILLIAMS,AL-2018-house-89-R-WES-ALLEN,FIN-C9AF921DA32EF0BFBD43,FIN-9AF9BE68263F6908C6A5,47450.0,211653.55,observed_positive,observed_positive,1,-1.479131977321806,1000.0,complete
AL,2018,lower,9,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-9-R-SCOTT-STADTHAGEN,,FIN-978C0AEE7F218C43F94F,,93449.42,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,90,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-90-D-JOANNE-WHETSTONE,AL-2018-house-90-R-CHRIS-SELLS,FIN-25C66C7C6E3AB2646219,FIN-B70773CE5044CA419F05,20788.18,261820.0,observed_positive,observed_positive,1,-2.49010176629988,1000.0,complete
AL,2018,lower,91,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-91-R-RHETT-MARQUES,,FIN-0E724675F67838E28ECB,,125070.18,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,92,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-92-R-MIKE-JONES-JR,,FIN-0244E2334C88CDAE700F,,185800.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,93,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-93-R-STEVE-CLOUSE,,FIN-9CCC27506B78E27CFA2C,,147800.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
