cycle,chamber,district,party,candidate,candidate_norm,source_file,votes_wikipedia,incumbent_wikipedia,winner_wikipedia
2010,house,54,D,Patricia Todd,PATRICIA TODD,2010_house.html,7599,True,True
2010,house,55,D,Rod Scott,ROD SCOTT,2010_house.html,8670,True,True
2010,house,56,D,Lawrence McAdory,LAWRENCE MCADORY,2010_house.html,9881,True,True
2010,house,57,D,Merika Coleman,MERIKA COLEMAN,2010_house.html,10676,True,True
2010,house,58,D,Oliver Robinson,OLIVER ROBINSON,2010_house.html,9704,True,True
2010,house,59,D,Mary Moore,MARY MOORE,2010_house.html,7521,True,True
2010,house,60,D,"Juandalynn ""Lee Lee"" Givan",JUANDALYNN LEE LEE GIVAN,2010_house.html,10383,False,True
2010,house,61,D,Alan Harper,ALAN HARPER,2010_house.html,11102,True,True
2010,house,61,R,Frank Chandler,FRANK CHANDLER,2010_house.html,3167,False,False
2010,house,62,R,John Merrill,JOHN MERRILL,2010_house.html,11658,False,True
2010,house,63,D,Susan Pace Hamill,SUSAN PACE HAMILL,2010_house.html,5631,False,False
2010,house,63,R,Bill Poole,BILL POOLE,2010_house.html,9937,False,True
2010,house,64,R,Harry Shiver,HARRY SHIVER,2010_house.html,8524,True,True
2010,house,65,D,Elaine Beech,ELAINE BEECH,2010_house.html,11727,False,True
2010,house,65,I,Ozelle Hubert,OZELLE HUBERT,2010_house.html,1920,False,False
2010,house,66,R,Alan Baker,ALAN BAKER,2010_house.html,8615,True,True
2010,house,67,D,Dario Melton,DARIO MELTON,2010_house.html,10382,False,True
2010,house,68,D,Thomas E. (Action) Jackson,THOMAS E ACTION JACKSON,2010_house.html,10471,True,True
2010,house,69,D,David Colston,DAVID COLSTON,2010_house.html,11058,False,True
2010,house,70,D,Christopher John England,CHRISTOPHER JOHN ENGLAND,2010_house.html,7611,True,True
2010,house,71,D,"Artis ""A. J."" McCampbell",ARTIS A J MCCAMPBELL,2010_house.html,12261,True,True
2010,house,72,D,Ralph A. Howard,RALPH A HOWARD,2010_house.html,11552,True,True
2010,house,73,D,"Joseph Lister ""Joe"" Hubbard",JOSEPH LISTER JOE HUBBARD,2010_house.html,8137,False,True
2010,house,73,R,David Grimes,DAVID GRIMES,2010_house.html,7825,True,False
2010,house,74,I,Jay King,JAY KING,2010_house.html,2562,False,False
2010,house,74,R,Jay Love,JAY LOVE,2010_house.html,8714,True,True
2010,house,75,D,Glenn L. Allen,GLENN L ALLEN,2010_house.html,5551,False,False
2010,house,75,R,Greg Wren,GREG WREN,2010_house.html,14046,True,True
2010,house,76,D,Thad McClammy,THAD MCCLAMMY,2010_house.html,10092,True,True
2010,house,77,D,John Knight,JOHN KNIGHT,2010_house.html,8353,True,True
2010,house,78,D,Alvin Holmes,ALVIN HOLMES,2010_house.html,7349,True,True
2010,house,78,I,Ken Guin,KEN GUIN,2010_house.html,1313,False,False
2010,house,79,R,Mike Hubbard,MIKE HUBBARD,2010_house.html,11128,True,True
2010,house,80,D,Lesley Vance,LESLEY VANCE,2010_house.html,5579,True,True
2010,house,80,R,Mervin Dudley,MERVIN DUDLEY,2010_house.html,4626,False,False
2010,house,81,D,Betty Carol Graham,BETTY CAROL GRAHAM,2010_house.html,7306,True,False
2010,house,81,R,Mark M. Tuggle,MARK M TUGGLE,2010_house.html,9268,False,True
2010,house,82,D,Pebblin W. Warren,PEBBLIN W WARREN,2010_house.html,10180,True,True
2010,house,83,D,"George ""Tootie"" Bandy",GEORGE TOOTIE BANDY,2010_house.html,7484,True,True
2010,house,84,D,Berry Forte,BERRY FORTE,2010_house.html,7764,False,True
2010,house,84,R,Joyce L. Perrin,JOYCE L PERRIN,2010_house.html,4152,False,False
2010,house,85,D,Dexter Grimsley,DEXTER GRIMSLEY,2010_house.html,6692,False,True
2010,house,85,R,Jody Singleton,JODY SINGLETON,2010_house.html,6255,False,False
2010,house,86,D,Merritt Carothers,MERRITT CAROTHERS,2010_house.html,6623,False,False
2010,house,86,R,Paul Lee,PAUL LEE,2010_house.html,9159,False,True
2010,house,87,R,Donnie Chesteen,DONNIE CHESTEEN,2010_house.html,14347,False,True
2010,house,88,R,Paul Beckman,PAUL BECKMAN,2010_house.html,14382,False,True
2010,house,89,D,Alan C. Boothe,ALAN C BOOTHE,2010_house.html,7912,True,True
2010,house,90,D,Charles Newton,CHARLES NEWTON,2010_house.html,8577,True,True
2010,house,90,R,Jerry Hartin,JERRY HARTIN,2010_house.html,5855,False,False
2010,house,91,D,Terry Spicer,TERRY SPICER,2010_house.html,5383,True,False
2010,house,91,R,Barry Moore,BARRY MOORE,2010_house.html,9754,False,True
2010,house,92,D,David S. Darby,DAVID S DARBY,2010_house.html,3086,False,False
2010,house,92,I,Don Cotton,DON COTTON,2010_house.html,3180,False,False
2010,house,92,R,Mike Jones Jr.,MIKE JONES,2010_house.html,6820,False,True
2010,house,93,D,Ronnie Helms,RONNIE HELMS,2010_house.html,3271,False,False
2010,house,93,R,Steve Clouse,STEVE CLOUSE,2010_house.html,11418,True,True
2010,house,94,R,Joe Faust,JOE FAUST,2010_house.html,16481,True,True
2010,house,95,R,Steve McMillan,STEVE MCMILLAN,2010_house.html,16239,True,True
2010,house,96,R,Randy Davis,RANDY DAVIS,2010_house.html,13319,True,True
2010,house,97,D,Yvonne Kennedy,YVONNE KENNEDY,2010_house.html,6714,True,True
2010,house,98,D,Napoleon Bracy Jr.,NAPOLEON BRACY,2010_house.html,6767,False,True
2010,house,98,R,Sharon L. Powe,SHARON L POWE,2010_house.html,3222,False,False
2010,house,99,D,James E. Buskey,JAMES E BUSKEY,2010_house.html,8554,True,True
2010,house,99,I,Rashawn Figures,RASHAWN FIGURES,2010_house.html,1800,False,False
2010,house,100,R,Victor Gaston,VICTOR GASTON,2010_house.html,12640,True,True
2010,house,101,R,Jamie Ison,JAMIE ISON,2010_house.html,8414,True,True
2010,house,102,R,Chad Fincher,CHAD FINCHER,2010_house.html,9641,True,True
2010,house,103,D,Joseph C. Mitchell,JOSEPH C MITCHELL,2010_house.html,6962,True,True
2010,house,104,R,Jim Barton,JIM BARTON,2010_house.html,11155,True,True
2010,house,105,R,Spencer Collier,SPENCER COLLIER,2010_house.html,7807,True,True
2010,senate,1,D,Tammy Irons,TAMMY IRONS,2010_senate.html,23178,False,True
2010,senate,1,R,Jerry Freeman,JERRY FREEMAN,2010_senate.html,18266,False,False
2010,senate,2,D,Tom Butler,TOM BUTLER,2010_senate.html,23060,True,False
2010,senate,2,R,Bill Holtzclaw,BILL HOLTZCLAW,2010_senate.html,33050,False,True
2010,senate,3,R,Arthur Orr,ARTHUR ORR,2010_senate.html,39245,True,True
2010,senate,4,D,Zeb Little,ZEB LITTLE,2010_senate.html,18733,True,False
2010,senate,4,R,Paul Bussman,PAUL BUSSMAN,2010_senate.html,25621,False,True
2010,senate,5,D,Brett Wadsworth,BRETT WADSWORTH,2010_senate.html,12213,False,False
2010,senate,5,R,Greg Reed,GREG REED,2010_senate.html,33500,True,True
2010,senate,6,D,Roger Bedford Jr.,ROGER BEDFORD,2010_senate.html,18692,True,True
2010,senate,6,R,Jim Bonner,JIM BONNER,2010_senate.html,16304,False,False
2010,senate,7,D,Jeff Enfinger,JEFF ENFINGER,2010_senate.html,20819,False,False
2010,senate,7,R,Paul Sanford,PAUL SANFORD,2010_senate.html,25333,True,True
2010,senate,8,D,Lowell Barron,LOWELL BARRON,2010_senate.html,20016,True,False
2010,senate,8,R,Shadrack McGill,SHADRACK MCGILL,2010_senate.html,20603,False,True
2010,senate,9,D,Tim Mitchell,TIM MITCHELL,2010_senate.html,13933,False,False
2010,senate,9,R,Clay Scofield,CLAY SCOFIELD,2010_senate.html,30834,False,True
2010,senate,10,D,Larry Means,LARRY MEANS,2010_senate.html,17459,True,False
2010,senate,10,R,Phil Williams,PHIL WILLIAMS,2010_senate.html,20249,False,True
2010,senate,11,D,Jerry L. Fielding,JERRY L FIELDING,2010_senate.html,19929,False,True
2010,senate,11,R,Ray Robbins,RAY ROBBINS,2010_senate.html,17323,False,False
2010,senate,12,D,"Wallace Wyatt, Jr.",WALLACE WYATT,2010_senate.html,15210,False,False
2010,senate,12,R,Del Marsh,DEL MARSH,2010_senate.html,26714,True,True
2010,senate,13,D,Greg Varner,GREG VARNER,2010_senate.html,18443,False,False
2010,senate,13,R,Gerald Dial,GERALD DIAL,2010_senate.html,18800,False,True
2010,senate,14,R,Cam Ward,CAM WARD,2010_senate.html,42511,False,True
2010,senate,15,R,Slade Blackwell,SLADE BLACKWELL,2010_senate.html,46018,False,True
2010,senate,16,R,"J.T. ""Jabo"" Waggoner",J T JABO WAGGONER,2010_senate.html,43604,False,True
2010,senate,17,D,"T. E. ""Tommy"" Hudson",T E TOMMY HUDSON,2010_senate.html,8973,False,False
2010,senate,17,R,Scott Beason,SCOTT BEASON,2010_senate.html,38777,True,True
2010,senate,18,D,Rodger M. Smitherman,RODGER M SMITHERMAN,2010_senate.html,25154,True,True
2010,senate,19,D,Priscilla Dunn,PRISCILLA DUNN,2010_senate.html,29227,False,True
2010,senate,20,D,Linda Coleman,LINDA COLEMAN,2010_senate.html,28282,True,True
2010,senate,21,D,Phil Poole,PHIL POOLE,2010_senate.html,19509,True,False
2010,senate,21,R,Gerald Allen,GERALD ALLEN,2010_senate.html,20528,False,True
2010,senate,22,D,Marc Keahey,MARC KEAHEY,2010_senate.html,24785,False,True
2010,senate,22,R,Danny B. Joyner,DANNY B JOYNER,2010_senate.html,19939,False,False
2010,senate,23,D,Hank Sanders,HANK SANDERS,2010_senate.html,30322,True,True
2010,senate,24,D,Bobby Singleton,BOBBY SINGLETON,2010_senate.html,30803,True,True
2010,senate,25,D,"Doug ""Smitty"" Smith",DOUG SMITTY SMITH,2010_senate.html,14425,False,False
2010,senate,25,R,Dick Brewbaker,DICK BREWBAKER,2010_senate.html,38919,False,True
2010,senate,26,D,"Quinton T. Ross, Jr.",QUINTON T ROSS,2010_senate.html,28703,True,True
2010,senate,27,D,T.D. (Ted) Little,T D TED LITTLE,2010_senate.html,17379,True,False
2010,senate,27,R,Tom Whatley,TOM WHATLEY,2010_senate.html,21245,False,True
2010,senate,28,D,Billy Beasley,BILLY BEASLEY,2010_senate.html,28619,False,True
2010,senate,28,R,Kim West,KIM WEST,2010_senate.html,12033,False,False
2010,senate,29,I,Harri Anne Smith,HARRI ANNE SMITH,2010_senate.html,23800,True,True
2010,senate,29,R,George Flowers,GEORGE FLOWERS,2010_senate.html,19225,False,False
2010,senate,30,D,"""Walking"" Wendell Mitchell",WALKING WENDELL MITCHELL,2010_senate.html,19506,True,False
2010,senate,30,R,Bryan Taylor,BRYAN TAYLOR,2010_senate.html,25868,False,True
2010,senate,31,R,Jimmy W. Holley,JIMMY W HOLLEY,2010_senate.html,29301,True,True
2010,senate,32,R,Trip Pittman,TRIP PITTMAN,2010_senate.html,42365,False,True
2010,senate,33,D,Vivian Davis Figures,VIVIAN DAVIS FIGURES,2010_senate.html,23241,True,True
2010,senate,33,R,Brad Moser,BRAD MOSER,2010_senate.html,8419,False,False
2010,senate,34,R,Rusty Glover,RUSTY GLOVER,2010_senate.html,34325,True,True
2010,senate,35,D,Scott A. Buzbee,SCOTT A BUZBEE,2010_senate.html,12653,False,False
2010,senate,35,R,Ben Brooks,BEN BROOKS,2010_senate.html,18307,True,True
2014,house,1,D,Greg Burdine,GREG BURDINE,2014_house.html,4652,True,False
2014,house,1,R,Phillip Pettus,PHILLIP PETTUS,2014_house.html,4933,False,True
2014,house,2,D,Andy Betterton,ANDY BETTERTON,2014_house.html,5224,False,False
2014,house,2,R,Lynn Greer,LYNN GREER,2014_house.html,8561,True,True
2014,house,3,D,Marcel Black,MARCEL BLACK,2014_house.html,7993,True,True
2014,house,3,R,Fred Joly,FRED JOLY,2014_house.html,5357,False,False
2014,house,4,R,Micky Hammon,MICKY HAMMON,2014_house.html,8473,True,True
2014,house,5,D,Henry A. White,HENRY A WHITE,2014_house.html,5520,False,False
2014,house,5,R,Dan Williams,DAN WILLIAMS,2014_house.html,8807,True,True
2014,house,6,R,Phil Williams,PHIL WILLIAMS,2014_house.html,8323,False,True
2014,house,7,D,Jody Letson,JODY LETSON,2014_house.html,6911,False,False
2014,house,7,R,Ken Johnson,KEN JOHNSON,2014_house.html,7096,True,True
2014,house,8,D,Drama Breland,DRAMA BRELAND,2014_house.html,5147,False,False
2014,house,8,R,Terri Collins,TERRI COLLINS,2014_house.html,6574,False,True
2014,house,9,D,Kathy White Goodwin,KATHY WHITE GOODWIN,2014_house.html,4294,False,False
2014,house,9,R,Ed Henry,ED HENRY,2014_house.html,11405,False,True
2014,house,10,R,Mike Ball,MIKE BALL,2014_house.html,11950,True,True
2014,house,11,R,Jeremy H. Oden,JEREMY H ODEN,2014_house.html,12977,True,True
2014,house,12,D,James C. Fields Jr.,JAMES C FIELDS,2014_house.html,7667,False,False
2014,house,12,R,Mac Buttram,MAC BUTTRAM,2014_house.html,9062,False,True
2014,house,13,R,Connie Rowe,CONNIE ROWE,2014_house.html,9455,False,True
2014,house,14,R,Richard Baughn,RICHARD BAUGHN,2014_house.html,9255,False,True
2014,house,15,R,Allen Farley,ALLEN FARLEY,2014_house.html,14117,False,True
2014,house,16,D,Daniel Boman,DANIEL BOMAN,2014_house.html,3430,True,False
2014,house,16,R,Kyle South,KYLE SOUTH,2014_house.html,10467,False,True
2014,house,17,D,Mike Millican,MIKE MILLICAN,2014_house.html,8107,True,True
2014,house,18,D,Johnny Mack Morrow,JOHNNY MACK MORROW,2014_house.html,8344,True,True
2014,house,19,D,Laura Hall,LAURA HALL,2014_house.html,7615,True,True
2014,house,19,I,A.J. Smith,A J SMITH,2014_house.html,1557,False,False
2014,house,20,R,Howard Sanderford,HOWARD SANDERFORD,2014_house.html,17733,True,True
2014,house,21,D,Randy Hinshaw,RANDY HINSHAW,2014_house.html,6201,True,False
2014,house,21,R,Jim Patterson,JIM PATTERSON,2014_house.html,6654,False,True
2014,house,22,D,Butch Taylor,BUTCH TAYLOR,2014_house.html,5177,False,False
2014,house,22,R,Wayne Johnson,WAYNE JOHNSON,2014_house.html,9523,False,True
2014,house,23,D,John Robinson,JOHN ROBINSON,2014_house.html,7782,True,True
2014,house,24,D,Nathaniel Ledbetter,NATHANIEL LEDBETTER,2014_house.html,6971,False,False
2014,house,24,R,Todd Greeson,TODD GREESON,2014_house.html,7967,True,True
2014,house,25,R,Mac McCutcheon,MAC MCCUTCHEON,2014_house.html,17822,True,True
2014,house,26,R,Kerry Rich,KERRY RICH,2014_house.html,7203,False,True
2014,house,27,D,Jeff McLaughlin,JEFF MCLAUGHLIN,2014_house.html,7225,False,False
2014,house,27,R,Will Ainsworth,WILL AINSWORTH,2014_house.html,8238,False,True
2014,house,28,D,Craig Ford,CRAIG FORD,2014_house.html,8208,True,True
2014,house,29,D,Michael Gladden,MICHAEL GLADDEN,2014_house.html,5406,True,False
2014,house,29,R,Becky Nordgren,BECKY NORDGREN,2014_house.html,5845,False,True
2014,house,30,D,Wally Burns,WALLY BURNS,2014_house.html,4153,False,False
2014,house,30,R,Blaine Galliher,BLAINE GALLIHER,2014_house.html,10979,True,True
2014,house,31,R,Barry Mask,BARRY MASK,2014_house.html,13104,True,True
2014,house,32,D,Barbara Bigsby-Boyd,BARBARA BIGSBY BOYD,2014_house.html,7240,True,True
2014,house,32,R,Ron Struzik,RON STRUZIK,2014_house.html,2905,False,False
2014,house,33,R,Ron Johnson,RON JOHNSON,2014_house.html,9567,True,True
2014,house,34,R,Elwyn Thomas,ELWYN THOMAS,2014_house.html,13515,True,True
2014,house,35,D,Steve Hurst,STEVE HURST,2014_house.html,6722,True,True
2014,house,35,R,Steven M. Dean,STEVEN M DEAN,2014_house.html,6295,False,False
2014,house,36,D,Garry Bearden,GARRY BEARDEN,2014_house.html,3301,False,False
2014,house,36,R,Randy Wood,RANDY WOOD,2014_house.html,10612,True,True
2014,house,37,D,Richard Laird,RICHARD LAIRD,2014_house.html,8106,True,True
2014,house,37,R,Bob Fincher,BOB FINCHER,2014_house.html,7011,False,False
2014,house,38,D,Huey P. Long,HUEY P LONG,2014_house.html,5748,False,False
2014,house,38,R,DuWayne Bridges,DUWAYNE BRIDGES,2014_house.html,5980,True,True
2014,house,39,D,Richard Lindsey,RICHARD LINDSEY,2014_house.html,7808,True,True
2014,house,39,R,Tim Sprayberry,TIM SPRAYBERRY,2014_house.html,5872,False,False
2014,house,40,D,Ted Copeland,TED COPELAND,2014_house.html,5148,False,False
2014,house,40,R,K. L. (Koven) Brown,K L KOVEN BROWN,2014_house.html,8587,False,True
2014,house,41,R,Mike Hill,MIKE HILL,2014_house.html,19319,True,True
2014,house,42,R,Jimmy Martin,JIMMY MARTIN,2014_house.html,9382,False,True
2014,house,43,D,Virginia Sweet,VIRGINIA SWEET,2014_house.html,4041,False,False
2014,house,43,R,Mary Sue McClurkin,MARY SUE MCCLURKIN,2014_house.html,16368,True,True
2014,house,44,R,Arthur Payne,ARTHUR PAYNE,2014_house.html,11654,True,True
2014,house,45,R,Dickie Drake,DICKIE DRAKE,2014_house.html,8165,True,True
2014,house,46,R,Paul DeMarco,PAUL DEMARCO,2014_house.html,15446,True,True
2014,house,47,D,Salvatore Bambinelli,SALVATORE BAMBINELLI,2014_house.html,2642,False,False
2014,house,47,R,Jack Williams,JACK WILLIAMS,2014_house.html,7073,True,True
2014,house,48,R,Greg Canfield,GREG CANFIELD,2014_house.html,16859,True,True
2014,house,49,R,April Weaver,APRIL WEAVER,2014_house.html,12411,False,True
2014,house,50,R,Jim McClendon,JIM MCCLENDON,2014_house.html,14248,True,True
2014,house,51,R,Allen Treadaway,ALLEN TREADAWAY,2014_house.html,14061,True,True
2014,house,52,D,John Rogers,JOHN ROGERS,2014_house.html,9599,True,True
2014,house,53,D,Demetrius Newton,DEMETRIUS NEWTON,2014_house.html,7729,True,True
2014,house,54,D,Patricia Todd,PATRICIA TODD,2014_house.html,7599,True,True
2014,house,55,D,Rod Scott,ROD SCOTT,2014_house.html,8670,True,True
2014,house,56,D,Lawrence McAdory,LAWRENCE MCADORY,2014_house.html,9881,True,True
2014,house,57,D,Merika Coleman,MERIKA COLEMAN,2014_house.html,10676,True,True
2014,house,58,D,Oliver Robinson,OLIVER ROBINSON,2014_house.html,9704,True,True
2014,house,59,D,Mary Moore,MARY MOORE,2014_house.html,7521,True,True
2014,house,60,D,"Juandalynn ""Lee Lee"" Givan",JUANDALYNN LEE LEE GIVAN,2014_house.html,10383,False,True
2014,house,61,D,Alan Harper,ALAN HARPER,2014_house.html,11102,True,True
2014,house,61,R,Frank Chandler,FRANK CHANDLER,2014_house.html,3167,False,False
2014,house,62,R,John Merrill,JOHN MERRILL,2014_house.html,11658,False,True
2014,house,63,D,Susan Pace Hamill,SUSAN PACE HAMILL,2014_house.html,5631,False,False
2014,house,63,R,Bill Poole,BILL POOLE,2014_house.html,9937,False,True
2014,house,64,R,Harry Shiver,HARRY SHIVER,2014_house.html,8524,True,True
2014,house,65,D,Elaine Beech,ELAINE BEECH,2014_house.html,11727,False,True
2014,house,65,I,Ozelle Hubert,OZELLE HUBERT,2014_house.html,1920,False,False
2014,house,66,R,Alan Baker,ALAN BAKER,2014_house.html,8615,True,True
2014,house,67,D,Dario Melton,DARIO MELTON,2014_house.html,10382,False,True
2014,house,68,D,Thomas E. (Action) Jackson,THOMAS E ACTION JACKSON,2014_house.html,10471,True,True
2014,house,69,D,David Colston,DAVID COLSTON,2014_house.html,11058,False,True
2014,house,70,D,Christopher John England,CHRISTOPHER JOHN ENGLAND,2014_house.html,7611,True,True
2014,house,71,D,"Artis ""A. J."" McCampbell",ARTIS A J MCCAMPBELL,2014_house.html,12261,True,True
2014,house,72,D,Ralph A. Howard,RALPH A HOWARD,2014_house.html,11552,True,True
2014,house,73,R,Matt Fridy,MATT FRIDY,2014_house.html,7825,False,True
2014,house,74,I,Jay King,JAY KING,2014_house.html,2562,False,False
2014,house,74,R,Jay Love,JAY LOVE,2014_house.html,8714,True,True
2014,house,75,D,Glenn L. Allen,GLENN L ALLEN,2014_house.html,5551,False,False
2014,house,75,R,Greg Wren,GREG WREN,2014_house.html,14046,True,True
2014,house,76,D,Thad McClammy,THAD MCCLAMMY,2014_house.html,10092,True,True
2014,house,77,D,John Knight,JOHN KNIGHT,2014_house.html,8353,True,True
2014,house,78,D,Alvin Holmes,ALVIN HOLMES,2014_house.html,7349,True,True
2014,house,78,I,Ken Guin,KEN GUIN,2014_house.html,1313,False,False
2014,house,79,R,Mike Hubbard,MIKE HUBBARD,2014_house.html,11128,True,True
2014,house,80,D,Lesley Vance,LESLEY VANCE,2014_house.html,5579,True,True
