cycle,bonica.rid,bonica.cid,name,lname,party,state,seat,district,recipient.cfscore,num.givers,total.receipts,total.disbursements,total.indiv.contribs,total.unitemized,total.pac.contribs,total.party.contribs,total.contribs.from.candidate,chamber,district_num,party_letter,normalized_name,dime_recipient_cycle_id
1998,cand34840,3822471565.0,"asquith, jim",asquith,200,AL,state:lower,AL-20,1.785,1,1064.0,0.0,0.0,0.0,0.0,0.0,1064.0,house,20,R,ASQUITH JIM,DIME-411C5EB45182EB0FCA91
1998,cand4168,,"bailey, chip",bailey,100,AL,state:upper,AL-29,0.46,87,113360.0,0.0,11475.0,399.0,101486.0,0.0,0.0,senate,29,D,BAILEY CHIP,DIME-796B9B89C1948C75B705
1998,cand4169,5000000108910133.0,"bailey, mary etta",bailey,200,AL,state:lower,AL-24,1.798,8,14034.0,0.0,2534.0,300.0,1200.0,0.0,10000.0,house,24,R,BAILEY MARY ETTA,DIME-FE285A2F896B3BBD2BB0
2006,cand4170,5000004105337902.0,"bailey, vicki self",bailey,200,AL,state:lower,AL-51,1.319,38,32694.0,0.0,2455.0,0.0,25139.0,0.0,5100.0,house,51,R,BAILEY VICKI SELF,DIME-3DEEE3344AFA471139CB
2006,cand4171,,"bandy, leroy",bandy,100,AL,state:lower,AL-60,-0.886,7,5175.0,0.0,75.0,800.0,3500.0,0.0,0.0,house,60,D,BANDY LEROY,DIME-9DDA1199490B55C37C55
2006,cand4172,3818419509.0,"barbee, jonathan o",barbee,100,AL,state:lower,AL-44,1.063,14,14375.0,0.0,7150.0,0.0,6150.0,0.0,-25.0,house,44,D,BARBEE JONATHAN O,DIME-3B8FB54FD735589DE363
2006,cand4173,3787916774.0,"barfoot, will",barfoot,200,AL,state:upper,AL-25,1.09,119,145935.0,0.0,43337.0,718.0,101324.0,0.0,400.0,senate,25,R,BARFOOT WILL,DIME-B3C6DA86C327140384C1
1998,cand4174,,"barlow, mark",barlow,200,AL,state:lower,AL-96,1.142,29,10195.0,0.0,7155.0,290.0,2750.0,0.0,0.0,house,96,R,BARLOW MARK,DIME-1F1E1D03447099EEABD5
2006,cand4175,3818420230.0,"barnes, henry",barnes,200,AL,state:lower,AL-105,1.699,17,6800.0,0.0,2500.0,1600.0,2200.0,0.0,500.0,house,105,R,BARNES HENRY,DIME-6FEFE8A9F07EE59EC4AB
2006,cand4176,3818420020.0,"barton, larry h",barton,100,AL,state:upper,AL-11,-1.277,4,230036.0,0.0,0.0,0.0,225036.0,0.0,5000.0,senate,11,D,BARTON LARRY H,DIME-77B5FF85372E3F482A2B
2006,cand53302,5000004498901462.0,"baswell guthrie, cheryl",baswell guthrie,200,AL,state:upper,AL-7,-0.687,45,293776.0,0.0,13160.0,87.0,4550.0,1750.0,274229.0,senate,7,R,BASWELL GUTHRIE CHERYL,DIME-BDE285F40AE5ED29D69F
1998,cand4177,5000036155099851.0,"batts, gloria p",batts,100,AL,state:upper,AL-7,-0.951,70,39727.0,0.0,13565.0,13676.0,3450.0,2400.0,3000.0,senate,7,D,BATTS GLORIA P,DIME-B46A005CAB9A9C0829BD
1998,cand4178,3818425242.0,"beer, greg",beer,200,AL,state:lower,AL-1,1.496,52,71708.0,0.0,9992.0,466.0,10250.0,4000.0,47000.0,house,1,R,BEER GREG,DIME-C5D7AB726D7C6318A3F0
1998,cand4179,,"bentley, jim",bentley,200,AL,state:upper,AL-15,1.47,11,10574.0,0.0,3574.0,0.0,7000.0,0.0,0.0,senate,15,R,BENTLEY JIM,DIME-2E4EB6CF9EC7C42930A8
2002,cand4180,3818425720.0,"beshears, mitchell",beshears,200,AL,state:lower,AL-12,0.987,13,11505.0,0.0,1450.0,500.0,8750.0,305.0,500.0,house,12,R,BESHEARS MITCHELL,DIME-FD1D960B4DE5A912B206
2006,cand4181,,"biggers, calvin d",biggers,100,AL,state:lower,AL-55,-0.549,4,3250.0,0.0,4250.0,0.0,-1000.0,0.0,0.0,house,55,D,BIGGERS CALVIN D,DIME-12F42D9072F578F1C8DD
2006,cand4182,,"billingham, victor",billingham,100,AL,state:upper,AL-1,-2.183,1,3568.0,0.0,0.0,10.0,0.0,0.0,3558.0,senate,1,D,BILLINGHAM VICTOR,DIME-DE543981A7EB12BEB800
2002,cand4197,3822459429.0,"bingham, james c",bingham,100,AL,state:lower,AL-18,0.888,11,5050.0,0.0,2550.0,0.0,1000.0,0.0,1500.0,house,18,D,BINGHAM JAMES C,DIME-1823A87DB5E7C2422B3F
1998,cand4198,3928842638.0,"bishop, jerry o",bishop,100,AL,state:upper,AL-5,0.216,56,156999.0,0.0,5150.0,441.0,40887.0,19000.0,91500.0,senate,5,D,BISHOP JERRY O,DIME-8CE596CC8C2A90C11167
1998,cand4200,5000003822457207.0,"blair, sara beth",blair,100,AL,state:lower,AL-49,0.021,87,46452.0,0.0,15915.0,563.0,18324.0,1650.0,10000.0,house,49,D,BLAIR SARA BETH,DIME-000B757912E17918CBDE
2006,cand4202,4094299977.0,"blocker, william e",blocker,200,AL,state:lower,AL-92,1.234,15,15548.0,0.0,14798.0,0.0,0.0,0.0,546.0,house,92,R,BLOCKER WILLIAM E,DIME-F7FBD8E6D919BDFE534C
2002,cand4205,2444746038.0,"bollings, george",bollings,100,AL,state:upper,AL-6,1.151,90,125417.0,0.0,15125.0,0.0,85292.0,0.0,25000.0,senate,6,D,BOLLINGS GEORGE,DIME-A44E4ACB87F21B1DC7B6
1998,cand4206,,"bonham, ken hugh",bonham,200,AL,state:upper,AL-20,-0.195,3,1200.0,0.0,200.0,0.0,500.0,500.0,0.0,senate,20,R,BONHAM KEN HUGH,DIME-64AAF127576064805EA6
2002,cand4207,,"bottoms jr, charlie andrew",bottoms,100,AL,state:lower,AL-2,-2.183,5,8851.0,0.0,1248.0,490.0,0.0,0.0,7113.0,house,2,D,BOTTOMS CHARLIE ANDREW,DIME-4BACD9306CA51CA2E604
1998,cand4208,112296215.0,"bowen, david",bowen,200,AL,state:lower,AL-31,1.365,18,30729.0,0.0,6550.0,3837.0,9000.0,7000.0,4342.0,house,31,R,BOWEN DAVID,DIME-D3379B10CD0B5C920262
2002,cand4209,,"bowman, kent",bowman,100,AL,state:upper,AL-26,-0.781,2,10900.0,0.0,0.0,900.0,10000.0,0.0,0.0,senate,26,D,BOWMAN KENT,DIME-4D254647E7AE0709F839
2006,cand4210,,"boyd, carolyn will",boyd,100,AL,state:lower,AL-78,-1.983,20,11375.0,0.0,4915.0,200.0,775.0,0.0,5485.0,house,78,D,BOYD CAROLYN WILL,DIME-7E86FAA6ACCD99FDB7E7
2006,cand4211,3818426651.0,"boyd, jim",boyd,100,AL,state:lower,AL-11,-0.452,73,119895.0,0.0,17060.0,0.0,57135.0,45700.0,0.0,house,11,D,BOYD JIM,DIME-046CF798D8BFA075A1B6
2002,cand4212,5000003816420289.0,"bradley, margaret",bradley,100,AL,state:lower,AL-104,-0.883,24,22813.0,0.0,2250.0,945.0,8605.0,10000.0,500.0,house,104,D,BRADLEY MARGARET,DIME-A6CACB75B21A30037B56
1998,cand4213,5000003816420227.0,"branch, dianne",branch,200,AL,state:upper,AL-13,1.531,9,3885.0,0.0,945.0,250.0,0.0,1150.0,1540.0,senate,13,R,BRANCH DIANNE,DIME-DEC76A5282BD6164F604
1998,cand4215,3816419013.0,"britnell, charlie",britnell,200,AL,state:lower,AL-18,0.828,9,29455.0,0.0,650.0,5180.0,4125.0,5000.0,14500.0,house,18,R,BRITNELL CHARLIE,DIME-E2338F1113CE439931D5
2006,cand4216,2849942511.0,"brook, buddy",brook,200,AL,state:upper,AL-1,1.415,50,93503.0,0.0,10043.0,0.0,46750.0,19100.0,0.0,senate,1,R,BROOK BUDDY,DIME-8F072AD91472D0CF5B74
2002,cand4218,112349229.0,"brooks, pete",brooks,200,AL,state:lower,AL-40,1.49,16,30265.0,0.0,1950.0,8424.0,8870.0,0.0,5990.0,house,40,R,BROOKS PETE,DIME-08D29C3F3A0D5B36265A
2006,cand4219,5000003816419833.0,"browder, michelle",browder,100,AL,state:lower,AL-78,0.091,19,11002.0,0.0,2400.0,2980.0,1100.0,0.0,1000.0,house,78,D,BROWDER MICHELLE,DIME-DEFA7C323767DD327944
1998,cand4220,3816419780.0,"brown, chip",brown,200,AL,state:upper,AL-32,1.06,139,84633.0,0.0,53203.0,0.0,31180.0,0.0,250.0,senate,32,R,BROWN CHIP,DIME-F0276083F455CB18FCDD
2002,cand4220,3816419780.0,"brown, chip",brown,200,AL,state:upper,AL-32,1.06,133,88120.0,0.0,26520.0,0.0,41600.0,0.0,20000.0,senate,32,R,BROWN CHIP,DIME-F87F74B773FD6CC8B095
2002,cand4222,,"brown, latosha",brown,100,AL,state:lower,AL-67,-0.524,27,44265.0,0.0,5685.0,430.0,37700.0,0.0,0.0,house,67,D,BROWN LATOSHA,DIME-755C8E274E59F6C656DA
2002,cand4223,3513203268.0,"broxton, roger",broxton,200,AL,state:lower,AL-92,2.235,15,20628.0,0.0,3835.0,3769.0,200.0,7000.0,5824.0,house,92,R,BROXTON ROGER,DIME-645D0DA2320361B9F076
2002,cand4224,3816418909.0,"brumley, ronald",brumley,100,AL,state:lower,AL-3,-1.687,3,3172.0,0.0,400.0,0.0,0.0,0.0,2772.0,house,3,D,BRUMLEY RONALD,DIME-A03649A9AB81FDD55B5D
2006,cand4225,5000003816419492.0,"bruner, rhonda d",bruner,200,AL,state:lower,AL-12,1.767,10,17153.0,0.0,6400.0,2793.0,320.0,2000.0,5640.0,house,12,R,BRUNER RHONDA D,DIME-85C95466739C0FCD3AEC
2006,cand4227,3818441586.0,"buck, tom",buck,200,AL,state:lower,AL-47,0.931,78,67014.0,0.0,31003.0,3815.0,3500.0,0.0,6153.0,house,47,R,BUCK TOM,DIME-2F2726C6C9F1C197EA22
2006,cand4228,4647049328.0,"burden, jim",burden,200,AL,state:upper,AL-2,1.642,33,11504.0,0.0,3055.0,115.0,2000.0,2050.0,4024.0,senate,2,R,BURDEN JIM,DIME-AFAB60B5A6E399F8B070
2002,cand131495,3818441579.0,"burdine, mike",burdine,200,AL,state:lower,AL-105,0.98,93,77789.0,0.0,11470.0,820.0,46871.0,100.0,18529.0,house,105,R,BURDINE MIKE,DIME-B40CF8AF7B48A0B084F1
1998,cand4230,2397711702.0,"burke, ralph",burke,100,AL,state:lower,AL-24,-0.434,89,76462.0,0.0,5000.0,625.0,69550.0,0.0,0.0,house,24,D,BURKE RALPH,DIME-280B186F264710784F8F
2006,cand4231,3818441541.0,"burkhalter, todd",burkhalter,200,AL,state:upper,AL-34,1.768,101,77960.0,0.0,45371.0,129.0,5435.0,0.0,27025.0,senate,34,R,BURKHALTER TODD,DIME-B4ABDB4C8E3B9D4FC120
2002,cand4232,,"burrow, jack",burrow,100,AL,state:lower,AL-17,-0.082,10,15626.0,0.0,2850.0,5100.0,1000.0,0.0,6676.0,house,17,D,BURROW JACK,DIME-0AFE08E3FD638A60DBAA
1998,cand4236,3822460913.0,"cagle, johnny",cagle,100,AL,state:lower,AL-61,-0.152,24,32529.0,0.0,4800.0,0.0,17129.0,0.0,10600.0,house,61,D,CAGLE JOHNNY,DIME-6AAFFB36183AD51A537D
2006,cand4237,3139081081.0,"cagle, larry b",cagle,100,AL,state:upper,AL-5,-0.128,41,161771.0,0.0,2457.0,0.0,147314.0,1500.0,9500.0,senate,5,D,CAGLE LARRY B,DIME-C78CF49761C43D35CDA0
2002,cand4238,4626037615.0,"calhoun, donnie",calhoun,200,AL,state:lower,AL-36,1.057,19,36224.0,0.0,3350.0,5561.0,7000.0,0.0,20313.0,house,36,R,CALHOUN DONNIE,DIME-7F695DC0F1BF92B440C8
1998,cand158463,29135854805.0,"callahan, george",callahan,200,AL,state:upper,AL-35,1.076,199,160361.0,0.0,24277.0,1686.0,122398.0,11250.0,500.0,senate,35,R,CALLAHAN GEORGE,DIME-3AACE000E54600409A2C
2002,cand158463,29135854805.0,"callahan, george",callahan,200,AL,state:upper,AL-35,1.076,209,371670.0,0.0,21218.0,0.0,346272.0,0.0,3589.0,senate,35,R,CALLAHAN GEORGE,DIME-A069E696908FA49617C2
2006,cand158463,29135854805.0,"callahan, george",callahan,200,AL,state:upper,AL-35,1.076,85,83584.0,0.0,23107.0,850.0,52625.0,0.0,5570.0,senate,35,R,CALLAHAN GEORGE,DIME-5F9A5095B79F19610FF8
2006,cand4240,,"callen, rosie",callen,100,AL,state:lower,AL-67,1.596,3,2400.0,0.0,400.0,0.0,2000.0,0.0,0.0,house,67,D,CALLEN ROSIE,DIME-2DBCF4364ECB9FB60864
2006,cand4241,3822461586.0,"camp, frank",camp,100,AL,state:lower,AL-95,-0.691,17,14660.0,0.0,1700.0,460.0,10000.0,1000.0,1500.0,house,95,D,CAMP FRANK,DIME-4E542039EBF33CB75B03
2002,cand4242,4894265882.0,"campbell, ray",campbell,328,AL,state:lower,AL-7,-1.815,6,21969.0,0.0,550.0,519.0,500.0,0.0,20400.0,house,7,,CAMPBELL RAY,DIME-2F866BBEF398C371EACC
2006,cand4243,3822461364.0,"carlton, mark",carlton,100,AL,state:lower,AL-38,-0.152,24,139827.0,0.0,11537.0,0.0,79250.0,48500.0,540.0,house,38,D,CARLTON MARK,DIME-B54D2C129CEB26E53042
1998,cand4245,3818419476.0,"barron, lowell",barron,100,AL,state:upper,AL-8,0.085,183,211791.0,0.0,19550.0,2110.0,182276.0,400.0,200.0,senate,8,D,BARRON LOWELL,DIME-16AB5505D96AA5D37B94
2002,cand4245,3818419476.0,"barron, lowell r",barron,100,AL,state:upper,AL-8,0.085,431,600935.0,0.0,109844.0,2915.0,478445.0,2500.0,0.0,senate,8,D,BARRON LOWELL R,DIME-F9D3757FD7E3E69DD6E4
2006,cand4245,3818419476.0,"barron, lowell r",barron,100,AL,state:upper,AL-8,0.085,404,1254794.0,0.0,133950.0,265.0,983275.0,24000.0,101500.0,senate,8,D,BARRON LOWELL R,DIME-378CBC493ED47B5F5C57
2008,cand4245,3818419476.0,"barron, lowell r",barron,100,AL,state:upper,AL-8,0.085,60,90812.0,0.0,7481.0,0.0,161098.0,0.0,-100000.0,senate,8,D,BARRON LOWELL R,DIME-90CF39B3CCECB617A02E
2010,cand4245,3818419476.0,"barron, lowell r",barron,100,AL,state:upper,AL-8,0.085,284,1463978.0,0.0,135906.0,11525.0,933895.0,40500.0,10500.0,senate,8,D,BARRON LOWELL R,DIME-C6A82819F23B29EBBA03
1998,cand106000,29105843673.0,"bedford, roger",bedford,100,AL,state:upper,AL-6,0.152,442,427544.0,0.0,146069.0,4443.0,248508.0,1500.0,0.0,senate,6,D,BEDFORD ROGER,DIME-9EFB5BD6ECE0C76611B5
2002,cand106000,29105843673.0,"bedford, roger",bedford,100,AL,state:upper,AL-6,0.152,683,893292.0,0.0,147911.0,1006.0,691190.0,850.0,2350.0,senate,6,D,BEDFORD ROGER,DIME-FF9C32DAFE8474588262
2006,cand106000,29105843673.0,"bedford, roger",bedford,100,AL,state:upper,AL-6,0.152,637,1049529.0,0.0,167167.0,370.0,737930.0,9600.0,78391.0,senate,6,D,BEDFORD ROGER,DIME-D10CD99979BA6C49C5F6
2010,cand106000,29105843673.0,"bedford jr, roger",bedford,100,AL,state:upper,AL-6,0.152,736,1086969.0,0.0,187627.0,320.0,832352.0,57750.0,-35841.0,senate,6,D,BEDFORD ROGER,DIME-1255A78B8514556635D4
2012,cand106000,29105843673.0,"bedford jr, roger",bedford,100,AL,state:upper,AL-6,0.152,6,16815.0,0.0,500.0,0.0,8500.0,0.0,0.0,senate,6,D,BEDFORD ROGER,DIME-6A9FEE424D529C9508D3
1998,cand4246,3822459344.0,"biddle iii, jack",biddle,200,AL,state:upper,AL-17,1.041,98,125520.0,0.0,3225.0,0.0,106895.0,0.0,0.0,senate,17,R,BIDDLE JACK,DIME-2DE51AF6669A2F6CC0A9
2002,cand4246,3822459344.0,"biddle, jack",biddle,200,AL,state:upper,AL-17,1.041,79,181314.0,0.0,1883.0,0.0,175900.0,0.0,-6820.0,senate,17,R,BIDDLE JACK,DIME-D69B1F9F3B9CC5BA3507
2006,cand4246,3822459344.0,"biddle, jack",biddle,200,AL,state:upper,AL-17,1.041,121,482365.0,0.0,15930.0,0.0,480142.0,0.0,-16167.0,senate,17,R,BIDDLE JACK,DIME-D9EB59DF37782CF5891D
1998,cand4247,26642150372.0,"butler, tom",butler,100,AL,state:upper,AL-2,0.025,262,202639.0,0.0,26495.0,0.0,173028.0,0.0,500.0,senate,2,D,BUTLER TOM,DIME-C4FD25D1F7357854D6AF
2002,cand4247,26642150372.0,"butler, tom",butler,100,AL,state:upper,AL-2,0.025,327,330735.0,0.0,53050.0,445.0,271094.0,5000.0,250.0,senate,2,D,BUTLER TOM,DIME-18DEACCA488C8937044C
2006,cand4247,26642150372.0,"butler, tom",butler,100,AL,state:upper,AL-2,0.025,347,405062.0,0.0,49571.0,203.0,354102.0,1000.0,0.0,senate,2,D,BUTLER TOM,DIME-65FFDE7DA72599415659
2010,cand4247,26642150372.0,"butler, tom",butler,100,AL,state:upper,AL-2,0.025,356,540189.0,0.0,95630.0,650.0,435127.0,1000.0,0.0,senate,2,D,BUTLER TOM,DIME-7A43769B9295743D301D
1998,cand4248,3818434547.0,"denton, bobby",denton,100,AL,state:upper,AL-1,-0.078,209,164009.0,0.0,28650.0,9988.0,117822.0,5000.0,0.0,senate,1,D,DENTON BOBBY,DIME-B35E4864AC2EF8E92A9F
2002,cand4248,3818434547.0,"denton, bobby",denton,100,AL,state:upper,AL-1,-0.078,156,222888.0,0.0,45450.0,5025.0,164295.0,2500.0,0.0,senate,1,D,DENTON BOBBY,DIME-B1D20741ACFE4012C4A6
2006,cand4248,3818434547.0,"denton, bobby",denton,100,AL,state:upper,AL-1,-0.078,274,443089.0,0.0,66370.0,352.0,357140.0,12000.0,500.0,senate,1,D,DENTON BOBBY,DIME-E4CE58221B3E8E00BA22
1998,cand34828,3822460223.0,"dial, gerald",dial,100,AL,state:upper,AL-13,0.489,220,230951.0,0.0,18443.0,0.0,208380.0,1000.0,3000.0,senate,13,D,DIAL GERALD,DIME-40F268D00515E53A5F9D
2002,cand34828,3822460223.0,"dial, gerald",dial,100,AL,state:upper,AL-13,0.489,141,245860.0,0.0,7800.0,0.0,234800.0,2500.0,0.0,senate,13,D,DIAL GERALD,DIME-A3B7030D98A59031E49A
2006,cand34828,3822460223.0,"dial, gerald",dial,100,AL,state:upper,AL-13,0.489,111,357133.0,0.0,14650.0,300.0,339560.0,0.0,0.0,senate,13,D,DIAL GERALD,DIME-ACFAF64EE419094E9F2C
2010,cand34828,3822460223.0,"dial, gerald",dial,200,AL,state:upper,AL-13,0.489,147,404209.0,0.0,19829.0,0.0,282445.0,70936.0,0.0,senate,13,R,DIAL GERALD,DIME-31390A5DCBC8FC53E133
2012,cand34828,3822460223.0,"dial, gerald",dial,200,AL,state:upper,AL-13,0.489,24,73200.0,0.0,0.0,0.0,26700.0,2500.0,25000.0,senate,13,R,DIAL GERALD,DIME-FA6A46F17F0F9A96F474
1998,cand40105,3929827241.0,"dixon, larry",dixon,200,AL,state:upper,AL-25,1.099,141,255900.0,0.0,11050.0,0.0,238697.0,0.0,2100.0,senate,25,R,DIXON LARRY,DIME-9083E258AF7985173641
2002,cand40105,3929827241.0,"dixon, larry",dixon,200,AL,state:upper,AL-25,1.099,146,277370.0,0.0,10350.0,2395.0,261700.0,0.0,0.0,senate,25,R,DIXON LARRY,DIME-4E6843874F8A11EEBC64
2006,cand40105,3929827241.0,"dixon, larry",dixon,200,AL,state:upper,AL-25,1.099,226,389795.0,0.0,37700.0,3880.0,343615.0,1750.0,0.0,senate,25,R,DIXON LARRY,DIME-775376EF53FC40D287AF
1998,cand4249,5000003340165283.0,"escott, sundra e",escott,100,AL,state:upper,AL-20,-0.37,79,132648.0,0.0,3700.0,4421.0,107077.0,12575.0,75.0,senate,20,D,ESCOTT SUNDRA E,DIME-2CFDF1156DDFF7B31BAB
2002,cand4249,5000003340165283.0,"escott, sundra e",escott,100,AL,state:upper,AL-20,-0.37,41,130173.0,0.0,-907.0,0.0,120380.0,1700.0,0.0,senate,20,D,ESCOTT SUNDRA E,DIME-5382D3920F834341F8F1
2006,cand4249,5000003340165283.0,"escott, sundra e",escott,100,AL,state:upper,AL-20,-0.37,85,226335.0,0.0,6595.0,0.0,191240.0,26000.0,0.0,senate,20,D,ESCOTT SUNDRA E,DIME-AF83E5935CBE06440D69
1998,cand4250,2518789944.0,"lindsey, pat",lindsey,100,AL,state:upper,AL-22,-0.03,151,223725.0,0.0,48175.0,0.0,175550.0,0.0,0.0,senate,22,D,LINDSEY PAT,DIME-B9D6EC6E8C7BF6FFB474
2002,cand4250,2518789944.0,"lindsey, pat",lindsey,100,AL,state:upper,AL-22,-0.03,231,604377.0,0.0,97552.0,0.0,493025.0,8500.0,5000.0,senate,22,D,LINDSEY PAT,DIME-4AFAAB08844144647371
2006,cand4250,2518789944.0,"lindsey, pat",lindsey,100,AL,state:upper,AL-22,-0.03,160,693988.0,0.0,31640.0,0.0,635948.0,26000.0,0.0,senate,22,D,LINDSEY PAT,DIME-8064BCF3927F4B8D08FD
2008,cand4250,2518789944.0,"lindsey, pat",lindsey,100,AL,state:upper,AL-22,-0.03,31,39500.0,0.0,2500.0,0.0,37000.0,0.0,0.0,senate,22,D,LINDSEY PAT,DIME-49B621AB0A985C0FE5DC
1998,cand49180,29075830397.0,"little, t d ted",little,100,AL,state:upper,AL-27,-0.02,290,331240.0,0.0,26869.0,407.0,145861.0,105850.0,50000.0,senate,27,D,LITTLE T D TED,DIME-22E3EEDD13F83C90CEE7
2002,cand49180,29075830397.0,"little, t d ted",little,100,AL,state:upper,AL-27,-0.02,288,326866.0,0.0,26730.0,6115.0,269707.0,6250.0,5750.0,senate,27,D,LITTLE T D TED,DIME-CE67B7EDB93B338A67CA
2006,cand49180,29075830397.0,"little, t d ted",little,100,AL,state:upper,AL-27,-0.02,230,274263.0,0.0,8280.0,0.0,255275.0,25500.0,-25343.0,senate,27,D,LITTLE T D TED,DIME-EE0C59DB9E7D18DBCF4B
2008,cand49180,29075830397.0,"little, t d ted",little,100,AL,state:upper,AL-27,-0.02,1,22737.0,0.0,0.0,0.0,0.0,0.0,13500.0,senate,27,D,LITTLE T D TED,DIME-9C0E84C53A08C9DA875F
2010,cand49180,29075830397.0,"little, t d ted",little,100,AL,state:upper,AL-27,-0.02,180,429507.0,0.0,21864.0,1114.0,402502.0,4199.0,-11000.0,senate,27,D,LITTLE T D TED,DIME-889A86D10FE61EC623F6
1998,cand4251,3818425011.0,"mcclain, edward e b",mcclain,100,AL,state:upper,AL-19,-0.16,77,96600.0,0.0,2650.0,950.0,71000.0,22000.0,0.0,senate,19,D,MCCLAIN EDWARD E B,DIME-B1143CAEDED4E88C7A70
2002,cand4251,3818425011.0,"mcclain, e b",mcclain,100,AL,state:upper,AL-19,-0.16,130,288284.0,0.0,15125.0,0.0,253059.0,5000.0,15100.0,senate,19,D,MCCLAIN E B,DIME-37E5CB95C2E9C1AC7C91
