chamber,district,environment_baseline_margin,incumbency_balance,forecast_view,selected_model,full_expected_gap,applied_gap_weight,applied_gap_adjustment,predicted_dem_margin
house,68,1.87470732275784,1,basic,baseline_only,0.0,0.2,0.0,1.87470732275784
house,69,10.027280860094296,1,basic,baseline_only,0.0,0.2,0.0,10.027280860094296
house,70,41.10259210062137,1,basic,baseline_only,0.0,0.2,0.0,41.10259210062137
house,74,31.41726124826928,0,basic,baseline_only,0.0,0.2,0.0,31.41726124826928
house,75,-24.254849893243744,-1,basic,baseline_only,0.0,0.2,0.0,-24.254849893243744
house,80,-31.74434886958659,-1,basic,baseline_only,0.0,0.2,0.0,-31.74434886958659
house,82,33.5587923161323,0,basic,baseline_only,0.0,0.2,0.0,33.5587923161323
house,85,-24.28153771213197,-1,basic,baseline_only,0.0,0.2,0.0,-24.28153771213197
house,96,-41.48003399067956,0,basic,baseline_only,0.0,0.2,0.0,-41.48003399067956
house,99,30.270041575425907,1,basic,baseline_only,0.0,0.2,0.0,30.270041575425907
house,101,-25.79463257058688,-1,basic,baseline_only,0.0,0.2,0.0,-25.79463257058688
senate,2,3.3585116519646285,0,basic,baseline_only,0.0,0.2,0.0,3.3585116519646285
senate,3,-37.27274283857304,0,basic,baseline_only,0.0,0.2,0.0,-37.27274283857304
senate,6,-51.51363947519474,0,basic,baseline_only,0.0,0.2,0.0,-51.51363947519474
senate,7,-8.504259381625046,0,basic,baseline_only,0.0,0.2,0.0,-8.504259381625046
senate,8,-51.80794354819332,0,basic,baseline_only,0.0,0.2,0.0,-51.80794354819332
senate,11,-48.11538720757936,0,basic,baseline_only,0.0,0.2,0.0,-48.11538720757936
senate,13,-46.348257981685606,0,basic,baseline_only,0.0,0.2,0.0,-46.348257981685606
senate,14,-41.03088423799503,0,basic,baseline_only,0.0,0.2,0.0,-41.03088423799503
senate,16,-20.90080129098672,0,basic,baseline_only,0.0,0.2,0.0,-20.90080129098672
senate,22,-57.92312584977384,0,basic,baseline_only,0.0,0.2,0.0,-57.92312584977384
senate,23,6.94180229173997,0,basic,baseline_only,0.0,0.2,0.0,6.94180229173997
senate,25,-26.27479978564177,-1,basic,baseline_only,0.0,0.2,0.0,-26.27479978564177
senate,28,5.449745986205526,0,basic,baseline_only,0.0,0.2,0.0,5.449745986205526
senate,29,-56.61468695548132,0,basic,baseline_only,0.0,0.2,0.0,-56.61468695548132
senate,32,-50.76054222095612,0,basic,baseline_only,0.0,0.2,0.0,-50.76054222095612
house,2,-63.49062890537633,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-63.49062890537633
house,4,-29.219723622884857,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-29.219723622884857
house,5,-41.902324370500615,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-41.902324370500615
house,8,-26.11246426375141,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-26.11246426375141
house,10,4.086021331415267,1,fundamentals_plus,baseline_only,0.0,1.0,0.0,4.086021331415267
house,15,-12.70290140191546,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-12.70290140191546
house,16,-73.64992533328218,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-73.64992533328218
house,19,34.79746144883655,1,fundamentals_plus,baseline_only,0.0,1.0,0.0,34.79746144883655
house,20,-19.793763940644155,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-19.793763940644155
house,21,-15.561935208509794,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-15.561935208509794
house,25,-1.0596962261872145,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-1.0596962261872145
house,28,-24.903459959047392,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-24.903459959047392
house,32,3.158354962154016,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,3.158354962154016
house,37,-43.14496715711068,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-43.14496715711068
house,38,-41.249322256764,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-41.249322256764
house,40,-60.03455656406872,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-60.03455656406872
house,41,-43.86971945352963,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-43.86971945352963
house,43,-38.35271371649463,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-38.35271371649463
house,45,-39.790495057162886,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-39.790495057162886
house,47,-11.72279270162599,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-11.72279270162599
house,50,-57.46951227503262,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-57.46951227503262
house,63,-12.7994009190402,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-12.7994009190402
house,68,1.87470732275784,1,fundamentals_plus,baseline_only,0.0,1.0,0.0,1.87470732275784
house,69,10.027280860094296,1,fundamentals_plus,baseline_only,0.0,1.0,0.0,10.027280860094296
house,70,41.10259210062137,1,fundamentals_plus,baseline_only,0.0,1.0,0.0,41.10259210062137
house,74,31.41726124826928,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,31.41726124826928
house,75,-24.254849893243744,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-24.254849893243744
house,80,-31.74434886958659,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-31.74434886958659
house,82,33.5587923161323,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,33.5587923161323
house,85,-24.28153771213197,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-24.28153771213197
house,96,-41.48003399067956,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-41.48003399067956
house,99,30.270041575425907,1,fundamentals_plus,baseline_only,0.0,1.0,0.0,30.270041575425907
house,101,-25.79463257058688,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-25.79463257058688
senate,2,3.3585116519646285,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,3.3585116519646285
senate,3,-37.27274283857304,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-37.27274283857304
senate,6,-51.51363947519474,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-51.51363947519474
senate,7,-8.504259381625046,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-8.504259381625046
senate,8,-51.80794354819332,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-51.80794354819332
senate,11,-48.11538720757936,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-48.11538720757936
senate,13,-46.348257981685606,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-46.348257981685606
senate,14,-41.03088423799503,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-41.03088423799503
senate,16,-20.90080129098672,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-20.90080129098672
senate,22,-57.92312584977384,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-57.92312584977384
senate,23,6.94180229173997,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,6.94180229173997
senate,25,-26.27479978564177,-1,fundamentals_plus,baseline_only,0.0,1.0,0.0,-26.27479978564177
senate,28,5.449745986205526,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,5.449745986205526
senate,29,-56.61468695548132,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-56.61468695548132
senate,32,-50.76054222095612,0,fundamentals_plus,baseline_only,0.0,1.0,0.0,-50.76054222095612
