result_unit_id,county,result_precinct,result_precinct_norm,result_match_norm,source_file,source_layout,is_non_geographic,vtd_geoid,vtd_code,vtd_name,vtd_name_norm,match_method,match_score,score_margin,candidate_count,candidate_2_name,candidate_2_score,candidate_3_name,candidate_3_score,accepted_match,needs_review,review_reason,accepted_units_for_vtd,relationship_note,openelections_unit_found,house_inferred_districts,senate_inferred_districts,house_inferred_district_count,senate_inferred_district_count,house_largest_activity_share,senate_largest_activity_share,house_spatial_districts,senate_spatial_districts,house_largest_spatial_share,senate_largest_spatial_share,house_district_compatible,senate_district_compatible,district_validation,validated_match,accepted_unvalidated,accepted_conflict,recommended_vtd_geoid,recommended_vtd_name,recommended_score,recommended_margin,recommendation_method,constrained_candidate_count
16,AUTAUGA,70 PINE LEVEL CULTURAL CENTER,70 PINE LEVEL CULTURAL CENTER,70 PINE LEVEL CULTURAL CENTER,2014-General-Autauga.xlsx,contest_rows,False,010010070,0070,Pine Level Fire Station,PINE LEVEL FIRE STATION,review,57.58,6.6,1,JONES COMMUNITY CENTER,50.98,INDEPENDENCE VOTING CENTER,50.91,False,True,low_or_ambiguous_score,,,True,42,30,1.0,1.0,1.0,1.0,42,30,1.0000000000000018,1.0000000000000018,True,True,compatible,False,False,False,010010070,Pine Level Fire Station,57.58,8.44,district_constrained_review,7
17,AUTAUGA,80 INDEPENDENCE VFD,80 INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,80 INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010080,0080,Independence Voting Center,INDEPENDENCE VOTING CENTER,review,85.5,0.0,3,PINE LEVEL FIRE STATION,85.5,WHITE CITY FIRE STATION,85.5,False,True,low_or_ambiguous_score,,,True,69,30,1.0,1.0,1.0,1.0,69,30,0.9999999999999993,0.9999999999999993,True,True,compatible,False,False,False,010010080,Independence Voting Center,85.5,0.68,district_constrained_review,7
22,BALDWIN,BARNWELL VFD,BARNWELL VOLUNTEER FIRE DEPARTMENT,BARNWELL VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030300,0300,Marlow Volunteer Fire Department,MARLOW VOLUNTEER FIRE DEPARTMENT,review,87.88,2.38,1,JOSEPHINE FIRE HOUSE,85.5,SEMINOLE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,,True,94,32,1.0,1.0,1.0,1.0,94,32,1.000000000000005,1.000000000000005,True,True,compatible,False,False,False,010030300,Marlow Volunteer Fire Department,87.88,29.91,district_constrained_review,11
23,BALDWIN,BAY MINETTE CIVIC CENTER,BAY MINETTE CIVIC CENTER,BAY MINETTE CIVIC CENTER,2014-General-Baldwin.xlsx,contest_rows,False,010030050,0050,Bay Minette Douglasville Community Center,BAY MINETTE DOUGLASVILLE COMMUNITY CENTER,review,85.5,0.0,2,BAY MINETTE CITY HALL AND CIVIC CENTER,85.5,FOLEY CIVIC CENTER,76.0,False,True,low_or_ambiguous_score,,,True,64;66,22,2.0,1.0,0.9696335078534032,1.0,64,22,1.0000000000000009,1.0000000000000009,True,True,compatible,False,False,False,010030050,Bay Minette Douglasville Community Center,85.5,0.0,district_constrained_review,25
26,BALDWIN,BROMLEY VFD SUBST,BROMLEY VOLUNTEER FIRE DEPARTMENT SUBST,BROMLEY VOLUNTEER FIRE DEPARTMENT SUBST,2014-General-Baldwin.xlsx,contest_rows,False,010030060,0060,Bromley Crossroads Vol. Fire Dept. Substation,BROMLEY CROSSROADS VOLUNTEER FIRE DEPARTMENT SUBSTATION,review,87.08,1.58,3,JOSEPHINE FIRE HOUSE,85.5,PERDIDO BEACH FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,,True,64;96,22,2.0,1.0,0.630272952853598,1.0,64;96,22,0.8576410100815484,0.999999168615375,True,True,compatible,False,False,False,010030060,Bromley Crossroads Vol. Fire Dept. Substation,87.08,1.58,district_constrained_review,19
27,BALDWIN,CLEAR SPG FELLOWSHIP,CLEAR SPG FELLOWSHIP,CLEAR SPG FELLOWSHIP,2014-General-Baldwin.xlsx,contest_rows,False,01003042B,042B,Point Clear St. Francis Church,POINT CLEAR SAINT FRANCIS CHURCH,review,85.5,1.06,2,CLEAR SPRINGS FELLOWSHIP HALL,84.44,LOXLEY ELLISVILLE COMMUNITY CENTER,42.35,False,True,low_or_ambiguous_score,,,True,66,22,1.0,1.0,1.0,1.0,94,32,1.0000000000000002,0.9999999995765232,False,False,conflict,False,False,False,010030210,Clear Springs Fellowship Hall,84.44,46.44,district_constrained_review,13
28,BALDWIN,CROSSROADS DURANT,CROSSROADS DURANT,CROSSROADS DURANT,2014-General-Baldwin.xlsx,contest_rows,False,010030040,0040,Crossroads Durant Chapel Church,CROSSROADS DURANT CHAPEL CHURCH,review,90.0,4.5,1,BROMLEY CROSSROADS VOLUNTEER FIRE DEPARTMENT SUBSTATION,85.5,ROSINTON UNITED METHODIST CHURCH,48.0,False,True,low_or_ambiguous_score,,,True,64;96,22,2.0,1.0,0.5033557046979866,1.0,64;96,22,0.7713975901822154,0.9999965647055792,True,True,compatible,False,False,False,010030040,Crossroads Durant Chapel Church,90.0,4.5,district_constrained_review,19
34,BALDWIN,FAIRHOPE -3 CIRCLE CHURCH,FAIRHOPE 3 CIRCLE CHURCH,FAIRHOPE 3 CIRCLE CHURCH,2014-General-Baldwin.xlsx,contest_rows,False,010030450,0450,Spanish Fort Eastpointe Baptist Church,SPANISH FORT EASTPOINTE BAPTIST CHURCH,review,85.5,18.83,1,FAIRHOPE CIVIC CENTER,66.67,POINT CLEAR SAINT FRANCIS CHURCH,50.89,False,True,low_or_ambiguous_score,,,True,94,32,1.0,1.0,1.0,1.0,96,22;32,0.9999999999999997,0.8044123084002004,False,True,conflict,False,False,False,01003042A,Fairhope Civic Center,66.67,15.77,district_constrained_review,11
37,BALDWIN,FT_ MORGAN VFD #1,FT MORGAN VOLUNTEER FIRE DEPARTMENT 1,FT MORGAN VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030400,0400,Fort Morgan VFD Station #2,FORT MORGAN VOLUNTEER FIRE DEPARTMENT STATION 2,review,90.75,5.25,1,JOSEPHINE FIRE HOUSE,85.5,SEMINOLE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,,True,95,32,1.0,1.0,1.0,1.0,95,32,1.0000000000000002,0.9999999997194998,True,True,compatible,False,False,False,010030400,Fort Morgan VFD Station #2,90.75,5.25,district_constrained_review,11
38,BALDWIN,GATESWOOD VFD,GATESWOOD VOLUNTEER FIRE DEPARTMENT,GATESWOOD VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030020,0020,Tensaw Volunteer Fire Dept,TENSAW VOLUNTEER FIRE DEPARTMENT,review,89.55,4.05,1,JOSEPHINE FIRE HOUSE,85.5,SEMINOLE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,,True,66,22,1.0,1.0,1.0,1.0,64;68,22,0.897245462243549,0.9999999950147509,False,True,conflict,False,False,False,010030270,Seminole Fire House,85.5,0.0,district_constrained_review,13
39,BALDWIN,GULF SHORES ACTIVITY,GULF SHORES ACTIVITY,GULF SHORES ACTIVITY,2014-General-Baldwin.xlsx,contest_rows,False,010030390,0390,Gulf Shores Adult Activity Center,GULF SHORES ADULT ACTIVITY CENTER,review,85.5,36.72,1,FAIRHOPE CIVIC CENTER,48.78,BELFOREST COMMUNITY CENTER,47.83,False,True,low_or_ambiguous_score,,,True,95,32,1.0,1.0,1.0,1.0,95,32,0.9999999999999978,0.9999999999999978,True,True,compatible,False,False,False,010030390,Gulf Shores Adult Activity Center,85.5,38.13,district_constrained_review,11
40,BALDWIN,JOSEPHINE VFD,JOSEPHINE VOLUNTEER FIRE DEPARTMENT,JOSEPHINE VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030340,0340,Josephine Fire House,JOSEPHINE FIRE HOUSE,review,85.5,0.0,3,SEMINOLE FIRE HOUSE,85.5,GATESWOOD FIRE STATION,85.5,False,True,low_or_ambiguous_score,,,True,95,32,1.0,1.0,1.0,1.0,95,32,1.0000000000000004,0.9999999997726643,True,True,compatible,False,False,False,010030340,Josephine Fire House,85.5,6.33,district_constrained_review,11
45,BALDWIN,MAG SPGS WESLEYAN CH_,MAG SPGS WESLEYAN CHURCH,MAG SPGS WESLEYAN CHURCH,2014-General-Baldwin.xlsx,contest_rows,False,010030360,0360,Magnolia Springs Wesleyan Church,MAGNOLIA SPRINGS WESLEYAN CHURCH,review,85.71,0.21,2,SPANISH FORT EASTPOINTE BAPTIST CHURCH,85.5,POINT CLEAR SAINT FRANCIS CHURCH,50.89,False,True,low_or_ambiguous_score,,,True,94;95,32,2.0,1.0,0.9820717131474104,1.0,94;95,32,0.9122927546062379,0.9999999999999996,True,True,compatible,False,False,False,010030360,Magnolia Springs Wesleyan Church,85.71,34.82,district_constrained_review,19
48,BALDWIN,NEW LIFE ASSEMBLY OF GOD,NEW LIFE ASSEMBLY OF GOD,NEW LIFE ASSEMBLY OF GOD,2014-General-Baldwin.xlsx,contest_rows,False,010030130,0130,Rabun Fire House,RABUN FIRE HOUSE,review,43.45,0.82,2,WHITE HOUSE FORK VOLUNTEER FIRE DEPARTMENT,42.63,LITTLE RIVER FERGUSON STORE,40.98,False,True,low_or_ambiguous_score,,,True,64;96,22;32,2.0,2.0,0.7972972972972973,0.6648648648648648,64,22,0.9999999999999984,0.9999999999999984,True,True,compatible,False,False,False,010030130,Rabun Fire House,43.45,0.82,district_constrained_review,25
49,BALDWIN,OLD DOUGLASVILLE SCHOOL,OLD DOUGLASVILLE SCHOOL,OLD DOUGLASVILLE SCHOOL,2014-General-Baldwin.xlsx,contest_rows,False,010030050,0050,Bay Minette Douglasville Community Center,BAY MINETTE DOUGLASVILLE COMMUNITY CENTER,review,85.5,34.52,1,DAPHNE HIGH SCHOOL,50.98,PERDIDO ELEMENTARY SCHOOL,50.0,False,True,low_or_ambiguous_score,,,True,64,22,1.0,1.0,1.0,1.0,64,22,1.0000000000000009,1.0000000000000009,True,True,compatible,False,False,False,010030050,Bay Minette Douglasville Community Center,85.5,35.5,district_constrained_review,18
51,BALDWIN,PERDIDO BEACH VFD,PERDIDO BEACH VOLUNTEER FIRE DEPARTMENT,PERDIDO BEACH VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030340,0340,Josephine Fire House,JOSEPHINE FIRE HOUSE,review,85.5,0.0,3,PERDIDO BEACH FIRE HOUSE,85.5,SEMINOLE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,,True,95,32,1.0,1.0,1.0,1.0,95,32,1.0000000000000004,0.9999999997726643,True,True,compatible,False,False,False,010030340,Josephine Fire House,85.5,0.0,district_constrained_review,11
52,BALDWIN,PERDIDO VOL_ FIRE DEPT_,PERDIDO VOLUNTEER FIRE DEPARTMENT,PERDIDO VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030300,0300,Marlow Volunteer Fire Department,MARLOW VOLUNTEER FIRE DEPARTMENT,review,86.15,0.65,3,JOSEPHINE FIRE HOUSE,85.5,SEMINOLE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,,True,64;66,22,2.0,1.0,0.9865771812080537,1.0,94,32,1.000000000000005,1.000000000000005,False,False,conflict,False,False,False,010030270,Seminole Fire House,85.5,0.0,district_constrained_review,25
56,BALDWIN,RABUN VFD,RABUN VOLUNTEER FIRE DEPARTMENT,RABUN VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030300,0300,Marlow Volunteer Fire Department,MARLOW VOLUNTEER FIRE DEPARTMENT,review,85.71,0.0,3,TENSAW VOLUNTEER FIRE DEPARTMENT,85.71,FORT MORGAN VOLUNTEER FIRE DEPARTMENT STATION 2,85.5,False,True,low_or_ambiguous_score,,,True,64,22,1.0,1.0,1.0,1.0,94,32,1.000000000000005,1.000000000000005,False,False,conflict,False,False,False,010030020,Tensaw Volunteer Fire Dept,85.71,0.21,district_constrained_review,18
58,BALDWIN,ROSINTON METHODIST,ROSINTON METHODIST,ROSINTON METHODIST,2014-General-Baldwin.xlsx,contest_rows,False,010030220,0220,Rosinton United Methodist Church,ROSINTON UNITED METHODIST CHURCH,review,85.5,36.64,1,POINT CLEAR SAINT FRANCIS CHURCH,48.86,SEMINOLE FIRE HOUSE,48.65,False,True,low_or_ambiguous_score,,,True,64;66,22,2.0,1.0,0.701280227596017,1.0,64;66,22,0.5151672076955297,0.9999999999999981,True,True,compatible,False,False,False,010030220,Rosinton United Methodist Church,85.5,36.85,district_constrained_review,25
59,BALDWIN,SEMINOLE VFD,SEMINOLE VOLUNTEER FIRE DEPARTMENT,SEMINOLE VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030340,0340,Josephine Fire House,JOSEPHINE FIRE HOUSE,review,85.5,0.0,3,SEMINOLE FIRE HOUSE,85.5,GATESWOOD FIRE STATION,85.5,False,True,low_or_ambiguous_score,,,True,66,22,1.0,1.0,1.0,1.0,95,32,1.0000000000000004,0.9999999997726643,False,False,conflict,False,False,False,010030270,Seminole Fire House,85.5,0.0,district_constrained_review,13
61,BALDWIN,SPANISH FT EAST PT,SPANISH FT EAST PT,SPANISH FT EAST PT,2014-General-Baldwin.xlsx,contest_rows,False,010030450,0450,Spanish Fort Eastpointe Baptist Church,SPANISH FORT EASTPOINTE BAPTIST CHURCH,review,85.5,0.0,2,SPANISH FORT FIRE DEPARTMENT,85.5,CLEAR SPRINGS FELLOWSHIP HALL,45.0,False,True,low_or_ambiguous_score,,,True,96,22;32,1.0,2.0,1.0,0.8057395143487859,96,22;32,0.9999999999999997,0.8044123084002004,True,True,compatible,False,False,False,010030450,Spanish Fort Eastpointe Baptist Church,85.5,0.0,district_constrained_review,8
62,BALDWIN,SPANISH FT VFD,SPANISH FT VOLUNTEER FIRE DEPARTMENT,SPANISH FT VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030460,0460,Spanish Fort Fire Department,SPANISH FORT FIRE DEPARTMENT,review,85.69,0.19,3,JOSEPHINE FIRE HOUSE,85.5,PERDIDO BEACH FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,,True,96,32,1.0,1.0,1.0,1.0,96,32,1.0000000000000002,0.999999945740384,True,True,compatible,False,False,False,010030460,Spanish Fort Fire Department,85.69,34.33,district_constrained_review,6
63,BALDWIN,STAPLETON VFD,STAPLETON VOLUNTEER FIRE DEPARTMENT,STAPLETON VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030300,0300,Marlow Volunteer Fire Department,MARLOW VOLUNTEER FIRE DEPARTMENT,review,86.57,0.0,3,TENSAW VOLUNTEER FIRE DEPARTMENT,86.57,JOSEPHINE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,,True,64,22,1.0,1.0,1.0,1.0,94,32,1.000000000000005,1.000000000000005,False,False,conflict,False,False,False,010030020,Tensaw Volunteer Fire Dept,86.57,1.07,district_constrained_review,18
64,BALDWIN,STOCKTON CIVIC BUILDING,STOCKTON CIVIC BUILDING,STOCKTON CIVIC BUILDING,2014-General-Baldwin.xlsx,contest_rows,False,010030150,0150,Bay Minette City Hall & Civic Center,BAY MINETTE CITY HALL AND CIVIC CENTER,review,85.5,28.36,1,STOCKTON FIRE HOUSE,57.14,FOLEY CIVIC CENTER,43.9,False,True,low_or_ambiguous_score,,,True,64,22,1.0,1.0,1.0,1.0,64;66,22,0.7422204330822424,0.999999999586701,True,True,compatible,False,False,False,010030150,Bay Minette City Hall & Civic Center,85.5,28.36,district_constrained_review,18
68,BALDWIN,WHITEHOUSE FORK,WHITEHOUSE FORK,WHITEHOUSE FORK,2014-General-Baldwin.xlsx,contest_rows,False,010030170,0170,White House Fork Vol. Fire Dept.,WHITE HOUSE FORK VOLUNTEER FIRE DEPARTMENT,review,85.5,32.17,1,PERDIDO BEACH FIRE HOUSE,53.33,RABUN FIRE HOUSE,49.03,False,True,low_or_ambiguous_score,,,True,64,22,1.0,1.0,1.0,1.0,64,22,1.0000000000000004,1.0000000000000004,True,True,compatible,False,False,False,010030170,White House Fork Vol. Fire Dept.,85.5,36.47,district_constrained_review,18
71,BARBOUR,BEVILL CENTER,BEVILL CENTER,BEVILL CENTER,2014-General-Barbour.xlsx,contest_rows,False,010050050,0050,Bevill Center/Chatthoochee Cts Com Ctr/Eufaula Com Ctr/Eufaula WB/Fellowship BC/Sanford AG,BEVILL CENTER CHATTHOOCHEE CTS COM CENTER EUFAULA COM CENTER EUFAULA WB FELLOWSHIP BC SANFORD AG,review,90.0,4.5,1,GREEN S CROSS ROADS MOUNT ANDREW COMMUNITY CENTER,85.5,SUTTON S RESTAURANT ELAMVILLE VOLUNTEER FIRE DEPARTMENT,55.38,False,True,low_or_ambiguous_score,,,True,84,28,1.0,1.0,1.0,1.0,84,28,1.0000000000000007,0.9999999972823315,True,True,compatible,False,False,False,010050050,Bevill Center/Chatthoochee Cts Com Ctr/Eufaula Com Ctr/Eufaula WB/Fellowship BC/Sanford AG,90.0,4.5,district_constrained_review,11
75,BARBOUR,ELAMVILLE VOL_ FIRE,ELAMVILLE VOLUNTEER FIRE,ELAMVILLE VOLUNTEER FIRE,2014-General-Barbour.xlsx,contest_rows,False,010050020,0020,Sutton's Restaurant/Elamville Volunteer Fire Department,SUTTON S RESTAURANT ELAMVILLE VOLUNTEER FIRE DEPARTMENT,review,90.0,4.5,1,SPRINGHILL VOLUNTEER FIRE DEPARTMENT,85.5,COWIKEE VOLUNTEER FIRE DEPARTMENT,70.0,False,True,low_or_ambiguous_score,,,True,84,28,1.0,1.0,1.0,1.0,84,28,1.000000000000001,0.9999998870641347,True,True,compatible,False,False,False,010050020,Sutton's Restaurant/Elamville Volunteer Fire Department,90.0,4.5,district_constrained_review,11
76,BARBOUR,EUFAULA COMMUNITY CENTER,EUFAULA COMMUNITY CENTER,EUFAULA COMMUNITY CENTER,2014-General-Barbour.xlsx,contest_rows,False,010050080,0080,Green's Cross Roads/ Mt. Andrew Community Ctr.,GREEN S CROSS ROADS MOUNT ANDREW COMMUNITY CENTER,review,85.5,0.0,2,BEVILL CENTER CHATTHOOCHEE CTS COM CENTER EUFAULA COM CENTER EUFAULA WB FELLOWSHIP BC SANFORD AG,85.5,CLIO CITY HALL,45.0,False,True,low_or_ambiguous_score,,,True,84,28,1.0,1.0,1.0,1.0,84,28,1.0000000000000038,0.9999999983939497,True,True,compatible,False,False,False,010050080,Green's Cross Roads/ Mt. Andrew Community Ctr.,85.5,0.0,district_constrained_review,11
77,BARBOUR,EUFAULA WATER BOARD,EUFAULA WATER BOARD,EUFAULA WATER BOARD,2014-General-Barbour.xlsx,contest_rows,False,010050050,0050,Bevill Center/Chatthoochee Cts Com Ctr/Eufaula Com Ctr/Eufaula WB/Fellowship BC/Sanford AG,BEVILL CENTER CHATTHOOCHEE CTS COM CENTER EUFAULA COM CENTER EUFAULA WB FELLOWSHIP BC SANFORD AG,review,85.5,46.53,1,BAKER HILL TOWN HALL,38.97,COWIKEE VOLUNTEER FIRE DEPARTMENT,37.89,False,True,low_or_ambiguous_score,,,True,84,28,1.0,1.0,1.0,1.0,84,28,1.0000000000000007,0.9999999972823315,True,True,compatible,False,False,False,010050050,Bevill Center/Chatthoochee Cts Com Ctr/Eufaula Com Ctr/Eufaula WB/Fellowship BC/Sanford AG,85.5,46.53,district_constrained_review,11
78,BARBOUR,FELLOWSHIP BAPTIST,FELLOWSHIP BAPTIST,FELLOWSHIP BAPTIST,2014-General-Barbour.xlsx,contest_rows,False,010050050,0050,Bevill Center/Chatthoochee Cts Com Ctr/Eufaula Com Ctr/Eufaula WB/Fellowship BC/Sanford AG,BEVILL CENTER CHATTHOOCHEE CTS COM CENTER EUFAULA COM CENTER EUFAULA WB FELLOWSHIP BC SANFORD AG,review,85.5,44.59,1,WHITE OAK METHODIST CHURCH,40.91,LOUISVILLE CITY HALL,40.0,False,True,low_or_ambiguous_score,,,True,84,28,1.0,1.0,1.0,1.0,84,28,1.0000000000000007,0.9999999972823315,True,True,compatible,False,False,False,010050050,Bevill Center/Chatthoochee Cts Com Ctr/Eufaula Com Ctr/Eufaula WB/Fellowship BC/Sanford AG,85.5,44.59,district_constrained_review,11
79,BARBOUR,GREENS CROSSROADS,GREENS CROSSROADS,GREENS CROSSROADS,2014-General-Barbour.xlsx,contest_rows,False,010050080,0080,Green's Cross Roads/ Mt. Andrew Community Ctr.,GREEN S CROSS ROADS MOUNT ANDREW COMMUNITY CENTER,review,79.41,39.41,1,CLAYTON COURTHOUSE,40.0,SUTTON S RESTAURANT ELAMVILLE VOLUNTEER FIRE DEPARTMENT,37.06,False,True,low_or_ambiguous_score,,,True,84,28,1.0,1.0,1.0,1.0,84,28,1.0000000000000038,0.9999999983939497,True,True,compatible,False,False,False,010050080,Green's Cross Roads/ Mt. Andrew Community Ctr.,79.41,39.41,district_constrained_review,11
