result_unit_id,county,result_precinct,result_precinct_norm,result_match_norm,source_file,source_layout,is_non_geographic,vtd_geoid,vtd_code,vtd_name,vtd_name_norm,match_method,match_score,score_margin,candidate_count,candidate_2_name,candidate_2_score,candidate_3_name,candidate_3_score,accepted_match,needs_review,review_reason,accepted_units_for_vtd,relationship_note,openelections_unit_found,house_inferred_districts,senate_inferred_districts,house_inferred_district_count,senate_inferred_district_count,house_largest_activity_share,senate_largest_activity_share,house_spatial_districts,senate_spatial_districts,house_largest_spatial_share,senate_largest_spatial_share,house_district_compatible,senate_district_compatible,district_validation,validated_match,accepted_unvalidated,accepted_conflict,recommended_vtd_geoid,recommended_vtd_name,recommended_score,recommended_margin,recommendation_method,constrained_candidate_count,vest16_vtd_geoid,vest16_vtd_name,vest16_match_method,vest16_match_score,vest16_score_margin,vest16_accepted_match,vest16_validated_match,vest16_accepted_conflict,vest16_district_validation,vest16_relationship_note,selected_geometry_source,selected_geoid,selected_name,selection_status,manual_override_reason,manual_override_evidence,relationship_class,distinct_result_names_for_geometry
11,AUTAUGA,20 JOURNEY CHURCH,20 JOURNEY CHURCH,20 JOURNEY CHURCH,2014-General-Autauga.xlsx,contest_rows,False,010010020,0020,Church of the Living Water,CHURCH OF THE LIVING WATER,review,85.5,34.52,1,TRINITY METHODIST CHURCH,50.98,PRATTMONT BAPTIST CHURCH,49.57,False,True,low_or_ambiguous_score,,,True,88,30,1.0,1.0,1.0,1.0,88,30,1.0000000000000009,1.0000000000000009,True,True,compatible,False,False,False,010010020,Church of the Living Water,85.5,34.52,district_constrained_review,7.0,01001000022,Upper Kingston Comm Ctr,review,42.35,1.33,False,False,False,compatible,,,,,unresolved,,,unresolved,
12,AUTAUGA,220 UPPER KINGSTON,220 UPPER KINGSTON,UPPER KINGSTON,2014-General-Autauga.xlsx,contest_rows,False,010010220,0220,Upper Kingston Community Center,UPPER KINGSTON COMMUNITY CENTER,review,90.0,4.5,1,OLD KINGSTON VOTE SITE,85.5,PINE LEVEL FIRE STATION,46.96,False,True,low_or_ambiguous_score,,,True,42;88,30,2.0,1.0,0.5482912332838039,1.0,42;88,30,0.852657671624285,1.0000000000000004,True,True,compatible,False,False,False,010010220,Upper Kingston Community Center,90.0,43.04,district_constrained_medium,12.0,01001000022,Upper Kingston Comm Ctr,review,90.0,4.5,False,False,False,compatible,,vtd10,010010220,Upper Kingston Community Center,district_constrained_accepted,,,one_to_one,1.0
13,AUTAUGA,30 BILLINGSLEY GOV_ BUILDING,30 BILLINGSLEY GOV BUILDING,30 BILLINGSLEY GOV BUILDING,2014-General-Autauga.xlsx,contest_rows,False,010010030,0030,Billingsley Government Center,BILLINGSLEY GOVERNMENT CENTER,review,60.71,21.94,1,OLD KINGSTON VOTE SITE,38.78,PINE LEVEL FIRE STATION,36.0,False,True,low_or_ambiguous_score,,,True,42,30,1.0,1.0,1.0,1.0,42,30,0.9999999999999984,0.9999999999999984,True,True,compatible,False,False,False,010010030,Billingsley Government Center,60.71,24.71,district_constrained_review,7.0,01001000003,Billingsley Govt Bldg,fuzzy_medium,92.31,56.68,True,True,False,compatible,,vest16,01001000003,Billingsley Govt Bldg,district_validated,,,one_to_one,1.0
14,AUTAUGA,50 WHITE CITY VFD,50 WHITE CITY VOLUNTEER FIRE DEPARTMENT,50 WHITE CITY VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010070,0070,Pine Level Fire Station,PINE LEVEL FIRE STATION,review,85.5,0.0,3,WHITE CITY FIRE STATION,85.5,BOOTH VOLUNTEER FIRE DEPARTMENT,84.82,False,True,low_or_ambiguous_score,,,True,42,30,1.0,1.0,1.0,1.0,42,30,1.0000000000000018,1.0000000000000018,True,True,compatible,False,False,False,010010070,Pine Level Fire Station,85.5,0.0,district_constrained_review,7.0,01001000005,White City VF Station,review,85.5,0.68,False,False,False,compatible,,,,,unresolved,,,unresolved,
15,AUTAUGA,60 MARBURY MIDDLE SCHOOL,60 MARBURY MIDDLE SCHOOL,60 MARBURY MIDDLE SCHOOL,2014-General-Autauga.xlsx,contest_rows,False,010010060,0060,Marbury Community Center,MARBURY COMMUNITY CENTER,review,50.0,6.52,1,SAFE HARBOR MINISTRIES,43.48,MULBERRY STATESVILLE,36.36,False,True,low_or_ambiguous_score,,,True,31;42,30,2.0,1.0,0.637883008356546,1.0,31;42,30,0.7574514525238214,1.000000000000001,True,True,compatible,False,False,False,010010060,Marbury Community Center,50.0,6.52,district_constrained_review,7.0,01001000006,Marbury Middle School,fuzzy_high,95.0,59.0,True,True,False,compatible,,vest16,01001000006,Marbury Middle School,district_validated,,,one_to_one,1.0
16,AUTAUGA,70 PINE LEVEL CULTURAL CENTER,70 PINE LEVEL CULTURAL CENTER,70 PINE LEVEL CULTURAL CENTER,2014-General-Autauga.xlsx,contest_rows,False,010010070,0070,Pine Level Fire Station,PINE LEVEL FIRE STATION,review,57.58,6.6,1,JONES COMMUNITY CENTER,50.98,INDEPENDENCE VOTING CENTER,50.91,False,True,low_or_ambiguous_score,,,True,42,30,1.0,1.0,1.0,1.0,42,30,1.0000000000000018,1.0000000000000018,True,True,compatible,False,False,False,010010070,Pine Level Fire Station,57.58,8.44,district_constrained_review,7.0,01001000007,Pine Level Cultural Ctr,fuzzy_high,95.0,44.02,True,True,False,compatible,,vest16,01001000007,Pine Level Cultural Ctr,district_validated,,,one_to_one,1.0
17,AUTAUGA,80 INDEPENDENCE VFD,80 INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,80 INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010080,0080,Independence Voting Center,INDEPENDENCE VOTING CENTER,review,85.5,0.0,3,PINE LEVEL FIRE STATION,85.5,WHITE CITY FIRE STATION,85.5,False,True,low_or_ambiguous_score,,,True,69,30,1.0,1.0,1.0,1.0,69,30,0.9999999999999992,0.9999999999999992,True,True,compatible,False,False,False,010010080,Independence Voting Center,85.5,0.68,district_constrained_review,7.0,01001000008,Independence VFD,fuzzy_high,96.2,11.38,True,True,False,compatible,,vest16,01001000008,Independence VFD,district_validated,,,one_to_one,1.0
18,AUTAUGA,90 BOOTH VFD,90 BOOTH VOLUNTEER FIRE DEPARTMENT,90 BOOTH VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010090,0090,Booth Volunteer Fire Department,BOOTH VOLUNTEER FIRE DEPARTMENT,fuzzy_high,95.38,49.77,1,PINE LEVEL FIRE STATION,45.61,OLD KINGSTON VOTE SITE,43.85,True,False,,1.0,,True,42;69,30,2.0,1.0,0.5585365853658537,1.0,42;69,30,0.6177511202898783,0.9999999999999994,True,True,compatible,True,False,False,,,,,,,01001000009,Booth VFD,fuzzy_high,95.38,14.88,True,True,False,compatible,,vest16,01001000009,Booth VFD,district_validated,,,one_to_one,1.0
19,AUTAUGA,ABSENTEE,ABSENTEE,ABSENTEE,2014-General-Autauga.xlsx,contest_rows,True,,,,,non_geographic,,,0,,,,,False,False,,,,True,31;42;69;88,30,4.0,1.0,0.6018808777429467,1.0,,,,,False,False,conflict,False,False,False,,,,,,,,,non_geographic,,,False,False,False,conflict,,,,,non_geographic,,,non_geographic,
20,AUTAUGA,PROVISIONAL,PROVISIONAL,PROVISIONAL,2014-General-Autauga.xlsx,contest_rows,True,,,,,non_geographic,,,0,,,,,False,False,,,,True,42;88,30,2.0,1.0,0.6,1.0,,,,,False,False,conflict,False,False,False,,,,,,,,,non_geographic,,,False,False,False,conflict,,,,,non_geographic,,,non_geographic,
21,BALDWIN,ABSENTEE,ABSENTEE,ABSENTEE,2014-General-Baldwin.xlsx,contest_rows,True,,,,,non_geographic,,,0,,,,,False,False,,,,True,64;66;68;94;95;96,22;32,6.0,2.0,0.3091397849462365,0.8605898123324397,,,,,False,False,conflict,False,False,False,,,,,,,,,non_geographic,,,False,False,False,conflict,,,,,non_geographic,,,non_geographic,
22,BALDWIN,BARNWELL VFD,BARNWELL VOLUNTEER FIRE DEPARTMENT,BARNWELL VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030300,0300,Marlow Volunteer Fire Department,MARLOW VOLUNTEER FIRE DEPARTMENT,review,87.88,2.38,1,JOSEPHINE FIRE HOUSE,85.5,SEMINOLE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,,True,94,32,1.0,1.0,1.0,1.0,94,32,1.000000000000005,1.000000000000005,True,True,compatible,False,False,False,010030300,Marlow Volunteer Fire Department,87.88,29.91,district_constrained_review,11.0,01003000044,Barnwell VFD,exact_normalized,100.0,100.0,True,True,False,compatible,,vest16,01003000044,Barnwell VFD,district_validated,,,one_to_one,1.0
23,BALDWIN,BAY MINETTE CIVIC CENTER,BAY MINETTE CIVIC CENTER,BAY MINETTE CIVIC CENTER,2014-General-Baldwin.xlsx,contest_rows,False,010030050,0050,Bay Minette Douglasville Community Center,BAY MINETTE DOUGLASVILLE COMMUNITY CENTER,review,85.5,0.0,2,BAY MINETTE CITY HALL AND CIVIC CENTER,85.5,FOLEY CIVIC CENTER,76.0,False,True,low_or_ambiguous_score,,,True,64;66,22,2.0,1.0,0.9696335078534032,1.0,64,22,1.0000000000000009,1.0000000000000009,True,True,compatible,False,False,False,010030050,Bay Minette Douglasville Community Center,85.5,0.0,district_constrained_review,25.0,01003000015,Bay Minette Civic Ctr,exact_normalized,100.0,100.0,True,True,False,compatible,,vest16,01003000015,Bay Minette Civic Ctr,district_validated,,,one_to_one,1.0
24,BALDWIN,BELFOREST COMMUNITY CENTER,BELFOREST COMMUNITY CENTER,BELFOREST COMMUNITY CENTER,2014-General-Baldwin.xlsx,contest_rows,False,010030230,0230,Belforest Community Center,BELFOREST COMMUNITY CENTER,exact_normalized,100.0,100.0,1,BAY MINETTE CITY HALL AND CIVIC CENTER,85.5,FOLEY CIVIC CENTER,76.0,True,False,,1.0,,True,64;94;96,32,3.0,1.0,0.8502139800285307,1.0,64;94;96,32,0.7365880534484679,0.9999999999999996,True,True,compatible,True,False,False,,,,,,,01003000023,Belforest Comm Ctr,exact_normalized,100.0,100.0,True,True,False,compatible,,vest16,01003000023,Belforest Comm Ctr,district_validated,,,one_to_one,1.0
25,BALDWIN,BON SECOUR MORG,BON SECOUR MORG,BON SECOUR MORG,2014-General-Baldwin.xlsx,contest_rows,False,010030370,0370,Bon Secour Morgan's Chapel,BON SECOUR MORGAN S CHAPEL,fuzzy_medium,90.0,37.5,1,FORT MORGAN VOLUNTEER FIRE DEPARTMENT STATION 2,52.5,LITTLE RIVER FERGUSON STORE,46.96,True,False,,1.0,,True,95,32,1.0,1.0,1.0,1.0,95,32,1.0000000000000002,0.9999999999551016,True,True,compatible,True,False,False,,,,,,,01003000037,Bon Secour Morgan's Chapel UMC,fuzzy_medium,90.0,37.5,True,True,False,compatible,,vest16,01003000037,Bon Secour Morgan's Chapel UMC,district_validated,,,one_to_one,1.0
26,BALDWIN,BROMLEY VFD SUBST,BROMLEY VOLUNTEER FIRE DEPARTMENT SUBST,BROMLEY VOLUNTEER FIRE DEPARTMENT SUBST,2014-General-Baldwin.xlsx,contest_rows,False,010030060,0060,Bromley Crossroads Vol. Fire Dept. Substation,BROMLEY CROSSROADS VOLUNTEER FIRE DEPARTMENT SUBSTATION,review,87.08,1.58,3,JOSEPHINE FIRE HOUSE,85.5,PERDIDO BEACH FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,,True,64;96,22,2.0,1.0,0.630272952853598,1.0,64;96,22,0.8576410100815484,0.999999168615375,True,True,compatible,False,False,False,010030060,Bromley Crossroads Vol. Fire Dept. Substation,87.08,1.58,district_constrained_review,19.0,01003000006,Bromley-Crossroads VFD,review,87.08,1.58,False,False,False,compatible,,,,,unresolved,,,unresolved,
27,BALDWIN,CLEAR SPG FELLOWSHIP,CLEAR SPG FELLOWSHIP,CLEAR SPG FELLOWSHIP,2014-General-Baldwin.xlsx,contest_rows,False,01003042B,042B,Point Clear St. Francis Church,POINT CLEAR SAINT FRANCIS CHURCH,review,85.5,1.06,2,CLEAR SPRINGS FELLOWSHIP HALL,84.44,LOXLEY ELLISVILLE COMMUNITY CENTER,42.35,False,True,low_or_ambiguous_score,,,True,66,22,1.0,1.0,1.0,1.0,94,32,1.0000000000000002,0.9999999995765232,False,False,conflict,False,False,False,010030210,Clear Springs Fellowship Hall,84.44,46.44,district_constrained_review,13.0,01003000010,Pt Clear St Francis Pt Anglican,review,85.5,31.45,False,False,False,conflict,,,,,unresolved,,,unresolved,
28,BALDWIN,CROSSROADS DURANT,CROSSROADS DURANT,CROSSROADS DURANT,2014-General-Baldwin.xlsx,contest_rows,False,010030040,0040,Crossroads Durant Chapel Church,CROSSROADS DURANT CHAPEL CHURCH,review,90.0,4.5,1,BROMLEY CROSSROADS VOLUNTEER FIRE DEPARTMENT SUBSTATION,85.5,ROSINTON UNITED METHODIST CHURCH,48.0,False,True,low_or_ambiguous_score,,,True,64;96,22,2.0,1.0,0.5033557046979866,1.0,64;96,22,0.7713975901822154,0.9999965647055792,True,True,compatible,False,False,False,010030040,Crossroads Durant Chapel Church,90.0,4.5,district_constrained_review,19.0,01003000004,Crossroads Durant Chapel Baptist,review,90.0,4.5,False,False,False,compatible,,,,,unresolved,,,unresolved,
29,BALDWIN,DAPHNE CIVIC CENTER,DAPHNE CIVIC CENTER,DAPHNE CIVIC CENTER,2014-General-Baldwin.xlsx,contest_rows,False,010030490,0490,Daphne Civic Center,DAPHNE CIVIC CENTER,exact_normalized,100.0,100.0,1,BROMLEY CROSSROADS VOLUNTEER FIRE DEPARTMENT SUBSTATION,85.5,ROSINTON UNITED METHODIST CHURCH,48.0,True,False,,1.0,,True,96,32,1.0,1.0,1.0,1.0,96,32,0.999999999999998,0.9999999856305328,True,True,compatible,True,False,False,,,,,,,01003000035,Daphne Civic Ctr,exact_normalized,100.0,100.0,True,True,False,compatible,,vest16,01003000035,Daphne Civic Ctr,district_validated,,,one_to_one,1.0
30,BALDWIN,DAPHNE HIGH SCHOOL,DAPHNE HIGH SCHOOL,DAPHNE HIGH SCHOOL,2014-General-Baldwin.xlsx,contest_rows,False,010030480,0480,Daphne High School,DAPHNE HIGH SCHOOL,exact_normalized,100.0,100.0,1,BROMLEY CROSSROADS VOLUNTEER FIRE DEPARTMENT SUBSTATION,85.5,ROSINTON UNITED METHODIST CHURCH,48.0,True,False,,1.0,,True,96,32,1.0,1.0,1.0,1.0,96,32,0.9999999999999992,0.9999999999999992,True,True,compatible,True,False,False,,,,,,,01003000020,Daphne High,fuzzy_medium,90.0,35.95,True,True,False,compatible,,vest16,01003000020,Daphne High,district_validated,,,one_to_one,1.0
31,BALDWIN,ELBERTA CIVIC CENTER,ELBERTA CIVIC CENTER,ELBERTA CIVIC CENTER,2014-General-Baldwin.xlsx,contest_rows,False,010030320,0320,Elberta Civic Center,ELBERTA CIVIC CENTER,exact_normalized,100.0,100.0,1,BROMLEY CROSSROADS VOLUNTEER FIRE DEPARTMENT SUBSTATION,85.5,ROSINTON UNITED METHODIST CHURCH,48.0,True,False,,1.0,,True,94;95,32,2.0,1.0,0.7761394101876675,1.0,66;94;95,22;32,0.4074687606663797,0.9511716735729876,True,True,compatible,True,False,False,,,,,,,01003000032,Elberta Civic Ctr,exact_normalized,100.0,100.0,True,True,False,compatible,,vest16,01003000032,Elberta Civic Ctr,district_validated,,,one_to_one,1.0
32,BALDWIN,ELLISVILLE COMMUNITY CENTER,ELLISVILLE COMMUNITY CENTER,ELLISVILLE COMMUNITY CENTER,2014-General-Baldwin.xlsx,contest_rows,False,010030080,0080,Loxley Ellisville Community Center,LOXLEY ELLISVILLE COMMUNITY CENTER,fuzzy_high,95.0,9.5,1,FOLEY CIVIC CENTER,85.5,BAY MINETTE DOUGLASVILLE COMMUNITY CENTER,85.5,True,False,,1.0,,True,64,32,1.0,1.0,1.0,1.0,64,32,0.9999999999999988,0.9999999911723676,True,True,compatible,True,False,False,,,,,,,01003000008,Ellisville Comm Ctr,exact_normalized,100.0,100.0,True,True,False,compatible,,vest16,01003000008,Ellisville Comm Ctr,district_validated,,,one_to_one,1.0
33,BALDWIN,ELSANOR COMMUNITY,ELSANOR COMMUNITY,ELSANOR COMMUNITY,2014-General-Baldwin.xlsx,contest_rows,False,010030260,0260,Elsanor Community Center,ELSANOR COMMUNITY CENTER,fuzzy_high,95.0,9.5,1,ORANGE BEACH COMMUNITY CENTER,85.5,SUMMERDALE COMMUNITY CENTER,85.5,True,False,,1.0,,True,64;66,22,2.0,1.0,0.9118279569892472,1.0,66,22,0.9999999999999968,0.9999999999999968,True,True,compatible,True,False,False,,,,,,,01003000026,Elsanor Comm Ctr,fuzzy_high,95.0,9.5,True,True,False,compatible,,vest16,01003000026,Elsanor Comm Ctr,district_validated,,,one_to_one,1.0
34,BALDWIN,FAIRHOPE -3 CIRCLE CHURCH,FAIRHOPE 3 CIRCLE CHURCH,FAIRHOPE 3 CIRCLE CHURCH,2014-General-Baldwin.xlsx,contest_rows,False,010030450,0450,Spanish Fort Eastpointe Baptist Church,SPANISH FORT EASTPOINTE BAPTIST CHURCH,review,85.5,18.83,1,FAIRHOPE CIVIC CENTER,66.67,POINT CLEAR SAINT FRANCIS CHURCH,50.89,False,True,low_or_ambiguous_score,,,True,94,32,1.0,1.0,1.0,1.0,96,22;32,0.9999999999999996,0.8044123084002004,False,True,conflict,False,False,False,01003042A,Fairhope Civic Center,66.67,15.77,district_constrained_review,11.0,01003000043,Fairhope 3 Circle Church,exact_normalized,100.0,100.0,True,True,False,compatible,,vest16,01003000043,Fairhope 3 Circle Church,district_validated,,,one_to_one,1.0
35,BALDWIN,FAIRHOPE CIVIC CENTER,FAIRHOPE CIVIC CENTER,FAIRHOPE CIVIC CENTER,2014-General-Baldwin.xlsx,contest_rows,False,01003042A,042A,Fairhope Civic Center,FAIRHOPE CIVIC CENTER,exact_normalized,100.0,100.0,1,FAIRHOPE CIVIC CENTER,66.67,POINT CLEAR SAINT FRANCIS CHURCH,50.89,True,False,,1.0,,True,94,32,1.0,1.0,1.0,1.0,94,32,1.000000000000001,0.9999999991800742,True,True,compatible,True,False,False,,,,,,,01003000042,Fairhope Civic Ctr,exact_normalized,100.0,100.0,True,True,False,compatible,,vest16,01003000042,Fairhope Civic Ctr,district_validated,,,one_to_one,1.0
36,BALDWIN,FOLEY CIVIC CENTER,FOLEY CIVIC CENTER,FOLEY CIVIC CENTER,2014-General-Baldwin.xlsx,contest_rows,False,010030380,0380,Foley Civic Center,FOLEY CIVIC CENTER,exact_normalized,100.0,100.0,1,FAIRHOPE CIVIC CENTER,66.67,POINT CLEAR SAINT FRANCIS CHURCH,50.89,True,False,,1.0,,True,94;95,32,2.0,1.0,0.8327645051194539,1.0,94;95,32,0.664054172034144,1.0000000000000009,True,True,compatible,True,False,False,,,,,,,01003000038,Foley Civic Ctr,exact_normalized,100.0,100.0,True,True,False,compatible,,vest16,01003000038,Foley Civic Ctr,district_validated,,,one_to_one,1.0
37,BALDWIN,FT_ MORGAN VFD #1,FT MORGAN VOLUNTEER FIRE DEPARTMENT 1,FT MORGAN VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030400,0400,Fort Morgan VFD Station #2,FORT MORGAN VOLUNTEER FIRE DEPARTMENT STATION 2,review,90.75,5.25,1,JOSEPHINE FIRE HOUSE,85.5,SEMINOLE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,,True,95,32,1.0,1.0,1.0,1.0,95,32,1.0000000000000002,0.9999999997194998,True,True,compatible,False,False,False,010030400,Fort Morgan VFD Station #2,90.75,5.25,district_constrained_review,11.0,01003000040,Fort Morgan VFD #1,fuzzy_high,94.59,6.72,True,True,False,compatible,,vest16,01003000040,Fort Morgan VFD #1,district_validated,,,one_to_one,1.0
