state_code,cycle,chamber,model_valid_outcomes,context_rows,strict_ready,research_ready,missing_context,missing_baseline,missing_incumbency,model_source_fallbacks
KY,2024,upper,7,7,1,6,0,0,0,0
LA,2019,lower,18,18,15,3,0,0,0,0
LA,2019,upper,5,5,4,1,0,0,0,0
LA,2023,lower,13,13,12,1,0,0,0,0
LA,2023,upper,5,5,5,0,0,0,0,0
MO,2016,lower,66,66,66,0,0,0,0,0
MO,2016,upper,9,9,9,0,0,0,0,0
MO,2018,lower,117,117,117,0,0,0,0,0
MO,2018,upper,16,16,16,0,0,0,0,0
MO,2020,lower,80,80,80,0,0,0,0,0
MO,2020,upper,10,10,10,0,0,0,0,0
MO,2022,lower,69,69,69,0,0,0,0,0
MO,2022,upper,11,11,11,0,0,0,0,0
MO,2024,lower,110,110,103,7,0,0,0,0
MO,2024,upper,14,14,6,8,0,0,0,0
MS,2019,lower,24,24,24,0,0,0,0,0
MS,2019,upper,16,16,16,0,0,0,0,0
MS,2023,lower,17,17,9,8,0,0,0,0
MS,2023,upper,8,8,7,1,0,0,0,0
NC,2016,lower,60,60,60,0,0,0,0,0
NC,2016,upper,32,32,32,0,0,0,0,0
NC,2018,lower,117,117,117,0,0,0,0,0
NC,2018,upper,50,50,50,0,0,0,0,0
NC,2020,lower,107,107,107,0,0,0,0,0
NC,2020,upper,49,49,49,0,0,0,0,0
NC,2022,lower,81,81,81,0,0,0,0,0
NC,2022,upper,35,35,35,0,0,0,0,0
NC,2024,lower,90,90,68,22,0,0,0,0
NC,2024,upper,42,42,23,19,0,0,0,0
OK,2016,lower,70,70,70,0,0,0,0,0
OK,2016,upper,17,17,17,0,0,0,0,0
OK,2018,lower,73,73,73,0,0,0,0,0
OK,2018,upper,18,18,18,0,0,0,0,0
OK,2020,lower,36,36,36,0,0,0,0,0
OK,2020,upper,12,12,12,0,0,0,0,0
OK,2022,lower,29,29,29,0,0,0,0,0
OK,2022,upper,7,7,7,0,0,0,0,0
OK,2024,lower,25,25,24,1,0,0,0,0
OK,2024,upper,9,9,5,4,0,0,0,0
SC,2016,lower,32,32,32,0,0,0,0,32
SC,2016,upper,7,7,7,0,0,0,0,7
SC,2018,lower,45,45,45,0,0,0,0,0
SC,2020,lower,51,51,51,0,0,0,0,0
SC,2020,upper,30,30,30,0,0,0,0,0
SC,2022,lower,50,50,50,0,0,0,0,0
SC,2024,lower,47,47,42,5,0,0,0,0
SC,2024,upper,22,22,18,4,0,0,0,0
TN,2016,lower,51,51,51,0,0,0,0,0
TN,2016,upper,5,5,5,0,0,0,0,0
TN,2018,lower,73,73,73,0,0,0,0,0
TN,2018,upper,12,12,12,0,0,0,0,0
TN,2020,lower,38,38,38,0,0,0,0,0
TN,2020,upper,9,9,9,0,0,0,0,0
TN,2022,lower,36,36,36,0,0,0,0,0
TN,2022,upper,8,8,8,0,0,0,0,0
TN,2024,lower,60,60,60,0,0,0,0,0
TN,2024,upper,10,10,10,0,0,0,0,0
TX,2016,lower,52,52,52,0,0,0,0,0
TX,2016,upper,4,4,4,0,0,0,0,0
TX,2018,lower,94,94,94,0,0,0,0,0
TX,2018,upper,13,13,13,0,0,0,0,0
TX,2020,lower,94,94,94,0,0,0,0,0
TX,2020,upper,13,13,13,0,0,0,0,0
TX,2022,lower,80,80,80,0,0,0,0,0
TX,2022,upper,18,18,18,0,0,0,0,0
TX,2024,lower,89,89,89,0,0,0,0,1
TX,2024,upper,10,10,10,0,0,0,0,0
VA,2017,lower,60,60,0,60,0,0,0,0
VA,2019,lower,65,65,65,0,0,0,0,0
VA,2019,upper,20,20,20,0,0,0,0,0
VA,2021,lower,91,91,0,91,0,0,0,0
VA,2023,lower,65,65,38,27,0,0,0,0
VA,2023,upper,34,34,19,15,0,0,0,0
