chamber,district,county_key,result_observation_id,precinct_name_original,unresolved_rows,unresolved_two_party_votes,plausible_district_count,allocation_status,contested_race
lower,117,HARRISON,PRES-670FBBE6B11B0D3D333DC3CB,East Lizana,1,888.0,7,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-01424DA1921611F8E2A4ABDC,East Miss City,1,1899.0,4,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-33104F24CDABBA2A0D01AF92,Gulfport #12,1,1054.0,9,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-FDB38B929570461B66108E72,Gulfport #13,1,971.0,9,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-895060AFDE07F2019F5BC9C7,Gulfport #15,1,389.0,9,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-DCBA55BC5F259653A4F5C1D9,Gulfport #9,1,141.0,4,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-856C8934C8A1325B381BAFEC,New Popps Ferry,1,1636.0,9,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-30AB652CC27C0A7555D82469,Vidalla,1,390.0,9,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-FC5A18EC629431A4604A6816,West Miss City,1,317.0,9,ambiguous_plausible_set,True
lower,118,HARRISON,PRES-76AFAC16DA891B011B9A6B77,Biloxi #10,1,1489.0,9,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-A8ED5E173E1B31240CAA47FA,Biloxi #2,1,250.0,9,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-40E4DBFF51E5C9962B2CC37D,Biloxi #3,1,295.0,9,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-CF58BC8646115CA820EAEE0E,Biloxi #4,1,608.0,9,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-5FDCE7E5AC7CE5EA0B1B71F0,Biloxi #5,1,213.0,9,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-7B4EF32CDC028DF9427FD035,Biloxi #6,1,204.0,9,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-3EA27605824A2A100810F731,Biloxi #7,1,334.0,9,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-670FBBE6B11B0D3D333DC3CB,East Lizana,1,888.0,7,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-01424DA1921611F8E2A4ABDC,East Miss City,1,1899.0,4,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-33104F24CDABBA2A0D01AF92,Gulfport #12,1,1054.0,9,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-FDB38B929570461B66108E72,Gulfport #13,1,971.0,9,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-895060AFDE07F2019F5BC9C7,Gulfport #15,1,389.0,9,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-DCBA55BC5F259653A4F5C1D9,Gulfport #9,1,141.0,4,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-856C8934C8A1325B381BAFEC,New Popps Ferry,1,1636.0,9,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-30AB652CC27C0A7555D82469,Vidalla,1,390.0,9,ambiguous_plausible_set,False
lower,118,HARRISON,PRES-FC5A18EC629431A4604A6816,West Miss City,1,317.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-76AFAC16DA891B011B9A6B77,Biloxi #10,1,1489.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-A8ED5E173E1B31240CAA47FA,Biloxi #2,1,250.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-40E4DBFF51E5C9962B2CC37D,Biloxi #3,1,295.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-CF58BC8646115CA820EAEE0E,Biloxi #4,1,608.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-5FDCE7E5AC7CE5EA0B1B71F0,Biloxi #5,1,213.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-7B4EF32CDC028DF9427FD035,Biloxi #6,1,204.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-3EA27605824A2A100810F731,Biloxi #7,1,334.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-670FBBE6B11B0D3D333DC3CB,East Lizana,1,888.0,7,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-01424DA1921611F8E2A4ABDC,East Miss City,1,1899.0,4,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-33104F24CDABBA2A0D01AF92,Gulfport #12,1,1054.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-FDB38B929570461B66108E72,Gulfport #13,1,971.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-895060AFDE07F2019F5BC9C7,Gulfport #15,1,389.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-DCBA55BC5F259653A4F5C1D9,Gulfport #9,1,141.0,4,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-856C8934C8A1325B381BAFEC,New Popps Ferry,1,1636.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-30AB652CC27C0A7555D82469,Vidalla,1,390.0,9,ambiguous_plausible_set,False
lower,119,HARRISON,PRES-FC5A18EC629431A4604A6816,West Miss City,1,317.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-76AFAC16DA891B011B9A6B77,Biloxi #10,1,1489.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-A8ED5E173E1B31240CAA47FA,Biloxi #2,1,250.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-40E4DBFF51E5C9962B2CC37D,Biloxi #3,1,295.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-CF58BC8646115CA820EAEE0E,Biloxi #4,1,608.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-5FDCE7E5AC7CE5EA0B1B71F0,Biloxi #5,1,213.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-7B4EF32CDC028DF9427FD035,Biloxi #6,1,204.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-3EA27605824A2A100810F731,Biloxi #7,1,334.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-670FBBE6B11B0D3D333DC3CB,East Lizana,1,888.0,7,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-33104F24CDABBA2A0D01AF92,Gulfport #12,1,1054.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-FDB38B929570461B66108E72,Gulfport #13,1,971.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-895060AFDE07F2019F5BC9C7,Gulfport #15,1,389.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-DCBA55BC5F259653A4F5C1D9,Gulfport #9,1,141.0,4,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-856C8934C8A1325B381BAFEC,New Popps Ferry,1,1636.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-30AB652CC27C0A7555D82469,Vidalla,1,390.0,9,ambiguous_plausible_set,False
lower,120,HARRISON,PRES-FC5A18EC629431A4604A6816,West Miss City,1,317.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-76AFAC16DA891B011B9A6B77,Biloxi #10,1,1489.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-A8ED5E173E1B31240CAA47FA,Biloxi #2,1,250.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-40E4DBFF51E5C9962B2CC37D,Biloxi #3,1,295.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-CF58BC8646115CA820EAEE0E,Biloxi #4,1,608.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-5FDCE7E5AC7CE5EA0B1B71F0,Biloxi #5,1,213.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-7B4EF32CDC028DF9427FD035,Biloxi #6,1,204.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-3EA27605824A2A100810F731,Biloxi #7,1,334.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-670FBBE6B11B0D3D333DC3CB,East Lizana,1,888.0,7,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-33104F24CDABBA2A0D01AF92,Gulfport #12,1,1054.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-FDB38B929570461B66108E72,Gulfport #13,1,971.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-895060AFDE07F2019F5BC9C7,Gulfport #15,1,389.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-856C8934C8A1325B381BAFEC,New Popps Ferry,1,1636.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-30AB652CC27C0A7555D82469,Vidalla,1,390.0,9,ambiguous_plausible_set,False
lower,121,HARRISON,PRES-FC5A18EC629431A4604A6816,West Miss City,1,317.0,9,ambiguous_plausible_set,False
lower,122,HANCOCK,PRES-13729CD751A2BC5512072B28,Garden Isle,1,466.0,3,ambiguous_plausible_set,True
lower,13,LAFAYETTE,PRES-76B14E48FC3F0B83CD6BFAC1,Denmark-Laf Springs-Pine Bluff,1,429.0,1,exact_single_district_plausible_set,True
lower,13,UNION,PRES-E71BF1C19038C4A842DE9CB3,King's Chapel,1,347.0,3,ambiguous_plausible_set,True
lower,14,UNION,PRES-E71BF1C19038C4A842DE9CB3,King's Chapel,1,347.0,3,ambiguous_plausible_set,False
lower,14,UNION,PRES-7C33A1EA08FFB7F3062E29C2,NE Community College,1,1178.0,1,exact_single_district_plausible_set,False
lower,15,PONTOTOC,PRES-F1EF3412CD823F5E89888603,Beckham Bec,1,424.0,2,ambiguous_plausible_set,True
lower,15,PONTOTOC,PRES-BCF8D0A2336C6FC9C0B5ACBE,Robbs Ro,1,190.0,1,exact_single_district_plausible_set,True
lower,15,PONTOTOC,PRES-4C75A583E6E30B36B9727F5F,Troy Tr,1,460.0,2,ambiguous_plausible_set,True
lower,18,UNION,PRES-E71BF1C19038C4A842DE9CB3,King's Chapel,1,347.0,3,ambiguous_plausible_set,False
lower,22,CHICKASAW,PRES-DB5C7B652EEB43DD0F994CD1,South Houika 011,1,468.0,1,exact_single_district_plausible_set,True
lower,22,CHICKASAW,PRES-33075CFE636300C5D3DCA001,Woodland 015,1,286.0,1,exact_single_district_plausible_set,True
lower,22,PONTOTOC,PRES-F1EF3412CD823F5E89888603,Beckham Bec,1,424.0,2,ambiguous_plausible_set,True
lower,22,PONTOTOC,PRES-4C75A583E6E30B36B9727F5F,Troy Tr,1,460.0,2,ambiguous_plausible_set,True
lower,23,CALHOUN,PRES-0B630FACB59CDDBA66F8D1BA,Northeast Calhoun,1,745.0,1,exact_single_district_plausible_set,False
lower,23,GRENADA,PRES-5E0264756CBC1895DD19130A,Box 1,1,709.0,2,ambiguous_plausible_set,False
lower,24,DESOTO,PRES-64BF942A7FB0B9F308216AAB,Cumberland,1,1549.0,9,ambiguous_plausible_set,False
lower,25,DESOTO,PRES-64BF942A7FB0B9F308216AAB,Cumberland,1,1549.0,9,ambiguous_plausible_set,False
lower,26,COAHOMA,PRES-3E18CA334139F0E77FF5960C,Friars Point,1,618.0,2,ambiguous_plausible_set,False
lower,27,HOLMES,PRES-F4B3050520FA48A7154F3BF5,Beat 2 Sub Durant,1,498.0,4,ambiguous_plausible_set,False
lower,27,MADISON,PRES-9AB29A9AF4A4515E64E85EAF,Colonial Heights,1,1219.0,3,ambiguous_plausible_set,False
lower,27,MADISON,PRES-176857FC5B476431FFA481E9,Farmhaven,1,767.0,4,ambiguous_plausible_set,False
lower,27,MADISON,PRES-BA904616009D3591F4B5C6B5,Fearns Chapel Freewill Baptist,1,1211.0,8,ambiguous_plausible_set,False
lower,27,MADISON,PRES-ACF4A5ABD5EA38D52925E7CC,First Presbyterian Madison,1,1627.0,4,ambiguous_plausible_set,False
lower,27,MADISON,PRES-263A7C699803945AEEA15B00,Greater Mt. Levi Full Gospel,1,782.0,8,ambiguous_plausible_set,False
lower,27,MADISON,PRES-A3316F713E996D465F250A6E,Madison Community Center,1,2058.0,3,ambiguous_plausible_set,False
lower,28,DESOTO,PRES-64BF942A7FB0B9F308216AAB,Cumberland,1,1549.0,9,ambiguous_plausible_set,True
lower,3,PRENTISS,PRES-060A25218F9AB5E70878CD53,North Booneville/Sunflower,1,690.0,1,exact_single_district_plausible_set,True
lower,31,HUMPHREYS,PRES-42CB6476EC4297D36D7B0EEA,Belzoni North - 1bnh34 1021,1,71.0,2,ambiguous_plausible_set,False
lower,31,HUMPHREYS,PRES-EEEB357B09EA4FA1259BEB66,Belzoni North - 1bnh51 1020,1,836.0,2,ambiguous_plausible_set,False
lower,31,HUMPHREYS,PRES-DE66BCB5216D998C794A7143,Belzoni North - 2bn 2020,1,312.0,2,ambiguous_plausible_set,False
lower,31,HUMPHREYS,PRES-3319091C557E96D97B9500D9,Belzoni North - 4 bn 4010,1,616.0,2,ambiguous_plausible_set,False
lower,31,HUMPHREYS,PRES-E8B83208F0B252F072FEAC9E,Belzoni South - 3bs 3010,1,412.0,2,ambiguous_plausible_set,False
lower,31,HUMPHREYS,PRES-E7ED9E1917B7BBD3BC7714F4,Belzoni South - 4bs 4020,1,425.0,2,ambiguous_plausible_set,False
lower,31,HUMPHREYS,PRES-5B484C24DC48BD2E6BEC2C05,Belzoni South - 5bs 5010,1,348.0,2,ambiguous_plausible_set,False
lower,31,HUMPHREYS,PRES-91DC0703623401D8C41C9D14,Fourmile North - 1fm 1010,1,40.0,2,ambiguous_plausible_set,False
lower,32,LEFLORE,PRES-C938DD45BD4FC563E9000F81,Ne Gwd,1,921.0,1,exact_single_district_plausible_set,False
lower,32,LEFLORE,PRES-F928AC73B0678192CE11760B,Swiftown,1,42.0,3,ambiguous_plausible_set,False
lower,33,YALOBUSHA,PRES-0B3B360510D403E3C46FA584,Five Coffeeville,1,610.0,1,exact_single_district_plausible_set,False
lower,33,YALOBUSHA,PRES-8B7DA24A5A007F41D02B2C02,Five Scuna - Vann's Mill,1,143.0,1,exact_single_district_plausible_set,False
lower,33,YALOBUSHA,PRES-48BA9286F304E54FB4643CCC,Four Coffeeville,1,514.0,1,exact_single_district_plausible_set,False
lower,34,GRENADA,PRES-5E0264756CBC1895DD19130A,Box 1,1,709.0,2,ambiguous_plausible_set,False
lower,34,HOLMES,PRES-F4B3050520FA48A7154F3BF5,Beat 2 Sub Durant,1,498.0,4,ambiguous_plausible_set,False
lower,34,LEFLORE,PRES-AE6F49202481C2E1B98FB439,Morgan City,1,200.0,2,ambiguous_plausible_set,False
lower,34,LEFLORE,PRES-F928AC73B0678192CE11760B,Swiftown,1,42.0,3,ambiguous_plausible_set,False
lower,35,CHOCTAW,PRES-1ACFA34587B850429E9E7366,Southwest Ackerman,1,324.0,1,exact_single_district_plausible_set,False
lower,37,LOWNDES,PRES-5EEEF74C69A6651095E95FDC,Immanuel School,1,719.0,2,ambiguous_plausible_set,False
lower,37,LOWNDES,PRES-786926DF5DAAF9D72CED067F,Sale,1,424.0,2,ambiguous_plausible_set,False
lower,37,OKTIBBEHA,PRES-C33533898D1A0C8352734C7A,Center Grove/North Adaton,1,554.0,2,ambiguous_plausible_set,False
lower,37,OKTIBBEHA,PRES-D82219C14F8BCDDBC072A59E,Self Creek/Double Springs,1,424.0,1,exact_single_district_plausible_set,False
lower,38,OKTIBBEHA,PRES-489738525C192C0B5F2913E8,Gillespie,1,1028.0,2,ambiguous_plausible_set,False
lower,39,LOWNDES,PRES-319DF9129F8789E31BA3F492,Columbus High School,1,1570.0,2,ambiguous_plausible_set,False
lower,40,DESOTO,PRES-64BF942A7FB0B9F308216AAB,Cumberland,1,1549.0,9,ambiguous_plausible_set,True
lower,41,LOWNDES,PRES-319DF9129F8789E31BA3F492,Columbus High School,1,1570.0,2,ambiguous_plausible_set,False
lower,41,LOWNDES,PRES-5EEEF74C69A6651095E95FDC,Immanuel School,1,719.0,2,ambiguous_plausible_set,False
lower,41,LOWNDES,PRES-786926DF5DAAF9D72CED067F,Sale,1,424.0,2,ambiguous_plausible_set,False
lower,43,OKTIBBEHA,PRES-C33533898D1A0C8352734C7A,Center Grove/North Adaton,1,554.0,2,ambiguous_plausible_set,False
lower,43,OKTIBBEHA,PRES-489738525C192C0B5F2913E8,Gillespie,1,1028.0,2,ambiguous_plausible_set,False
lower,45,KEMPER,PRES-720EA0330AB73635BA04DEBB,Scooba A-L,1,379.0,1,exact_single_district_plausible_set,False
lower,45,KEMPER,PRES-FD9F86BD317A90B48AF1DAF0,Scooba M-Z,1,362.0,1,exact_single_district_plausible_set,False
lower,45,LAUDERDALE,PRES-DA430E4C381BEFB38FFB3A92,519 - Nineteen,1,344.0,3,ambiguous_plausible_set,False
lower,46,CARROLL,PRES-28448CE29C2AA988B7F108A4,Rays Shop,1,854.0,1,exact_single_district_plausible_set,False
lower,46,LEFLORE,PRES-AE6F49202481C2E1B98FB439,Morgan City,1,200.0,2,ambiguous_plausible_set,False
lower,46,LEFLORE,PRES-F928AC73B0678192CE11760B,Swiftown,1,42.0,3,ambiguous_plausible_set,False
lower,47,HOLMES,PRES-48E4A1A6BBAAEBAC683E4698,Beat 2 Durant,1,577.0,2,ambiguous_plausible_set,False
lower,47,HOLMES,PRES-F4B3050520FA48A7154F3BF5,Beat 2 Sub Durant,1,498.0,4,ambiguous_plausible_set,False
lower,48,HOLMES,PRES-48E4A1A6BBAAEBAC683E4698,Beat 2 Durant,1,577.0,2,ambiguous_plausible_set,False
lower,48,HOLMES,PRES-F4B3050520FA48A7154F3BF5,Beat 2 Sub Durant,1,498.0,4,ambiguous_plausible_set,False
lower,49,WASHINGTON,PRES-745C60308DE9E79D7DB0AE86,Greenville Daycare Center,1,681.0,1,exact_single_district_plausible_set,False
