state,year,chamber,outcome_rows,contested_outcomes,any_baseline,strict_war_ready,research_war_ready,strict_coverage_of_contested
KY,2022,senate,19,8,19,8,8,1.0
KY,2024,house,44,44,44,42,44,0.9545454545454546
KY,2024,senate,7,7,7,1,7,0.14285714285714285
LA,1995,house,81,25,0,0,0,0.0
LA,1995,senate,30,10,0,0,0,0.0
LA,1999,house,55,15,0,0,0,0.0
LA,1999,senate,23,8,0,0,0,0.0
LA,2003,house,60,11,54,0,10,0.0
LA,2003,senate,27,7,27,0,7,0.0
LA,2007,house,79,21,79,0,21,0.0
LA,2007,senate,30,11,30,0,11,0.0
LA,2011,house,62,15,0,0,0,0.0
LA,2011,senate,19,3,0,0,0,0.0
LA,2015,house,51,10,0,0,0,0.0
LA,2015,senate,18,4,0,0,0,0.0
LA,2019,house,65,18,65,15,18,0.8333333333333334
LA,2019,senate,27,5,27,4,5,0.8
LA,2023,house,57,13,57,12,13,0.9230769230769231
LA,2023,senate,19,5,19,5,5,1.0
MO,1994,house,163,99,0,0,0,0.0
MO,1994,senate,17,13,0,0,0,0.0
MO,1996,house,163,104,0,0,0,0.0
MO,1996,senate,17,12,0,0,0,0.0
MO,1998,house,163,93,0,0,0,0.0
MO,1998,senate,17,15,0,0,0,0.0
MO,2000,house,163,84,84,84,84,1.0
MO,2000,senate,17,10,10,10,10,1.0
MO,2002,house,163,117,117,117,117,1.0
MO,2002,senate,17,12,12,12,12,1.0
MO,2004,house,163,96,96,96,96,1.0
MO,2004,senate,17,15,15,15,15,1.0
MO,2006,house,163,103,103,103,103,1.0
MO,2006,senate,17,13,13,13,13,1.0
MO,2008,house,163,85,85,85,85,1.0
MO,2008,senate,17,12,12,12,12,1.0
MO,2010,house,163,93,93,93,93,1.0
MO,2010,senate,17,9,9,9,9,1.0
MO,2012,house,163,81,80,80,80,0.9876543209876543
MO,2012,senate,17,8,8,8,8,1.0
MO,2014,house,163,82,0,0,0,0.0
MO,2014,senate,17,7,0,0,0,0.0
MO,2016,house,163,66,66,66,66,1.0
MO,2016,senate,17,9,9,9,9,1.0
MO,2018,house,163,117,163,117,117,1.0
MO,2018,senate,17,16,17,16,16,1.0
MO,2020,house,163,80,163,80,80,1.0
MO,2020,senate,17,10,17,10,10,1.0
MO,2022,house,163,69,163,69,69,1.0
MO,2022,senate,17,11,17,11,11,1.0
MO,2024,house,110,110,110,103,110,0.9363636363636364
MO,2024,senate,14,14,14,6,14,0.42857142857142855
MS,1995,house,122,43,0,0,0,0.0
MS,1995,senate,52,31,0,0,0,0.0
MS,1999,house,122,33,0,0,0,0.0
MS,1999,senate,52,17,0,0,0,0.0
MS,2003,house,122,47,0,0,0,0.0
MS,2003,senate,52,26,0,0,0,0.0
MS,2007,house,122,47,0,0,0,0.0
MS,2007,senate,52,21,0,0,0,0.0
MS,2011,house,122,45,0,0,0,0.0
MS,2011,senate,52,21,0,0,0,0.0
MS,2015,house,122,38,0,0,0,0.0
MS,2015,senate,52,19,0,0,0,0.0
MS,2019,house,122,24,122,24,24,1.0
MS,2019,senate,51,16,51,16,16,1.0
MS,2023,house,17,17,17,9,17,0.5294117647058824
MS,2023,senate,8,8,8,7,8,0.875
NC,1994,house,81,36,0,0,0,0.0
NC,1994,senate,34,18,0,0,0,0.0
NC,1996,house,81,45,0,0,0,0.0
NC,1996,senate,34,24,0,0,0,0.0
NC,1998,house,81,38,0,0,0,0.0
NC,1998,senate,34,19,0,0,0,0.0
NC,2000,house,81,43,0,0,0,0.0
NC,2000,senate,34,21,0,0,0,0.0
NC,2002,house,120,63,63,57,63,0.9047619047619048
NC,2002,senate,50,39,39,39,39,1.0
NC,2004,house,120,49,49,49,49,1.0
NC,2004,senate,50,33,33,33,33,1.0
NC,2006,house,120,56,0,0,0,0.0
NC,2006,senate,50,28,0,0,0,0.0
NC,2008,house,120,60,0,0,0,0.0
NC,2008,senate,50,29,0,0,0,0.0
NC,2010,house,120,76,76,76,76,1.0
NC,2010,senate,50,38,38,38,38,1.0
NC,2012,house,120,65,65,12,65,0.18461538461538463
NC,2012,senate,50,31,31,12,31,0.3870967741935484
NC,2014,house,120,58,0,0,0,0.0
NC,2014,senate,50,29,0,0,0,0.0
NC,2016,house,120,60,120,60,60,1.0
NC,2016,senate,50,32,50,32,32,1.0
NC,2018,house,120,117,120,117,117,1.0
NC,2018,senate,50,50,50,50,50,1.0
NC,2020,house,120,107,120,107,107,1.0
NC,2020,senate,50,49,50,49,49,1.0
NC,2022,house,120,81,120,81,81,1.0
NC,2022,senate,50,35,50,35,35,1.0
NC,2024,house,90,90,90,68,90,0.7555555555555555
NC,2024,senate,42,42,42,23,42,0.5476190476190477
OK,1994,house,101,47,0,0,0,0.0
OK,1994,senate,24,12,0,0,0,0.0
OK,1996,house,101,72,0,0,0,0.0
OK,1996,senate,24,20,0,0,0,0.0
OK,1998,house,101,54,0,0,0,0.0
OK,1998,senate,24,15,0,0,0,0.0
OK,2000,house,101,56,0,0,0,0.0
OK,2000,senate,24,17,0,0,0,0.0
OK,2002,house,101,51,0,0,0,0.0
OK,2002,senate,24,13,0,0,0,0.0
OK,2004,house,101,64,0,0,0,0.0
OK,2004,senate,24,15,0,0,0,0.0
OK,2006,house,101,47,0,0,0,0.0
OK,2006,senate,24,15,0,0,0,0.0
OK,2008,house,101,56,0,0,0,0.0
OK,2008,senate,24,11,0,0,0,0.0
OK,2010,house,101,44,44,44,44,1.0
OK,2010,senate,24,10,10,10,10,1.0
OK,2012,house,101,34,34,34,34,1.0
OK,2012,senate,24,10,10,10,10,1.0
OK,2014,house,101,35,0,0,0,0.0
OK,2014,senate,24,11,0,0,0,0.0
OK,2016,house,101,70,73,70,70,1.0
OK,2016,senate,24,17,19,17,17,1.0
OK,2018,house,101,73,73,73,73,1.0
OK,2018,senate,24,18,19,18,18,1.0
OK,2020,house,101,36,37,36,36,1.0
OK,2020,senate,24,12,13,12,12,1.0
OK,2022,house,101,29,31,29,29,1.0
OK,2022,senate,24,7,7,7,7,1.0
OK,2024,house,25,25,25,24,25,0.96
OK,2024,senate,9,9,9,5,9,0.5555555555555556
SC,1994,house,124,41,0,0,0,0.0
SC,1996,house,124,51,0,0,0,0.0
SC,1996,senate,46,19,0,0,0,0.0
SC,1998,house,124,35,0,0,0,0.0
SC,2000,house,124,43,0,0,0,0.0
SC,2000,senate,46,21,0,0,0,0.0
SC,2002,house,124,35,0,0,0,0.0
SC,2004,house,124,29,0,0,0,0.0
SC,2004,senate,46,22,0,0,0,0.0
SC,2006,house,124,31,0,0,0,0.0
SC,2008,house,124,36,0,0,0,0.0
SC,2008,senate,46,17,0,0,0,0.0
SC,2010,house,123,36,36,36,36,1.0
SC,2012,house,124,20,20,0,20,0.0
SC,2012,senate,46,11,11,0,11,0.0
SC,2014,house,124,29,0,0,0,0.0
SC,2014,senate,1,0,0,0,0,
SC,2016,house,124,32,124,32,32,1.0
SC,2016,senate,46,7,46,7,7,1.0
SC,2018,house,124,45,123,45,45,1.0
SC,2020,house,124,51,124,51,51,1.0
SC,2020,senate,46,30,46,30,30,1.0
SC,2022,house,124,50,124,50,50,1.0
SC,2024,house,47,47,47,42,47,0.8936170212765957
SC,2024,senate,22,22,22,18,22,0.8181818181818182
TN,1994,house,99,48,0,0,0,0.0
TN,1994,senate,17,11,0,0,0,0.0
TN,1996,house,99,47,0,0,0,0.0
TN,1996,senate,16,13,0,0,0,0.0
TN,1998,house,99,36,15,15,15,0.4166666666666667
TN,1998,senate,17,7,4,4,4,0.5714285714285714
TN,2000,house,99,35,0,0,0,0.0
TN,2000,senate,16,8,0,0,0,0.0
TN,2002,house,99,53,53,28,53,0.5283018867924528
TN,2002,senate,17,11,11,10,11,0.9090909090909091
TN,2004,house,99,49,49,33,49,0.673469387755102
TN,2004,senate,16,12,12,12,12,1.0
TN,2006,house,99,44,44,42,44,0.9545454545454546
TN,2006,senate,17,9,9,9,9,1.0
TN,2008,house,99,36,36,35,36,0.9722222222222222
TN,2008,senate,16,9,9,9,9,1.0
TN,2010,house,99,56,56,55,56,0.9821428571428571
TN,2010,senate,17,11,11,11,11,1.0
TN,2012,house,99,49,49,49,49,1.0
TN,2012,senate,16,9,9,9,9,1.0
TN,2014,house,99,37,0,0,0,0.0
TN,2014,senate,17,7,0,0,0,0.0
TN,2016,house,99,51,99,51,51,1.0
TN,2016,senate,16,5,16,5,5,1.0
TN,2018,house,99,73,99,73,73,1.0
TN,2018,senate,17,12,17,12,12,1.0
TN,2020,house,99,38,99,38,38,1.0
TN,2020,senate,16,9,16,9,9,1.0
TN,2022,house,99,36,99,36,36,1.0
TN,2022,senate,17,8,17,8,8,1.0
TN,2024,house,60,60,60,60,60,1.0
TN,2024,senate,10,10,10,10,10,1.0
TX,1994,house,150,51,51,51,51,1.0
TX,1994,senate,31,16,16,16,16,1.0
TX,1996,house,150,57,55,55,55,0.9649122807017544
TX,1996,senate,15,7,7,7,7,1.0
TX,1998,house,150,52,52,52,52,1.0
TX,1998,senate,16,7,7,7,7,1.0
TX,2000,house,150,42,42,42,42,1.0
TX,2000,senate,15,5,5,5,5,1.0
TX,2002,house,150,67,67,67,67,1.0
TX,2002,senate,31,12,12,12,12,1.0
TX,2004,house,150,60,60,60,60,1.0
TX,2004,senate,15,4,4,4,4,1.0
TX,2006,house,150,70,70,70,70,1.0
TX,2006,senate,16,7,7,7,7,1.0
TX,2008,house,150,71,71,71,71,1.0
TX,2008,senate,15,6,6,6,6,1.0
TX,2010,house,150,57,57,57,57,1.0
TX,2010,senate,16,8,8,8,8,1.0
TX,2012,house,150,52,52,52,52,1.0
TX,2012,senate,31,14,14,14,14,1.0
TX,2014,house,150,47,47,47,47,1.0
TX,2014,senate,15,8,8,8,8,1.0
TX,2016,house,150,52,52,52,52,1.0
TX,2016,senate,16,4,4,4,4,1.0
TX,2018,house,150,94,150,94,94,1.0
TX,2018,senate,15,13,15,13,13,1.0
TX,2020,house,150,94,146,94,94,1.0
TX,2020,senate,16,13,16,13,13,1.0
TX,2022,house,150,80,80,80,80,1.0
TX,2022,senate,31,18,18,18,18,1.0
TX,2024,house,89,89,89,89,89,1.0
TX,2024,senate,10,10,10,10,10,1.0
VA,1995,house,100,65,0,0,0,0.0
VA,1995,senate,40,22,0,0,0,0.0
VA,1997,house,100,39,0,0,0,0.0
VA,1999,house,100,39,0,0,0,0.0
VA,1999,senate,40,17,0,0,0,0.0
VA,2001,house,100,51,0,0,0,0.0
VA,2003,house,100,31,0,0,0,0.0
VA,2003,senate,40,18,0,0,0,0.0
VA,2005,house,100,38,98,38,38,1.0
VA,2007,house,100,31,0,0,0,0.0
VA,2007,senate,40,17,0,0,0,0.0
VA,2009,house,100,54,99,54,54,1.0
VA,2011,house,100,27,0,0,0,0.0
VA,2011,senate,40,24,0,0,0,0.0
VA,2013,house,100,43,100,43,43,1.0
VA,2015,house,100,29,0,0,0,0.0
VA,2015,senate,40,20,0,0,0,0.0
VA,2017,house,100,60,100,0,60,0.0
VA,2019,house,100,65,100,65,65,1.0
VA,2019,senate,40,21,40,21,21,1.0
VA,2021,house,100,91,100,0,91,0.0
VA,2023,house,65,65,65,38,65,0.5846153846153846
VA,2023,senate,34,34,34,19,34,0.5588235294117647
